Date, Open, High, Low, Close
11/9/2020,48492.54,50586.65,48492.54,49650.44
11/6/2020,48501.09,49143.85,48021.36,48492.54
11/5/2020,47028.37,48750.58,47028.37,48501.09
11/4/2020,47965.31,48783.78,46851.16,47028.37
11/3/2020,47467.65,49201.51,47467.65,47965.31
11/2/2020,45290.02,47553.03,45290.02,47467.65
10/30/2020,44914.24,45427.2,44289.14,45290.02
10/29/2020,43532.74,45150.3,43431.68,44914.24
10/28/2020,46707.91,46707.91,43470.97,43532.74
10/27/2020,49596.53,50282.54,46626.77,46707.91
10/26/2020,52512.6,52512.6,49552.15,49596.53
10/23/2020,51671.56,52590.53,50133.29,52512.6
10/22/2020,50088.78,51827.25,50030.02,51671.56
10/21/2020,49683.83,50502.34,49430.45,50088.78
10/20/2020,49162.13,49910.29,48723.92,49683.83
10/19/2020,49024.08,50734.61,49024.08,49162.13
10/16/2020,48239.27,49162.42,48184.24,49024.08
10/15/2020,47295.27,48277.7,46767.72,48239.27
10/14/2020,45994.73,47338.91,45973.26,47295.27
10/13/2020,45856.11,46097.71,45296.19,45994.73
10/9/2020,45556.79,45985.24,45136.4,45856.11
10/8/2020,44739.86,45582.69,44604.49,45482.18
10/7/2020,44438.41,44799.45,43713.73,44739.86
10/6/2020,44273.21,45203.2,44180.53,44438.41
10/5/2020,43654.37,44324.01,43533.63,44273.21
10/2/2020,42916.19,43771.23,42267.47,43654.37
10/1/2020,41324.07,43088.38,41324.07,42916.19
9/30/2020,42196.88,42989.31,41213.28,41260.86
9/29/2020,42077.91,42323.41,41390.52,42196.88
9/28/2020,42042.45,42724.78,41865.11,42077.91
9/25/2020,41875.66,42150.99,41425.38,42042.45
9/24/2020,40974.05,42084.49,40974.05,41875.66
9/23/2020,40944.49,41138.99,40471.17,40974.05
9/22/2020,40745.13,41227.73,40108.28,40944.49
9/21/2020,41484.06,41484.06,39850.33,40745.13
9/18/2020,39799.89,41514.85,39501.22,41484.06
9/17/2020,42167.86,42167.86,39560.84,39799.89
9/16/2020,44628.42,44628.42,42095.1,42167.86
9/15/2020,44614.08,44857.08,43647.57,44628.42
9/14/2020,45839.99,45988.82,44554.16,44614.08
9/11/2020,46868.47,46924.8,45654.93,45839.99
9/10/2020,46520.19,47445.31,46520.19,46868.47
9/9/2020,45481.76,46563.62,45481.76,46520.19
