Date, Open, High, Low, Close
11/10/2020,6322.1,6438.2,6322.1,6340.5
11/9/2020,6196.8,6303.1,6196.7,6298.8
11/6/2020,6152.1,6202.3,6150.8,6190.2
11/5/2020,6064.3,6143.7,6063.3,6139.6
11/4/2020,6068.5,6096.4,5986,6062.1
11/3/2020,5967.1,6090.8,5964.2,6066.4
11/2/2020,5934.8,5960.6,5904.1,5951.3
10/30/2020,5969.2,5986.6,5927.6,5927.6
10/29/2020,6032.2,6034.2,5940,5960.3
10/28/2020,6042.8,6075.6,6020.2,6057.7
10/27/2020,6140.9,6142.1,6033.8,6051
10/26/2020,6164.7,6206.5,6154.8,6155.6
10/23/2020,6177.1,6184.2,6148.4,6167
10/22/2020,6179.3,6179.7,6100.6,6173.8
10/21/2020,6187.3,6206.3,6181.2,6191.8
10/20/2020,6226.5,6241.1,6181.1,6184.6
10/19/2020,6187,6248.3,6184.6,6229.4
10/16/2020,6208.1,6216.2,6165,6176.8
10/15/2020,6185.2,6233.4,6184.3,6210.3
10/14/2020,6191.7,6198.4,6174.7,6179.2
10/13/2020,6143.3,6214.7,6143.3,6195.7
10/12/2020,6104.4,6132,6093.1,6132
10/9/2020,6106.7,6127.4,6087.6,6102.2
10/8/2020,6050,6123.4,6049.1,6102
10/7/2020,5953.1,6043.8,5944.7,6036.4
10/6/2020,5949,5963.9,5912.7,5962.1
10/5/2020,5815.6,5942.8,5815.5,5941.6
10/2/2020,5864.1,5865.7,5779.6,5791.5
10/1/2020,5832.2,5916.5,5832,5872.9
9/30/2020,5952,5952,5815.9,5815.9
9/29/2020,5962.8,5995.4,5935.1,5952.1
9/28/2020,5960.9,5977.3,5941,5952.3
9/25/2020,5887.9,5973.7,5887.9,5964.9
9/24/2020,5902.4,5903.3,5824.8,5875.9
9/23/2020,5799,5933.3,5798.6,5923.9
9/22/2020,5809.1,5809.5,5763.2,5784.1
9/21/2020,5861,5868.5,5808.2,5822.6
9/18/2020,5894.7,5921.4,5864.5,5864.5
9/17/2020,5956.5,5956.5,5883.2,5883.2
9/16/2020,5905.1,5958.5,5905.1,5956.1
9/15/2020,5909.5,5919.2,5883.9,5894.8
9/14/2020,5873.6,5903.2,5871.4,5899.5
9/11/2020,5897.9,5897.9,5836.2,5859.4
9/10/2020,5898.8,5955.7,5874.8,5908.5
9/9/2020,5977.5,5980.3,5849.4,5878.6
9/8/2020,5952.7,6025.5,5952.7,6007.8
9/7/2020,5924.3,5958.9,5869.9,5944.8
9/4/2020,6075.4,6078.9,5918.8,5925.5
9/3/2020,6067.3,6130.8,6067.3,6112.6
9/2/2020,5973.9,6075.7,5971.7,6063.2
9/1/2020,6044.8,6046.1,5908.9,5953.4
8/31/2020,6077.1,6093.9,6060.5,6060.5
8/28/2020,6118.5,6119.2,6056,6073.8
8/27/2020,6119.1,6159.8,6117.1,6126.2
8/26/2020,6160.4,6160.4,6079.8,6116.4
8/25/2020,6139.7,6199.2,6130.1,6161.4
8/24/2020,6110,6134.8,6094.7,6129.6
8/21/2020,6125.8,6166.4,6104.8,6111.2
8/20/2020,6164,6165,6096.7,6120
8/19/2020,6125.4,6196.6,6122.5,6167.6
8/18/2020,6076.5,6139.3,6075.6,6123.4
8/17/2020,6117.5,6118,6059.3,6076.4
8/14/2020,6096,6139.1,6095,6126.2
8/13/2020,6138.9,6157.3,6075.8,6091
8/12/2020,6133,6154.5,6101.1,6132
8/11/2020,6112.7,6186.1,6112,6138.7
8/10/2020,6008.3,6125.3,6008.1,6110.2
8/7/2020,6032.6,6033.7,5993.4,6004.8
8/6/2020,6015.8,6049.3,6009.3,6042.2
8/5/2020,6031.7,6033.9,5964.9,6001.3
8/4/2020,5947.1,6059.5,5946.8,6037.6
8/3/2020,5928.3,5947.1,5860.7,5926.1
7/31/2020,6037.5,6038.2,5893.2,5927.8
7/30/2020,6019.4,6067,6019.4,6051.1
7/29/2020,6019.2,6051.1,6000.7,6006.4
7/28/2020,6051.9,6113.8,6019.8,6020.5
7/27/2020,6018.5,6044.5,6013.1,6044.2
7/24/2020,6084.1,6085.7,6010.7,6024
7/23/2020,6071,6102.7,6052.1,6094.5
7/22/2020,6137.4,6137.6,6055.5,6075.1
7/21/2020,6008.9,6160.6,6008.9,6156.3
7/20/2020,6038.5,6038.8,5991.9,6001.6
7/17/2020,6016.9,6042.4,5999.4,6033.6
7/16/2020,6059.2,6078,5989.9,6010.9
7/15/2020,5957.6,6052.9,5957.6,6052.9
7/14/2020,5968.3,5970.4,5918.8,5941.1
7/13/2020,5998.4,6007.4,5943.4,5977.5
7/10/2020,5953,5956.2,5899.5,5919.2
7/9/2020,5939.1,5998.8,5937.1,5955.5
7/8/2020,6006.4,6018.4,5920.3,5920.3
7/7/2020,6026.4,6077.3,6004.2,6012.9
7/6/2020,6053.5,6078.3,6014.6,6014.6
7/3/2020,6037.6,6101.4,6021.7,6057.9
7/2/2020,5942,6034.9,5942,6032.7
7/1/2020,5903.6,5953.9,5892.8,5934.4
6/30/2020,5834.3,5955.2,5834.3,5897.9
6/29/2020,5877.8,5881.1,5773.2,5815
6/26/2020,5840.2,5913.6,5838.8,5904.1
6/25/2020,5937.2,5938.3,5817.7,5817.7
6/24/2020,5958.5,5992.8,5942.3,5965.7
6/23/2020,5955.7,5999.2,5882.8,5954.4
6/22/2020,5935,5972.6,5881.1,5944.5
6/19/2020,5942.5,6006.3,5929.9,5942.6
6/18/2020,5986.9,5986.9,5888.7,5936.5
6/17/2020,5952.1,5991.8,5931.5,5991.8
6/16/2020,5760.2,5975.8,5758.5,5942.3
6/15/2020,5846.7,5857.7,5719.8,5719.8
6/12/2020,5920.1,5920.1,5756.5,5847.8
6/11/2020,6123.4,6123.4,5949.6,5960.6
6/10/2020,6131.3,6182.3,6089.7,6148.4
6/9/2020,6037.6,6198.6,6037.6,6144.9
6/5/2020,5989.5,6017.8,5963,5998.7
6/4/2020,5962,6040.2,5943.9,5991.8
6/3/2020,5854.7,5943.7,5854,5941.6
6/2/2020,5818.2,5859,5800,5835.1
6/1/2020,5755.5,5819.2,5705.4,5819.2
5/29/2020,5843.1,5844.1,5755.7,5755.7
5/28/2020,5798.9,5922,5798.3,5851.1
5/27/2020,5775.3,5835.9,5713.9,5775
5/26/2020,5619.7,5780,5619.7,5780
5/25/2020,5513.7,5615.6,5512.4,5615.6
5/22/2020,5555.3,5569.7,5494.8,5497
5/21/2020,5583.2,5610.8,5545.2,5550.4
5/20/2020,5544.3,5587.1,5507,5573
5/19/2020,5501.3,5606.8,5501,5559.5
5/18/2020,5424.7,5486.3,5424,5460.5
5/15/2020,5342.3,5412.4,5342.3,5404.8
5/14/2020,5421.7,5421.7,5328.7,5328.7
5/13/2020,5390,5421.9,5301.9,5421.9
5/12/2020,5459.4,5461.4,5374,5403
5/11/2020,5405.9,5489.5,5405.8,5461.2
5/8/2020,5378.7,5428,5378.5,5391.1
5/7/2020,5385.6,5388.3,5347.3,5364.2
5/6/2020,5403.9,5408.6,5345,5384.6
5/5/2020,5331,5407.1,5329.6,5407.1
5/4/2020,5246.6,5328.4,5169.6,5319.8
5/1/2020,5491.3,5491.3,5245.9,5245.9
4/30/2020,5414.2,5549.1,5411.4,5522.4
4/29/2020,5325,5393.4,5312.7,5393.4
4/28/2020,5325.4,5373.8,5272.8,5313.1
4/27/2020,5239,5329.4,5214.8,5321.4
4/24/2020,5216.7,5263.8,5207.5,5242.6
4/23/2020,5245.4,5282.6,5181.7,5217.1
4/22/2020,5203.4,5251.7,5100.7,5221.2
4/21/2020,5345.8,5347.9,5214.5,5221.3
4/20/2020,5486.3,5490.6,5353,5353
4/17/2020,5433.5,5563.6,5433.5,5487.5
4/16/2020,5433.1,5437.2,5345,5416.3
4/15/2020,5489,5533,5416.4,5466.7
4/14/2020,5387.4,5490.7,5360,5488.1
4/9/2020,5229.1,5387.3,5229.1,5387.3
4/8/2020,5235.8,5321,5121.9,5206.9
4/7/2020,5306.8,5423.1,5187,5252.3
4/6/2020,5077.8,5302.2,5076.9,5286.8
4/3/2020,5181,5246.8,5022.4,5067.5
4/2/2020,5227.7,5227.8,5065.2,5154.3
4/1/2020,5111.1,5272.3,5110.5,5258.6
3/31/2020,5196.1,5366.4,5005.8,5076.8
3/30/2020,4833.1,5181.4,4833.1,5181.4
3/27/2020,5142.8,5236.7,4842.4,4842.4
3/26/2020,5012.2,5174.4,5008.6,5113.3
3/25/2020,4813,5024.5,4796.8,4998.1
3/24/2020,4556.2,4735.7,4556.2,4735.7
3/23/2020,4753.9,4761,4402.5,4546
3/20/2020,4818.4,5016.1,4795.6,4816.6
3/19/2020,4976.7,5102.5,4741,4782.9
3/18/2020,5278.3,5280.2,4888.1,4953.2
3/17/2020,4999.2,5303.7,4997.3,5293.4
3/16/2020,5468.8,5468.8,5002,5002
3/13/2020,5242.9,5539.3,4873.7,5539.3
3/12/2020,5703.8,5706.2,5290,5304.6
