Date, Open, High, Low, Close
11/9/2020,2154.04,2340.58,2154.04,2316.97
11/6/2020,2175.72,2188.67,2151.78,2153.23
11/5/2020,2146.51,2199.43,2146.51,2175.83
11/4/2020,2144.47,2164.56,2111.2,2146.51
11/3/2020,2085.11,2153.34,2085.11,2144.63
11/2/2020,2058.15,2096.19,2058.15,2083.88
10/30/2020,2033.98,2057.48,1993.48,2054.96
10/29/2020,2052.36,2055.51,1999.23,2034.19
10/28/2020,2109.06,2109.06,2023.16,2053.38
10/27/2020,2193.61,2193.61,2113.8,2114.13
10/23/2020,2167.95,2205.63,2165.66,2193.74
10/22/2020,2175.04,2175.04,2143.32,2166.41
10/21/2020,2194.11,2204.29,2169.06,2175.04
10/20/2020,2191.08,2209.09,2177.28,2194.11
10/19/2020,2195.95,2215.1,2186.97,2193.15
10/16/2020,2177.67,2206.74,2175.46,2195.32
10/15/2020,2210.39,2210.53,2160.27,2176.91
10/14/2020,2193.38,2220.5,2191.99,2210.23
10/13/2020,2218.84,2219.76,2189.68,2193.72
10/12/2020,2215.52,2240.91,2212.17,2218.87
10/9/2020,2212.77,2229.26,2208.74,2214.62
10/8/2020,2174.48,2217.13,2174.48,2212.62
10/7/2020,2175.05,2191.64,2166.33,2173.79
10/6/2020,2129.25,2190.61,2127.21,2175.1
10/5/2020,2101.53,2143.12,2101.53,2141.1
10/2/2020,2090.39,2102.79,2073.83,2100.79
10/1/2020,2109.07,2129.09,2088.02,2090.27
9/30/2020,2095.45,2122.33,2080.52,2108.75
9/29/2020,2124.33,2129.92,2093.39,2096.03
9/28/2020,2086.51,2125.98,2086.51,2124.06
9/25/2020,2100.38,2119.33,2078.24,2083.02
9/24/2020,2108.13,2124.07,2081.45,2102.42
9/23/2020,2131.47,2163.92,2111.7,2111.7
9/22/2020,2127.09,2158.84,2116.72,2130.22
9/21/2020,2203.66,2203.66,2118.14,2125.31
9/18/2020,2242.23,2242.67,2200.57,2206.24
9/17/2020,2258.68,2258.72,2230.95,2242.95
9/16/2020,2236.85,2260.36,2234.67,2258.83
9/15/2020,2238.95,2259.33,2229.45,2236.85
9/14/2020,2232.98,2251.15,2232.28,2238.04
9/11/2020,2245.06,2245.06,2219.94,2232.62
9/10/2020,2251.82,2270.59,2239.53,2245.48
9/9/2020,2218.34,2259.15,2203.68,2252.36
9/8/2020,2251.91,2263.45,2212.01,2217.79
9/7/2020,2217.64,2276.82,2216.81,2251.66
9/4/2020,2215.09,2258.5,2206.52,2217.29
9/3/2020,2220.85,2258.44,2208.4,2215.17
9/2/2020,2220.26,2248.22,2209.01,2216.09
9/1/2020,2217.82,2231.27,2195.11,2219.48
8/31/2020,2253.91,2273.25,2216.93,2217.05
8/28/2020,2228.4,2263.42,2222.74,2253.26
8/27/2020,2248.89,2252.89,2222.05,2228.48
8/26/2020,2235.1,2261.25,2226.52,2248.68
8/25/2020,2247.58,2288.14,2234.56,2234.56
8/24/2020,2195.02,2252.16,2195.02,2247.21
8/21/2020,2199.99,2212.95,2177.68,2194.9
8/20/2020,2218.5,2218.5,2185.44,2199.91
8/19/2020,2212.42,2218.89,2195.68,2218.89
8/18/2020,2222.41,2241.01,2199.98,2212.52
8/17/2020,2246.36,2254.87,2223.54,2224.27
8/14/2020,2269.05,2269.6,2221.51,2246.32
8/13/2020,2287.11,2287.11,2262.67,2268.74
8/12/2020,2272.39,2299.29,2262.09,2287.58
8/11/2020,2219.87,2285.88,2215.39,2272.39
8/10/2020,2195.46,2225.06,2195.42,2224.13
8/7/2020,2193.55,2197.38,2164.69,2194.93
8/6/2020,2222.38,2229.68,2176.28,2193.84
8/5/2020,2192.79,2235.77,2189.86,2222.03
8/4/2020,2155.52,2203.05,2155.52,2193.16
8/3/2020,2123.86,2157.07,2116.39,2155.1
7/31/2020,2146.48,2189.16,2120.21,2123.55
7/30/2020,2207.88,2217.86,2129.45,2146.9
7/29/2020,2230.41,2247.6,2200.15,2208.05
7/28/2020,2248.52,2271.74,2224.03,2230.41
7/27/2020,2254.4,2257.29,2233.12,2247.47
7/24/2020,2295.28,2295.28,2245.24,2257.36
7/23/2020,2321.75,2329.73,2288.57,2296.87
7/22/2020,2338.46,2356.32,2309.61,2324.18
7/21/2020,2313.19,2364.27,2311.92,2338.46
7/20/2020,2313.33,2322.09,2288.39,2311.6
7/17/2020,2322.63,2326.43,2287.98,2313.3
7/16/2020,2332.35,2339.68,2310.07,2323.24
7/15/2020,2306.81,2348.58,2301.92,2332.35
7/14/2020,2302.14,2306.88,2272.6,2306.56
7/13/2020,2289.9,2319.49,2280.52,2301.7
7/10/2020,2266.2,2277.94,2246.34,2277.94
7/9/2020,2290.06,2311.23,2266.2,2266.2
7/8/2020,2316.38,2316.41,2279.72,2289.34
7/7/2020,2339.3,2339.3,2298.38,2317.36
7/6/2020,2272.95,2351.33,2272.95,2343.05
7/3/2020,2287.99,2296.22,2257.14,2272.78
7/2/2020,2254.79,2313.26,2254.79,2288.33
7/1/2020,2254.13,2254.13,2254.13,2254.13
6/30/2020,2251.18,2260.24,2221.52,2246.72
6/29/2020,2231.54,2251.77,2202.57,2247.8
6/26/2020,2249.73,2266.46,2226.2,2232.4
6/25/2020,2226.92,2253.28,2182.83,2249.61
6/24/2020,2311.54,2314.41,2224.11,2227.1
6/23/2020,2279.25,2330.91,2279.25,2309.91
6/22/2020,2319.47,2319.47,2270.8,2279.5
6/19/2020,2327.01,2348.47,2311.07,2318.6
6/18/2020,2341.28,2363.42,2312.31,2326.41
6/17/2020,2351.19,2382.21,2324.1,2340.75
6/16/2020,2288.26,2399.79,2288.26,2350.8
6/15/2020,2306.9,2306.9,2253.21,2284.06
6/12/2020,2271.03,2350.47,2231.51,2307.56
6/11/2020,2386.26,2386.26,2267.15,2270.52
6/10/2020,2451.47,2490.8,2377.65,2386.8
6/9/2020,2512.92,2530.63,2405.98,2451.14
6/8/2020,2480.87,2536.67,2463.64,2512.68
6/5/2020,2392.19,2493.04,2392.19,2485
6/4/2020,2367.23,2395.18,2335.37,2388.91
6/3/2020,2309.53,2369.4,2308.6,2366.48
6/2/2020,2232.06,2333.48,2232.06,2308.79
5/29/2020,2268.75,2268.76,2211.09,2232.3
5/28/2020,2253.25,2287.26,2236.69,2269.13
5/27/2020,2215.61,2275.5,2215.61,2250.95
5/26/2020,2153.45,2223,2153.45,2214.86
5/25/2020,2128.63,2162.56,2128.63,2152.79
5/22/2020,2100.05,2147.37,2067.52,2127.47
5/21/2020,2145.29,2146.96,2096.36,2099.53
5/20/2020,2114.08,2153.42,2081.64,2145.72
5/19/2020,2209.24,2226.84,2093.22,2114.22
5/18/2020,2132.18,2220.93,2132.18,2209.29
5/15/2020,2116.59,2157.4,2116.35,2130.85
5/14/2020,2164.45,2164.52,2089.78,2115.97
5/13/2020,2201,2202.47,2165.08,2165.08
5/12/2020,2226.93,2230.24,2192.65,2200.77
5/11/2020,2247.12,2264.12,2206.19,2226.31
5/8/2020,2225.37,2250.09,2220.99,2246.5
5/7/2020,2185.5,2227.67,2185.06,2224.57
5/6/2020,2196.44,2215.23,2180.81,2185.32
5/5/2020,2148.19,2223.38,2148.19,2197.97
5/4/2020,2226.13,2226.13,2130.79,2144.96
4/30/2020,2251.97,2293.67,2217.89,2227.15
4/29/2020,2164.62,2255.28,2164.62,2255.28
4/28/2020,2115.65,2184.77,2105.97,2164.62
4/27/2020,2094.54,2142.18,2094.54,2115.13
4/24/2020,2108.85,2116.58,2049.95,2094.12
4/23/2020,2040.87,2120.45,2040.87,2108.81
4/22/2020,1994.83,2041.67,1994.39,2039.23
4/21/2020,2061.12,2061.2,1991.91,1994.63
4/20/2020,2070.95,2102.64,2047.73,2061.1
4/17/2020,2012.66,2086.01,2012.66,2070.07
4/16/2020,2048.86,2114.45,2004.94,2006.75
4/15/2020,2173.23,2196.76,2027.61,2048.04
4/14/2020,2184.27,2244.69,2184.07,2172.34
4/9/2020,2115.01,2188.27,2115.01,2184.06
4/8/2020,2126.69,2142.54,2089.7,2114.34
4/7/2020,2050.12,2166.36,2050.12,2126.42
4/6/2020,1965.68,2072.83,1965.68,2046.55
4/3/2020,1981.87,1992.38,1958.38,1964.94
4/2/2020,1953.74,1992.78,1952.88,1981.68
4/1/2020,2000.23,2000.23,1934.14,1946.19
3/31/2020,1989.97,2059.59,1975.71,2001.6
3/30/2020,2000.86,2007.25,1932.9,1989.72
3/27/2020,2056.57,2059.21,1975.64,1997.8
3/26/2020,2018.14,2056.49,1980.09,2056.49
3/25/2020,2034.92,2186.3,1985.06,2017.93
3/24/2020,1881.7,2064.91,1881.7,2034.3
3/23/2020,1888.07,1924.99,1870.83,1880.82
3/20/2020,1706.56,1961.04,1706.56,1889.19
3/19/2020,1632.42,1749.73,1632.13,1705.9
3/18/2020,1767.25,1778.71,1622.95,1630.84
3/17/2020,1793.5,1873.45,1708.46,1768.57
