Date, Open, High, Low, Close
11/9/2020,3235.9,3404.7,3229.64,3394.66
11/6/2020,3191.33,3230.49,3183.22,3191.33
11/5/2020,3209.01,3227.49,3168.15,3209.01
11/4/2020,3205.12,3209.99,3099.75,3205.12
11/3/2020,3154.13,3156.59,3096.05,3154.13
11/2/2020,3077.58,3077.58,3019.83,3077.58
10/30/2020,3043.36,3054.17,3004.33,3043.36
10/29/2020,3036.59,3087.33,2998.54,3036.59
10/28/2020,3047.79,3119.6,3025.53,3047.79
10/27/2020,3153.02,3223.95,3146.23,3153.02
10/26/2020,3210.16,3250.62,3198.94,3210.16
10/23/2020,3246.45,3254.3,3201.93,3246.45
10/22/2020,3202.19,3202.19,3152.44,3202.19
10/21/2020,3201.24,3248.88,3199.97,3201.24
10/20/2020,3260.09,3285.77,3250.39,3260.09
10/19/2020,3262.3,3290.34,3253.65,3262.38
10/16/2020,3264.6,3272.89,3223.41,3264.6
10/15/2020,3242.06,3276.4,3225.11,3242.06
10/14/2020,3316.16,3337.43,3306.77,3316.16
10/13/2020,3320.47,3377.82,3314.7,3320.47
10/12/2020,3385.36,3405.08,3376.15,3385.36
10/9/2020,3387.35,3397.79,3370.75,3387.35
10/8/2020,3369.84,3384.8,3345.78,3369.84
10/7/2020,3325.72,3357.24,3323.18,3325.72
10/6/2020,3341.32,3350.67,3296.32,3341.32
10/5/2020,3293.89,3294.91,3271.62,3293.89
10/2/2020,3248.23,3248.23,3189.95,3248.23
10/1/2020,3236.79,3263.55,3228.19,3236.79
9/30/2020,3235.44,3263.86,3214.54,3235.44
9/29/2020,3234.9,3250.87,3226.55,3234.9
9/28/2020,3260.42,3260.42,3216,3260.42
9/25/2020,3163.67,3195.58,3134.9,3163.67
9/24/2020,3172.6,3207.2,3156.64,3172.6
9/23/2020,3215.63,3266.11,3215.63,3215.63
9/22/2020,3220.88,3260.26,3220.88,3220.88
9/21/2020,3234.31,3339.22,3230.9,3234.31
9/18/2020,3375.86,3399.78,3374.71,3375.86
