Date, Open, High, Low, Close
11/9/2020,16571.84,16715.72,16465.19,16475.86
11/6/2020,16373.32,16378.55,16236.62,16282.83
11/5/2020,16238.75,16318.58,16223.68,16298.17
11/4/2020,16046.39,16111.67,15894.24,15998.74
11/3/2020,15809.93,15975.85,15791.83,15939.15
11/2/2020,15684.83,15724.93,15569.43,15696.87
10/30/2020,15626,15632.32,15418.46,15580.64
10/29/2020,15625.18,15738.19,15514.59,15670.7
10/28/2020,15821.26,15835.1,15575.13,15586.57
10/27/2020,16090.14,16104.59,15999.24,16020.94
10/26/2020,16220.58,16224.22,15990.08,16079.55
10/23/2020,16315.46,16334.83,16228.6,16304.08
10/22/2020,16226.63,16294,16148.64,16279.36
10/21/2020,16247.69,16313.1,16203.03,16230.23
10/20/2020,16349.47,16369.91,16245.97,16273.26
10/19/2020,16482.75,16490.89,16261.82,16274.07
10/16/2020,16527.42,16549.69,16435.69,16438.75
10/15/2020,16303.57,16515.18,16289.96,16501.03
10/14/2020,16558.44,16575.41,16436.79,16455.4
10/13/2020,16568.86,16569.88,16449.83,16510.83
10/9/2020,16584.08,16611.02,16518.43,16562.81
10/8/2020,16490.63,16539.13,16481.57,16534.54
10/7/2020,16353.06,16443.91,16338.97,16428.3
10/6/2020,16470.44,16455.84,16205.54,16236.13
10/5/2020,16263.21,16418.62,16251.08,16410.19
10/2/2020,16010.86,16213.89,16005.7,16199.25
10/1/2020,16189.84,16228.45,16117.25,16184.54
9/30/2020,16235.04,16273.75,16090.6,16121.38
9/29/2020,16228.17,16232.58,16131.51,16211.52
9/28/2020,16227.03,16286.79,16185.06,16242.81
9/25/2020,15863.36,16088.83,15832.02,16065.35
9/24/2020,15746.38,15994.19,15724.95,15912.26
9/23/2020,16174.55,16195.01,15816.44,15817.11
9/22/2020,16044.78,16180.15,16000.5,16142.89
9/21/2020,15967.98,15981.77,15763.05,15981.77
9/18/2020,16299.2,16310.03,16174.34,16198.97
9/17/2020,16124.71,16294.32,16103.07,16246.72
9/16/2020,16494.83,16495.59,16295.66,16295.66
9/15/2020,16441.17,16515.21,16408.12,16431.27
9/14/2020,16307.58,16373.31,16295.08,16360.14
9/11/2020,16224.9,16316.79,16143.15,16222.46
9/10/2020,16438.82,16431.59,16153.18,16185.32
9/9/2020,16238.31,16432.74,16250.42,16383.6
9/8/2020,16047.38,16222.19,15956.04,16099.52
9/4/2020,16471.93,16507.2,16086.24,16218.01
9/3/2020,16666.49,16720.81,16386.28,16448.89
9/2/2020,16692.49,16725.68,16650.03,16697.97
9/1/2020,16536.54,16644.99,16462.73,16644.99
8/31/2020,16693.38,16685.48,16498.08,16514.44
8/28/2020,16806.55,16781.85,16681.39,16705.79
8/27/2020,16830.08,16835.09,16650.52,16731.49
8/26/2020,16646.72,16792.69,16611.41,16789.97
8/25/2020,16616.28,16654.94,16523.86,16617.48
8/24/2020,16611.79,16638.96,16573.19,16626.64
8/21/2020,16554.64,16546.28,16474.72,16517.85
8/20/2020,16522.72,16621.85,16490.64,16606.76
8/19/2020,16586.4,16653.99,16565.15,16577.38
8/18/2020,16720,16706.57,16579.02,16626.06
8/17/2020,16657.77,16663.01,16600.21,16656.12
8/14/2020,16469.74,16543.01,16454,16514.61
8/13/2020,16553.69,16587.67,16471.59,16530.06
8/12/2020,16629.24,16681.39,16565.04,16575.28
8/11/2020,16538.43,16640.44,16486.02,16497.01
8/10/2020,16616.7,16647.34,16534.95,16605.5
8/7/2020,16539.66,16567.27,16492.06,16544.48
8/6/2020,16549.21,16593.44,16496.81,16579.1
8/5/2020,16462.09,16507.32,16440.31,16501.61
8/4/2020,16227.17,16370.78,16172.64,16368.03
7/31/2020,16288.81,16288.81,16060.58,16169.2
7/30/2020,16094.93,16299.29,16020.55,16299.29
7/29/2020,16289.11,16317.89,16173.02,16294.66
7/28/2020,16143.49,16189.48,16085.26,16121.32
7/27/2020,16071.93,16165.84,16012.72,16161.33
7/24/2020,15972.38,16006.25,15928.42,15997.06
7/23/2020,16178.99,16186.91,15969.83,16018.65
7/22/2020,16174.84,16196.41,16107.73,16171.06
7/21/2020,16290.23,16317.42,16153.2,16162.96
7/20/2020,16111.5,16201.72,16112.27,16183.66
7/17/2020,16065.11,16142.67,16012.89,16123.48
7/16/2020,15965.98,16069.07,15957.77,16024.5
7/15/2020,15995.47,16130.58,15979.22,16063.33
7/14/2020,15595.57,15923.45,15573.51,15908.45
7/13/2020,15787.02,15879.73,15621.04,15639.41
7/10/2020,15582.21,15717.55,15546.3,15713.82
7/9/2020,15637.24,15649.14,15391.73,15568.64
7/8/2020,15637.91,15706.92,15533.09,15629.19
7/7/2020,15598.28,15717.72,15582.44,15595.5
7/6/2020,15767.95,15797.01,15643.36,15669.67
