Date, Open, High, Low, Close
11/9/2020,2625.86,2722,2625.86,2705.83
11/6/2020,2551.17,2626.15,2539.28,2625.86
11/5/2020,2423.14,2552.25,2423.14,2551.17
11/4/2020,2425.47,2448.49,2403.57,2423.14
11/3/2020,2459.69,2480.57,2415.04,2425.47
11/2/2020,2438.2,2484.08,2438.2,2459.69
10/30/2020,2467.62,2478.56,2431.54,2438.2
10/29/2020,2499.89,2504.68,2461.98,2467.62
10/28/2020,2547.03,2547.03,2487.66,2499.89
10/27/2020,2553.23,2584.67,2532.2,2547.03
10/26/2020,2623.81,2623.81,2549.88,2553.23
10/23/2020,2626.11,2639.97,2617.98,2623.81
10/22/2020,2606.38,2630.13,2589.97,2626.11
10/21/2020,2530.77,2606.58,2528.86,2606.38
10/20/2020,2502.43,2534.95,2502.43,2530.77
10/19/2020,2508.48,2533.73,2502.15,2502.43
10/16/2020,2523.05,2531.95,2500.34,2508.48
10/15/2020,2524.9,2542.97,2494.06,2523.05
10/14/2020,2518.21,2526.19,2508.38,2524.9
10/13/2020,2533.89,2543,2505.7,2518.21
10/9/2020,2515.16,2544.14,2505.05,2533.89
10/8/2020,2472.49,2515.21,2472.49,2515.16
10/7/2020,2495.48,2500.77,2467.18,2472.49
10/6/2020,2532.77,2537.66,2489.37,2495.48
10/5/2020,2526.02,2548.56,2524.25,2532.77
10/2/2020,2504.96,2531.51,2474.52,2526.02
10/1/2020,2506.22,2522.33,2493.52,2504.96
9/30/2020,2449.74,2506.22,2449.74,2506.22
9/29/2020,2477.34,2477.35,2438.95,2449.74
9/28/2020,2472.97,2502.67,2472.97,2477.34
9/25/2020,2460.99,2472.97,2455.08,2472.97
9/24/2020,2425.87,2475.58,2425.87,2460.99
9/23/2020,2504.55,2504.71,2420.41,2425.87
9/22/2020,2510.91,2534.44,2504.55,2504.55
9/21/2020,2570.02,2570.02,2508.69,2510.91
9/17/2020,2561.35,2570.02,2534.85,2570.02
9/16/2020,2564.56,2565.54,2547.28,2561.35
9/15/2020,2556.38,2574.36,2556.38,2564.56
