Date, Open, High, Low, Close
11/13/2020,3327.23,3327.23,3291.64,3310.1
11/12/2020,3344.46,3350.28,3329.49,3338.68
11/11/2020,3354.02,3365.84,3339.04,3342.2
11/10/2020,3387.62,3387.62,3346.17,3360.15
11/9/2020,3329.43,3380.82,3329.43,3373.73
11/6/2020,3326.46,3326.46,3292.15,3312.16
11/5/2020,3305.58,3320.41,3291.6,3320.13
11/4/2020,3273.43,3286.62,3254.11,3277.44
11/3/2020,3239.81,3278.38,3237.85,3271.07
11/2/2020,3228.72,3242.8,3209.91,3225.12
10/30/2020,3278.63,3279.86,3219.42,3224.53
10/29/2020,3235.76,3289.77,3231.12,3272.73
10/28/2020,3256.22,3275.87,3238.38,3269.24
10/27/2020,3240.74,3258.34,3235.54,3254.32
10/26/2020,3258.7,3264.45,3226.6,3251.12
10/23/2020,3308.16,3326.05,3276.62,3278
10/22/2020,3315.82,3320.88,3281.37,3312.5
10/21/2020,3332.15,3332.15,3304.17,3325.02
10/20/2020,3307.15,3328.1,3293.77,3328.1
10/19/2020,3351.1,3371.09,3307.84,3312.67
10/16/2020,3334.46,3348.95,3319.11,3336.36
10/15/2020,3342.92,3354.58,3330,3332.18
10/14/2020,3353.62,3353.62,3332.96,3340.78
10/13/2020,3353.12,3361.83,3334.5,3359.75
10/12/2020,3287.33,3359.15,3286.11,3358.47
10/9/2020,3262.61,3280.51,3260.19,3272.08
9/30/2020,3232.71,3244.91,3202.34,3218.05
9/29/2020,3231.86,3242.79,3219.79,3224.36
9/28/2020,3224.98,3238.18,3210.89,3217.53
9/25/2020,3234.37,3239.47,3208.03,3219.42
9/24/2020,3262.88,3265.35,3221.24,3223.18
9/23/2020,3278.84,3289.76,3264.89,3279.71
9/22/2020,3290.67,3320.23,3265.7,3274.3
9/21/2020,3348.9,3350.59,3313.07,3316.94
9/18/2020,3270.91,3338.32,3268.53,3338.09
9/17/2020,3277.32,3290.41,3248.5,3270.43
9/16/2020,3293.17,3302.46,3271.07,3283.92
9/15/2020,3277.13,3297.69,3263.75,3295.68
9/14/2020,3275.92,3283.53,3261.15,3278.81
9/11/2020,3225.78,3262.5,3220.54,3260.35
9/10/2020,3282.23,3285.47,3227.64,3234.82
9/9/2020,3281,3289.61,3238.56,3254.63
9/8/2020,3301.22,3324.39,3276.44,3316.42
9/7/2020,3349.92,3368.24,3285.63,3292.59
9/4/2020,3336.41,3360.11,3328.55,3355.37
9/3/2020,3404.03,3425.63,3374.26,3384.98
9/2/2020,3420.47,3421.4,3377.21,3404.8
9/1/2020,3389.74,3410.61,3381.71,3410.61
8/31/2020,3416.55,3442.74,3395.47,3395.68
8/28/2020,3346.29,3405.88,3339.65,3403.81
8/27/2020,3333.49,3351.83,3312.99,3350.11
8/26/2020,3371.81,3382.6,3320.14,3329.74
8/25/2020,3392.88,3408.87,3364.16,3373.58
8/24/2020,3391.11,3396.57,3368.03,3385.64
8/21/2020,3380.23,3393.92,3358,3380.68
8/20/2020,3385.96,3394.56,3352.78,3363.9
8/19/2020,3444.56,3454.46,3406.16,3408.13
8/18/2020,3441.93,3456.72,3432.64,3451.09
8/17/2020,3438.8,3450.9,3369.37,3438.8
8/14/2020,3315.67,3362.03,3302.74,3360.1
8/13/2020,3328.18,3338.15,3309.46,3320.73
8/12/2020,3327.49,3335.73,3263.27,3319.27
8/11/2020,3379.49,3409.06,3336.09,3340.29
8/10/2020,3341.53,3399.93,3335.04,3379.25
8/7/2020,3370.59,3374.13,3307.71,3354.04
8/6/2020,3380.76,3392.7,3334.33,3386.46
8/5/2020,3363.33,3383.64,3333.88,3377.56
8/4/2020,3376.44,3391.07,3352.5,3371.69
8/3/2020,3367.97,3368.1,3327.68,3367.97
7/31/2020,3280.8,3333.79,3261.61,3310.01
7/30/2020,3299.57,3312.45,3282.16,3286.82
7/29/2020,3221.99,3294.55,3209.99,3294.55
7/28/2020,3226.13,3245.3,3208.49,3227.96
7/27/2020,3210.39,3221.98,3174.66,3205.23
7/24/2020,3310.64,3319.13,3184.96,3196.77
7/23/2020,3306.15,3336.3,3257.83,3325.11
7/22/2020,3315.18,3381.98,3311.79,3333.16
7/21/2020,3330.55,3336.68,3300.57,3320.89
7/20/2020,3243.91,3314.15,3220.68,3314.15
7/17/2020,3214.4,3252.78,3181.27,3214.13
7/16/2020,3356.36,3373.53,3209.73,3210.1
7/15/2020,3422.08,3432.45,3345.75,3361.3
7/14/2020,3435.02,3451.22,3366.08,3414.62
7/13/2020,3379.39,3458.79,3369.04,3443.29
7/10/2020,3418.93,3433.11,3372.51,3383.32
7/9/2020,3403.48,3456.97,3393.64,3450.59
7/8/2020,3337.55,3421.53,3327.71,3403.44
7/7/2020,3380.95,3407.08,3336.24,3345.34
7/6/2020,3187.84,3337.27,3187.84,3332.88
7/3/2020,3103.99,3152.81,3103.99,3152.81
7/2/2020,3023.72,3092.44,3021.67,3090.57
7/1/2020,2991.18,3026.19,2984.98,3025.98
6/30/2020,2965.11,2990.83,2965.11,2984.67
6/29/2020,2973.08,2977.91,2951.77,2961.52
6/24/2020,2972.98,2982.94,2971.22,2979.55
6/23/2020,2960.89,2972.4,2949.85,2970.62
6/22/2020,2966.9,2983.44,2959.03,2965.27
6/19/2020,2938.79,2973.32,2935.82,2967.63
6/18/2020,2929.88,2942.9,2920.11,2939.32
6/17/2020,2932.67,2936.62,2919.04,2935.87
