Date, Open, High, Low, Close
11/9/2020,1430.93,1450.16,1371.52,1390.66
11/6/2020,1433.99,1433.99,1409.45,1418.01
11/5/2020,1409.03,1432.11,1409.01,1427.51
11/4/2020,1351.01,1394.89,1334.94,1394.89
11/3/2020,1348.72,1352.38,1337.87,1347.41
11/2/2020,1332.77,1339.93,1317.95,1335.78
10/30/2020,1330.34,1339.53,1322.49,1323.91
10/29/2020,1312.91,1349.89,1312.52,1340.77
10/28/2020,1339.16,1352.34,1315.08,1317.97
10/27/2020,1357.7,1360.89,1347.16,1349.7
10/26/2020,1363.02,1377.06,1352.35,1355.31
10/23/2020,1376.46,1384.18,1375.22,1378.47
10/22/2020,1383.64,1388.8,1375.32,1375.53
10/21/2020,1406.85,1406.85,1387.26,1387.26
10/20/2020,1406.02,1419.13,1405.97,1408.29
10/19/2020,1423.87,1425.96,1410.26,1410.26
10/16/2020,1414.63,1421.44,1408.34,1417.89
10/15/2020,1423.75,1425.55,1406.38,1408.78
10/14/2020,1438.94,1443.32,1431.59,1435.11
10/13/2020,1441.03,1444.52,1430.67,1440.57
10/12/2020,1416.67,1439.28,1413.87,1439.27
10/9/2020,1405.83,1412.38,1403.2,1409.83
10/8/2020,1385.08,1390.09,1378.99,1388.66
10/7/2020,1376.83,1387.42,1373.57,1376.09
10/6/2020,1385.73,1385.73,1371.82,1373.63
10/5/2020,1373.92,1384.47,1371.73,1384.47
10/2/2020,1365.14,1370.21,1358.95,1365.53
10/1/2020,1365.16,1377.93,1363.17,1373.22
9/30/2020,1361.74,1367.87,1359.2,1360.25
9/29/2020,1356.63,1371.06,1352.33,1366.96
9/28/2020,1346.81,1354.16,1346.36,1353.63
9/25/2020,1327.91,1335.42,1320.7,1335.42
9/24/2020,1332.35,1338.58,1326.35,1329.22
9/23/2020,1338.82,1347.97,1322.42,1347.03
9/22/2020,1336.47,1349.75,1324.89,1335.99
9/21/2020,1343.49,1346.24,1321.92,1331
9/18/2020,1347.43,1348.79,1341.95,1345.45
9/17/2020,1336.08,1347.8,1328.78,1345.88
9/16/2020,1333.64,1342.83,1333.64,1340.12
9/15/2020,1317.93,1337.92,1316.32,1330.96
9/14/2020,1318.91,1323.73,1309.23,1314.5
9/11/2020,1315.89,1320.92,1312.47,1315.16
9/10/2020,1322.57,1323.29,1311.14,1314.52
9/9/2020,1294.86,1325.49,1294.86,1321.83
9/8/2020,1314.21,1314.21,1281.21,1290.46
9/7/2020,1291.63,1313.46,1291.63,1310.55
9/4/2020,1315.6,1315.6,1277.77,1287.66
9/3/2020,1338.51,1344.38,1316.3,1316.3
9/2/2020,1318,1332.3,1315.64,1327.14
9/1/2020,1322.86,1329.68,1310.48,1310.48
8/31/2020,1315.67,1322.07,1314.05,1321.23
8/28/2020,1324.72,1324.96,1312.03,1314.52
8/27/2020,1333.93,1337.45,1322.57,1326.15
8/26/2020,1324.34,1333.79,1317.8,1331.79
8/25/2020,1320.63,1329.78,1319.37,1326.35
8/24/2020,1326.86,1335.24,1322.8,1323.36
8/21/2020,1316.3,1325.46,1309.75,1318.62
8/20/2020,1314.57,1319.2,1307.3,1310.24
8/19/2020,1305.33,1321.64,1303.33,1315.63
8/18/2020,1321.92,1322.37,1299.9,1304.93
8/17/2020,1310.63,1324.61,1309.01,1324.53
8/14/2020,1323.08,1325.37,1310.24,1310.24
8/13/2020,1319.89,1330.25,1315.01,1329.42
8/12/2020,1313.06,1328.38,1303.8,1328.36
8/11/2020,1303.98,1319.92,1298.96,1318.3
8/10/2020,1298.3,1299.55,1286.35,1290.66
8/7/2020,1280.49,1298.11,1279.89,1296.13
8/6/2020,1294.21,1300.73,1279.03,1279.88
8/5/2020,1289.49,1297.11,1287.31,1289.75
8/4/2020,1304.37,1308.74,1280.91,1289.08
8/3/2020,1280.77,1307.81,1279.65,1305.03
7/31/2020,1299.41,1313.25,1286.36,1287.22
7/30/2020,1302.67,1313.23,1290.36,1296.65
7/29/2020,1309.64,1313.08,1301.97,1303.53
7/28/2020,1308.78,1315.83,1304.63,1312.08
7/27/2020,1300.07,1312.05,1297.83,1310.84
7/24/2020,1314.68,1317.2,1300.48,1304.27
7/23/2020,1334.26,1339.95,1326.57,1326.64
7/22/2020,1340.05,1342.39,1329.36,1331.58
7/21/2020,1339.54,1349.73,1337.85,1341.52
7/20/2020,1317.36,1340.64,1315.76,1336.58
