Date, Open, High, Low, Close
11/9/2020,5036.92,5387.49,5021.33,5336.32
11/6/2020,4964.26,4997.74,4915.24,4960.88
11/5/2020,4956.02,4998.19,4942.18,4983.99
11/4/2020,4736.46,4926.56,4730.31,4922.85
11/3/2020,4743.86,4812.29,4730.23,4805.61
11/2/2020,4614.95,4705.11,4581.86,4691.14
10/30/2020,4519.37,4601.74,4519.37,4594.24
10/29/2020,4571.13,4606.72,4512.57,4569.67
10/28/2020,4635.19,4640.63,4521.61,4571.12
10/27/2020,4818.98,4818.98,4723.7,4730.66
10/26/2020,4844.64,4896.47,4814.99,4816.12
10/23/2020,4843.28,4934.71,4843.14,4909.64
10/22/2020,4830.44,4873.9,4783.65,4851.38
10/21/2020,4945.33,4945.33,4849.01,4853.95
10/20/2020,4932.87,4968.61,4914.49,4929.28
10/19/2020,4955.39,4993.39,4881.46,4929.27
10/16/2020,4904.1,4957.6,4875.76,4935.86
10/15/2020,4873.03,4881.31,4808.58,4837.42
10/14/2020,4956.69,4965.32,4928.43,4941.66
10/13/2020,4976.28,4976.58,4928.64,4947.61
10/12/2020,4952.47,4998.51,4944,4979.29
10/9/2020,4925.41,4954.02,4918.06,4946.81
10/8/2020,4910.49,4936.04,4877.1,4911.94
10/7/2020,4888.49,4915.63,4865.26,4882
10/6/2020,4881.8,4925.71,4850.36,4895.46
10/5/2020,4863.63,4876.86,4842.26,4871.87
10/2/2020,4769.43,4824.88,4757.22,4824.89
10/1/2020,4850.2,4871.83,4804.77,4824.04
9/30/2020,4793.19,4854.02,4782.69,4803.44
9/29/2020,4832.87,4846.63,4806.45,4832.07
9/28/2020,4806.14,4849.97,4788.18,4843.27
9/25/2020,4754.81,4758.05,4666.26,4729.66
9/24/2020,4746.1,4806.83,4744.04,4762.62
9/23/2020,4824.17,4871.45,4802.26,4802.26
9/22/2020,4809.57,4827,4772.84,4772.84
9/21/2020,4949.76,4949.76,4779.21,4792.04
9/18/2020,5035.94,5041.33,4978.18,4978.18
9/17/2020,5005.89,5053.32,4995.65,5039.5
9/16/2020,5065.75,5091.52,5029.56,5074.42
9/15/2020,5056.9,5087.99,5035.1,5067.93
9/14/2020,5071.87,5087.52,5034.91,5051.88
9/11/2020,5014.97,5053.63,4997.86,5034.14
9/10/2020,5039.48,5062.89,5005.84,5023.93
9/9/2020,4980.46,5058.35,4973.36,5042.98
9/8/2020,5052.88,5061.6,4935.38,4973.52
9/7/2020,4979.87,5064.64,4979.87,5053.72
9/4/2020,4974.69,5068.88,4928.79,4965.07
9/3/2020,5074.64,5131.39,4982.34,5009.52
9/2/2020,4969.62,5062.01,4959.64,5031.74
9/1/2020,4974.42,4993.56,4892.83,4938.1
8/31/2020,5041.34,5067.55,4942.18,4947.22
8/28/2020,5031.31,5031.53,4970.64,5002.94
8/27/2020,5052.26,5052.26,5005.46,5015.97
8/26/2020,4991.63,5050.1,4977.94,5048.43
8/25/2020,5023.06,5073.61,5008.27,5008.27
8/24/2020,4948.71,5013.7,4948.71,5007.89
8/21/2020,4927.61,4939.25,4839.08,4896.33
8/20/2020,4914.69,4937.95,4888.15,4911.24
8/19/2020,4934.79,4977.23,4917.53,4977.23
8/18/2020,4951.98,5001.29,4924.15,4938.06
8/17/2020,4972.59,4995.55,4937.72,4971.94
8/14/2020,5018.95,5018.95,4921.58,4962.93
8/13/2020,5055.42,5079.02,5037.55,5042.38
8/12/2020,5017.73,5096.53,5010.8,5073.31
8/11/2020,4952.41,5052.12,4949.05,5027.99
8/10/2020,4905.27,4937.63,4878.58,4909.51
8/7/2020,4873.1,4896.21,4843.9,4889.52
8/6/2020,4919.41,4951.86,4860.98,4885.13
8/5/2020,4916.96,4954.6,4907.41,4933.34
8/4/2020,4905.66,4920.8,4856.65,4889.52
8/3/2020,4797.06,4899.52,4763.6,4875.93
7/31/2020,4866.24,4902.9,4783.69,4783.69
7/30/2020,4952.08,4952.38,4801.02,4852.94
7/29/2020,4948.48,4978.5,4945.58,4958.74
7/28/2020,4930.1,4950.01,4893.63,4928.94
7/27/2020,4944.3,4957.77,4923.19,4939.62
7/24/2020,4973.73,4982.12,4925.41,4956.43
7/23/2020,5064.72,5083.97,5019.21,5033.76
7/22/2020,5098.48,5099.29,5028.48,5037.12
7/21/2020,5129.78,5172.98,5097.42,5104.28
