Date, Open, High, Low, Close
11/9/2020,12713.19,13297.05,12670.58,13095.97
11/6/2020,12531.74,12595.87,12370.08,12480.02
11/5/2020,12420.88,12591.3,12398.59,12568.09
11/4/2020,11896.11,12329.96,11848.21,12324.22
11/3/2020,11858.81,12088.98,11851.03,12088.98
11/2/2020,11602.91,11838,11551.36,11788.28
10/30/2020,11472.61,11614.13,11450.08,11556.48
10/29/2020,11631.07,11707.43,11458.56,11598.07
10/28/2020,11848.31,11852.02,11457.12,11560.51
10/27/2020,12206.42,12223.6,12034.8,12063.57
10/26/2020,12303.41,12404.51,12174.22,12177.18
10/23/2020,12517.98,12718.27,12514.99,12645.75
10/22/2020,12429.41,12583.02,12345.45,12543.06
10/21/2020,12764.45,12765.05,12545.59,12557.64
10/20/2020,12819.15,12850.29,12725.45,12736.95
10/19/2020,12948.63,13028.73,12820.26,12854.66
10/16/2020,12773.35,12955.86,12733.06,12908.99
10/15/2020,12826.13,12839.55,12599.82,12703.75
10/14/2020,13012.69,13066.44,12975.12,13028.06
10/13/2020,13132.9,13132.9,12959.7,13018.99
10/12/2020,13086.06,13151.8,13058.34,13138.41
10/9/2020,13070.04,13096.44,13009.98,13051.23
10/8/2020,13011.23,13100.85,12956.64,13042.21
10/7/2020,12901.29,12959.02,12837.11,12928.57
10/6/2020,12858.97,12966.09,12779.65,12906.02
10/5/2020,12824.05,12842.48,12727.75,12828.31
10/2/2020,12558.78,12690.25,12539.86,12689.04
10/1/2020,12812.08,12836.65,12671.23,12730.77
9/30/2020,12754.77,12869.96,12698.42,12760.73
9/29/2020,12817.79,12859.14,12738.3,12825.82
9/28/2020,12673.73,12873.4,12660.15,12870.87
9/25/2020,12615.91,12622.77,12341.58,12469.2
9/24/2020,12520.47,12684.8,12512.5,12606.57
9/23/2020,12737.32,12830.7,12642.97,12642.97
9/22/2020,12629.71,12698.12,12592.97,12594.39
9/21/2020,12998.9,12998.9,12505.16,12542.44
9/18/2020,13210.86,13263.44,13116.25,13116.25
9/17/2020,13060.18,13245.87,13035.94,13208.12
