Date, Open, High, Low, Close
11/9/2020,592.97,657.88,592.97,655.5
11/6/2020,589.99,590,583.55,588.1
11/5/2020,583.56,590.16,576.11,590.16
11/4/2020,583.02,590.2,581.22,588.24
11/3/2020,577.16,585.52,577.16,584.48
11/2/2020,569.29,581.26,567.14,572.88
10/30/2020,564.13,571.89,550.11,569.5
10/29/2020,591.48,591.48,557.72,564.93
10/27/2020,597.05,599.16,592.09,595.16
10/26/2020,608.69,609.37,591.62,595.97
10/23/2020,610.19,614.66,608.32,612.32
10/22/2020,617.71,617.92,607.75,608.9
10/21/2020,623.76,624.56,619.29,619.98
10/20/2020,618.57,624.48,615.08,623.27
10/19/2020,620.38,621.01,615.31,618.13
10/16/2020,618.68,624.29,618.68,620.18
10/15/2020,627.54,627.54,617.13,619.26
10/14/2020,637,639.77,630.25,632.81
10/13/2020,635.67,640.83,633.7,636.32
10/12/2020,647.45,647.45,636.19,637.39
10/9/2020,648.56,652.92,647.03,651.47
10/8/2020,644.21,652.03,643.22,648.56
10/7/2020,646.71,647.38,639.95,641.99
10/6/2020,634.22,644.54,633.51,644.35
10/5/2020,628.7,634.06,627.33,633.43
10/2/2020,629.21,629.76,622.9,625.67
10/1/2020,628.56,634.72,628.39,631.51
9/30/2020,621.65,627.3,618.5,624.75
9/29/2020,625.36,625.84,621.24,623.36
9/28/2020,623.35,631.43,623.35,625.2
9/25/2020,621.57,627.18,615.33,617.9
9/24/2020,618.3,622.18,614.62,619.96
9/23/2020,627.48,631.7,619.22,622.34
9/22/2020,631.59,635.87,624.6,624.62
9/21/2020,653.89,653.89,630.32,630.32
9/18/2020,661.61,664.22,654.36,658.54
9/17/2020,657.8,664.49,655.68,663.25
9/16/2020,663.26,667.32,660.23,661.19
9/15/2020,659.93,667.03,657.73,663.61
9/14/2020,641.09,661.66,640.84,661.13
9/11/2020,639.35,640.51,635.86,636.03
9/10/2020,632.9,638.09,630.61,637.95
9/9/2020,626.7,632.01,625.59,631.74
9/8/2020,640.54,640.88,623.52,627.56
9/7/2020,641.06,644.76,639.43,641.33
9/4/2020,643.1,644.72,638.57,639.29
9/3/2020,645.62,648.25,643.42,646.08
9/2/2020,642.17,646.37,641.02,644.2
9/1/2020,636.63,639.73,636.03,639.6
8/31/2020,635.22,641.6,633.96,633.98
8/28/2020,631.82,636.16,629.69,634.47
8/27/2020,634.45,637.64,631.4,633.09
8/26/2020,628.5,638.02,627.03,635.84
8/25/2020,634.74,636.76,625.11,629.34
8/24/2020,636.65,638.9,630.83,632.56
8/21/2020,637.81,640.94,629.68,633.27
8/20/2020,644.29,644.29,635.02,636.92
8/19/2020,643.83,648.38,642.23,646.27
8/18/2020,636.57,644.06,635.85,643.98
8/17/2020,633.83,638.71,632.59,637.12
8/14/2020,636.45,636.45,630.32,634.37
