Date, Open, High, Low, Close
11/9/2020,26157.77,26172.23,25950.41,26016.17
11/6/2020,25750.78,25799.97,25540.98,25712.97
11/5/2020,25500.91,25695.92,25343.44,25695.92
11/4/2020,24790,25093.72,24733.23,24886.14
11/3/2020,24689.56,25048.53,24689.51,24939.73
11/2/2020,24274.83,24486.02,24232.66,24460.01
10/30/2020,24535.9,24600.54,24029.95,24107.42
10/29/2020,24290.01,24678.9,24258.56,24586.6
10/28/2020,24773.54,24844.79,24586.06,24708.8
10/27/2020,24839.97,24872.52,24602.11,24787.19
10/23/2020,24773.12,24970.59,24683.25,24918.78
10/22/2020,24696.31,24817.01,24556.55,24786.13
10/21/2020,24695.54,24903,24653.16,24754.42
10/20/2020,24571.64,24600.39,24456.84,24569.54
10/19/2020,24565.43,24771.85,24478.47,24542.26
10/16/2020,24194.41,24456.97,24194.41,24386.79
10/15/2020,24533.75,24573.25,24102.21,24158.54
10/14/2020,24808.85,24808.85,24498.94,24667.09
10/12/2020,24217.25,24702.81,24196.8,24649.68
10/9/2020,24343.81,24343.81,24059.29,24119.13
10/8/2020,24263.33,24263.33,24021.93,24193.35
10/7/2020,23999.79,24243.91,23905.42,24242.86
10/6/2020,23895.21,24005.03,23842.25,23980.65
10/5/2020,24039.39,24039.39,23674.52,23767.78
9/30/2020,23548.89,23780.87,23368.49,23459.05
9/29/2020,23584.61,23601.4,23256.92,23275.53
9/28/2020,23284.09,23523.81,23250.34,23476.05
9/25/2020,23425.75,23495.26,23124.25,23235.42
9/24/2020,23537.83,23590.42,23225.33,23311.07
9/23/2020,23701.12,23795.19,23559.99,23742.51
9/22/2020,23839.67,23908.51,23675.62,23716.85
9/21/2020,24483.91,24542.55,23928.02,23950.69
9/18/2020,24381.13,24501.16,24295.01,24455.41
9/17/2020,24676.41,24713.79,24250.9,24340.85
9/16/2020,24823.96,24829.87,24635.24,24725.63
9/15/2020,24621.65,24826.87,24621.65,24732.76
9/14/2020,24569.03,24750.95,24556.52,24640.28
9/11/2020,24352.63,24572.66,24293.03,24503.31
9/10/2020,24584.94,24615.6,24293.21,24313.54
9/9/2020,24295.42,24520.92,24213.36,24468.93
9/8/2020,24785.26,24785.26,24341.32,24624.34
9/7/2020,24621.02,24908.29,24475.61,24589.65
9/4/2020,24668.8,24813.96,24488.64,24695.45
9/3/2020,25026.99,25216.02,24854.58,25007.6
9/2/2020,25239.86,25239.86,24931.17,25120.09
9/1/2020,25085.67,25254.14,24995.45,25184.85
8/31/2020,25732.49,25847.11,25177.05,25177.05
8/28/2020,25330.77,25749.4,25258.16,25422.06
8/27/2020,25469.77,25469.77,25186.42,25281.15
8/26/2020,25520.41,25603.17,25360.03,25491.79
8/25/2020,25586.99,25621.08,25352.26,25486.22
8/24/2020,25352.79,25551.58,25325.15,25551.58
8/21/2020,25007.13,25178.79,24885.86,25113.84
8/20/2020,25055.35,25055.35,24621.32,24791.39
8/19/2020,25359.03,25382.51,25079.25,25178.91
8/18/2020,25470.97,25470.97,25257.88,25367.38
8/17/2020,25212.28,25588.67,25163.29,25347.34
8/14/2020,25072.45,25378.53,25040.55,25183.01
8/13/2020,25490.02,25490.02,25144.46,25230.67
8/12/2020,24868.63,25291.8,24685.44,25244.02
8/11/2020,24662.04,25031.57,24662.04,24890.68
8/10/2020,24376.82,24536.01,24272.67,24377.43
8/7/2020,24909.37,24909.37,24167.79,24531.62
8/6/2020,25201.44,25201.44,24641.09,24930.58
8/5/2020,25029.39,25167.22,24868.29,25102.54
8/4/2020,24664.6,25062.41,24539.44,24946.63
8/3/2020,24566.81,24647.28,24250.98,24458.13
7/31/2020,24747.29,24938.85,24534.79,24595.35
7/30/2020,24979.24,25197.31,24616.05,24710.59
7/29/2020,24710.51,24905.44,24671.51,24883.14
7/28/2020,24942.74,24942.74,24642.35,24772.76
7/27/2020,24909.96,24972.46,24526.91,24603.26
7/24/2020,25040.76,25101.1,24598.46,24705.33
7/23/2020,25235.9,25346.36,24992.37,25263
7/22/2020,25575.25,25779.66,25057.94,25057.94
7/21/2020,25427.06,25635.66,25378.38,25635.66
7/20/2020,25019.6,25222.11,24766.17,25057.99
7/17/2020,25142.06,25263.97,25015.28,25089.17
7/16/2020,25549.4,25576.49,24919.95,24970.69
7/15/2020,25888.78,25888.78,25299.36,25481.58
7/14/2020,25663.16,25663.16,25254.32,25477.89
7/13/2020,25848.8,26103.84,25715.24,25772.12
7/10/2020,25931.78,26137.91,25570.36,25727.41
7/9/2020,26351.13,26374.94,26016.75,26210.16
7/8/2020,26078.61,26299.84,25849.78,26129.18
7/7/2020,26571.08,26782.62,25911.74,25975.66
7/6/2020,25545.54,26453.61,25543.15,26339.16
7/3/2020,25319.28,25453.58,25182.6,25373.12
7/2/2020,24563.57,25124.19,24563.57,25124.19
6/30/2020,24468.24,24598.61,24271.77,24427.19
6/29/2020,24627.64,24627.64,24148.62,24301.28
