Date, Open, High, Low, Close
11/9/2020,5371.97,5395.71,5319.42,5356.01
11/6/2020,5276.16,5335.53,5246.7,5335.53
11/5/2020,5161.39,5260.33,5161.39,5260.33
11/4/2020,5170.82,5188.01,5105.2,5105.2
11/3/2020,5133.98,5162.35,5131.95,5159.45
11/2/2020,5108.03,5130.69,5073.5,5115.13
10/27/2020,5133.54,5155.57,5110.62,5128.23
10/26/2020,5113.15,5158.27,5113.02,5144.05
10/23/2020,5112.79,5121.02,5095.51,5112.19
10/22/2020,5084.79,5093.82,5063.7,5091.82
10/21/2020,5116.79,5131.51,5083.66,5096.45
10/20/2020,5120.91,5135.08,5080.96,5099.84
10/19/2020,5116.76,5128.65,5090.78,5126.33
10/16/2020,5111.43,5115.56,5067.59,5103.41
10/15/2020,5172.59,5182.53,5105.15,5105.15
10/14/2020,5134.66,5177.93,5125.05,5176.1
10/13/2020,5093.42,5132.96,5064.17,5132.57
10/12/2020,5078.13,5103.5,5078.13,5093.1
10/9/2020,5036.48,5057.84,5029.15,5053.66
10/8/2020,5018.74,5039.14,5001.52,5039.14
10/7/2020,4976.57,5014.61,4962.09,5004.33
10/6/2020,5004.4,5023.89,4992.48,4999.22
10/5/2020,4947.04,4962.79,4915.69,4958.77
10/2/2020,4969.24,4972.82,4881.91,4926.73
10/1/2020,4899.64,4970.09,4899,4970.09
9/30/2020,4896.43,4903.86,4841.36,4870.04
9/29/2020,4929.33,4950.97,4859.79,4879.1
9/28/2020,4962.95,4991.76,4905.51,4906.55
9/25/2020,4867.96,4949.3,4848.02,4945.79
9/24/2020,4876.35,4897.34,4820.33,4842.76
9/23/2020,4946.5,4984.24,4873.02,4917.95
9/22/2020,4947.73,4978.44,4919.11,4934.09
9/21/2020,5058.99,5075.82,4987.75,4999.36
9/18/2020,5037.37,5072.68,5023.44,5059.22
9/17/2020,5058.95,5099.58,5013.19,5038.4
9/16/2020,5108.13,5117.29,5051.75,5058.48
9/15/2020,5169.24,5187.28,5091.29,5100.86
9/14/2020,5060.02,5161.83,5059.27,5161.83
9/11/2020,4804.64,5016.71,4754.8,5016.71
