Date, Open, High, Low, Close
11/9/2020,20011.16,20931.67,19960.64,20750.18
11/6/2020,19685.69,19822.39,19482.23,19681.68
11/5/2020,19490.11,19788.12,19479.86,19731.38
11/4/2020,18673.2,19394.94,18576.91,19358.28
11/3/2020,18535.94,18986.24,18508.16,18986.24
11/2/2020,17967.7,18400.25,17806.44,18400.03
10/30/2020,17682.77,17969.87,17669.8,17943.11
10/29/2020,17964.67,18082.38,17636.38,17872.28
10/28/2020,18296.58,18346.74,17843.04,17897.79
10/27/2020,19010.84,19010.84,18647.42,18654.95
10/26/2020,18942.2,19202.51,18919.27,18945.14
10/23/2020,19081.98,19364.74,19073.99,19285.41
10/22/2020,19085.95,19170.73,18855.9,19076.95
10/21/2020,19526.44,19527.96,19083.32,19085.95
10/20/2020,19322.8,19568.16,19245.36,19482.13
10/19/2020,19475.83,19585.04,19309.82,19374.21
10/16/2020,19203.28,19454.47,19036.86,19389.68
10/15/2020,19380.41,19384.8,18957.3,19065.44
10/14/2020,19576.12,19738.33,19515.61,19607.73
10/13/2020,19722.24,19730.44,19488.56,19558.69
10/12/2020,19642.88,19764.74,19558.99,19718.77
10/9/2020,19591.79,19683.02,19475.69,19595.38
10/8/2020,19536.2,19631.24,19461.96,19582.43
10/7/2020,19409.96,19473.35,19356.11,19435.08
10/6/2020,19332.52,19520.07,19194.99,19429.81
10/5/2020,19207.93,19270.13,19090.78,19265.51
10/2/2020,18834.12,19072.25,18815.39,19064.31
10/1/2020,19176.56,19270.92,18969.95,19061.5
9/30/2020,18885.65,19146.11,18873.36,19015.27
9/29/2020,19131.79,19222.13,18996.27,19061.18
9/28/2020,18952.96,19173.31,18902.6,19160.1
9/25/2020,18935.85,18938.3,18545.92,18698.36
9/24/2020,18652.54,19101.93,18620.95,18906.83
9/23/2020,19080.18,19231.99,18929.89,18929.89
9/22/2020,18945.14,19081.42,18802.93,18895.59
9/21/2020,19408.31,19439.71,18778.28,18793.35
9/18/2020,19684.72,19789.85,19510.27,19524.94
9/17/2020,19645.95,19810.54,19630.01,19739.73
9/16/2020,19982.35,20033.1,19803.26,19963.99
9/15/2020,19830.6,20043,19718.27,19956.95
9/14/2020,19942.65,19967.57,19725.23,19793.8
9/11/2020,19789.55,19875.86,19697.87,19820.75
9/10/2020,19786.43,19971.13,19691.76,19820.22
9/9/2020,19365.27,19792.23,19364.23,19771.32
9/8/2020,19807.53,19816.77,19201.99,19380.18
9/7/2020,19530.02,19756.89,19480.11,19738.01
9/4/2020,19466.42,19780.96,19254.92,19391.25
9/3/2020,20009.24,20140.84,19462.04,19551.48
9/2/2020,19713.31,20036.44,19672.43,19858.21
9/1/2020,19776.36,19870.67,19434.74,19595.02
8/31/2020,19971.94,20081.25,19616.32,19633.69
