Date, Open, High, Low, Close
11/9/2020,24568.84,24962.8,24541.28,24839.84
11/6/2020,24076.22,24389,24039.16,24325.23
11/5/2020,23776.2,24112.42,23756.78,24105.28
11/4/2020,23619.58,23801.88,23505.78,23695.23
11/2/2020,23110.74,23370.91,23096.79,23295.48
10/30/2020,23320.71,23320.71,22948.47,22977.13
10/29/2020,23170.76,23374.1,23170.76,23331.94
10/28/2020,23372.61,23451.03,23334.23,23418.51
10/27/2020,23376.96,23485.8,23232.31,23485.8
10/26/2020,23520.78,23572.6,23475.52,23494.34
10/23/2020,23558.71,23587.9,23469.13,23516.59
10/22/2020,23525.59,23555.78,23436.17,23474.27
10/21/2020,23615.52,23702.3,23611.33,23639.46
10/20/2020,23587.87,23674.87,23518.29,23567.04
10/19/2020,23543.69,23707.16,23543.69,23671.13
10/16/2020,23478.4,23538.74,23382.67,23410.63
10/15/2020,23548.45,23581.16,23458.43,23507.23
10/14/2020,23545.66,23656.7,23518.81,23626.73
10/13/2020,23667.9,23667.9,23490.95,23601.78
10/12/2020,23588.74,23597.91,23501.26,23558.69
10/9/2020,23713.86,23725.58,23552.73,23619.69
10/8/2020,23506.34,23701.77,23477.73,23647.07
10/7/2020,23272.45,23432.73,23272.45,23422.82
10/6/2020,23420.07,23441.16,23331.4,23433.73
10/5/2020,23254.28,23377.43,23252.69,23312.14
10/2/2020,23294.8,23365.58,22951.41,23029.9
10/1/2020,23184.93,23184.93,23184.93,23184.93
9/30/2020,23478.85,23522.38,23170.89,23185.12
9/29/2020,23410.5,23622.74,23347.64,23539.1
9/28/2020,23391.96,23516.04,23303.03,23511.62
9/25/2020,23217.33,23272.67,23154.66,23204.62
9/24/2020,23215,23234.72,23039.48,23087.82
9/23/2020,23245.89,23370.13,23154.45,23346.49
9/18/2020,23321.19,23398.46,23290.19,23360.3
9/17/2020,23416.62,23446.39,23272.23,23319.37
9/16/2020,23425.23,23506.45,23397.43,23475.53
9/15/2020,23438.83,23477.86,23351.35,23454.89
9/14/2020,23431.16,23582.21,23429.42,23559.3
9/11/2020,23114.63,23412.93,23114.63,23406.49
9/10/2020,23193.47,23250.31,23134.02,23235.47
9/9/2020,22966.89,23059.02,22878.71,23032.54
9/8/2020,23188.79,23277.66,23129.66,23274.13
9/7/2020,23145.47,23218.22,23086.89,23089.95
9/4/2020,23130.32,23257.69,23098.77,23205.43
9/3/2020,23524.49,23580.51,23426.11,23465.53
9/2/2020,23261.09,23287.4,23170.82,23247.15
9/1/2020,23089.63,23206.66,23047.77,23138.07
8/31/2020,23147.14,23342.32,23102.61,23139.76
8/28/2020,23232.3,23376.13,22594.79,22882.65
8/27/2020,23311.04,23323.07,23177.85,23208.86
8/26/2020,23257.05,23348.8,23203,23290.86
8/25/2020,23242.74,23431.04,23225.39,23296.77
8/24/2020,22913.2,23012.71,22862.54,22985.51
8/21/2020,23022.76,23135.43,22920.3,22920.3
8/20/2020,23003.58,23078.36,22851.83,22880.62
8/19/2020,22997.93,23149.85,22953.6,23110.61
8/18/2020,23097.8,23128.18,22948.89,23051.08
8/17/2020,23189.48,23248.75,23068.53,23096.75
8/14/2020,23323.92,23338.79,23222.85,23289.36
8/13/2020,23123.36,23316.69,23111.5,23249.61
8/12/2020,22747.44,22874.37,22670.74,22843.96
8/11/2020,22505.51,22760.87,22497.07,22750.24
8/7/2020,22433.78,22436.16,22204.61,22329.94
8/6/2020,22471.71,22587.75,22362.89,22418.15
8/5/2020,22479.72,22554.2,22356.25,22514.85
8/4/2020,22379.74,22603.82,22379.74,22573.66
8/3/2020,21947.58,22214.59,21919.83,22195.38
7/31/2020,22267.59,22295.05,21710,21710
7/30/2020,22489.24,22506.6,22334.71,22339.23
7/29/2020,22543.89,22584.87,22366.34,22397.11
7/28/2020,22735.02,22842.19,22646.22,22657.38
7/27/2020,22495.95,22741.13,22429.57,22715.85
7/22/2020,22791.75,22855.31,22732.92,22751.61
7/21/2020,22789.38,22925.58,22780.22,22884.22
7/20/2020,22772.07,22788.53,22580.19,22717.48
7/17/2020,22807.57,22857.82,22643.52,22696.42
7/16/2020,22907.96,22925.9,22739.42,22770.36
7/15/2020,22817.91,22965.56,22800.11,22945.5
7/14/2020,22631.87,22677.02,22538.78,22587.01
7/13/2020,22591.81,22784.74,22561.47,22784.74
7/10/2020,22534.97,22563.68,22285.07,22290.81
7/9/2020,22442.3,22679.08,22434.38,22529.29
7/8/2020,22481.61,22667.95,22438.65,22438.65
7/7/2020,22649.9,22742.28,22540.44,22614.69
7/6/2020,22341.27,22734.11,22325.75,22714.44
7/3/2020,22266.91,22312.44,22154.97,22306.48
7/2/2020,22182.68,22267.51,22072.11,22145.96
7/1/2020,22338.3,22360.31,22039.56,22121.73
6/30/2020,22335.1,22448.3,22273.38,22288.14
6/29/2020,22255.05,22281.38,21969.59,21995.04
6/26/2020,22424.37,22589.14,22408.27,22512.08
6/25/2020,22287.87,22423.41,22165.14,22259.79
6/24/2020,22541.01,22663.29,22479.86,22534.32
6/23/2020,22636.06,22693.89,22257.14,22549.05
6/22/2020,22353.69,22575.74,22311.94,22437.27
