Date, Open, High, Low, Close
11/9/2020,1524.32,1524.32,1524.32,1524.32
11/6/2020,1519.64,1519.64,1519.64,1519.64
11/5/2020,1501.49,1501.49,1501.49,1501.49
11/4/2020,1464.61,1464.61,1464.61,1464.61
11/3/2020,1461.45,1461.45,1461.45,1461.45
11/2/2020,1466.46,1466.46,1466.46,1466.46
10/30/2020,1466.89,1466.89,1466.89,1466.89
10/28/2020,1495.2,1495.2,1495.2,1495.2
10/27/2020,1500.35,1500.35,1500.35,1500.35
10/26/2020,1494.61,1494.61,1494.61,1494.61
10/23/2020,1494.64,1494.64,1494.64,1494.64
10/22/2020,1498.8,1498.8,1498.8,1498.8
10/21/2020,1492.4,1492.4,1492.4,1492.4
10/20/2020,1510.97,1510.97,1510.97,1510.97
10/19/2020,1518.11,1518.11,1518.11,1518.11
10/16/2020,1503.84,1503.84,1503.84,1503.84
10/15/2020,1513.95,1513.95,1513.95,1513.95
10/14/2020,1523.25,1523.25,1523.25,1523.25
10/13/2020,1525.2,1525.2,1525.2,1525.2
10/12/2020,1518.43,1518.43,1518.43,1518.43
10/9/2020,1530.35,1530.35,1530.35,1530.35
10/8/2020,1519.43,1519.43,1519.43,1519.43
10/7/2020,1489.56,1489.56,1489.56,1489.56
10/6/2020,1509.47,1509.47,1509.47,1509.47
10/5/2020,1512.43,1512.43,1512.43,1512.43
10/2/2020,1500.3,1500.3,1500.3,1500.3
10/1/2020,1496.77,1496.77,1496.77,1496.77
9/30/2020,1504.82,1504.82,1504.82,1504.82
9/29/2020,1503.9,1503.9,1503.9,1503.9
9/28/2020,1511.66,1511.66,1511.66,1511.66
9/25/2020,1509.14,1509.14,1509.14,1509.14
9/24/2020,1500.8,1500.8,1500.8,1500.8
9/23/2020,1496.48,1496.48,1496.48,1496.48
9/22/2020,1505.78,1505.78,1505.78,1505.78
9/21/2020,1499.43,1499.43,1499.43,1499.43
9/18/2020,1506.63,1506.63,1506.63,1506.63
9/17/2020,1513.07,1513.07,1513.07,1513.07
9/15/2020,1531.28,1531.28,1531.28,1531.28
9/14/2020,1511.36,1511.36,1511.36,1511.36
9/11/2020,1504.85,1504.85,1504.85,1504.85
9/10/2020,1490.12,1490.12,1490.12,1490.12
9/9/2020,1496.72,1496.72,1496.72,1496.72
9/8/2020,1519.32,1519.32,1519.32,1519.32
9/7/2020,1516.38,1516.38,1516.38,1516.38
9/4/2020,1515.86,1515.86,1515.86,1515.86
9/3/2020,1515.4,1515.4,1515.4,1515.4
9/2/2020,1537.54,1537.54,1537.54,1537.54
9/1/2020,1521.43,1521.43,1521.43,1521.43
8/28/2020,1525.21,1525.21,1525.21,1525.21
8/27/2020,1554.78,1554.78,1554.78,1554.78
8/26/2020,1549.58,1549.58,1549.58,1549.58
8/25/2020,1554.96,1554.96,1554.96,1554.96
8/24/2020,1568.58,1568.58,1568.58,1568.58
8/21/2020,1577.12,1577.12,1577.12,1577.12
8/19/2020,1575.38,1575.38,1575.38,1575.38
8/18/2020,1577.85,1577.85,1577.85,1577.85
8/17/2020,1560.74,1560.74,1560.74,1560.74
8/14/2020,1564.59,1564.59,1564.59,1564.59
8/13/2020,1576.42,1576.42,1576.42,1576.42
8/12/2020,1556.64,1556.64,1556.64,1556.64
8/11/2020,1564.74,1564.74,1564.74,1564.74
8/10/2020,1571.66,1571.66,1571.66,1571.66
8/7/2020,1578.14,1578.14,1578.14,1578.14
8/6/2020,1588.57,1588.57,1588.57,1588.57
8/5/2020,1568.13,1568.13,1568.13,1568.13
8/4/2020,1575.94,1575.94,1575.94,1575.94
8/3/2020,1572.61,1572.61,1572.61,1572.61
7/30/2020,1603.75,1603.75,1603.75,1603.75
7/29/2020,1611.42,1611.42,1611.42,1611.42
7/28/2020,1609.94,1609.94,1609.94,1609.94
7/27/2020,1591.48,1591.48,1591.48,1591.48
7/24/2020,1589.61,1589.61,1589.61,1589.61
7/23/2020,1606.42,1606.42,1606.42,1606.42
7/22/2020,1586.98,1586.98,1586.98,1586.98
7/21/2020,1595.93,1595.93,1595.93,1595.93
7/20/2020,1589.45,1589.45,1589.45,1589.45
7/17/2020,1596.33,1596.33,1596.33,1596.33
7/16/2020,1573.31,1573.31,1573.31,1573.31
7/15/2020,1585.56,1585.56,1585.56,1585.56
7/14/2020,1598.75,1598.75,1598.75,1598.75
7/13/2020,1606.43,1606.43,1606.43,1606.43
7/10/2020,1591.84,1591.84,1591.84,1591.84
7/9/2020,1583.25,1583.25,1583.25,1583.25
7/8/2020,1583.5,1583.5,1583.5,1583.5
7/7/2020,1566.72,1566.72,1566.72,1566.72
7/6/2020,1576.9,1576.9,1576.9,1576.9
7/3/2020,1552.65,1552.65,1552.65,1552.65
7/2/2020,1536.28,1536.28,1536.28,1536.28
7/1/2020,1514.43,1514.43,1514.43,1514.43
6/30/2020,1500.97,1500.97,1500.97,1500.97
6/29/2020,1494.43,1494.43,1494.43,1494.43
6/26/2020,1488.14,1488.14,1488.14,1488.14
6/25/2020,1489.2,1489.2,1489.2,1489.2
6/24/2020,1502.63,1502.63,1502.63,1502.63
6/23/2020,1507.04,1507.04,1507.04,1507.04
6/22/2020,1511.24,1511.24,1511.24,1511.24
6/19/2020,1507.26,1507.26,1507.26,1507.26
6/18/2020,1504.91,1504.91,1504.91,1504.91
6/17/2020,1526.32,1526.32,1526.32,1526.32
6/16/2020,1517.71,1517.71,1517.71,1517.71
6/15/2020,1498.83,1498.83,1498.83,1498.83
6/12/2020,1546.02,1546.02,1546.02,1546.02
6/11/2020,1557.25,1557.25,1557.25,1557.25
6/10/2020,1575.27,1575.27,1575.27,1575.27
6/9/2020,1575.16,1575.16,1575.16,1575.16
6/5/2020,1556.33,1556.33,1556.33,1556.33
6/4/2020,1561.84,1561.84,1561.84,1561.84
6/3/2020,1538.53,1538.53,1538.53,1538.53
