Date, Open, High, Low, Close
11/9/2020,39085.67,40228.73,39085.67,39652.52
11/6/2020,38401.6,38734.66,38356.13,38530.5
11/5/2020,37621.78,38426.33,37503.48,38399.07
11/4/2020,37582.15,37920.84,37408.5,37475.76
11/3/2020,37123.17,37632.03,36885.81,37466.09
10/30/2020,36691.01,37062.77,36662.12,36987.86
10/29/2020,37404.69,37409.39,36706.33,36801.37
10/28/2020,37811.91,37871.54,36984.28,37393.71
10/27/2020,38208.79,38244.31,37923.63,38001.31
10/26/2020,38718.84,38718.84,38125.3,38245.86
10/23/2020,38728.77,38989.03,38559.43,38707.72
10/22/2020,38693.15,38755.82,38392.48,38652.19
10/21/2020,38366.05,38830.6,38281.81,38669.25
10/20/2020,37726.46,38303.19,37694.19,38201.81
10/19/2020,37891.93,37993.83,37557.54,37655.45
10/16/2020,38030.81,38292.18,37834,37876.49
10/15/2020,37893.85,38111.95,37656.48,38059.23
10/14/2020,38139.98,38271.52,37915.33,38025.72
10/13/2020,38298.84,38315.94,38087,38131.78
10/12/2020,38574.89,38670,38287.45,38342.09
10/9/2020,38369.28,38718.43,38162.07,38478.58
10/8/2020,37440.66,38446.44,37380.15,38404.05
10/7/2020,37077.64,37457.78,36993.08,37418.79
10/6/2020,36777.28,37103.97,36684.45,36947.87
10/5/2020,36728.77,36952,36631.62,36740.33
10/2/2020,36434.61,36716.17,36313.74,36642.38
10/1/2020,37435.73,37440.34,36582.11,36626.11
9/30/2020,37145.91,37688.51,37098.34,37458.69
9/29/2020,37268.02,37268.02,36973.2,37134.92
9/28/2020,36904.89,37329.58,36825.35,37231.5
9/25/2020,36280.01,36626.64,35910.97,36583.71
9/24/2020,35780.33,36425.74,35772.02,36217.49
9/23/2020,35981.99,36119.32,35669.5,35829.58
9/22/2020,35537.43,35918.02,35428.86,35853.58
9/21/2020,35978.36,35978.36,35354.03,35517.77
9/18/2020,36255.88,36275.15,35972.03,36017.35
9/17/2020,36628.18,36628.18,36052.39,36130.92
9/15/2020,36983.2,37032.33,36691.87,36729.15
9/14/2020,36780.44,37030.82,36595.12,36881.99
9/11/2020,36258.07,36390.02,36110.65,36334.89
9/10/2020,36173.24,36372.97,35908.99,36180.74
9/9/2020,36115.24,36405.38,35915.42,36157.96
9/8/2020,36597.53,36597.55,35748.04,36071.43
9/7/2020,36492.2,36725.31,36466.45,36637.45
9/4/2020,36366.55,36576.82,35853.58,36448.5
9/3/2020,36984.44,37007.75,36384.69,36429.66
9/2/2020,37656.04,37656.04,36973.76,37053.77
9/1/2020,36893.82,37532.96,36744.78,37487.99
8/31/2020,37773.28,37805.24,36788.67,36840.73
8/28/2020,37590.68,37905.43,37555.98,37794.25
8/27/2020,37844.04,37917.14,37453.6,37647.19
8/26/2020,38229.45,38231.07,37706.19,37753.04
8/25/2020,37883.31,38321.32,37803.46,38249.9
8/24/2020,38189.67,38344.09,37971.66,38029.62
8/21/2020,38692.8,38692.8,38053.63,38095.88
8/20/2020,39019.21,39019.21,38534.83,38707.24
8/19/2020,39078.23,39212.4,38945.86,39021.92
8/18/2020,39337.65,39349.38,38875.96,39087.35
8/17/2020,38955.68,39317.24,38848.38,39285.85
8/14/2020,38629.49,39047.12,38452.68,38949.88
8/13/2020,38660.29,38758.74,38368.56,38615.62
8/12/2020,38901.13,38955.34,38603.45,38634.1
8/11/2020,38442.43,38947.32,38400.92,38703.59
8/10/2020,38098.12,38432,38043.91,38289.76
8/7/2020,38031,38104.03,37770.9,38005
8/6/2020,37982.06,38197.65,37722.19,37998.34
8/5/2020,37433.47,38339.18,37433.47,37901.96
8/4/2020,37611.64,37746.41,37374.36,37466.95
8/3/2020,37359.03,37735.87,37196.79,37546.72
7/31/2020,37255.8,37256.77,36667.5,37019.68
7/30/2020,37573.48,37636.79,36975.78,37136.78
7/29/2020,37794.7,37807.34,37381.65,37720.84
7/28/2020,37685.51,37852.54,37573.58,37771.21
7/27/2020,37390.23,37801.41,37191.97,37742.14
7/24/2020,37454.02,37455.84,37045.33,37357.46
7/23/2020,37564.96,37625.47,37244.49,37433.3
7/22/2020,36872.23,37498.33,36867.29,37447.1
7/21/2020,36378.78,37027.67,36378.78,36881.67
7/20/2020,36316.6,36398.27,36195.63,36323.69
7/17/2020,36553.71,36589.06,36172.99,36327.84
7/16/2020,36517.26,36533.56,36193.72,36465.67
7/15/2020,36427.84,36717.53,36427.84,36590.26
7/14/2020,36365.77,36365.77,35883.47,36190.91
7/13/2020,36602.77,36939.69,36321.59,36389.39
7/10/2020,36777.77,36777.77,36263.97,36465.46
7/9/2020,37500.19,37500.19,36740.43,36795.95
7/8/2020,38111.15,38112.42,37292.98,37483.88
7/7/2020,37843.96,38042.71,37696.67,37837.39
7/6/2020,38088.65,38190.87,37800.59,37884.76
7/3/2020,37877.13,37995.54,37710.41,37950
7/2/2020,37883.97,38416.96,37741.5,37894.08
7/1/2020,37636.23,37935.14,37532.28,37619.77
6/30/2020,37707.72,37874.47,37425.84,37716.43
6/29/2020,37629.8,37824.88,37446.52,37769.19
6/26/2020,37794.67,37794.67,37273.51,37431.95
6/25/2020,37857.73,37917.12,37651.9,37734.52
6/24/2020,38011.67,38037.37,37738.6,37908.38
6/23/2020,38451.01,38643.42,38157.62,38217.68
6/22/2020,38372.17,38372.17,37851.19,38123.56
6/19/2020,37839.54,38592.25,37782.98,38404.63
6/18/2020,37909.37,37909.37,37536.63,37632.89
