Date, Open, High, Low, Close
11/9/2020,581.11,599.2,580.09,593.93
11/6/2020,569.45,574.64,565.64,572.9
11/5/2020,570.7,573.75,569.52,571.6
11/4/2020,548.48,565.66,547.6,565.26
11/3/2020,547.05,555.57,546.7,554.48
11/2/2020,535.41,545.27,533.39,543.91
10/30/2020,529.22,536.21,529.11,533.88
10/29/2020,534.62,538.23,527.86,534.43
10/28/2020,539.69,541.13,529.17,534.09
10/27/2020,547.97,547.97,542.07,545.65
10/26/2020,545.97,551.9,545.6,545.95
10/23/2020,552.53,558.33,551.39,554.34
10/22/2020,554.94,557.17,549.66,554.2
10/21/2020,566.31,566.4,556.44,557.4
10/20/2020,565.65,566.73,562.37,564
10/19/2020,572.06,574.24,563.91,567.52
10/16/2020,564.4,570.83,562.84,568.18
10/15/2020,564.33,564.97,557.76,560.47
10/14/2020,572.23,574.35,569.85,571.98
10/13/2020,572.62,575.52,569.24,572.47
10/12/2020,568.82,573.84,568.78,572.31
10/9/2020,561.17,567.79,560.98,567.17
10/8/2020,557.83,561.61,554.82,559.94
10/7/2020,554.24,556.19,551.72,554.6
10/6/2020,559.77,559.81,553.63,555.38
10/5/2020,557.61,559.65,555.44,557.92
10/2/2020,545.32,553.12,542.82,553.12
10/1/2020,551.17,553.44,547.83,550.54
9/30/2020,546.51,551.88,545.68,547.7
9/29/2020,552,552.09,548.37,548.92
9/28/2020,547.91,553.19,545.28,551.67
9/25/2020,542.87,544.41,535.12,540.91
9/24/2020,537.14,544.41,536.86,541.11
9/23/2020,546.55,550.72,544.72,545.68
9/22/2020,538.85,545.89,538.2,540.78
9/21/2020,546,546.37,533.22,536.01
9/18/2020,553.5,555.54,550.14,550.85
9/17/2020,550.17,553.99,548.27,552.48
9/16/2020,556.25,559.99,556.03,558.43
9/15/2020,553.28,557.6,551.43,555.95
9/14/2020,556.25,557.64,551.78,552.44
9/11/2020,550.06,554.68,548.76,552.01
9/10/2020,553.04,553.88,548.41,550.5
9/9/2020,541.88,553.13,541.74,552.05
9/8/2020,547.38,548.48,534.65,540.79
9/7/2020,541.17,547.86,541.15,547.14
9/4/2020,545.49,552.34,535.21,540.27
9/3/2020,565.45,568.08,546.8,549.6
9/2/2020,555.34,565.57,554.71,561.27
9/1/2020,552.78,556.47,547.43,552.22
8/31/2020,559.83,561.92,548.7,549.2
8/28/2020,563.65,563.65,555.39,556.8
8/27/2020,567.75,568.21,562.41,562.41
8/26/2020,559.73,566.26,558.28,566.23
8/25/2020,563,565.91,559.65,559.81
8/24/2020,557.29,563.74,557.29,560.99
8/21/2020,552.73,554.9,545.01,551.37
8/20/2020,552.68,555.39,550.39,552.44
8/19/2020,557.79,560.34,556.5,560.23
8/18/2020,561.65,565.54,557.74,559.44
8/17/2020,562.01,563.98,558.08,562.94
8/14/2020,568.51,568.86,557.27,560.84
8/13/2020,572.77,573.23,569.18,569.95
8/12/2020,564.67,575.71,564.67,575.06
8/11/2020,561.75,569.09,561.07,565.56
8/10/2020,560.34,561.63,555.49,557.08
8/7/2020,555.75,561.38,554.88,559.57
8/6/2020,560.21,563.98,557.09,558.46
8/5/2020,563.3,566.3,562.09,563.05
8/4/2020,561.03,563.1,554.65,557.94
8/3/2020,546.52,559.03,544.96,557.73
7/31/2020,551.14,556.89,545.29,545.29
7/30/2020,564.67,564.67,543.63,549.2
7/29/2020,563.2,566.82,563.11,564.11
7/28/2020,566.79,568.02,561.9,566.33
7/27/2020,561.6,566.73,560.19,564.37
7/24/2020,568.08,568.14,560.54,563.95
7/23/2020,578.41,580.74,574.98,576.67
7/22/2020,578.4,579.21,571.35,572.9
7/21/2020,584.04,587.03,580.42,581.29
7/20/2020,573.48,580.46,569.46,579.14
7/17/2020,575.45,575.97,572.27,573.8
7/16/2020,573.86,574.57,569.66,573.94
7/15/2020,577.67,582.43,575.25,577.56
7/14/2020,571.44,572.51,566.37,572.51
7/13/2020,578.26,579.27,573.55,578.85
7/10/2020,565.28,571.92,564.71,570.52
7/9/2020,574.92,576.05,566.71,567.38
7/8/2020,573.76,578.27,570.87,572.18
7/7/2020,576.97,577.1,572.27,575.52
7/6/2020,579.62,580.21,573.79,578.52
7/3/2020,572.47,574.01,566.92,568.63
7/2/2020,566.93,571.24,564.45,570.75
7/1/2020,561.01,564.57,553.91,562.67
6/30/2020,563.34,564.76,555.58,559.73
6/29/2020,558.55,563.22,556.07,560.16
6/26/2020,564.98,569.23,559,559.82
6/25/2020,555.93,562.21,549.88,560.41
6/24/2020,571.41,572.54,557.33,557.33
6/23/2020,568.95,576.45,568.79,574.19
6/22/2020,562.28,571.5,561.42,565.07
6/19/2020,566.52,570.47,565.95,567.83
6/18/2020,564.68,569.63,560.7,562.61
6/17/2020,560.67,568.66,560.43,566.48
6/16/2020,553.17,564.35,551.76,560.01
6/15/2020,534.08,543.89,529.78,541.92
6/12/2020,536.81,550.96,535.35,545.16
6/11/2020,549.58,551.46,540.26,540.26
6/10/2020,564.6,567.27,558.21,559.28
6/9/2020,568.53,569.62,558.42,561.75
6/8/2020,567.44,572.08,563.56,566.2
6/5/2020,563.86,573.46,562.8,572.8
6/4/2020,557.89,563.87,555.95,559.13
6/3/2020,551.69,562.46,551.54,561.3
6/2/2020,543.04,547.99,541.41,546.12
6/1/2020,540.47,540.61,532.89,539.54
5/29/2020,533.73,536.94,529.98,532.57
5/28/2020,532.21,539.62,531,538.62
5/27/2020,532.42,533.4,523.26,528.96
5/26/2020,538.4,538.65,529.72,531.3
5/25/2020,528.72,533.56,526.23,532.82
5/22/2020,515.03,525.1,514.32,524.38
5/21/2020,524.22,529.46,522.14,522.81
5/20/2020,517.73,531.31,517.52,531.06
5/19/2020,525.2,525.2,515,520.45
5/18/2020,509.19,521.41,508.76,519.89
5/15/2020,507.07,508.33,499.21,500.31
5/14/2020,504.24,506.38,492.42,499.03
5/13/2020,513.45,518.07,510.35,512.19
5/12/2020,517.77,523.64,517.38,520.44
5/11/2020,522.95,525.11,515.53,520.33
5/8/2020,520.3,521.61,517.37,520.57
5/7/2020,508.86,516.26,508.2,516.26
5/6/2020,509.24,510.87,505.15,505.55
5/5/2020,503.85,511.01,499.74,509.83
5/4/2020,496.54,498.81,490.79,496.31
4/30/2020,527.31,528.69,511.76,512.92
4/29/2020,519.89,527.55,518.5,526.96
4/28/2020,512.91,521.57,512.15,519.97
4/27/2020,513.04,514.66,509.6,512.19
4/24/2020,503.56,511.96,502.42,504.94
4/23/2020,509.93,517.35,504.92,512.73
4/22/2020,500.67,510.32,499.63,509.62
4/21/2020,506.06,506.92,495.62,495.76
4/20/2020,508.03,512.76,502.12,512.76
4/17/2020,509.76,511.89,504.22,505.82
4/16/2020,498.54,499.52,492.76,496.08
4/15/2020,506.41,506.78,489.38,491.13
4/14/2020,512.17,513.54,505.82,507.74
4/9/2020,506.55,511.93,499.05,508.04
4/8/2020,496.19,500.71,491.49,500.71
4/7/2020,503.97,508.56,494.11,499.85
4/6/2020,486.26,491.68,482.69,489.82
4/3/2020,475.21,477.13,469.67,471.46
4/2/2020,473.98,482.66,468.12,478.28
4/1/2020,468.99,475.59,465.29,471.3
3/31/2020,480.9,486.04,475.48,483.44
3/30/2020,465.75,476.12,455.03,475.98
3/27/2020,471.16,474.37,458.03,464.93
3/26/2020,463.04,482.99,458.63,482.99
3/25/2020,471.44,482.53,454.59,475.4
3/24/2020,441.27,461.73,437.54,461.73
3/23/2020,411.79,437.15,410.08,423.72
3/20/2020,440.1,449.08,429.69,431.98
3/19/2020,403.71,425.16,398.46,422.75
3/18/2020,410.85,415.85,398.04,404.1
3/17/2020,431.65,432,401.46,424.26
3/16/2020,409.05,421.36,389.6,416.77
3/13/2020,451.76,466.84,425.22,432.85
3/12/2020,460.95,463.54,428.09,432.1
3/11/2020,493.37,497.66,482.19,484.16
3/10/2020,498.76,513.23,482.05,484.7
3/9/2020,506.95,506.95,485.73,490.66
3/6/2020,540.58,543.89,528.49,531.29
3/5/2020,561.42,562.26,547.81,552.54
3/4/2020,550.49,561.29,547.37,557.73
3/3/2020,551.5,561.49,548.03,550.22
3/2/2020,550.95,554.32,530.14,542.17
2/28/2020,541.44,543.65,531.18,539.38
2/27/2020,569.97,573.6,552.65,559.98
2/26/2020,577.81,583.6,565.29,581.78
2/25/2020,596.58,597.56,581.52,582.71
2/24/2020,601.82,602.99,588.4,593.3
2/21/2020,619.59,621.85,613.2,617.33
2/20/2020,628.88,629.16,622.12,622.12
2/19/2020,627.47,629.48,627.25,629.2
2/18/2020,623.1,626.68,622.76,625.43
2/17/2020,630.56,632.12,627.04,629.17
2/14/2020,629.14,630.55,627.49,629.23
2/13/2020,626.7,629.14,621.98,629.14
2/12/2020,624.79,629.11,624.52,629.03
2/11/2020,621.52,623.85,623.85,623.85
2/10/2020,615.03,617.1,614.06,617.1
2/7/2020,616.75,617.94,614.07,616.46
2/6/2020,617.29,619.21,616.99,618.75
2/5/2020,604.27,615.63,604,613.41
2/4/2020,596.26,605.52,596.09,605.4
2/3/2020,591.43,594.52,589.4,592.36
1/31/2020,601.53,601.95,589.44,589.5
1/30/2020,599.27,600.88,596.75,598.95
1/29/2020,602.99,606.2,602.26,605.22
1/28/2020,601.04,603.3,596.77,602.96
1/27/2020,605.91,607.4,597.83,598.69
1/24/2020,610.56,615.92,610.56,614.24
