Date, Open, High, Low, Close
11/10/2020,12562.2,12840.04,12556.93,12612.39
11/9/2020,12337.88,12569.75,12337.88,12562.2
11/6/2020,12250.87,12416.94,12250.87,12337.02
11/5/2020,12199.93,12295.52,12199.93,12249.98
11/4/2020,12130.31,12245.9,12116.55,12199.93
11/3/2020,12070.83,12141.38,12027.65,12130.31
11/2/2020,12084.47,12099.19,12010.05,12070.83
10/30/2020,12201.8,12223.45,12044.93,12084.47
10/29/2020,12264.52,12264.52,12098.6,12201.8
10/28/2020,12251.91,12331.98,12228.73,12264.52
10/27/2020,12470.34,12470.34,12251.91,12251.91
10/23/2020,12407.29,12470.34,12367.99,12470.34
10/22/2020,12432.61,12488.73,12356.01,12407.29
10/21/2020,12462.38,12502.89,12412.08,12432.61
10/20/2020,12385.25,12474.25,12385.25,12462.05
10/19/2020,12433.16,12462.61,12385.25,12385.25
10/16/2020,12486.73,12507.71,12423.51,12433.16
10/15/2020,12543.61,12545.33,12456.37,12486.73
10/14/2020,12453.85,12543.61,12431.17,12543.61
10/13/2020,12356.89,12454.57,12356.89,12453.85
10/12/2020,12280.54,12356.89,12280.54,12356.89
10/9/2020,12235.92,12312.69,12235.92,12280.54
10/8/2020,12016.15,12235.92,12016.15,12235.92
10/7/2020,11975.02,12016.15,11923.94,12016.15
10/6/2020,11898.26,11992.45,11890.81,11975.02
10/5/2020,11822.84,11898.26,11805.93,11898.26
10/2/2020,11812.73,11863.27,11785.66,11822.84
10/1/2020,11748.61,11828,11747.51,11812.73
9/30/2020,11742.09,11773.6,11676.3,11747.28
9/29/2020,11815.86,11876.67,11727.2,11742.09
9/28/2020,11797.08,11802.29,11564.34,11802.29
9/25/2020,11689.89,11797.08,11689.89,11797.08
9/24/2020,11711.48,11711.48,11630.3,11689.89
9/23/2020,11609.22,11716.73,11609.22,11704.62
9/22/2020,11539.1,11615.97,11504.32,11609.22
9/21/2020,11633.52,11663.88,11539.1,11539.1
9/18/2020,11838.95,11873.38,11633.52,11633.52
9/17/2020,11838.95,11873.38,11768.13,11777.13
9/16/2020,11771.29,11849.05,11771.29,11814.71
9/15/2020,11791.82,11848.34,11770.75,11770.75
9/14/2020,11759.78,11799.38,11754.93,11790.54
9/11/2020,11813.78,11813.78,11694.5,11748.03
9/10/2020,11745.89,11884.31,11745.89,11811.78
9/9/2020,11896.36,11896.36,11724.28,11739.11
9/8/2020,11859.45,11944.18,11859.45,11895.63
9/7/2020,11824.94,11861.97,11784.13,11859.45
9/4/2020,12055.93,12055.93,11817.32,11824.31
9/3/2020,11903.79,12055.05,11903.79,12055.05
9/2/2020,11794.59,11902.98,11794.59,11902.98
9/1/2020,11937.56,11978.01,11772.84,11793.16
8/31/2020,12093.52,12114.76,11937.56,11937.56
8/28/2020,12054.75,12093.52,11994.38,12093.52
8/27/2020,12031.51,12074.36,12031.51,12053.43
8/26/2020,12009.15,12031.51,11958.63,12031.51
8/25/2020,11921.07,12003.47,11921.07,11993.18
8/24/2020,11836.52,11926.56,11836.52,11921.07
8/21/2020,11662.16,11837.81,11662.16,11835.94
8/20/2020,11751.29,11777.37,11662.16,11662.16
8/19/2020,11849.13,11854.58,11698.69,11751.29
8/18/2020,11672.95,11899.53,11672.95,11849.13
8/17/2020,11452.14,11672.95,11452.14,11672.95
8/14/2020,11500.82,11523.28,11442.31,11452.14
8/13/2020,11645.32,11575.87,11491.6,11500.82
8/12/2020,11645.32,11645.32,11338.85,11491.91
8/11/2020,11683.44,11710.12,11632.9,11645.32
8/10/2020,11764.59,11780.19,11633.33,11683.44
8/7/2020,11764.59,11780.19,11631.29,11646.68
8/6/2020,11757.72,11779.8,11712.52,11764.59
8/5/2020,11771.72,11783.57,11713.82,11757.72
8/4/2020,11666.09,11794,11666.09,11771.72
8/3/2020,11727.63,11727.63,11629.05,11666.09
7/31/2020,11692.74,11727.63,11676.78,11727.63
7/30/2020,11599.44,11692.02,11599.44,11692.02
7/29/2020,11578.27,11627.83,11570.35,11599.44
7/28/2020,11585.62,11687.13,11578.27,11578.27
7/27/2020,11636.26,11636.26,11569.37,11585.62
7/24/2020,11693.41,11695.17,11600.67,11636.26
7/23/2020,11722.97,11757.14,11674.17,11693.41
7/22/2020,11736.73,11803.93,11722.97,11722.97
7/21/2020,11553.16,11746.25,11553.16,11736.73
7/20/2020,11584.05,11651.46,11530.99,11553.16
7/17/2020,11505.06,11600.87,11478.33,11584.05
7/16/2020,11610.52,11683.36,11476.88,11505.06
7/15/2020,11494.14,11613.34,11494.14,11610.52
7/14/2020,11434.79,11496.33,11425.74,11494.14
7/13/2020,11394.86,11491.52,11394.86,11434.79
7/10/2020,11440.88,11501.02,11374.21,11394.86
7/9/2020,11710.05,11710.05,11440.88,11440.88
7/8/2020,11743.73,11815.15,11647.47,11707.27
7/7/2020,11656.21,11761.63,11656.21,11743.73
7/6/2020,11567.31,11663.66,11541.87,11656.21
7/3/2020,11502.52,11639.94,11502.52,11558.7
7/2/2020,11350.27,11506.03,11350.27,11502.52
7/1/2020,11451.05,11488.91,11329.22,11350.27
6/30/2020,11253.41,11460.62,11253.41,11451.05
6/29/2020,11129.23,11252.54,11105.52,11252.54
6/26/2020,11264.52,11264.52,11105,11129.23
6/25/2020,11264.52,11264.52,11105,11124.36
6/24/2020,11132.58,11268.25,11132.58,11259.41
6/23/2020,11158.46,11259.94,11132.58,11132.58
6/22/2020,11254.74,11261.38,11123.38,11158.46
6/19/2020,11225.28,11297.31,11149.55,11254.74
6/18/2020,11335.35,11335.35,11166.6,11225.28
6/17/2020,10953.85,11334.31,10953.85,11334.31
6/16/2020,10864.12,11003.47,10864.12,10953.85
6/15/2020,10905.94,11043.6,10864.12,10864.12
6/12/2020,11154.93,11154.93,10646.09,10905.94
6/11/2020,11260.85,11260.85,11093.32,11154.93
6/10/2020,11301.67,11337.04,11216.53,11260.52
6/9/2020,11525.45,11590.54,11296.67,11298.69
6/8/2020,11171.66,11524.16,11171.66,11524.16
6/5/2020,11229.9,11278.58,11134.17,11171.66
6/4/2020,11118.27,11295.97,11118.27,11222.8
6/3/2020,11034.17,11142.35,11034.17,11118.27
6/2/2020,10883.18,11034.17,10883.18,11034.17
5/29/2020,10856.69,10931.64,10828.53,10882.41
5/28/2020,11049.19,11109.34,10856.69,10856.69
5/27/2020,10916.4,11057.91,10916.4,11049.19
5/26/2020,10662.63,10935.6,10770.13,10914.74
5/25/2020,10662.63,10803.32,10662.63,10775.8
5/22/2020,10731.55,10790.59,10653.03,10662.63
5/21/2020,10788.06,10840.76,10731.55,10731.55
5/20/2020,10757.94,10915.14,10718.16,10788.06
5/19/2020,10757.94,10915.14,10757.94,10790.14
5/18/2020,10730.68,10819.38,10730.68,10757.94
5/15/2020,10745.16,10820.98,10700.08,10730.68
5/14/2020,10788.91,10807.02,10721.38,10745.16
5/13/2020,10818.67,10818.67,10677.69,10788.03
5/12/2020,10760.29,10819.65,10734.25,10818.67
5/11/2020,10695.59,10764.05,10695.59,10760.29
5/8/2020,10649.23,10702.12,10649.23,10695.59
5/7/2020,10572.84,10649.23,10552.09,10649.23
5/6/2020,10490.73,10594.41,10490.73,10572.84
5/5/2020,10475.98,10553.57,10475.98,10490.73
5/4/2020,10449.01,10475.98,10279.28,10475.98
5/1/2020,10532.07,10596.86,10449.01,10449.01
4/30/2020,10666.19,10760.2,10532.07,10532.07
4/29/2020,10759.56,10787.99,10642.55,10666.19
4/28/2020,10419.48,10759.95,10419.48,10759.56
4/24/2020,10446.11,10487.95,10419.48,10419.48
4/23/2020,10417.67,10623.26,10417.67,10446.11
4/22/2020,10535.87,10535.87,10338.61,10417.67
4/21/2020,10762.67,10762.67,10533.96,10535.87
4/20/2020,10778.72,10889.74,10735.31,10762.67
4/17/2020,10473.19,10821.16,10473.19,10778.72
4/16/2020,10409.94,10558.69,10401.46,10473.19
4/15/2020,10159.02,10491.9,10159.02,10409.94
4/14/2020,9963.9,10180.67,9963.9,10159.02
4/9/2020,10031.66,10120.89,9953.04,9963.9
4/8/2020,9809.85,10031.66,9769.51,10031.66
