Date, Open, High, Low, Close
11/9/2020,908.96,952.05,908.96,950.68
11/6/2020,909.73,910.88,902.65,908.85
11/5/2020,905.52,911.02,902.78,909.72
11/4/2020,893.65,905.78,884.81,905.51
11/3/2020,888,899.25,887.4,893.65
11/2/2020,874.51,888.41,872.79,887.97
10/30/2020,872.95,874.42,865.69,874.42
10/29/2020,862.01,873.54,856.17,872.95
10/28/2020,889.39,889.39,862.01,862.01
10/27/2020,897.27,900.87,886.97,889.41
10/26/2020,925.5,925.5,897.25,897.33
10/23/2020,913.56,928.88,913.55,925.5
10/22/2020,923.41,923.77,909.92,913.56
10/21/2020,940.5,945.37,920.48,923.41
10/20/2020,947.23,951.82,940.49,940.5
10/19/2020,947.56,952.29,945.55,947.26
10/16/2020,937.92,952.45,937.92,947.55
10/15/2020,953.61,954.11,936.04,937.84
10/14/2020,950.32,955.51,947.73,953.61
10/13/2020,951.69,955.72,949.16,950.31
10/12/2020,952.04,956.96,951,951.7
10/9/2020,953.56,957.96,951.2,952.04
10/8/2020,946.12,954.54,946.12,953.56
10/7/2020,952.88,954.89,945.63,945.74
10/6/2020,943.02,954.4,942.96,952.86
10/5/2020,925.38,943.04,925.38,943.02
10/2/2020,924.64,925.56,916.17,925.37
10/1/2020,929.87,932.54,924.66,925.15
9/30/2020,926.43,930.54,918.02,929.85
9/29/2020,929.86,930.77,923.95,926.43
9/28/2020,917.42,929.92,917.37,929.84
9/25/2020,918.65,926.97,915.48,917.42
9/24/2020,928.12,928.12,913.78,918.64
9/23/2020,926.79,936.01,926.59,928.29
9/22/2020,915.5,931.16,915.43,927.05
9/21/2020,948.32,948.56,915.5,915.5
9/18/2020,947.92,948.85,942.25,948.32
9/17/2020,944.29,947.92,936.87,947.91
9/16/2020,941.53,947.87,940.9,944.29
9/15/2020,931.48,943.26,931.48,941.49
9/14/2020,933.97,941.41,931.13,931.48
9/11/2020,930.99,935.35,927.32,933.97
9/10/2020,932.48,937.17,928.13,930.97
9/9/2020,914.77,932.97,912.63,932.48
9/8/2020,930.07,933.14,911.72,914.77
9/7/2020,920.97,930.19,919.46,930.07
9/4/2020,928.82,930.01,913,920.97
9/3/2020,932.78,937.4,927.15,928.87
9/2/2020,936.58,941.42,930.21,932.73
9/1/2020,937,940.09,930.95,936.62
8/31/2020,940.86,949.74,935.17,937
8/28/2020,946.32,948.37,937.18,940.86
8/27/2020,949.23,951.31,944.38,946.32
8/26/2020,952.24,952.26,944.7,949.22
8/25/2020,955.35,963.33,951.66,952.23
8/24/2020,938.54,955.39,938.38,955.35
8/21/2020,939.35,944.21,932.67,938.56
8/20/2020,945.78,945.78,938.75,939.34
8/19/2020,944.73,947.49,941.92,945.78
8/18/2020,950.59,952.57,943.64,944.73
8/17/2020,950.94,955.12,948.53,950.58
8/14/2020,959.02,959.02,942.7,950.94
8/13/2020,957.26,961.61,953.57,959.02
8/12/2020,951.69,957.26,949.06,957.25
8/11/2020,935.93,956.63,935.93,951.69
8/10/2020,933.79,940.25,929.87,935.93
8/7/2020,935.5,935.73,927.56,933.78
8/6/2020,935.28,937.63,928.46,935.52
8/5/2020,924.78,935.88,924.74,935.28
8/4/2020,917.65,924.79,916.19,924.78
8/3/2020,901.75,917.66,900.83,917.65
7/31/2020,895.77,910.53,895.74,901.74
7/30/2020,919.48,919.53,895.77,895.77
7/29/2020,917.09,919.93,910.62,919.48
7/28/2020,919.29,921.69,914.58,917.16
7/27/2020,921.31,925.85,914.37,919.29
7/24/2020,922.19,922.66,909.1,921.31
7/23/2020,927.88,932.29,921.86,922.26
7/22/2020,935.85,939.97,921.69,927.88
7/21/2020,923.97,944.97,923.96,935.82
7/20/2020,920.17,925.97,915.73,923.96
7/17/2020,913.78,921.25,913.78,920.17
7/16/2020,916.79,916.85,908.66,913.59
7/15/2020,899.68,916.79,899.68,916.79
7/14/2020,895.44,899.83,891.12,899.68
7/13/2020,876.26,897.17,876.26,895.44
7/10/2020,874.98,878.07,865.16,876.26
7/9/2020,884.78,887.15,874.82,874.98
7/8/2020,883.88,885.15,877.55,884.77
7/7/2020,884.51,885.27,876.64,883.88
7/6/2020,876.4,889.15,876.4,884.59
7/3/2020,883.41,885.15,875.54,876.38
7/2/2020,877.57,885.81,873.96,883.41
7/1/2020,869.08,878.41,867.34,877.57
6/30/2020,874.82,877.26,866.27,869.08
6/29/2020,869.7,875.1,863.54,874.82
6/26/2020,877.02,882.96,869.69,869.72
6/25/2020,880.42,880.42,863.81,877
6/24/2020,890.84,892.64,880.31,880.42
6/23/2020,883.36,898.35,883.36,890.84
6/22/2020,892.16,892.18,881.77,883.34
6/19/2020,888.71,900.08,888.68,892.17
6/18/2020,896.69,898,887.08,888.71
6/17/2020,903.78,908.67,896.52,896.69
6/16/2020,879.45,905.23,879.45,903.72
6/15/2020,897.1,897.1,866.02,879.41
6/12/2020,890.9,902.57,871.98,897.72
6/11/2020,921.2,921.2,889.39,890.9
6/10/2020,923.23,932.64,917.5,921.23
6/9/2020,942.32,947.6,922.75,923.23
6/8/2020,931.8,948.79,931.61,942.32
6/5/2020,910.76,934.24,910.76,931.78
6/4/2020,909.21,911.53,899.6,910.76
6/3/2020,892.3,909.91,892.29,909.21
6/2/2020,872.36,892.59,872.36,892.3
5/29/2020,885.88,885.98,868.91,872.22
5/28/2020,888.23,891.16,883.13,885.88
5/27/2020,886.28,894.62,882.29,888.27
5/26/2020,874.24,886.66,874.24,886.26
5/25/2020,855.76,874.24,855.76,874.24
5/22/2020,869.19,869.19,847.93,855.75
5/20/2020,858.1,869.2,852.36,869.19
