Date, Open, High, Low, Close
11/9/2020,6665.08,6685.85,6619.59,6685.85
11/6/2020,6686.13,6709.73,6571,6685.69
11/5/2020,6477.16,6702.75,6477.16,6644.77
11/4/2020,6374.47,6464.05,6334.09,6464.05
11/3/2020,6282.89,6358.42,6250.87,6335.56
10/30/2020,6233.6,6328.38,6202.9,6324
10/29/2020,6326.31,6326.31,6248.48,6249.39
10/28/2020,6413.6,6415.03,6377.79,6377.79
10/27/2020,6467.45,6467.45,6381.19,6415.08
10/26/2020,6496.19,6517.26,6453.2,6491.19
10/23/2020,6370.92,6484.45,6370.92,6484.06
10/22/2020,6309.87,6344.63,6241.31,6344.63
10/21/2020,6146.04,6290.68,6146.04,6278.59
10/20/2020,6022.61,6133,6018.33,6112.71
10/19/2020,5913.78,6019.26,5913.78,6019.26
10/16/2020,5921.34,5939.62,5898.47,5898.47
10/15/2020,5930.43,5950.5,5919.55,5938.33
10/14/2020,5923.92,5933.83,5913.01,5925.3
10/13/2020,5938.61,5946.07,5920.77,5923.23
10/12/2020,5935.4,5954.47,5910.73,5937.05
10/9/2020,5943.71,5943.71,5908.52,5931.61
10/8/2020,5888.45,5942.66,5825.48,5942.66
10/7/2020,5904.91,5904.91,5845.68,5867.88
10/6/2020,5938.41,5949.67,5850.85,5910.64
10/5/2020,6005.58,6010.76,5938.95,5938.95
10/2/2020,5942.15,5999.4,5924.86,5999.4
10/1/2020,5881.9,5944.87,5857.38,5944.87
9/30/2020,5863.5,5878.53,5849.5,5864.23
9/29/2020,5878.28,5878.32,5841.6,5841.6
9/28/2020,5870.52,5872.19,5846.23,5861.39
9/25/2020,5842.81,5880.18,5829.66,5838.66
9/24/2020,5888.2,5888.2,5845.8,5845.8
9/23/2020,5900.88,5903.58,5876.78,5892.72
9/22/2020,5893.19,5894.28,5837.03,5894.28
9/21/2020,5913.6,5925.31,5879.76,5909.32
9/18/2020,5945.25,5952.1,5886.37,5908.9
9/17/2020,5946.05,5946.05,5886.33,5943.52
9/16/2020,5996.99,5996.99,5943.92,5946.62
9/15/2020,5989.44,6018.21,5947.85,6018.21
9/14/2020,5954.23,5997.14,5934.47,5997.14
9/11/2020,5906.94,5967.96,5888.36,5967.96
9/10/2020,5955.55,5973.59,5902.39,5902.39
9/9/2020,6000.16,6000.16,5932.84,5932.84
9/8/2020,5917.54,6034.03,5908.47,6034.03
9/7/2020,5787.7,5935.85,5772.01,5935.85
9/4/2020,5750.16,5785.09,5695.78,5785.09
9/3/2020,5751.14,5775.97,5723.46,5772.86
9/2/2020,5820.7,5820.7,5703.59,5738.39
9/1/2020,5922.06,5946.22,5799.24,5799.24
8/28/2020,5917.71,5931.39,5872.26,5884.18
8/27/2020,5930.04,5950.53,5919.74,5921.55
8/26/2020,5935.83,5935.83,5895.7,5931.33
8/25/2020,5934.26,5962.89,5893.14,5953.44
8/24/2020,5997.55,5997.55,5925.8,5943.58
8/20/2020,6058.35,6064.09,5962.64,6005.4
8/19/2020,6167.13,6167.13,6042.12,6042.12
8/18/2020,6098.08,6156.45,6058.98,6156.45
8/17/2020,6081.11,6081.11,6012.14,6068.78
8/14/2020,6069.67,6076.91,6014.78,6076.91
8/13/2020,6015.26,6097.78,6010.6,6097.78
8/12/2020,5980.49,5995,5966.97,5995
8/11/2020,5934.91,5984.35,5913.59,5953.94
8/10/2020,5853.12,5930.92,5832.6,5930.92
8/7/2020,5906.87,5906.87,5834.86,5846.02
8/6/2020,5860.36,5902.58,5819.37,5902.58
8/5/2020,5812.22,5888.85,5803.58,5833.58
8/4/2020,5691.74,5802.49,5691.74,5775.5
8/3/2020,5816.23,5816.23,5695.53,5715.92
7/30/2020,5968.13,5968.13,5928.45,5928.45
7/29/2020,5923.1,5966.27,5870.83,5966.27
7/28/2020,5849.83,5939.6,5799.11,5927.11
7/27/2020,5985.24,5985.24,5858.28,5860.94
7/24/2020,6002.2,6024.65,5968.72,6003.26
7/23/2020,6076.9,6076.9,5915.83,6029.01
7/22/2020,6138.38,6149.2,6064.26,6064.26
7/21/2020,6114.09,6152.06,6095.74,6136.31
7/20/2020,6112.58,6150.7,6070.19,6150.7
7/17/2020,6116.2,6141.23,6032.3,6088.75
7/16/2020,6034.76,6147.66,6034.76,6147.66
7/15/2020,6166.32,6166.32,6010.88,6016.51
7/14/2020,6158.4,6178.68,6135.29,6172.81
7/13/2020,6187.78,6187.78,6151.11,6172.57
7/10/2020,6157.47,6197.38,6098.53,6197.38
7/9/2020,6282.43,6282.43,6192.58,6192.58
7/8/2020,6265.43,6287.74,6227.74,6285.5
7/7/2020,6349.12,6349.61,6267.4,6267.4
7/6/2020,6378.29,6381.06,6299.98,6328.41
7/3/2020,6383.37,6398.79,6322.92,6372.66
7/2/2020,6211.51,6382.6,6183.03,6364.08
7/1/2020,6223.54,6223.54,6139.44,6209.71
6/30/2020,6134.49,6207.72,6131.22,6207.72
6/29/2020,6125.57,6125.57,6040.43,6105.18
6/26/2020,6137.61,6191.84,6092.01,6191.84
6/25/2020,6156.79,6162.22,6109.22,6118.26
6/24/2020,6304.33,6306.21,6188.83,6188.83
6/23/2020,6324.52,6324.52,6258.37,6297.78
6/22/2020,6316.2,6347.43,6249.47,6347.43
6/19/2020,6293.18,6375.03,6260.18,6315.07
6/18/2020,6258.88,6348.45,6205.25,6348.45
6/17/2020,6348.88,6352.9,6278.02,6282.01
6/16/2020,6226.96,6316.23,6197.29,6281.75
6/15/2020,6340.32,6340.32,6163.82,6163.82
6/11/2020,6398.19,6476.24,6263.2,6476.24
6/10/2020,6551.32,6551.32,6349.2,6439.37
6/9/2020,6527.36,6583.84,6438.97,6583.84
6/8/2020,6487.76,6551.26,6430.72,6514
6/5/2020,6452.64,6465.13,6299.83,6465.13
6/4/2020,6231.56,6517.49,6231.56,6517.49
6/3/2020,6064.67,6245.65,6062.05,6245.65
6/2/2020,5933.43,6043.09,5930.05,6025.17
6/1/2020,5791.32,5931.65,5750,5930.17
5/29/2020,5600.72,5838.84,5600.72,5838.84
5/28/2020,5533.22,5574.22,5492.09,5570.22
5/27/2020,5499.97,5523.78,5423.78,5523.78
5/26/2020,5526.99,5533.65,5396.13,5496.83
5/22/2020,5600.96,5600.96,5535.65,5539.19
5/21/2020,5582.27,5613.9,5557.08,5604.49
5/20/2020,5568.4,5581.96,5518.52,5581.96
5/19/2020,5543.59,5571.4,5537.02,5555.85
5/18/2020,5557.99,5557.99,5466.88,5479.35
5/15/2020,5659.12,5664.25,5541.95,5541.95
5/14/2020,5612.97,5654.7,5556.81,5654.7
5/13/2020,5656.19,5661.18,5607.77,5626.25
5/12/2020,5667.42,5668.36,5633.82,5651.67
5/11/2020,5641.53,5681.68,5627.19,5667.93
5/8/2020,5674.47,5696.31,5621.94,5621.94
5/7/2020,5661.95,5670.34,5599.82,5653.16
5/6/2020,5689.78,5702.58,5594.81,5639.27
5/5/2020,5610,5703.96,5603.4,5671.67
5/4/2020,5601.39,5601.39,5502.05,5572.09
4/30/2020,5695.13,5716.88,5654.96,5700.71
4/29/2020,5589.27,5656.01,5556.23,5643.97
4/28/2020,5470.83,5574.98,5466.47,5574.98
4/27/2020,5493.21,5493.21,5390.97,5450.45
4/24/2020,5622.76,5622.76,5464.98,5464.98
4/23/2020,5631.84,5672.08,5599.55,5599.55
4/22/2020,5517.67,5577.91,5461.94,5573.75
4/21/2020,5704.3,5704.3,5571.08,5592.25
4/20/2020,5813.93,5816.9,5704.2,5733.65
4/17/2020,5704.4,5789.97,5694.94,5789.97
4/16/2020,5828.76,5828.76,5525.6,5525.6
4/15/2020,5824.76,5946.05,5807.68,5946.05
4/14/2020,5657.76,5780.88,5640.85,5780.88
4/13/2020,5551.96,5610.98,5521.49,5610.98
4/8/2020,5593.71,5593.71,5498.54,5510.83
4/7/2020,5694.68,5713.63,5597.98,5650.01
4/6/2020,5380.51,5570.81,5345.94,5570.81
4/3/2020,5370.85,5372.7,5315.4,5346.97
4/2/2020,5280.13,5342.31,5247.57,5342.31
4/1/2020,5321.79,5408.52,5290.85,5408.52
3/31/2020,5227.37,5340.09,5226.27,5321.23
3/30/2020,5234.99,5234.99,4984.79,5131.16
3/27/2020,5493.58,5641.94,5266.62,5266.62
3/26/2020,5128.27,5401.58,5076.26,5401.58
3/25/2020,5006.76,5073.58,4964,5027.76
3/24/2020,4817.06,4864.86,4771.78,4774.27
3/20/2020,4761.89,4936.2,4677.66,4778.76
3/19/2020,4673.58,4751.72,4039.15,4623.42
3/16/2020,5506.96,5533.17,5335.37,5335.37
3/13/2020,5793.94,5878.4,5097.9,5793.94
3/12/2020,6235.85,6235.85,5697.13,5736.27
3/11/2020,6384.28,6495.71,6336.68,6353.26
3/10/2020,6165.82,6387.53,6103.75,6318.38
3/9/2020,6575.54,6575.54,6312.61,6312.61
3/6/2020,6871.14,6871.14,6745.32,6770.38
3/5/2020,6899.02,6941.2,6872.97,6884.77
3/4/2020,6791.14,6867.26,6710.18,6867.26
3/3/2020,6854.9,6886.11,6790.54,6790.54
3/2/2020,6759.37,6866.13,6700.75,6749.28
2/28/2020,6858.91,6858.91,6769.97,6787.91
2/27/2020,6890.02,6979.57,6890.02,6967.84
2/26/2020,7101.88,7101.88,6879.09,6909.84
2/24/2020,7267.86,7270.47,7180.1,7187.44
2/21/2020,7430.57,7431.03,7366.8,7369.78
2/20/2020,7426.91,7472.99,7413,7413
2/19/2020,7319.99,7396.94,7319.99,7396.94
2/18/2020,7329.03,7346,7311.5,7322.89
2/17/2020,7305.66,7348.04,7292.95,7326.85
2/14/2020,7405.15,7405.15,7282,7282
2/13/2020,7390.01,7403.12,7332.91,7403.12
2/12/2020,7435.25,7440.31,7383.1,7383.1
2/11/2020,7444.66,7444.66,7403.23,7439.4
2/10/2020,7510.84,7510.84,7414.01,7430.86
2/7/2020,7447.33,7507.2,7429.61,7507.2
2/6/2020,7373.59,7506.51,7373.59,7506.51
2/5/2020,7291.44,7352.85,7281.42,7352.85
2/4/2020,7172.41,7276.4,7158.2,7226.9
2/3/2020,7206.22,7219.61,7129.19,7137.03
1/31/2020,7413.17,7446.26,7200.79,7200.79
1/30/2020,7466.45,7484.65,7392.68,7392.68
1/29/2020,7472.53,7472.53,7423.69,7462.31
1/28/2020,7563.12,7563.12,7468.7,7468.7
1/27/2020,7616.9,7624.37,7580.67,7587.63
1/24/2020,7622.12,7635.62,7581.12,7623.41
1/23/2020,7503.64,7616.35,7495.6,7616.35
1/22/2020,7469.14,7478.1,7425.86,7468.73
1/21/2020,7570.2,7586.59,7442.13,7466.65
