Date, Open, High, Low, Close
11/9/2020,4093.1,4225.68,4092.06,4222.68
11/6/2020,4082.2,4115.74,4032.71,4040.86
11/5/2020,4096.48,4131.42,4085.22,4105.5
11/4/2020,3986.23,4067.95,3969.28,4067.95
11/3/2020,4049.86,4073.98,4033.28,4049.65
11/2/2020,3957,4019.19,3925.84,4019.19
10/30/2020,3868.23,3955.66,3868.23,3945.12
10/29/2020,3929.29,3933.15,3820.68,3863.2
10/28/2020,3945.57,3950.17,3871.02,3888.82
10/27/2020,4040.04,4040.04,3971.72,3977.43
10/26/2020,4104.32,4112.54,4051.69,4051.69
10/23/2020,4123.73,4156.23,4123.73,4139.4
10/22/2020,4135.2,4148.28,4108.57,4118.13
10/21/2020,4187.1,4187.29,4139.48,4139.48
10/20/2020,4220.33,4221.07,4168.03,4171.15
10/19/2020,4245.3,4256.08,4213.18,4214.1
10/16/2020,4232.61,4249.57,4190.35,4228.02
10/15/2020,4263.2,4268.39,4194.82,4194.82
10/14/2020,4278.33,4307.72,4257,4300.3
10/13/2020,4273.33,4328.19,4256.4,4285.52
10/12/2020,4210.51,4250.79,4203.76,4247.14
10/9/2020,4231.64,4232.36,4168.43,4181.73
10/8/2020,4194.47,4247,4189.69,4222.44
10/7/2020,4166.55,4189.46,4160.38,4179.01
10/6/2020,4141.96,4187.66,4125.11,4182.97
10/5/2020,4118.53,4136.2,4110.8,4135.98
10/2/2020,4063.57,4086.96,4047.62,4086.96
10/1/2020,4099.88,4120.9,4087.74,4106.16
9/30/2020,4015.35,4096.99,4015.35,4067.02
9/29/2020,4098.92,4098.92,4030.97,4033.26
9/28/2020,4032.35,4088.54,4022.58,4088.54
9/25/2020,4045.99,4054.55,3984.78,3995.6
9/24/2020,4065.64,4077.38,4037.21,4049.52
9/23/2020,4141.19,4156.11,4087.51,4087.51
9/22/2020,4171.28,4181.07,4121.94,4121.94
9/21/2020,4229.31,4232.23,4149.13,4158.14
9/18/2020,4282.48,4287.67,4240.5,4252.43
9/17/2020,4274.14,4301.19,4265.89,4286.76
