Date, Open, High, Low, Close
11/13/2020,1224.72,1233.84,1218.52,1227.78
11/12/2020,1224.64,1239.78,1219.15,1238.45
11/11/2020,1236.14,1254.16,1231.47,1233.81
11/10/2020,1224.45,1240.78,1212.61,1232.87
11/9/2020,1187.84,1242.24,1187.32,1236.3
11/6/2020,1163.85,1178.28,1151.74,1178.28
11/5/2020,1121.24,1172.14,1121.24,1170.74
11/3/2020,1079.49,1109.71,1077.2,1108.15
11/2/2020,1062.09,1075.12,1039.51,1069.33
10/30/2020,1078.02,1078.37,1056.02,1066.6
10/29/2020,1075.4,1091.43,1062.7,1078.96
10/28/2020,1124.23,1124.23,1070.68,1078.29
10/27/2020,1146.56,1151.66,1126.6,1131.36
10/26/2020,1163.89,1165.58,1151.45,1152.33
10/23/2020,1154.25,1166.51,1149.13,1164.06
10/22/2020,1143.17,1155.39,1137.14,1155.24
10/21/2020,1145.3,1151.94,1136.76,1143.42
10/20/2020,1130.26,1143.82,1123.08,1140.69
10/19/2020,1131.43,1137.07,1128.8,1135.12
10/16/2020,1137.25,1138.87,1121.29,1132.8
10/15/2020,1156.18,1156.44,1128.06,1132.29
10/14/2020,1157.02,1164.67,1151.51,1160.3
10/13/2020,1162.18,1169.8,1151.18,1156.11
10/12/2020,1163.09,1169.93,1155.85,1162.91
10/9/2020,1157.38,1165.69,1147.95,1164.34
10/8/2020,1150.83,1158.82,1148,1158.82
10/7/2020,1157.93,1164.69,1140.53,1143.95
10/6/2020,1163.75,1176.58,1157.41,1168.56
10/5/2020,1152.56,1160.54,1144.04,1157.86
10/2/2020,1157.17,1157.17,1134.01,1148.07
10/1/2020,1181.29,1191.19,1170.72,1174.49
9/30/2020,1158.75,1182.96,1152.94,1178.51
9/29/2020,1169.84,1172.76,1138.95,1155.67
9/28/2020,1171.87,1178.65,1163.08,1166.86
9/25/2020,1189.4,1193.58,1160.28,1164.68
9/24/2020,1187.48,1192.67,1172.94,1188.98
9/23/2020,1214.29,1225.06,1195.77,1195.77
9/22/2020,1189.37,1209.03,1182.04,1193.06
9/21/2020,1225.32,1225.99,1176.63,1181.24
9/18/2020,1246.67,1250.13,1226.48,1228.64
9/17/2020,1238.42,1246.02,1232.82,1243.29
9/16/2020,1252.38,1257.92,1243.6,1251.86
9/15/2020,1229.16,1253.68,1227.94,1253.68
9/14/2020,1224.14,1239.42,1218.41,1228.48
9/11/2020,1210.12,1225.59,1207.27,1223.05
9/10/2020,1207.98,1220.27,1191.89,1216.59
9/9/2020,1189.69,1206.04,1187.98,1201.34
9/8/2020,1221.35,1225.16,1183.78,1189.47
9/7/2020,1223.75,1230.02,1210.21,1218.52
9/4/2020,1222.21,1236.65,1214.72,1220.01
9/3/2020,1234.42,1241.28,1216.93,1223.21
9/2/2020,1280.08,1283.69,1229.5,1234.82
9/1/2020,1265.7,1282.24,1264.85,1274.5
8/31/2020,1274.05,1286.07,1255.34,1258.6
8/28/2020,1267.38,1271.32,1254.83,1265.62
8/27/2020,1274.8,1279.2,1258.69,1264.86
8/26/2020,1271.77,1273.24,1256.72,1273.24
8/25/2020,1284.12,1289.33,1265.85,1267.16
8/24/2020,1265.93,1288.15,1265.93,1281.52
8/21/2020,1286.6,1291.23,1252.91,1262.01
8/20/2020,1308.75,1308.75,1272.81,1272.81
8/19/2020,1312.48,1322.48,1308.09,1316.32
8/18/2020,1306.53,1322.99,1303.3,1311.52
8/17/2020,1327.78,1336.58,1301.03,1308.71
8/14/2020,1328.2,1328.2,1306,1323.8
8/13/2020,1306.74,1326.13,1304.59,1326.13
8/12/2020,1288.04,1307.12,1283.6,1307.12
8/11/2020,1268.93,1301.19,1268.93,1296.01
8/10/2020,1271.97,1280.41,1267.96,1267.96
8/7/2020,1286.37,1286.37,1266.85,1271.43
8/6/2020,1296.2,1299.76,1278.22,1282.44
8/5/2020,1265.72,1297.97,1265.14,1295.27
8/4/2020,1264.53,1269.81,1246.82,1260.16
8/3/2020,1235.2,1260.47,1234.97,1257.42
7/31/2020,1250.02,1251.57,1232.99,1234.44
7/30/2020,1265.6,1266.81,1226.86,1232.35
7/29/2020,1255.89,1270.42,1254.15,1266.01
7/28/2020,1272.73,1277.82,1249.72,1257.69
7/27/2020,1260.32,1276.49,1260.32,1266.16
7/24/2020,1249.86,1258.36,1243.54,1255.98
7/23/2020,1262.61,1274.56,1254.06,1261.62
7/22/2020,1257.73,1266.16,1250.31,1255.1
7/21/2020,1242.99,1266.48,1242.99,1259.72
7/20/2020,1214.76,1235.85,1205.79,1235.85
7/17/2020,1213.16,1218.32,1209.24,1216.17
7/16/2020,1216.67,1222.16,1208.29,1219.93
7/15/2020,1212.88,1228.41,1210.14,1219.26
7/14/2020,1221.19,1221.24,1197.2,1216.79
7/13/2020,1249.86,1257.73,1232.99,1234.5
7/10/2020,1229.46,1245.65,1221.96,1245.65
7/9/2020,1242.94,1252.25,1230.07,1234.42
7/8/2020,1240.6,1250.44,1238.71,1245.54
7/7/2020,1240.89,1251.9,1229.91,1247.83
7/6/2020,1246.84,1266.28,1241.71,1247.14
7/3/2020,1245.05,1252.64,1229.44,1235.18
7/2/2020,1222.73,1250.57,1220.84,1248.28
6/30/2020,1248.3,1250.32,1212.63,1212.63
6/29/2020,1241,1249.45,1230.11,1239.81
6/26/2020,1268.89,1270.36,1236.91,1246.74
6/25/2020,1258.02,1262.33,1242.32,1257.18
6/23/2020,1264.34,1282.95,1263.77,1281.18
6/22/2020,1249.47,1258.5,1235.16,1256.77
6/19/2020,1234.88,1259.86,1234.88,1249.67
6/18/2020,1235.27,1242.95,1221.2,1230.71
6/17/2020,1247.75,1257.91,1233.65,1237.93
6/16/2020,1243.48,1264.12,1236.12,1242.72
6/15/2020,1214.13,1223.09,1196.47,1221.6
6/11/2020,1267.99,1267.99,1237.02,1238.11
6/10/2020,1284.27,1288.07,1266.02,1277.58
6/9/2020,1295.42,1299.59,1263.75,1284.31
6/8/2020,1287.32,1306.27,1278.75,1288.71
6/5/2020,1266.42,1291,1265.26,1285.78
6/4/2020,1295.23,1296.34,1252.14,1257.31
6/3/2020,1290.27,1301.88,1277.15,1301.88
6/2/2020,1258.1,1283.85,1255.75,1277.85
6/1/2020,1240.08,1253.91,1233.73,1247.61
5/29/2020,1236.36,1236.36,1210.07,1219.76
5/28/2020,1219.22,1241.77,1211.85,1241.77
5/27/2020,1222.91,1234.83,1197.78,1212.2
5/26/2020,1220.59,1243.96,1220.45,1224.99
5/25/2020,1195.96,1213.41,1195.96,1213.41
5/22/2020,1194.86,1198.26,1174.86,1188.47
5/21/2020,1226.09,1243.27,1196.21,1206.28
5/20/2020,1176.02,1225.47,1173.7,1225.47
5/19/2020,1171.43,1183.77,1168.04,1177.24
5/18/2020,1122.71,1167.95,1122.71,1167.88
5/15/2020,1121.47,1134.34,1107.49,1107.49
5/14/2020,1106.25,1113.94,1086.36,1102.98
5/13/2020,1124.29,1132.75,1110.37,1110.37
5/12/2020,1130.71,1143.65,1123.16,1137.28
5/8/2020,1125.66,1140.01,1116.25,1136.34
5/7/2020,1112.34,1138.22,1111.73,1126.48
5/6/2020,1135.74,1139.51,1106.06,1111.43
5/5/2020,1117,1135.4,1115.99,1133.16
5/4/2020,1111.28,1111.28,1080.63,1099.42
4/30/2020,1157.93,1169.88,1121.78,1125.03
4/29/2020,1117.72,1147.97,1113.89,1144.64
4/28/2020,1085.86,1125.88,1081.09,1109.6
4/27/2020,1086.06,1099.38,1081.49,1083.68
4/24/2020,1090.46,1103.77,1074.06,1081.32
4/23/2020,1079.15,1110.4,1071.34,1099.67
4/22/2020,1011.38,1071.8,1006.96,1066.01
4/21/2020,1037.69,1037.89,991.49,1012.15
4/20/2020,1075.22,1079.75,1055.71,1068.32
4/17/2020,1083.27,1092.54,1068.93,1078.69
4/16/2020,1057.13,1087.8,1036.95,1066.91
4/15/2020,1129.49,1129.49,1045.13,1046.88
4/14/2020,1133.95,1151.65,1127.19,1133.23
4/13/2020,1132.27,1148.58,1118.87,1124.97
4/10/2020,1132.27,1170.27,1119.82,1155.49
4/9/2020,1132.27,1170.27,1119.82,1155.49
4/8/2020,1091.53,1114.6,1083.5,1114.6
4/7/2020,1097.82,1122.88,1087.08,1099.76
4/6/2020,1069.66,1090.81,1059.31,1083.43
4/3/2020,1038.92,1070.42,1030.64,1049.88
4/2/2020,1011.8,1038.2,983.63,1034.06
4/1/2020,990.15,995.18,977.48,987.75
