Date, Open, High, Low, Close
11/9/2020,2600.96,2622.98,2600.67,2609.36
11/6/2020,2591.96,2591.96,2562.86,2578.68
11/5/2020,2543.91,2588.62,2541.76,2588.62
11/4/2020,2502.18,2521.14,2489.72,2515.98
11/3/2020,2453.29,2497.22,2453.26,2497.22
11/2/2020,2428.98,2449.02,2423.7,2443.13
10/30/2020,2423.84,2447.85,2420.84,2423.84
10/29/2020,2450.68,2472.92,2450.68,2450.68
10/28/2020,2483.48,2507.89,2483.48,2483.48
10/27/2020,2515.33,2519,2503.37,2512.87
10/26/2020,2540.86,2541.74,2521.19,2523.31
10/23/2020,2537.05,2537.39,2537.39,2537.39
10/22/2020,2518.75,2530.76,2513.52,2528.41
10/21/2020,2525.61,2545.52,2521.7,2525.61
10/20/2020,2542.08,2542.39,2523.21,2528.64
10/19/2020,2540.55,2549.52,2537.31,2543.57
10/16/2020,2530.38,2533.02,2533.02,2533.02
10/15/2020,2543.34,2523.62,2523.62,2523.62
10/14/2020,2562.44,2555.59,2555.59,2555.59
10/13/2020,2556.4,2570.19,2547.12,2567.65
10/12/2020,2552.42,2555.93,2534.37,2552.42
10/9/2020,2547.94,2547.97,2532.41,2532.96
10/8/2020,2545.42,2543.11,2543.11,2543.11
10/7/2020,2523.19,2538.36,2538.36,2538.36
10/6/2020,2525.7,2540.71,2525.69,2529.26
10/5/2020,2512.91,2522.4,2504.89,2517.23
10/2/2020,2500.34,2496.11,2496.11,2496.11
10/1/2020,2479.29,2504.12,2477.09,2500.74
9/30/2020,2466.62,2489.17,2465.45,2466.62
9/29/2020,2496.77,2471.61,2471.61,2471.61
9/28/2020,2483.01,2494.16,2471.07,2483.01
9/25/2020,2458.38,2474.12,2457.26,2472.28
9/24/2020,2467.15,2450.82,2450.82,2450.82
9/23/2020,2463.95,2481.14,2481.14,2481.14
9/22/2020,2463.29,2481.77,2455.33,2463.29
9/21/2020,2499.39,2515.05,2481.66,2485.71
9/18/2020,2497.71,2506.92,2492.76,2497.71
9/17/2020,2503.54,2500.78,2500.78,2500.78
9/16/2020,2505.15,2508.16,2488.09,2505.15
9/15/2020,2486.7,2502.1,2482.91,2485.83
9/14/2020,2489.68,2482.55,2482.55,2482.55
9/11/2020,2490.09,2492.42,2476.82,2490.09
9/10/2020,2507.64,2492.09,2492.09,2492.09
