Date, Open, High, Low, Close
11/9/2020,56873.46,57952.01,56843.02,57307.49
11/6/2020,55093.83,56564.22,54933.36,56387.04
11/5/2020,54383.62,55239.01,53910.63,55225.24
11/4/2020,53527.37,53975.53,52811.67,53656.21
11/3/2020,52795.96,53597.2,52795.96,53187.81
11/2/2020,51867.07,52695.06,51793.24,52618.04
10/30/2020,51916.44,52028.79,51225.53,51684.7
10/29/2020,52853.72,52853.72,51420.95,51896.97
10/28/2020,54333.4,54333.4,52273.21,52308.14
10/27/2020,55059.95,55059.95,53986.37,54079.43
10/26/2020,55150.38,55283.11,54819.71,54890.88
10/23/2020,54937.89,55523.73,54903.31,55339.58
10/22/2020,55121.42,55145.78,54731.14,54796.42
10/21/2020,55318.92,55481.96,54936.33,55345.49
10/20/2020,54997.38,55328.03,54838.83,55271.75
10/19/2020,55203.84,55404.8,55013.02,55161.03
10/16/2020,55118.44,55206.72,54925.76,55047.26
10/15/2020,54769.56,54905.4,54359.64,54843.96
10/14/2020,55259.79,55470.73,55081.29,55394.23
10/13/2020,55576.43,55599.32,54992.08,55054.53
10/12/2020,55451.68,55767.18,55367.78,55552.35
10/9/2020,54764.71,55182.99,54725.03,55182.99
10/8/2020,54771.13,54870.69,54447.24,54554.85
10/7/2020,54354.82,54749.77,54032.1,54749.77
10/6/2020,54882.42,54882.42,54183.92,54203.83
10/5/2020,54467.63,54698.86,54239.77,54524.05
10/2/2020,54040.41,54297.3,53782.18,54219.24
10/1/2020,54394.49,54815.95,54171.95,54446.78
9/30/2020,54430.57,54683.03,54140.34,54264.96
9/29/2020,54603.12,54734.93,54352.33,54506.88
9/28/2020,53628.45,54916.35,53628.45,54718.8
9/25/2020,53861.6,53861.6,52963.6,53587.11
9/24/2020,54247.81,54247.81,54247.81,54247.81
9/23/2020,53265.33,54641.54,53213.12,54247.81
9/22/2020,53430.67,53578.84,53059.14,53265.33
9/21/2020,54358.64,54358.64,53053.61,53319.08
9/18/2020,55138.46,55266.63,54598.8,54673.65
9/17/2020,55253.33,55266.34,54785.09,55035.6
9/16/2020,56130.62,56245.43,55833.03,55960.74
9/15/2020,56693.96,56722.8,56014.07,56130.78
9/14/2020,56536.86,56658.96,56034.47,56327.05
9/11/2020,55838.19,56276.95,55780.46,56087.84
9/10/2020,55271.52,56327.4,55051.16,55953.96
9/9/2020,54489.35,55211.34,54489.35,55211.34
9/8/2020,54369.94,54692.2,54111.56,54438.82
9/7/2020,53906.39,54512.62,53906.39,54400.28
9/4/2020,54170.04,54596.11,53684.89,53878.95
9/3/2020,55679.72,55683.07,54491.44,54522.35
9/2/2020,56221.06,56441.67,55712.29,55861.88
9/1/2020,56146.88,56478.49,55738.68,55927.69
8/31/2020,56292.7,56515.39,55308.85,55476.11
8/28/2020,56838.41,56926.13,55820.96,56057.1
8/27/2020,56976.09,57368.38,56751.87,56869.67
8/26/2020,56161.62,56628.18,55853.36,56572.24
8/25/2020,56619.12,56853.2,56052.67,56114.23
8/24/2020,56291.9,57046.2,56291.9,56625.42
8/21/2020,56142.63,56416.52,55432.08,55949.92
8/20/2020,55893.58,55958.07,55267.4,55629.98
8/19/2020,56769.39,57005.12,56387.23,56433.28
8/18/2020,57593.92,57664.24,56891.72,57025.16
8/17/2020,57397.88,57674.14,57008.54,57435.08
8/14/2020,57342.19,57346.76,56923.8,57077.48
8/13/2020,57101.15,57459.5,56814.97,57419.46
8/12/2020,57045.56,57610.21,56862.28,57417.28
8/11/2020,56941.85,57676.49,56941.85,57168.24
8/7/2020,57654.38,57654.38,56539.47,56757.73
8/6/2020,57755.26,58092.12,57586,57656.69
8/5/2020,56882.24,57797.79,56882.24,57629.36
8/4/2020,56110.63,56368.28,55999.83,56248.93
8/3/2020,55961.73,56314.24,55420.12,55829.4
7/31/2020,56124.8,56655.9,55662.97,55721.8
7/30/2020,56884.57,57068.43,55720.78,55844.9
7/29/2020,56312.66,56829.51,56312.66,56707.74
7/28/2020,56471.91,56495.34,55973.39,56488.11
7/27/2020,55850.51,56425.88,55725.24,56326.2
7/24/2020,55310.65,55822.08,55300.11,55645.65
7/23/2020,56269.49,56446.87,56009.2,56070.7
7/22/2020,56349.82,56488.5,55547.79,55834.24
