Date, Open, High, Low, Close
11/9/2020,6972.3,7535.3,6945.8,7459.4
11/6/2020,6890.6,6940.4,6829.4,6870.4
11/5/2020,6833.5,6948.3,6814.2,6924.2
11/4/2020,6616.7,6790.8,6563.7,6781.9
11/3/2020,6636.1,6760.8,6608.7,6751.6
11/2/2020,6481.4,6590.7,6396.3,6585.6
10/30/2020,6351.4,6461.6,6345.3,6452.2
10/29/2020,6467.7,6514,6329.5,6411.8
10/28/2020,6560.8,6563.8,6423.3,6474.4
10/27/2020,6845.2,6846.7,6647,6651.3
10/26/2020,6797.9,6904.2,6789.7,6796.9
10/23/2020,6802.1,6902,6791.9,6893.4
10/22/2020,6775.2,6839.5,6709.3,6796.6
10/21/2020,6961.5,6962.2,6806.1,6811.49
10/20/2020,6834.8,6972.1,6826.7,6927.3
10/19/2020,6882.1,6932.8,6816.4,6860.2
10/16/2020,6851.9,6877,6784.6,6849.67
10/15/2020,6840.2,6842.3,6763,6816.8
10/14/2020,6880.4,6946.8,6846.5,6916.6
10/13/2020,6945.2,6960.6,6854.6,6875.2
10/12/2020,6968.8,6979.9,6924.8,6951
10/9/2020,6992.9,7024.6,6936.7,6950.9
10/8/2020,6953.2,7018.8,6951.7,6992.8
10/7/2020,6920.2,6952.6,6887.1,6910.1
10/6/2020,6860.1,6975.4,6838.8,6936.2
10/5/2020,6814.5,6851,6794.1,6837.9
10/2/2020,6675.4,6754.5,6648.9,6754.5
10/1/2020,6789.1,6800.8,6701.2,6730.7
9/30/2020,6663.6,6771.1,6639.7,6716.6
9/29/2020,6769.5,6790.7,6713.6,6713.6
9/28/2020,6709.2,6798.9,6681.4,6791.5
9/25/2020,6647.4,6681.9,6552.3,6628.3
9/24/2020,6577.6,6705.7,6562.6,6643.4
9/23/2020,6717.8,6781.1,6654.2,6654.2
9/22/2020,6752.9,6758,6645.6,6648.6
9/21/2020,6892.9,6892.9,6678.8,6692.3
9/18/2020,7073.8,7075.3,6923.6,6929.76
9/17/2020,7027.1,7101.8,7013.8,7086.2
9/16/2020,7048.3,7110.8,7020.7,7110.8
9/15/2020,6958.9,7064,6954.8,7036
9/14/2020,6989.8,7005.7,6935,6951.1
9/11/2020,6989.4,7000.9,6910.4,6943.2
9/10/2020,7020.6,7050.9,6967.4,6999.2
9/9/2020,6946.4,7038.6,6938.9,7020.9
9/8/2020,7087.9,7102.6,6899,6955
