Date, Open, High, Low, Close
11/9/2020,747.23,747.23,747.23,747.23
11/6/2020,728.53,728.53,728.53,728.53
11/5/2020,729.37,729.37,729.37,729.37
11/4/2020,719.1,719.1,719.1,719.1
11/3/2020,703.99,703.99,703.99,703.99
11/2/2020,692.93,692.93,692.93,692.93
10/30/2020,683.51,683.51,683.51,683.51
10/29/2020,679.56,679.56,679.56,679.56
10/28/2020,681.08,681.08,681.08,681.08
10/27/2020,700.39,700.39,700.39,700.39
10/26/2020,703.73,703.73,703.73,703.73
10/23/2020,724.77,724.77,724.77,724.77
10/22/2020,724.14,724.14,724.14,724.14
10/21/2020,724.4,736.57,722.48,724.4
10/20/2020,734.78,734.78,734.78,734.78
10/19/2020,736.83,736.83,736.83,736.83
10/16/2020,735.09,735.09,735.09,735.09
10/15/2020,728.57,728.57,728.57,728.57
10/14/2020,739.9,739.9,739.9,739.9
10/13/2020,737.38,737.38,737.38,737.38
10/12/2020,743.82,743.82,743.82,743.82
10/9/2020,738.49,738.49,738.49,738.49
10/8/2020,737.85,737.85,737.85,737.85
10/7/2020,736.07,736.07,736.07,736.07
10/6/2020,735.44,735.44,735.44,735.44
10/5/2020,735.21,735.21,735.21,735.21
10/2/2020,725.75,725.75,725.75,725.75
10/1/2020,730.33,730.33,730.33,730.33
9/30/2020,728.7,728.7,728.7,728.7
9/29/2020,730.14,730.14,730.14,730.14
9/28/2020,728.65,728.65,728.65,728.65
9/25/2020,711.05,711.05,711.05,711.05
9/24/2020,707.75,707.75,707.75,707.75
9/23/2020,712.36,712.36,712.36,712.36
9/22/2020,708.58,708.58,708.58,708.58
9/21/2020,705.23,705.23,705.23,705.23
9/18/2020,729,729,729,729
9/17/2020,727.08,727.08,727.08,727.08
9/16/2020,727.53,727.53,727.53,727.53
9/15/2020,720.1,720.1,720.1,720.1
9/14/2020,712.95,712.95,712.95,712.95
9/11/2020,712.07,712.07,712.07,712.07
9/10/2020,710.87,710.87,710.87,710.87
9/9/2020,713.42,713.42,713.42,713.42
9/8/2020,702.26,702.26,702.26,702.26
9/7/2020,707.81,707.81,707.81,707.81
9/4/2020,692.49,692.49,692.49,692.49
9/3/2020,695.92,695.92,695.92,695.92
9/2/2020,705.44,705.44,705.44,705.44
9/1/2020,700.01,700.01,700.01,700.01
8/31/2020,698.47,698.47,698.47,698.47
8/28/2020,700.75,700.75,700.75,700.75
8/27/2020,706.1,706.1,706.1,706.1
8/26/2020,709.51,709.51,709.51,709.51
8/25/2020,702.87,702.87,702.87,702.87
8/24/2020,703.76,703.76,703.76,703.76
8/21/2020,693.58,693.58,693.58,693.58
8/20/2020,693.85,693.85,693.85,693.85
8/19/2020,701.67,701.67,701.67,701.67
8/18/2020,695.9,695.9,695.9,695.9
8/17/2020,701.63,701.63,701.63,701.63
8/14/2020,693.94,693.94,693.94,693.94
8/13/2020,705.37,705.37,705.37,705.37
8/12/2020,703.8,703.8,703.8,703.8
8/11/2020,703.11,703.11,703.11,703.11
8/10/2020,693.05,693.05,693.05,693.05
8/7/2020,692,692,692,692
8/6/2020,690.4,690.4,690.4,690.4
8/5/2020,691.27,691.27,691.27,691.27
8/4/2020,684.75,684.75,684.75,684.75
8/3/2020,688.61,688.61,688.61,688.61
7/31/2020,673.57,673.57,673.57,673.57
7/30/2020,675.05,675.05,675.05,675.05
7/29/2020,690.11,690.11,690.11,690.11
7/28/2020,686.23,686.23,686.23,686.23
7/27/2020,688.45,688.45,688.45,688.45
7/24/2020,685.15,685.15,685.15,685.15
7/23/2020,699.36,699.36,699.36,699.36
7/22/2020,698.48,698.48,698.48,698.48
7/21/2020,693.45,693.45,693.45,693.45
7/20/2020,697.23,697.23,697.23,697.23
7/17/2020,690.35,690.35,690.35,690.35
7/16/2020,684.84,684.84,684.84,684.84
7/15/2020,688.41,688.41,688.41,688.41
7/14/2020,676.46,676.46,676.46,676.46
7/13/2020,679.23,679.23,679.23,679.23
7/10/2020,668.09,668.09,668.09,668.09
7/9/2020,663.3,663.3,663.3,663.3
7/8/2020,668.67,668.67,668.67,668.67
7/7/2020,671.21,671.21,671.21,671.21
7/6/2020,673.72,673.72,673.72,673.72
7/3/2020,661.29,661.29,661.29,661.29
7/2/2020,662.7,662.7,662.7,662.7
7/1/2020,652.24,652.24,652.24,652.24
6/30/2020,646.58,646.58,646.58,646.58
6/29/2020,647.02,647.02,647.02,647.02
6/26/2020,644.67,644.67,644.67,644.67
6/25/2020,643.77,643.77,643.77,643.77
6/24/2020,639.16,639.16,639.16,639.16
6/23/2020,653.61,653.61,653.61,653.61
6/22/2020,645.57,645.57,645.57,645.57
6/19/2020,650.67,650.67,650.67,650.67
6/18/2020,649.14,653.63,647.06,650.67
6/17/2020,652.5,652.5,652.5,652.5
6/16/2020,648.46,648.46,648.46,648.46
6/15/2020,628.34,628.34,628.34,628.34
6/12/2020,624.92,624.92,624.92,624.92
6/11/2020,624.71,624.71,624.71,624.71
6/10/2020,654.67,654.67,654.67,654.67
6/9/2020,657.11,657.11,657.11,657.11
6/8/2020,666.11,666.11,666.11,666.11
6/5/2020,671.83,671.83,671.83,671.83
6/4/2020,660.97,660.97,660.97,660.97
6/3/2020,662.84,662.84,662.84,662.84
6/2/2020,647.36,647.36,647.36,647.36
6/1/2020,639.87,639.87,639.87,639.87
5/29/2020,632.92,632.92,632.92,632.92
5/28/2020,637.39,637.39,637.39,637.39
5/27/2020,626.55,626.55,626.55,626.55
5/26/2020,623.89,623.89,623.89,623.89
5/25/2020,618.07,618.07,618.07,618.07
5/22/2020,605.41,605.41,605.41,605.41
5/21/2020,605.89,605.89,605.89,605.89
5/20/2020,600.29,608.18,600.29,605.89
5/19/2020,605.52,605.52,605.52,605.52
5/18/2020,603.37,603.37,603.37,603.37
5/15/2020,577.91,577.91,577.91,577.91
5/14/2020,570.87,570.87,570.87,570.87
5/13/2020,588.44,588.44,588.44,588.44
5/12/2020,604.27,604.27,604.27,604.27
5/11/2020,600.47,600.47,600.47,600.47
5/8/2020,602.89,602.89,602.89,602.89
5/7/2020,592.28,592.28,592.28,592.28
5/6/2020,583.26,583.26,583.26,583.26
5/5/2020,587.48,587.48,587.48,587.48
5/4/2020,574.8,574.8,574.8,574.8
5/1/2020,601.86,601.86,601.86,601.86
4/30/2020,609.32,611.38,601.85,601.86
4/29/2020,608.46,608.46,608.46,608.46
4/28/2020,596.33,596.33,596.33,596.33
4/27/2020,587.95,587.95,587.95,587.95
4/24/2020,580.44,580.44,580.44,580.44
4/23/2020,587.87,587.87,587.87,587.87
4/22/2020,580.73,580.73,580.73,580.73
4/21/2020,570.08,570.08,570.08,570.08
4/20/2020,585.25,585.25,585.25,585.25
4/17/2020,582.15,582.15,582.15,582.15
4/16/2020,563.59,563.59,563.59,563.59
4/15/2020,565.54,565.54,565.54,565.54
4/14/2020,586.92,586.92,586.92,586.92
4/13/2020,574.44,574.44,574.44,574.44
4/10/2020,574.44,574.44,574.44,574.44
4/9/2020,580.53,583.89,573.42,574.44
4/8/2020,572.78,572.78,572.78,572.78
4/7/2020,573.13,573.13,573.13,573.13
4/6/2020,553.39,553.39,553.39,553.39
4/3/2020,531.75,531.75,531.75,531.75
4/2/2020,536.48,536.48,536.48,536.48
4/1/2020,536.67,536.67,536.67,536.67
3/31/2020,555.6,555.6,555.6,555.6
3/30/2020,540.78,540.78,540.78,540.78
3/27/2020,529.96,529.96,529.96,529.96
3/26/2020,546.41,546.41,546.41,546.41
3/25/2020,535.84,535.84,535.84,535.84
3/24/2020,513.75,513.75,513.75,513.75
3/23/2020,478.95,478.95,478.95,478.95
3/20/2020,505.08,505.08,505.08,505.08
3/19/2020,505.54,505.54,505.54,505.54
3/18/2020,489.07,489.07,489.07,489.07
3/17/2020,505.7,505.7,505.7,505.7
3/16/2020,496.69,496.69,496.69,496.69
3/13/2020,521.32,521.32,521.32,521.32
3/12/2020,513.56,513.56,513.56,513.56
3/11/2020,577.91,577.91,577.91,577.91
3/10/2020,589.7,589.7,589.7,589.7
3/9/2020,594.75,594.75,594.75,594.75
3/6/2020,629.23,629.23,629.23,629.23
3/5/2020,650.47,650.47,650.47,650.47
3/4/2020,657.52,657.52,657.52,657.52
3/3/2020,653.85,653.85,653.85,653.85
3/2/2020,643.62,643.62,643.62,643.62
2/28/2020,640.58,640.58,640.58,640.58
2/27/2020,661.57,661.57,661.57,661.57
2/26/2020,687.01,687.01,687.01,687.01
2/25/2020,683.27,683.27,683.27,683.27
2/24/2020,694.81,694.81,694.81,694.81
2/21/2020,725.62,725.62,725.62,725.62
2/20/2020,732.16,732.16,732.16,732.16
2/19/2020,732.67,732.67,732.67,732.67
2/18/2020,724.08,724.08,724.08,724.08
2/17/2020,729.45,729.45,729.45,729.45
2/14/2020,727.74,727.74,727.74,727.74
2/13/2020,725.35,725.35,725.35,725.35
2/12/2020,724.66,724.66,724.66,724.66
2/11/2020,721.81,721.81,721.81,721.81
2/10/2020,711.51,711.51,711.51,711.51
2/7/2020,708.6,708.6,708.6,708.6
2/6/2020,711.14,711.14,711.14,711.14
2/5/2020,712.27,712.27,712.27,712.27
2/4/2020,703.46,703.46,703.46,703.46
2/3/2020,688.72,688.72,688.72,688.72
1/31/2020,689.06,689.06,689.06,689.06
1/30/2020,690.67,690.67,690.67,690.67
1/29/2020,693.57,693.57,693.57,693.57
1/28/2020,690.29,690.29,690.29,690.29
1/27/2020,685.48,685.48,685.48,685.48
1/24/2020,700.45,700.45,700.45,700.45
1/23/2020,693.2,693.2,693.2,693.2
1/22/2020,701.05,701.05,701.05,701.05
1/21/2020,704.42,704.42,704.42,704.42
1/20/2020,705.08,705.08,705.08,705.08
1/17/2020,704.96,704.96,704.96,704.96
1/16/2020,699.67,699.67,699.67,699.67
1/15/2020,690.37,690.37,690.37,690.37
1/14/2020,692.19,692.19,692.19,692.19
1/13/2020,692,692,692,692
1/10/2020,689.72,689.72,689.72,689.72
1/9/2020,691.76,691.76,691.76,691.76
1/8/2020,688.86,688.86,688.86,688.86
1/7/2020,689.23,689.23,689.23,689.23
1/6/2020,686.6,686.6,686.6,686.6
1/3/2020,689.38,689.38,684.22,686.6
1/2/2020,693.56,693.56,693.56,693.56
