Date, Open, High, Low, Close
11/9/2020,10405.97,10644.22,10350.05,10417.99
11/6/2020,10263.31,10350.38,10221.65,10322.57
11/5/2020,10333.61,10381.02,10268.91,10306.35
11/4/2020,9996.55,10301.27,9982.26,10286.79
11/3/2020,9821.13,10003.82,9817.23,10003.82
11/2/2020,9595.66,9802.57,9556.93,9791.68
10/30/2020,9504.06,9587.15,9494.52,9587.15
10/29/2020,9660.42,9670.65,9496.22,9556.14
10/28/2020,9803.24,9803.41,9563.08,9618.65
10/27/2020,9978.51,10000.56,9861.84,9887.49
10/26/2020,9956.35,10029.97,9946.93,9985.62
10/23/2020,9978.5,10061.45,9971.37,10023.9
10/22/2020,9943.73,9999.05,9890.11,9999.05
10/21/2020,10147.42,10159.7,9989.75,9989.75
10/20/2020,10169.88,10204.98,10122.52,10146.23
10/19/2020,10263.17,10291.28,10183.42,10184.36
10/16/2020,10116.86,10251.58,10111.25,10207.13
10/15/2020,10173.78,10173.78,10032.47,10067.96
10/14/2020,10360.77,10386.03,10275.14,10292.66
10/13/2020,10371.21,10407.01,10316.62,10336.36
10/12/2020,10323.76,10390.4,10312.38,10364.1
10/9/2020,10288.53,10331.2,10276.91,10320.03
10/8/2020,10229.92,10307.89,10195.62,10270.24
10/7/2020,10227.26,10268.25,10158.19,10187.88
10/6/2020,10292.67,10295.06,10197.47,10233.16
10/5/2020,10329.66,10345.33,10273.36,10303.06
10/2/2020,10143.64,10252.4,10130.79,10252.4
10/1/2020,10256.95,10312.37,10209.99,10238.12
9/30/2020,10183.27,10266.97,10169.78,10187
9/29/2020,10266.48,10284.93,10216.42,10229.3
9/28/2020,10336.5,10359.64,10261.43,10308.67
9/25/2020,10226.81,10249.07,10118.08,10216.28
9/24/2020,10237.46,10269.13,10156.05,10211.53
9/23/2020,10368.65,10439.74,10327.54,10330.06
9/22/2020,10364.15,10403.55,10318.32,10355.57
9/21/2020,10470.3,10495.49,10276.5,10325.44
9/18/2020,10532.26,10591.66,10508.31,10539.17
9/17/2020,10441.94,10544.35,10438.61,10519.33
9/16/2020,10519.74,10580.38,10519.03,10552.04
9/15/2020,10476.92,10562.02,10452.91,10520
9/14/2020,10482.39,10494.86,10405.96,10457.43
9/11/2020,10358.61,10474.33,10356.28,10439.52
9/10/2020,10394.81,10425.8,10333.53,10387.44
9/9/2020,10290.05,10430.64,10274.35,10406.57
9/8/2020,10320.84,10342.46,10150.44,10250.44
9/7/2020,10211.95,10341.87,10204.42,10297.8
9/4/2020,10146.49,10309.55,10091.98,10153.09
9/3/2020,10452.1,10511.13,10195.84,10220.64
9/2/2020,10262.26,10415.62,10254.6,10384.84
9/1/2020,10228.97,10283.11,10154.38,10188.85
8/31/2020,10196.21,10245.02,10132.81,10135.56
8/28/2020,10233.48,10254.4,10147.15,10164.49
8/27/2020,10312.93,10331.43,10240.46,10240.46
8/26/2020,10205.18,10321.32,10202.13,10309.65
8/25/2020,10330.1,10346.73,10231.25,10231.25
8/24/2020,10313.66,10356.75,10280.94,10308.39
8/21/2020,10266.37,10286.22,10169.66,10218.2
8/20/2020,10233.56,10276.59,10209.2,10229.92
8/19/2020,10153.3,10310.01,10139.31,10310.01
8/18/2020,10189.64,10257.94,10142.46,10168.4
8/17/2020,10174.92,10228.08,10120.41,10228.06
8/14/2020,10163.6,10235.45,10095.22,10163.6
8/13/2020,10280.63,10303.02,10243.27,10260.11
8/12/2020,10142.62,10290.87,10134.73,10278.66
8/11/2020,10133.29,10213.47,10109.1,10153.24
8/10/2020,10080.48,10144.11,10061.19,10090.91
8/7/2020,10061.7,10126.93,10039.06,10068.03
