Date, Open, High, Low, Close
11/9/2020,1281.41,1293.9,1277.52,1285.88
11/6/2020,1265.84,1270.22,1251.08,1260.08
11/5/2020,1234.61,1266.58,1232.72,1264.32
11/4/2020,1223.67,1231.05,1214.49,1222.44
11/3/2020,1210.06,1222.78,1209.9,1221.33
11/2/2020,1196.64,1202.55,1191.44,1202.16
10/30/2020,1204.05,1204.99,1187.49,1194.95
10/29/2020,1200.43,1206.84,1195.99,1201.64
10/28/2020,1207.42,1217.88,1205.88,1207.94
10/27/2020,1201.45,1212.03,1197.74,1208.95
10/26/2020,1212.49,1215.79,1205.81,1207.97
10/22/2020,1214.63,1223.48,1204.73,1213.61
10/21/2020,1217.1,1222.62,1211.85,1216.48
10/20/2020,1205.33,1219.16,1202.03,1210.67
10/19/2020,1221.88,1223.15,1205.61,1208.75
10/16/2020,1245.4,1247.89,1226.95,1233.68
10/15/2020,1255.05,1258.09,1240.75,1242.96
10/14/2020,1269.49,1271.1,1257.84,1263.99
10/12/2020,1269.5,1277.64,1265.27,1273.43
10/9/2020,1279.79,1280.81,1264.24,1267.14
10/8/2020,1269.85,1282.65,1269.5,1274.83
10/7/2020,1248.25,1264.29,1245.09,1263.71
10/6/2020,1251.89,1257.46,1249.14,1250.15
10/5/2020,1245.79,1248.67,1239.06,1242.99
10/2/2020,1245.11,1246.78,1231.11,1237.54
10/1/2020,1244.23,1251.11,1232.81,1247.59
9/30/2020,1259.08,1260.06,1236.53,1237.04
9/29/2020,1266.77,1267.67,1254.34,1257.34
9/28/2020,1251.23,1264.5,1251.12,1263.02
9/25/2020,1251.67,1256.4,1241.66,1244.94
9/24/2020,1255.79,1260.31,1241.52,1247.46
9/23/2020,1271.19,1272.59,1260.64,1264.01
9/22/2020,1271.36,1275.27,1262.41,1267.63
9/21/2020,1293.77,1295.35,1273.44,1275.16
9/18/2020,1287.74,1293.29,1280.43,1288.39
9/17/2020,1289.6,1292.42,1280.11,1284.4
9/16/2020,1287.01,1295.8,1284.09,1293.48
9/15/2020,1276.93,1287.04,1274.62,1286.18
9/14/2020,1285.16,1287.35,1270.59,1272.34
9/11/2020,1290.16,1296.13,1279.33,1279.96
9/10/2020,1295.01,1298.33,1286.15,1290.89
9/9/2020,1279.24,1295.55,1276.38,1293.4
9/8/2020,1305.64,1305.85,1293.33,1293.8
9/4/2020,1311.95,1322.66,1308.84,1311.95
9/3/2020,1320.63,1322.66,1308.84,1311.95
9/2/2020,1304.7,1316.08,1301.78,1315.88
9/1/2020,1312.75,1316.68,1301.14,1305.57
8/31/2020,1328.7,1333.3,1308.73,1310.66
8/28/2020,1335.3,1337.61,1319.45,1323.31
8/27/2020,1322.48,1331.64,1320.91,1326.81
8/26/2020,1317.74,1323.97,1311.14,1322.55
8/25/2020,1324.81,1327.42,1315.13,1315.99
8/24/2020,1305.22,1318.2,1299.05,1317.11
8/21/2020,1305.82,1307.64,1296.68,1299.26
8/20/2020,1296.37,1303.72,1292.59,1296.79
8/19/2020,1331.54,1332.79,1301.97,1308.67
8/18/2020,1321.38,1330.4,1321.07,1330.11
8/17/2020,1329.82,1331.8,1315.89,1320.91
8/14/2020,1345.56,1347.63,1324.97,1327.05
8/13/2020,1349.08,1353.53,1343.09,1346.69
8/11/2020,1334.1,1343.16,1332.24,1336.84
8/10/2020,1327.16,1330.17,1321.9,1322.01
8/7/2020,1331.92,1333.21,1321.16,1324.4
8/6/2020,1336.13,1346.49,1333.18,1333.22
8/5/2020,1335.52,1341.23,1326.07,1337.35
8/4/2020,1330.6,1338.08,1328.13,1330.81
8/3/2020,1324.46,1325.31,1311.25,1321.23
7/31/2020,1314.99,1328.64,1303.25,1328.53
7/30/2020,1345.09,1347.45,1313.1,1315.74
7/29/2020,1346.6,1349.91,1337.03,1338.35
