Date, Open, High, Low, Close
11/9/2020,1214.42,1235.3,1211.16,1231.54
11/6/2020,1180.49,1192.24,1177.05,1191.96
11/5/2020,1172.77,1184.61,1165.83,1180.02
11/4/2020,1155.48,1170.94,1154,1167.65
11/3/2020,1138.6,1155.96,1122.64,1150.71
11/2/2020,1119.72,1143.45,1117.68,1133.59
10/30/2020,1120.85,1120.85,1095.72,1112.37
10/28/2020,1150.1,1152.61,1126.99,1126.99
10/27/2020,1143.89,1157.87,1133.73,1152.63
10/26/2020,1183.61,1183.61,1141.58,1144.45
10/23/2020,1200.38,1204.55,1179.46,1190.63
10/22/2020,1213.64,1216.03,1196.58,1198.32
10/21/2020,1220.88,1222.95,1209.31,1211.52
10/20/2020,1208.24,1213.65,1202.35,1210.41
10/19/2020,1195.46,1209.47,1195.46,1205.37
10/16/2020,1184.97,1193.83,1183.08,1192.73
10/15/2020,1188.41,1191.52,1175.2,1180.43
10/14/2020,1177.08,1189.66,1172.59,1189.29
10/13/2020,1180.98,1181.57,1170.79,1174.7
10/12/2020,1169.16,1181.57,1169.12,1178.35
10/9/2020,1152.78,1166.5,1150.97,1165.7
10/8/2020,1156.74,1159.41,1143.33,1150.49
10/7/2020,1150.1,1156.88,1147.43,1152.41
10/6/2020,1165.12,1170.48,1153.71,1153.71
10/5/2020,1150.79,1161.03,1150.79,1160.71
10/2/2020,1138.91,1150.35,1137.55,1145.03
10/1/2020,1150.07,1155.38,1142.77,1143.51
9/30/2020,1128.96,1146.73,1128.96,1145.24
9/29/2020,1123.65,1132.27,1112.39,1123.25
9/28/2020,1124.68,1130.68,1116.34,1121.17
9/25/2020,1129.03,1135.07,1123.76,1124.17
9/24/2020,1098.88,1120.73,1097.01,1119.56
9/23/2020,1101.04,1109.81,1098.82,1102.65
9/22/2020,1088.67,1097.51,1084.93,1096.16
9/21/2020,1111.82,1115.14,1085.73,1087.03
9/18/2020,1112.68,1115.82,1109.57,1111.96
9/17/2020,1105.74,1110.66,1100.27,1110.66
9/16/2020,1113.54,1116.57,1104.69,1107.11
9/15/2020,1110.55,1118.7,1096.65,1111.24
9/14/2020,1105.31,1110.34,1103.41,1107.29
9/11/2020,1100.75,1104.76,1096.79,1102.7
9/10/2020,1101.01,1105.98,1093.58,1099.06
9/9/2020,1089.39,1099.81,1087.49,1099.68
9/8/2020,1101.56,1102.8,1085.23,1089.6
9/7/2020,1089.54,1097.77,1089.54,1096.81
9/4/2020,1075.57,1090.03,1072.8,1086.32
9/3/2020,1085.88,1091.11,1074.34,1076.34
9/2/2020,1086.09,1091.3,1079.83,1083.91
9/1/2020,1081.66,1086.29,1064.42,1085.19
8/31/2020,1101.78,1102.38,1076.07,1078.61
8/28/2020,1112.88,1113.55,1094.84,1100.55
8/27/2020,1107.55,1111.6,1102.01,1108.93
8/26/2020,1090.1,1104.65,1085.99,1099.02
8/25/2020,1114.05,1118.24,1083.14,1092.16
8/24/2020,1111.21,1118.11,1106.23,1108.44
