Date, Open, High, Low, Close
11/9/2020,5910.02,6258.31,5910.02,6186.29
11/6/2020,5906.18,5950.22,5858.48,5910.02
11/5/2020,5883.26,5933.05,5881.87,5906.18
11/4/2020,5786.77,5885.67,5711.21,5883.26
11/3/2020,5654.97,5787.61,5654.97,5786.77
11/2/2020,5577.27,5665.3,5554.73,5654.97
10/30/2020,5581.75,5593.4,5534.08,5577.27
10/29/2020,5582.8,5616.58,5534.66,5581.75
10/28/2020,5728.99,5728.99,5525.52,5582.8
10/27/2020,5792.01,5806.23,5728.18,5728.99
10/26/2020,5860.28,5868.36,5782.37,5792.01
10/23/2020,5785.65,5885.38,5781.78,5860.28
10/22/2020,5776.5,5796.44,5716.4,5785.65
10/21/2020,5889.22,5903.38,5769.62,5776.5
10/20/2020,5884.65,5915.47,5861.81,5889.22
10/19/2020,5919.58,5959.67,5871.95,5884.65
10/16/2020,5832.52,5933.81,5832.52,5919.58
10/15/2020,5935.06,5935.06,5786.2,5832.52
10/14/2020,5969.71,6009.81,5926.49,5935.06
10/13/2020,6001.38,6008.04,5949.97,5969.71
10/12/2020,6016.65,6037.08,5995.11,6001.38
10/9/2020,5978.03,6040.47,5978.03,6016.65
10/8/2020,5946.25,6004.15,5929.41,5978.03
10/7/2020,5949.94,5977.15,5929.16,5946.25
10/6/2020,5942.94,5971.48,5903.4,5949.94
10/5/2020,5902.12,5974.22,5902.12,5942.94
10/2/2020,5879.45,5902.12,5809.61,5902.12
10/1/2020,5866.1,5925.77,5849.82,5879.45
9/30/2020,5897.5,5931.37,5854.46,5866.1
9/29/2020,5927.93,5927.93,5862.93,5897.5
9/28/2020,5842.67,5954.42,5842.67,5927.93
9/25/2020,5822.78,5843.72,5771.49,5842.67
9/24/2020,5899.26,5899.26,5805.28,5822.78
9/23/2020,5829.46,5974.88,5829.46,5899.26
9/22/2020,5804.29,5871.28,5794.54,5829.46
9/21/2020,6007.05,6007.05,5779.24,5804.29
9/18/2020,6049.92,6055.24,6006.28,6007.05
9/17/2020,6078.48,6078.48,5998.69,6049.92
9/16/2020,6105.54,6119.24,6057.63,6078.48
9/15/2020,6026.25,6123.69,6026.17,6105.54
9/14/2020,6032.09,6080.02,6011.83,6026.25
9/11/2020,6003.32,6057.69,5992.93,6032.09
9/10/2020,6012.84,6028.76,5950.62,6003.32
9/9/2020,5930.3,6031.25,5923.43,6012.84
9/8/2020,5937.4,5985.26,5868.87,5930.3
9/7/2020,5799.08,5946.93,5798.47,5937.4
9/4/2020,5850.86,5904.16,5778.4,5799.08
