Date, Open, High, Low, Close
11/09/20, 29467.90, 29933.83, 29130.66, 29157.97
11/06/20, 28399.13, 28431.96, 28189.50, 28323.40
11/05/20, 28083.37, 28495.05, 28083.37, 28390.18
11/04/20, 27512.83, 28301.50, 27512.83, 27847.66
11/03/20, 27138.69, 27640.21, 27138.69, 27480.03
11/02/20, 26691.28, 27043.48, 26691.28, 26925.05
10/30/20, 26572.27, 26639.18, 26143.77, 26501.60
10/29/20, 26480.98, 26891.89, 26290.78, 26659.11
10/28/20, 27102.14, 27102.14, 26497.39, 26519.95
10/27/20, 27651.18, 27707.69, 27457.96, 27463.19
10/26/20, 28185.82, 28185.82, 27370.16, 27685.38
10/23/20, 28409.65, 28436.52, 28149.82, 28335.57
10/22/20, 28197.42, 28421.31, 28040.18, 28363.66
10/21/20, 28270.66, 28450.64, 28196.39, 28210.82
10/20/20, 28245.85, 28575.03, 28243.04, 28308.79
10/19/20, 28633.55, 28711.93, 28139.40, 28195.42
10/16/20, 28570.72, 28842.90, 28570.72, 28606.31
10/15/20, 28323.40, 28535.85, 28181.54, 28494.20
10/14/20, 28731.30, 28792.56, 28461.73, 28514.00
10/13/20, 28764.95, 28808.84, 28604.35, 28679.81
10/12/20, 28671.12, 28957.90, 28659.67, 28837.52
10/09/20, 28533.61, 28676.29, 28440.63, 28586.90
10/08/20, 28348.86, 28459.13, 28265.56, 28425.51
10/07/20, 27971.36, 28369.66, 27971.36, 28303.46
10/06/20, 28214.24, 28354.48, 27728.03, 27772.76
10/05/20, 27825.42, 28162.64, 27825.42, 28148.64
10/02/20, 27536.39, 27861.43, 27382.94, 27682.81
10/01/20, 27940.63, 28041.46, 27669.26, 27816.90
09/30/20, 27514.64, 28026.33, 27511.06, 27781.70
09/29/20, 27560.24, 27605.60, 27338.09, 27452.66
09/28/20, 27362.14, 27722.60, 27362.14, 27584.06
09/25/20, 26694.51, 27239.29, 26635.38, 27173.96
09/24/20, 26716.09, 27094.85, 26537.01, 26815.44
09/23/20, 27413.60, 27464.46, 26716.12, 26763.13
09/22/20, 27170.34, 27333.09, 26989.93, 27288.18
09/21/20, 27484.71, 27484.71, 26715.15, 27147.70
09/18/20, 27864.87, 27946.69, 27487.97, 27657.42
09/17/20, 27834.18, 28056.79, 27647.93, 27901.98
09/16/20, 28031.69, 28364.77, 28021.67, 28032.38
09/15/20, 28139.76, 28231.06, 27931.45, 27995.60
09/14/20, 27718.74, 28086.06, 27718.74, 27993.33
09/11/20, 27613.86, 27828.82, 27448.15, 27665.64
09/10/20, 28022.51, 28174.78, 27447.08, 27534.58
09/09/20, 27711.71, 28206.21, 27704.54, 27940.47
09/08/20, 27925.23, 27925.23, 27464.90, 27500.89
09/04/20, 28341.05, 28539.75, 27664.68, 28133.31
09/03/20, 29090.70, 29199.35, 28074.76, 28292.73
09/02/20, 28736.79, 29162.88, 28713.53, 29100.50
09/01/20, 28439.61, 28659.26, 28290.72, 28645.66
08/31/20, 28643.66, 28643.66, 28363.55, 28430.05
08/28/20, 28601.29, 28733.35, 28487.98, 28653.87
08/27/20, 28384.07, 28634.22, 28363.93, 28492.27
08/26/20, 28257.88, 28353.80, 28153.91, 28331.92
08/25/20, 28347.42, 28400.74, 28094.57, 28248.44
08/24/20, 28077.58, 28314.94, 28041.75, 28308.46
08/21/20, 27758.13, 27959.48, 27686.78, 27930.33
08/20/20, 27622.68, 27781.46, 27526.25, 27739.73
08/19/20, 27811.26, 27920.42, 27647.67, 27692.88
08/18/20, 27853.48, 27891.12, 27668.79, 27778.07
08/17/20, 27970.05, 27999.81, 27816.40, 27844.91
08/14/20, 27828.93, 27977.81, 27759.39, 27931.02
08/13/20, 27922.51, 27986.10, 27789.78, 27896.72
08/12/20, 27860.24, 28043.89, 27843.32, 27976.84
08/11/20, 27961.64, 28154.88, 27624.51, 27686.91
08/10/20, 27488.21, 27803.86, 27488.21, 27791.44
08/07/20, 27321.68, 27456.24, 27223.55, 27433.48
08/06/20, 27170.82, 27394.10, 27145.25, 27386.98
08/05/20, 26924.78, 27221.67, 26924.78, 27201.52
08/04/20, 26664.61, 26832.72, 26597.82, 26828.47
08/03/20, 26542.32, 26707.26, 26534.38, 26664.40
07/31/20, 26409.33, 26440.02, 26013.59, 26428.32
07/30/20, 26367.42, 26374.93, 25992.28, 26313.65
07/29/20, 26388.44, 26602.45, 26375.39, 26539.57
07/28/20, 26529.45, 26556.84, 26361.71, 26379.28
07/27/20, 26447.67, 26625.46, 26426.92, 26584.77
07/24/20, 26533.41, 26625.70, 26402.86, 26469.89
07/23/20, 26955.97, 26973.85, 26560.04, 26652.33
07/22/20, 26824.56, 27035.24, 26794.19, 27005.84
07/21/20, 26833.14, 27025.38, 26766.22, 26840.40
07/20/20, 26660.29, 26765.02, 26504.20, 26680.87
07/17/20, 26774.62, 26808.43, 26619.88, 26671.95
07/16/20, 26746.57, 26879.16, 26590.01, 26734.71
07/15/20, 27009.81, 27071.33, 26692.48, 26870.10
07/14/20, 26044.17, 26690.52, 25994.98, 26642.59
07/13/20, 26225.07, 26639.09, 26044.23, 26085.80
07/10/20, 25690.35, 26101.32, 25637.50, 26075.30
07/09/20, 26094.92, 26103.28, 25523.51, 25706.09
07/08/20, 25950.06, 26109.49, 25816.25, 26067.28
07/07/20, 26172.01, 26174.93, 25866.58, 25890.18
07/06/20, 25996.08, 26297.53, 25996.08, 26287.03
07/02/20, 25936.45, 26204.41, 25778.12, 25827.36
07/01/20, 25879.38, 26019.31, 25713.61, 25734.97
06/30/20, 25512.43, 25905.38, 25475.14, 25812.88
06/29/20, 25152.45, 25601.15, 25096.16, 25595.80
06/26/20, 25641.69, 25641.69, 24971.03, 25015.55
06/25/20, 25365.22, 25769.61, 25209.79, 25745.60
06/24/20, 25992.96, 25992.96, 25296.73, 25445.94
06/23/20, 26159.39, 26314.97, 26105.97, 26156.10
06/22/20, 25865.08, 26059.81, 25667.68, 26024.96
06/19/20, 26213.10, 26451.44, 25759.66, 25871.46
06/18/20, 26016.45, 26154.20, 25848.53, 26080.10
06/17/20, 26330.52, 26400.07, 26068.41, 26119.61
06/16/20, 26326.68, 26611.03, 25811.70, 26289.98
06/15/20, 25270.39, 25891.58, 24843.18, 25763.16
06/12/20, 25659.42, 25965.55, 25078.41, 25605.54
06/11/20, 26282.51, 26294.08, 25082.72, 25128.17
06/10/20, 27251.89, 27355.22, 26938.05, 26989.99
06/09/20, 27447.37, 27447.37, 27151.06, 27272.30
06/08/20, 27232.93, 27580.21, 27232.48, 27572.44
06/05/20, 26836.80, 27338.30, 26836.80, 27110.98
06/04/20, 26226.49, 26384.10, 26082.31, 26281.82
06/03/20, 25906.88, 26337.75, 25906.88, 26269.89
06/02/20, 25582.52, 25743.13, 25523.74, 25742.65
06/01/20, 25342.99, 25508.83, 25220.66, 25475.02
05/29/20, 25324.15, 25482.80, 25031.67, 25383.11
05/28/20, 25697.36, 25758.79, 25358.73, 25400.64
05/27/20, 25298.63, 25551.56, 25009.87, 25548.27
05/26/20, 24781.84, 25176.42, 24781.84, 24995.11
