dates,Austria.JHU_ConfirmedCases.data,Austria.JHU_ConfirmedDeaths.data,Austria.JHU_ConfirmedRecoveries.data
2020-02-15,0.0,0.0,
2020-02-16,0.0,0.0,
2020-02-17,0.0,0.0,
2020-02-18,0.0,0.0,
2020-02-19,0.0,0.0,
2020-02-20,0.0,0.0,
2020-02-21,0.0,0.0,
2020-02-22,0.0,0.0,
2020-02-23,0.0,0.0,
2020-02-24,0.0,0.0,
2020-02-25,2.0,0.0,
2020-02-26,2.0,0.0,
2020-02-27,3.0,0.0,
2020-02-28,3.0,0.0,
2020-02-29,9.0,0.0,
2020-03-01,14.0,0.0,
2020-03-02,18.0,0.0,
2020-03-03,21.0,0.0,
2020-03-04,29.0,0.0,
2020-03-05,41.0,0.0,
2020-03-06,55.0,0.0,
2020-03-07,79.0,0.0,
2020-03-08,104.0,0.0,
2020-03-09,131.0,0.0,
2020-03-10,182.0,0.0,
2020-03-11,246.0,0.0,
2020-03-12,302.0,1.0,
2020-03-13,504.0,1.0,
2020-03-14,655.0,1.0,
2020-03-15,860.0,1.0,
2020-03-16,1018.0,3.0,
2020-03-17,1332.0,3.0,
2020-03-18,1646.0,4.0,
2020-03-19,2013.0,6.0,
2020-03-20,2388.0,6.0,
2020-03-21,2814.0,8.0,
2020-03-22,3580.0,16.0,
2020-03-23,4474.0,21.0,
2020-03-24,5283.0,28.0,
2020-03-25,5588.0,30.0,
2020-03-26,6909.0,49.0,
2020-03-27,7657.0,58.0,
2020-03-28,8271.0,68.0,
2020-03-29,8788.0,86.0,
2020-03-30,9618.0,108.0,
2020-03-31,10180.0,128.0,
2020-04-01,10711.0,146.0,
2020-04-02,11129.0,158.0,
2020-04-03,11524.0,168.0,
2020-04-04,11781.0,186.0,
2020-04-05,12051.0,204.0,
2020-04-06,12297.0,220.0,
2020-04-07,12639.0,243.0,
2020-04-08,12942.0,273.0,
2020-04-09,13244.0,295.0,
2020-04-10,13555.0,319.0,
2020-04-11,13806.0,337.0,
2020-04-12,13945.0,350.0,
2020-04-13,14041.0,368.0,
2020-04-14,14226.0,384.0,
2020-04-15,14336.0,393.0,
2020-04-16,14476.0,410.0,
2020-04-17,14595.0,431.0,
2020-04-18,14671.0,443.0,
2020-04-19,14749.0,452.0,
2020-04-20,14795.0,470.0,
2020-04-21,14873.0,491.0,
2020-04-22,14925.0,510.0,
2020-04-23,15002.0,522.0,
2020-04-24,15002.0,522.0,
2020-04-25,15148.0,536.0,
2020-04-26,15225.0,542.0,
2020-04-27,15274.0,549.0,
2020-04-28,15357.0,569.0,
2020-04-29,15402.0,580.0,
2020-04-30,15452.0,584.0,
2020-05-01,15531.0,589.0,
2020-05-02,15558.0,596.0,
2020-05-03,15597.0,598.0,
2020-05-04,15621.0,600.0,
2020-05-05,15650.0,606.0,
2020-05-06,15684.0,608.0,
2020-05-07,15752.0,609.0,
2020-05-08,15774.0,614.0,
2020-05-09,15833.0,615.0,
2020-05-10,15871.0,618.0,
2020-05-11,15882.0,620.0,
2020-05-12,15961.0,623.0,
2020-05-13,15997.0,624.0,
2020-05-14,16058.0,626.0,
2020-05-15,16109.0,628.0,
2020-05-16,16201.0,629.0,
2020-05-17,16242.0,629.0,
2020-05-18,16269.0,629.0,
2020-05-19,16321.0,632.0,
2020-05-20,16353.0,633.0,
2020-05-21,16404.0,633.0,
2020-05-22,16436.0,635.0,
2020-05-23,16486.0,639.0,
2020-05-24,16503.0,640.0,
2020-05-25,16539.0,641.0,
2020-05-26,16557.0,643.0,
2020-05-27,16591.0,645.0,
2020-05-28,16628.0,668.0,
2020-05-29,16655.0,668.0,
2020-05-30,16685.0,668.0,
2020-05-31,16731.0,668.0,
2020-06-01,16733.0,668.0,
2020-06-02,16759.0,669.0,
2020-06-03,16771.0,670.0,
2020-06-04,16805.0,670.0,
2020-06-05,16843.0,672.0,
2020-06-06,16898.0,672.0,
2020-06-07,16902.0,672.0,
2020-06-08,16968.0,672.0,
2020-06-09,16979.0,672.0,
2020-06-10,17005.0,673.0,
2020-06-11,17034.0,674.0,
2020-06-12,17064.0,675.0,
2020-06-13,17078.0,677.0,
2020-06-14,17109.0,677.0,
2020-06-15,17135.0,678.0,
2020-06-16,17189.0,681.0,
2020-06-17,17203.0,687.0,
2020-06-18,17223.0,688.0,
2020-06-19,17271.0,688.0,
2020-06-20,17323.0,688.0,
2020-06-21,17341.0,690.0,
2020-06-22,17380.0,690.0,
2020-06-23,17408.0,693.0,
2020-06-24,17449.0,693.0,
2020-06-25,17477.0,698.0,
2020-06-26,17522.0,698.0,
2020-06-27,17580.0,700.0,
2020-06-28,17654.0,702.0,
2020-06-29,17723.0,703.0,
2020-06-30,17766.0,705.0,
2020-07-01,17873.0,705.0,
2020-07-02,17941.0,705.0,
2020-07-03,18050.0,705.0,
2020-07-04,18165.0,705.0,
2020-07-05,18280.0,706.0,
2020-07-06,18365.0,706.0,
2020-07-07,18421.0,706.0,
2020-07-08,18513.0,706.0,
2020-07-09,18615.0,706.0,
2020-07-10,18709.0,706.0,
2020-07-11,18783.0,706.0,
2020-07-12,18897.0,708.0,
2020-07-13,18948.0,708.0,
2020-07-14,19021.0,709.0,
2020-07-15,19154.0,710.0,
2020-07-16,19270.0,711.0,
2020-07-17,19439.0,711.0,
2020-07-18,19573.0,711.0,
2020-07-19,19655.0,711.0,
2020-07-20,19743.0,711.0,
2020-07-21,19827.0,710.0,
2020-07-22,19929.0,711.0,
2020-07-23,20099.0,711.0,
2020-07-24,20214.0,711.0,
2020-07-25,20338.0,712.0,
2020-07-26,20472.0,712.0,
2020-07-27,20558.0,713.0,
2020-07-28,20677.0,713.0,
2020-07-29,20850.0,716.0,
2020-07-30,20955.0,718.0,
2020-07-31,21130.0,718.0,
2020-08-01,21212.0,718.0,
2020-08-02,21304.0,718.0,
2020-08-03,21385.0,718.0,
2020-08-04,21481.0,719.0,
2020-08-05,21566.0,719.0,
2020-08-06,21696.0,719.0,
