dates,Belgium.JHU_ConfirmedCases.data,Belgium.JHU_ConfirmedDeaths.data,Belgium.JHU_ConfirmedRecoveries.data
2020-02-15,1.0,0.0,
2020-02-16,1.0,0.0,
2020-02-17,1.0,0.0,
2020-02-18,1.0,0.0,
2020-02-19,1.0,0.0,
2020-02-20,1.0,0.0,
2020-02-21,1.0,0.0,
2020-02-22,1.0,0.0,
2020-02-23,1.0,0.0,
2020-02-24,1.0,0.0,
2020-02-25,1.0,0.0,
2020-02-26,1.0,0.0,
2020-02-27,1.0,0.0,
2020-02-28,1.0,0.0,
2020-02-29,1.0,0.0,
2020-03-01,2.0,0.0,
2020-03-02,8.0,0.0,
2020-03-03,13.0,0.0,
2020-03-04,23.0,0.0,
2020-03-05,50.0,0.0,
2020-03-06,109.0,0.0,
2020-03-07,169.0,0.0,
2020-03-08,200.0,0.0,
2020-03-09,239.0,0.0,
2020-03-10,267.0,0.0,
2020-03-11,314.0,3.0,
2020-03-12,314.0,3.0,
2020-03-13,559.0,3.0,
2020-03-14,689.0,4.0,
2020-03-15,886.0,4.0,
2020-03-16,1058.0,5.0,
2020-03-17,1243.0,10.0,
2020-03-18,1486.0,14.0,
2020-03-19,1795.0,21.0,
2020-03-20,2257.0,37.0,
2020-03-21,2815.0,67.0,
2020-03-22,3401.0,75.0,
2020-03-23,3743.0,88.0,
2020-03-24,4269.0,122.0,
2020-03-25,4937.0,178.0,
2020-03-26,6235.0,220.0,
2020-03-27,7284.0,289.0,
2020-03-28,9134.0,353.0,
2020-03-29,10836.0,431.0,
2020-03-30,11899.0,513.0,
2020-03-31,12775.0,705.0,
2020-04-01,13964.0,828.0,
2020-04-02,15348.0,1011.0,
2020-04-03,16770.0,1143.0,
2020-04-04,18431.0,1283.0,
2020-04-05,19691.0,1447.0,
2020-04-06,20814.0,1632.0,
2020-04-07,22194.0,2035.0,
2020-04-08,23403.0,2240.0,
2020-04-09,24983.0,2523.0,
2020-04-10,26667.0,3019.0,
2020-04-11,28018.0,3346.0,
2020-04-12,29647.0,3600.0,
2020-04-13,30589.0,3903.0,
2020-04-14,31119.0,4157.0,
2020-04-15,33573.0,4440.0,
2020-04-16,34809.0,4857.0,
2020-04-17,36138.0,5163.0,
2020-04-18,37183.0,5453.0,
2020-04-19,38496.0,5683.0,
2020-04-20,39983.0,5828.0,
2020-04-21,40956.0,5998.0,
2020-04-22,41889.0,6262.0,
2020-04-23,42797.0,6490.0,
2020-04-24,42797.0,6490.0,
2020-04-25,45325.0,6917.0,
2020-04-26,46134.0,7094.0,
2020-04-27,46687.0,7207.0,
2020-04-28,47334.0,7331.0,
2020-04-29,47859.0,7501.0,
2020-04-30,48519.0,7594.0,
2020-05-01,49032.0,7703.0,
2020-05-02,49517.0,7765.0,
2020-05-03,49906.0,7844.0,
2020-05-04,50267.0,7924.0,
2020-05-05,50509.0,8016.0,
2020-05-06,50781.0,8339.0,
2020-05-07,51420.0,8415.0,
2020-05-08,52011.0,8521.0,
2020-05-09,52596.0,8581.0,
2020-05-10,53081.0,8656.0,
2020-05-11,53449.0,8707.0,
2020-05-12,53779.0,8761.0,
2020-05-13,53981.0,8843.0,
2020-05-14,54288.0,8903.0,
2020-05-15,54644.0,8959.0,
2020-05-16,54989.0,9005.0,
2020-05-17,55280.0,9052.0,
2020-05-18,55559.0,9080.0,
2020-05-19,55791.0,9108.0,
2020-05-20,55983.0,9150.0,
2020-05-21,56235.0,9186.0,
2020-05-22,56511.0,9212.0,
2020-05-23,56810.0,9237.0,
2020-05-24,57092.0,9280.0,
2020-05-25,57342.0,9312.0,
2020-05-26,57455.0,9334.0,
2020-05-27,57592.0,9364.0,
2020-05-28,57849.0,9388.0,
2020-05-29,58061.0,9430.0,
2020-05-30,58186.0,9453.0,
2020-05-31,58381.0,9467.0,
2020-06-01,58517.0,9486.0,
2020-06-02,58615.0,9505.0,
2020-06-03,58685.0,9522.0,
2020-06-04,58767.0,9548.0,
2020-06-05,58907.0,9566.0,
2020-06-06,59072.0,9580.0,
2020-06-07,59226.0,9595.0,
2020-06-08,59348.0,9606.0,
2020-06-09,59437.0,9619.0,
2020-06-10,59569.0,9629.0,
2020-06-11,59711.0,9636.0,
2020-06-12,59819.0,9646.0,
2020-06-13,59918.0,9650.0,
2020-06-14,60029.0,9655.0,
2020-06-15,60100.0,9661.0,
2020-06-16,60155.0,9663.0,
2020-06-17,60244.0,9675.0,
2020-06-18,60348.0,9683.0,
2020-06-19,60476.0,9695.0,
2020-06-20,60550.0,9696.0,
2020-06-21,60550.0,9696.0,
2020-06-22,60550.0,9696.0,
2020-06-23,60810.0,9713.0,
2020-06-24,60898.0,9722.0,
2020-06-25,61007.0,9726.0,
2020-06-26,61106.0,9731.0,
2020-06-27,61209.0,9732.0,
2020-06-28,61295.0,9732.0,
2020-06-29,61361.0,9732.0,
2020-06-30,61427.0,9747.0,
2020-07-01,61509.0,9754.0,
2020-07-02,61598.0,9761.0,
2020-07-03,61727.0,9765.0,
2020-07-04,61838.0,9771.0,
2020-07-05,62016.0,9771.0,
2020-07-06,62058.0,9774.0,
2020-07-07,62058.0,9774.0,
2020-07-08,62123.0,9776.0,
2020-07-09,62210.0,9778.0,
2020-07-10,62357.0,9781.0,
2020-07-11,62469.0,9782.0,
