dates,Canada.JHU_ConfirmedCases.data,Canada.JHU_ConfirmedDeaths.data,Canada.JHU_ConfirmedRecoveries.data
2020-02-15,7.0,0.0,
2020-02-16,7.0,0.0,
2020-02-17,8.0,0.0,
2020-02-18,8.0,0.0,
2020-02-19,8.0,0.0,
2020-02-20,8.0,0.0,
2020-02-21,9.0,0.0,
2020-02-22,9.0,0.0,
2020-02-23,9.0,0.0,
2020-02-24,10.0,0.0,
2020-02-25,11.0,0.0,
2020-02-26,11.0,0.0,
2020-02-27,13.0,0.0,
2020-02-28,14.0,0.0,
2020-02-29,20.0,0.0,
2020-03-01,24.0,0.0,
2020-03-02,27.0,0.0,
2020-03-03,30.0,0.0,
2020-03-04,33.0,0.0,
2020-03-05,37.0,0.0,
2020-03-06,49.0,0.0,
2020-03-07,54.0,0.0,
2020-03-08,64.0,0.0,
2020-03-09,77.0,1.0,
2020-03-10,79.0,1.0,
2020-03-11,108.0,1.0,
2020-03-12,117.0,1.0,
2020-03-13,193.0,1.0,
2020-03-14,198.0,1.0,
2020-03-15,252.0,1.0,
2020-03-16,415.0,4.0,
2020-03-17,478.0,5.0,
2020-03-18,657.0,8.0,
2020-03-19,800.0,9.0,
2020-03-20,943.0,12.0,
2020-03-21,1277.0,19.0,
2020-03-22,1470.0,21.0,
2020-03-23,2089.0,25.0,
2020-03-24,2791.0,26.0,
2020-03-25,3252.0,30.0,
2020-03-26,4042.0,38.0,
2020-03-27,4682.0,54.0,
2020-03-28,5576.0,61.0,
2020-03-29,6280.0,64.0,
2020-03-30,7398.0,80.0,
2020-03-31,8527.0,101.0,
2020-04-01,9560.0,109.0,
2020-04-02,11284.0,139.0,
2020-04-03,12437.0,179.0,
2020-04-04,12978.0,218.0,
2020-04-05,15756.0,259.0,
2020-04-06,16563.0,339.0,
2020-04-07,17872.0,375.0,
2020-04-08,19141.0,407.0,
2020-04-09,20654.0,503.0,
2020-04-10,22059.0,557.0,
2020-04-11,23316.0,654.0,
2020-04-12,24299.0,714.0,
2020-04-13,25680.0,781.0,
2020-04-14,27035.0,901.0,
2020-04-15,28209.0,1008.0,
2020-04-16,30809.0,1259.0,
2020-04-17,32814.0,1356.0,
2020-04-18,34356.0,1401.0,
2020-04-19,35633.0,1565.0,
2020-04-20,37658.0,1727.0,
2020-04-21,39402.0,1910.0,
2020-04-22,41663.0,2078.0,
2020-04-23,43299.0,2241.0,
2020-04-24,43299.0,2241.0,
2020-04-25,46333.0,2565.0,
2020-04-26,47987.0,2679.0,
2020-04-27,49616.0,2841.0,
2020-04-28,51150.0,2983.0,
2020-04-29,52865.0,3155.0,
2020-04-30,54457.0,3310.0,
2020-05-01,56343.0,3537.0,
2020-05-02,57926.0,3684.0,
2020-05-03,60504.0,3795.0,
2020-05-04,61957.0,4003.0,
2020-05-05,63215.0,4190.0,
2020-05-06,64694.0,4366.0,
2020-05-07,66201.0,4541.0,
2020-05-08,67674.0,4697.0,
2020-05-09,68918.0,4823.0,
2020-05-10,70091.0,4991.0,
2020-05-11,71264.0,5115.0,
2020-05-12,72419.0,5300.0,
2020-05-13,73568.0,5425.0,
2020-05-14,74781.0,5592.0,
2020-05-15,75959.0,5679.0,
2020-05-16,77206.0,5800.0,
2020-05-17,78332.0,5903.0,
2020-05-18,79411.0,5960.0,
2020-05-19,80493.0,6028.0,
2020-05-20,81575.0,6150.0,
2020-05-21,82742.0,6267.0,
2020-05-22,83947.0,6360.0,
2020-05-23,85151.0,6466.0,
2020-05-24,86106.0,6534.0,
2020-05-25,87119.0,6655.0,
2020-05-26,88090.0,6753.0,
2020-05-27,88989.0,6876.0,
2020-05-28,89976.0,6982.0,
2020-05-29,90909.0,7063.0,
2020-05-30,91681.0,7159.0,
2020-05-31,92479.0,7374.0,
2020-06-01,93288.0,7404.0,
2020-06-02,93961.0,7478.0,
2020-06-03,94641.0,7579.0,
2020-06-04,95269.0,7717.0,
2020-06-05,95947.0,7778.0,
2020-06-06,96475.0,7850.0,
2020-06-07,97178.0,7877.0,
2020-06-08,97779.0,7910.0,
2020-06-09,98241.0,7970.0,
2020-06-10,98720.0,8038.0,
2020-06-11,99159.0,8071.0,
2020-06-12,99595.0,8125.0,
2020-06-13,100043.0,8183.0,
2020-06-14,100404.0,8218.0,
2020-06-15,100763.0,8228.0,
2020-06-16,101087.0,8271.0,
2020-06-17,101491.0,8312.0,
2020-06-18,101877.0,8361.0,
2020-06-19,102314.0,8408.0,
2020-06-20,102762.0,8466.0,
2020-06-21,103078.0,8482.0,
2020-06-22,103418.0,8494.0,
2020-06-23,103767.0,8512.0,
2020-06-24,104087.0,8544.0,
2020-06-25,104463.0,8567.0,
2020-06-26,104629.0,8571.0,
2020-06-27,104878.0,8576.0,
2020-06-28,105193.0,8582.0,
2020-06-29,105828.0,8628.0,
2020-06-30,106097.0,8650.0,
2020-07-01,106288.0,8678.0,
2020-07-02,106643.0,8700.0,
2020-07-03,106962.0,8722.0,
2020-07-04,107185.0,8732.0,
2020-07-05,107394.0,8739.0,
2020-07-06,107815.0,8748.0,
2020-07-07,108023.0,8765.0,
2020-07-08,108334.0,8786.0,
2020-07-09,108656.0,8797.0,
2020-07-10,108984.0,8811.0,
2020-07-11,109150.0,8818.0,
2020-07-12,109348.0,8829.0,
2020-07-13,109984.0,8836.0,
2020-07-14,110350.0,8845.0,
2020-07-15,110693.0,8857.0,
2020-07-16,111144.0,8875.0,
2020-07-17,111559.0,8884.0,
2020-07-18,111875.0,8892.0,
2020-07-19,112168.0,8896.0,
2020-07-20,112938.0,8902.0,
2020-07-21,113473.0,8908.0,
2020-07-22,113790.0,8913.0,
2020-07-23,114398.0,8919.0,
2020-07-24,115115.0,8923.0,
2020-07-25,115470.0,8929.0,
2020-07-26,115789.0,8934.0,
2020-07-27,116471.0,8945.0,
2020-07-28,116871.0,8957.0,
2020-07-29,117357.0,8962.0,
2020-07-30,117677.0,8974.0,
2020-07-31,118281.0,8980.0,
2020-08-01,118523.0,8986.0,
2020-08-02,118768.0,8990.0,
2020-08-03,118973.0,8995.0,
2020-08-04,119659.0,9005.0,
2020-08-05,120033.0,9010.0,
2020-08-06,120387.0,9013.0,
2020-08-07,120903.0,9017.0,
2020-08-08,121148.0,9024.0,
2020-08-09,121367.0,9028.0,
2020-08-10,122053.0,9034.0,
2020-08-11,122389.0,9038.0,
2020-08-12,122703.0,9052.0,
2020-08-13,123180.0,9063.0,
2020-08-14,123605.0,9068.0,
2020-08-15,123825.0,9072.0,
2020-08-16,124004.0,9074.0,
2020-08-17,124218.0,9075.0,
2020-08-18,125084.0,9090.0,
2020-08-19,125408.0,9095.0,
2020-08-20,125625.0,9097.0,
2020-08-21,126319.0,9110.0,
2020-08-22,126560.0,9117.0,
2020-08-23,126817.0,9119.0,
2020-08-24,127594.0,9129.0,
2020-08-25,127903.0,9136.0,
2020-08-26,128380.0,9141.0,
2020-08-27,128836.0,9148.0,
2020-08-28,129342.0,9155.0,
2020-08-29,129639.0,9161.0,
2020-08-30,129888.0,9164.0,
2020-08-31,130918.0,9173.0,
2020-09-01,131422.0,9179.0,
