dates,China.JHU_ConfirmedCases.data,China.JHU_ConfirmedDeaths.data,China.JHU_ConfirmedRecoveries.data
2020-02-15,68413.0,1663.0,
2020-02-16,70513.0,1766.0,
2020-02-17,72434.0,1864.0,
2020-02-18,74211.0,2003.0,
2020-02-19,74619.0,2116.0,
2020-02-20,75077.0,2238.0,
2020-02-21,75550.0,2238.0,
2020-02-22,77001.0,2443.0,
2020-02-23,77022.0,2445.0,
2020-02-24,77241.0,2595.0,
2020-02-25,77754.0,2665.0,
2020-02-26,78166.0,2717.0,
2020-02-27,78600.0,2746.0,
2020-02-28,78928.0,2790.0,
2020-02-29,79356.0,2837.0,
2020-03-01,79932.0,2872.0,
2020-03-02,80136.0,2914.0,
2020-03-03,80261.0,2947.0,
2020-03-04,80386.0,2983.0,
2020-03-05,80537.0,3015.0,
2020-03-06,80690.0,3044.0,
2020-03-07,80770.0,3072.0,
2020-03-08,80823.0,3100.0,
2020-03-09,80860.0,3123.0,
2020-03-10,80887.0,3139.0,
2020-03-11,80921.0,3161.0,
2020-03-12,80932.0,3172.0,
2020-03-13,80945.0,3180.0,
2020-03-14,80977.0,3193.0,
2020-03-15,81003.0,3203.0,
2020-03-16,81033.0,3217.0,
2020-03-17,81058.0,3230.0,
2020-03-18,81102.0,3241.0,
2020-03-19,81156.0,3249.0,
2020-03-20,81250.0,3253.0,
2020-03-21,81305.0,3259.0,
2020-03-22,81397.0,3265.0,
2020-03-23,81498.0,3274.0,
2020-03-24,81591.0,3281.0,
2020-03-25,81664.0,3285.0,
2020-03-26,81783.0,3291.0,
2020-03-27,81894.0,3296.0,
2020-03-28,81999.0,3299.0,
2020-03-29,82122.0,3304.0,
2020-03-30,82208.0,3308.0,
2020-03-31,82280.0,3309.0,
2020-04-01,82368.0,3316.0,
2020-04-02,82433.0,3322.0,
2020-04-03,82511.0,3326.0,
2020-04-04,82543.0,3330.0,
2020-04-05,82602.0,3333.0,
2020-04-06,82665.0,3335.0,
2020-04-07,82718.0,3335.0,
2020-04-08,82809.0,3337.0,
2020-04-09,82883.0,3339.0,
2020-04-10,82941.0,3340.0,
2020-04-11,83014.0,3343.0,
2020-04-12,83134.0,3343.0,
2020-04-13,83213.0,3345.0,
2020-04-14,83306.0,3345.0,
2020-04-15,83356.0,3346.0,
2020-04-16,83406.0,3346.0,
2020-04-17,83760.0,4636.0,
2020-04-18,83787.0,4636.0,
2020-04-19,83805.0,4636.0,
2020-04-20,83817.0,4636.0,
2020-04-21,83853.0,4636.0,
2020-04-22,83868.0,4636.0,
2020-04-23,83884.0,4636.0,
2020-04-24,83895.0,4636.0,
2020-04-25,83909.0,4636.0,
2020-04-26,83912.0,4637.0,
2020-04-27,83918.0,4637.0,
2020-04-28,83940.0,4637.0,
2020-04-29,83944.0,4637.0,
2020-04-30,83956.0,4637.0,
2020-05-01,83959.0,4637.0,
2020-05-02,83959.0,4637.0,
2020-05-03,83964.0,4637.0,
2020-05-04,83966.0,4637.0,
2020-05-05,83968.0,4637.0,
2020-05-06,83970.0,4637.0,
2020-05-07,83975.0,4637.0,
2020-05-08,83976.0,4637.0,
2020-05-09,83990.0,4637.0,
2020-05-10,84010.0,4637.0,
2020-05-11,84011.0,4637.0,
2020-05-12,84018.0,4637.0,
2020-05-13,84024.0,4637.0,
2020-05-14,84029.0,4637.0,
2020-05-15,84038.0,4637.0,
2020-05-16,84044.0,4638.0,
2020-05-17,84054.0,4638.0,
2020-05-18,84063.0,4638.0,
2020-05-19,84063.0,4638.0,
2020-05-20,84063.0,4638.0,
2020-05-21,84063.0,4638.0,
2020-05-22,84081.0,4638.0,
2020-05-23,84084.0,4638.0,
2020-05-24,84095.0,4638.0,
2020-05-25,84102.0,4638.0,
2020-05-26,84103.0,4638.0,
2020-05-27,84106.0,4638.0,
2020-05-28,84106.0,4638.0,
2020-05-29,84123.0,4638.0,
2020-05-30,84128.0,4638.0,
2020-05-31,84146.0,4638.0,
2020-06-01,84154.0,4638.0,
2020-06-02,84161.0,4638.0,
2020-06-03,84160.0,4638.0,
2020-06-04,84171.0,4638.0,
2020-06-05,84177.0,4638.0,
2020-06-06,84186.0,4638.0,
2020-06-07,84146.0,4638.0,
2020-06-08,84150.0,4638.0,
2020-06-09,84153.0,4638.0,
2020-06-10,84164.0,4638.0,
2020-06-11,84171.0,4638.0,
2020-06-12,84183.0,4638.0,
2020-06-13,84241.0,4638.0,
2020-06-14,84290.0,4638.0,
2020-06-15,84333.0,4638.0,
2020-06-16,84377.0,4638.0,
2020-06-17,84413.0,4638.0,
2020-06-18,84449.0,4638.0,
2020-06-19,84449.0,4638.0,
2020-06-20,84508.0,4639.0,
