dates,France.JHU_ConfirmedCases.data,France.JHU_ConfirmedDeaths.data,France.JHU_ConfirmedRecoveries.data
2020-02-15,12.0,1.0,
2020-02-16,12.0,1.0,
2020-02-17,12.0,1.0,
2020-02-18,12.0,1.0,
2020-02-19,12.0,1.0,
2020-02-20,12.0,1.0,
2020-02-21,12.0,1.0,
2020-02-22,12.0,1.0,
2020-02-23,12.0,1.0,
2020-02-24,12.0,1.0,
2020-02-25,14.0,1.0,
2020-02-26,18.0,2.0,
2020-02-27,38.0,2.0,
2020-02-28,57.0,2.0,
2020-02-29,100.0,2.0,
2020-03-01,130.0,2.0,
2020-03-02,191.0,3.0,
2020-03-03,204.0,4.0,
2020-03-04,288.0,4.0,
2020-03-05,380.0,6.0,
2020-03-06,656.0,9.0,
2020-03-07,959.0,11.0,
2020-03-08,1136.0,19.0,
2020-03-09,1219.0,19.0,
2020-03-10,1794.0,33.0,
2020-03-11,2293.0,48.0,
2020-03-12,2293.0,48.0,
2020-03-13,3681.0,79.0,
2020-03-14,4496.0,91.0,
2020-03-15,4532.0,91.0,
2020-03-16,6683.0,149.0,
2020-03-17,7715.0,149.0,
2020-03-18,9124.0,149.0,
2020-03-19,10970.0,244.0,
2020-03-20,12758.0,451.0,
2020-03-21,14463.0,563.0,
2020-03-22,16214.0,676.0,
2020-03-23,20123.0,862.0,
2020-03-24,22622.0,1102.0,
2020-03-25,25600.0,1333.0,
2020-03-26,29551.0,1698.0,
2020-03-27,33402.0,1997.0,
2020-03-28,38105.0,2317.0,
2020-03-29,40708.0,2611.0,
2020-03-30,45170.0,3030.0,
2020-03-31,52827.0,3532.0,
2020-04-01,57749.0,4043.0,
2020-04-02,59929.0,5398.0,
2020-04-03,65202.0,6520.0,
2020-04-04,90848.0,7574.0,
2020-04-05,93773.0,8093.0,
2020-04-06,98963.0,8926.0,
2020-04-07,110065.0,10343.0,
2020-04-08,113959.0,10887.0,
2020-04-09,118781.0,12228.0,
2020-04-10,125931.0,13215.0,
2020-04-11,130727.0,13851.0,
2020-04-12,133670.0,14412.0,
2020-04-13,137875.0,14986.0,
2020-04-14,131361.0,15748.0,
2020-04-15,134582.0,17188.0,
2020-04-16,147091.0,17941.0,
2020-04-17,149130.0,18703.0,
2020-04-18,149149.0,19345.0,
2020-04-19,154097.0,19744.0,
2020-04-20,156480.0,20292.0,
2020-04-21,159297.0,20829.0,
2020-04-22,157125.0,21373.0,
2020-04-23,159460.0,21889.0,
2020-04-24,159460.0,21889.0,
2020-04-25,161644.0,22648.0,
2020-04-26,162220.0,22890.0,
2020-04-27,165963.0,23327.0,
2020-04-28,169053.0,23694.0,
2020-04-29,166543.0,24121.0,
2020-04-30,167299.0,24410.0,
2020-05-01,167305.0,24628.0,
2020-05-02,168518.0,24763.0,
2020-05-03,168925.0,24900.0,
2020-05-04,169583.0,25204.0,
2020-05-05,170687.0,25537.0,
2020-05-06,174224.0,25812.0,
2020-05-07,174918.0,25990.0,
2020-05-08,176202.0,26233.0,
2020-05-09,176782.0,26313.0,
2020-05-10,177094.0,26383.0,
2020-05-11,177547.0,26646.0,
2020-05-12,178349.0,26994.0,
2020-05-13,178184.0,27077.0,
2020-05-14,178994.0,27428.0,
2020-05-15,179630.0,27532.0,
2020-05-16,179630.0,27532.0,
2020-05-17,179693.0,28111.0,
2020-05-18,180051.0,28242.0,
2020-05-19,180933.0,28025.0,
2020-05-20,181700.0,28135.0,
2020-05-21,181951.0,28218.0,
2020-05-22,182015.0,28218.0,
2020-05-23,182036.0,28218.0,
2020-05-24,182709.0,28370.0,
2020-05-25,183067.0,28460.0,
2020-05-26,182847.0,28533.0,
2020-05-27,183038.0,28599.0,
2020-05-28,186364.0,28665.0,
2020-05-29,186923.0,28717.0,
2020-05-30,188752.0,28774.0,
