dates,Germany.JHU_ConfirmedCases.data,Germany.JHU_ConfirmedDeaths.data,Germany.JHU_ConfirmedRecoveries.data
2020-02-15,16.0,0.0,
2020-02-16,16.0,0.0,
2020-02-17,16.0,0.0,
2020-02-18,16.0,0.0,
2020-02-19,16.0,0.0,
2020-02-20,16.0,0.0,
2020-02-21,16.0,0.0,
2020-02-22,16.0,0.0,
2020-02-23,16.0,0.0,
2020-02-24,16.0,0.0,
2020-02-25,17.0,0.0,
2020-02-26,27.0,0.0,
2020-02-27,46.0,0.0,
2020-02-28,48.0,0.0,
2020-02-29,79.0,0.0,
2020-03-01,130.0,0.0,
2020-03-02,159.0,0.0,
2020-03-03,196.0,0.0,
2020-03-04,262.0,0.0,
2020-03-05,482.0,0.0,
2020-03-06,670.0,0.0,
2020-03-07,799.0,0.0,
2020-03-08,1040.0,0.0,
2020-03-09,1176.0,2.0,
2020-03-10,1457.0,2.0,
2020-03-11,1908.0,3.0,
2020-03-12,2078.0,3.0,
2020-03-13,3675.0,7.0,
2020-03-14,4585.0,9.0,
2020-03-15,5795.0,11.0,
2020-03-16,7272.0,17.0,
2020-03-17,9257.0,24.0,
2020-03-18,12327.0,28.0,
2020-03-19,15320.0,44.0,
2020-03-20,19848.0,67.0,
2020-03-21,22213.0,84.0,
2020-03-22,24873.0,94.0,
2020-03-23,29056.0,123.0,
2020-03-24,32986.0,157.0,
2020-03-25,37323.0,206.0,
2020-03-26,43938.0,267.0,
2020-03-27,50871.0,342.0,
2020-03-28,57695.0,433.0,
2020-03-29,62095.0,533.0,
2020-03-30,66885.0,645.0,
2020-03-31,71808.0,775.0,
2020-04-01,77872.0,920.0,
2020-04-02,84794.0,1107.0,
2020-04-03,91159.0,1275.0,
2020-04-04,96092.0,1444.0,
2020-04-05,100123.0,1584.0,
2020-04-06,103374.0,1810.0,
2020-04-07,107663.0,2016.0,
2020-04-08,113296.0,2349.0,
2020-04-09,118181.0,2607.0,
2020-04-10,122171.0,2767.0,
2020-04-11,124908.0,2736.0,
2020-04-12,127854.0,3022.0,
2020-04-13,130072.0,3194.0,
2020-04-14,131359.0,3294.0,
2020-04-15,134753.0,3804.0,
2020-04-16,137698.0,4052.0,
2020-04-17,141397.0,4352.0,
2020-04-18,143342.0,4459.0,
2020-04-19,145184.0,4586.0,
2020-04-20,147065.0,4862.0,
2020-04-21,148291.0,5033.0,
2020-04-22,150648.0,5279.0,
2020-04-23,153129.0,5575.0,
2020-04-24,153129.0,5575.0,
2020-04-25,156513.0,5877.0,
2020-04-26,157770.0,5976.0,
2020-04-27,158758.0,6126.0,
2020-04-28,159912.0,6314.0,
2020-04-29,161539.0,6467.0,
2020-04-30,163009.0,6623.0,
2020-05-01,164077.0,6736.0,
2020-05-02,164967.0,6812.0,
2020-05-03,165664.0,6866.0,
2020-05-04,166152.0,6993.0,
2020-05-05,167007.0,6993.0,
2020-05-06,168162.0,7275.0,
2020-05-07,169430.0,7392.0,
2020-05-08,170588.0,7510.0,
2020-05-09,171324.0,7549.0,
2020-05-10,171879.0,7569.0,
2020-05-11,172576.0,7661.0,
2020-05-12,173171.0,7738.0,
2020-05-13,174098.0,7861.0,
2020-05-14,174478.0,7884.0,
2020-05-15,175233.0,7897.0,
2020-05-16,175752.0,7938.0,
2020-05-17,176369.0,7962.0,
2020-05-18,176551.0,8003.0,
2020-05-19,177778.0,8081.0,
2020-05-20,178473.0,8144.0,
2020-05-21,179021.0,8203.0,
2020-05-22,179710.0,8228.0,
2020-05-23,179986.0,8261.0,
2020-05-24,180328.0,8283.0,
2020-05-25,180600.0,8309.0,
2020-05-26,181200.0,8372.0,
2020-05-27,181524.0,8428.0,
2020-05-28,182196.0,8470.0,
2020-05-29,182922.0,8504.0,
2020-05-30,183189.0,8530.0,
2020-05-31,183410.0,8540.0,
2020-06-01,183594.0,8555.0,
2020-06-02,183879.0,8563.0,
2020-06-03,184121.0,8602.0,
2020-06-04,184472.0,8635.0,
2020-06-05,184924.0,8658.0,
2020-06-06,185450.0,8673.0,
2020-06-07,185750.0,8685.0,
2020-06-08,186109.0,8695.0,
2020-06-09,186506.0,8736.0,
2020-06-10,186522.0,8752.0,
2020-06-11,186691.0,8772.0,
2020-06-12,187226.0,8783.0,
2020-06-13,187267.0,8793.0,
2020-06-14,187518.0,8801.0,
2020-06-15,187682.0,8807.0,
2020-06-16,188252.0,8820.0,
2020-06-17,188604.0,8851.0,
2020-06-18,189817.0,8875.0,
2020-06-19,190299.0,8887.0,
2020-06-20,190670.0,8895.0,
2020-06-21,191272.0,8895.0,
2020-06-22,191768.0,8899.0,
2020-06-23,192480.0,8914.0,
2020-06-24,192871.0,8928.0,
2020-06-25,193371.0,8940.0,
2020-06-26,194036.0,8965.0,
2020-06-27,194458.0,8968.0,
2020-06-28,194693.0,8968.0,
2020-06-29,195041.0,8976.0,
2020-06-30,195418.0,8990.0,
2020-07-01,195893.0,8995.0,
2020-07-02,196370.0,9006.0,
2020-07-03,196780.0,9010.0,
2020-07-04,197198.0,9020.0,
2020-07-05,197523.0,9023.0,
2020-07-06,198064.0,9022.0,
2020-07-07,198343.0,9032.0,
2020-07-08,198699.0,9046.0,
2020-07-09,199001.0,9057.0,
2020-07-10,199332.0,9063.0,
2020-07-11,199709.0,9070.0,
2020-07-12,199919.0,9071.0,
2020-07-13,200180.0,9074.0,
2020-07-14,200456.0,9078.0,
2020-07-15,200890.0,9080.0,
2020-07-16,201450.0,9087.0,
2020-07-17,202045.0,9088.0,
2020-07-18,202426.0,9091.0,
2020-07-19,202735.0,9092.0,
2020-07-20,203325.0,9094.0,
2020-07-21,203717.0,9099.0,
2020-07-22,204276.0,9102.0,
2020-07-23,204881.0,9110.0,
2020-07-24,205623.0,9120.0,
2020-07-25,206278.0,9124.0,
2020-07-26,206667.0,9124.0,
2020-07-27,207112.0,9125.0,
2020-07-28,207707.0,9131.0,
2020-07-29,208546.0,9135.0,
2020-07-30,209535.0,9144.0,
2020-07-31,210399.0,9147.0,
2020-08-01,211005.0,9154.0,
2020-08-02,211220.0,9154.0,
2020-08-03,212111.0,9154.0,
2020-08-04,212828.0,9163.0,
2020-08-05,214113.0,9179.0,
2020-08-06,215039.0,9181.0,
2020-08-07,216196.0,9195.0,
2020-08-08,216903.0,9201.0,
2020-08-09,217288.0,9202.0,
2020-08-10,218508.0,9203.0,
2020-08-11,219540.0,9208.0,
2020-08-12,220859.0,9213.0,
2020-08-13,222281.0,9217.0,
2020-08-14,223791.0,9230.0,
2020-08-15,224488.0,9235.0,
2020-08-16,225007.0,9235.0,
2020-08-17,226700.0,9236.0,
2020-08-18,228120.0,9241.0,
2020-08-19,229706.0,9249.0,
2020-08-20,231292.0,9263.0,
2020-08-21,233029.0,9266.0,
2020-08-22,233861.0,9272.0,
2020-08-23,234494.0,9275.0,
2020-08-24,236122.0,9276.0,
2020-08-25,237583.0,9281.0,
2020-08-26,239010.0,9285.0,
2020-08-27,240571.0,9290.0,
