dates,Greece.JHU_ConfirmedCases.data,Greece.JHU_ConfirmedDeaths.data,Greece.JHU_ConfirmedRecoveries.data
2020-02-15,0.0,0.0,
2020-02-16,0.0,0.0,
2020-02-17,0.0,0.0,
2020-02-18,0.0,0.0,
2020-02-19,0.0,0.0,
2020-02-20,0.0,0.0,
2020-02-21,0.0,0.0,
2020-02-22,0.0,0.0,
2020-02-23,0.0,0.0,
2020-02-24,0.0,0.0,
2020-02-25,0.0,0.0,
2020-02-26,1.0,0.0,
2020-02-27,3.0,0.0,
2020-02-28,4.0,0.0,
2020-02-29,4.0,0.0,
2020-03-01,7.0,0.0,
2020-03-02,7.0,0.0,
2020-03-03,7.0,0.0,
2020-03-04,9.0,0.0,
2020-03-05,31.0,0.0,
2020-03-06,45.0,0.0,
2020-03-07,46.0,0.0,
2020-03-08,73.0,0.0,
2020-03-09,73.0,0.0,
2020-03-10,89.0,0.0,
2020-03-11,99.0,1.0,
2020-03-12,99.0,1.0,
2020-03-13,190.0,1.0,
2020-03-14,228.0,3.0,
2020-03-15,331.0,4.0,
2020-03-16,331.0,4.0,
2020-03-17,387.0,5.0,
2020-03-18,418.0,5.0,
2020-03-19,418.0,6.0,
2020-03-20,495.0,6.0,
2020-03-21,530.0,13.0,
2020-03-22,624.0,15.0,
2020-03-23,695.0,17.0,
2020-03-24,743.0,20.0,
2020-03-25,821.0,22.0,
2020-03-26,892.0,26.0,
2020-03-27,966.0,28.0,
2020-03-28,1061.0,32.0,
2020-03-29,1156.0,38.0,
2020-03-30,1212.0,43.0,
2020-03-31,1314.0,49.0,
2020-04-01,1415.0,50.0,
2020-04-02,1544.0,53.0,
2020-04-03,1613.0,63.0,
2020-04-04,1673.0,68.0,
2020-04-05,1735.0,73.0,
2020-04-06,1755.0,79.0,
2020-04-07,1832.0,81.0,
2020-04-08,1884.0,83.0,
2020-04-09,1955.0,87.0,
2020-04-10,2011.0,92.0,
2020-04-11,2081.0,93.0,
2020-04-12,2114.0,98.0,
2020-04-13,2145.0,99.0,
2020-04-14,2170.0,101.0,
2020-04-15,2192.0,102.0,
2020-04-16,2207.0,105.0,
2020-04-17,2224.0,108.0,
2020-04-18,2235.0,110.0,
2020-04-19,2235.0,113.0,
2020-04-20,2245.0,116.0,
2020-04-21,2401.0,121.0,
2020-04-22,2408.0,121.0,
2020-04-23,2463.0,125.0,
2020-04-24,2463.0,125.0,
2020-04-25,2506.0,130.0,
2020-04-26,2517.0,134.0,
2020-04-27,2534.0,136.0,
2020-04-28,2566.0,138.0,
2020-04-29,2576.0,139.0,
2020-04-30,2591.0,140.0,
2020-05-01,2612.0,140.0,
2020-05-02,2620.0,143.0,
2020-05-03,2626.0,144.0,
2020-05-04,2632.0,146.0,
2020-05-05,2642.0,146.0,
2020-05-06,2663.0,147.0,
2020-05-07,2678.0,148.0,
2020-05-08,2691.0,150.0,
2020-05-09,2710.0,151.0,
2020-05-10,2716.0,151.0,
2020-05-11,2726.0,151.0,
2020-05-12,2744.0,152.0,
2020-05-13,2760.0,155.0,
2020-05-14,2770.0,156.0,
2020-05-15,2810.0,160.0,
2020-05-16,2819.0,162.0,
2020-05-17,2834.0,163.0,
2020-05-18,2836.0,165.0,
2020-05-19,2840.0,165.0,
2020-05-20,2850.0,166.0,
2020-05-21,2853.0,168.0,
2020-05-22,2874.0,169.0,
2020-05-23,2876.0,171.0,
2020-05-24,2878.0,171.0,
2020-05-25,2882.0,172.0,
2020-05-26,2892.0,173.0,
2020-05-27,2903.0,173.0,
2020-05-28,2906.0,175.0,
2020-05-29,2909.0,175.0,
2020-05-30,2915.0,175.0,
2020-05-31,2917.0,175.0,
2020-06-01,2918.0,179.0,
2020-06-02,2937.0,179.0,
2020-06-03,2937.0,179.0,
2020-06-04,2952.0,180.0,
2020-06-05,2967.0,180.0,
2020-06-06,2980.0,180.0,
2020-06-07,2997.0,180.0,
2020-06-08,3049.0,182.0,
2020-06-09,3058.0,183.0,
2020-06-10,3068.0,183.0,
2020-06-11,3088.0,183.0,
2020-06-12,3108.0,183.0,
2020-06-13,3112.0,183.0,
2020-06-14,3121.0,183.0,
2020-06-15,3134.0,184.0,
2020-06-16,3148.0,185.0,
2020-06-17,3203.0,187.0,
2020-06-18,3227.0,188.0,
2020-06-19,3237.0,189.0,
2020-06-20,3256.0,190.0,
2020-06-21,3266.0,190.0,
2020-06-22,3287.0,190.0,
2020-06-23,3302.0,190.0,
2020-06-24,3310.0,190.0,
2020-06-25,3321.0,191.0,
2020-06-26,3343.0,191.0,
2020-06-27,3366.0,191.0,
2020-06-28,3376.0,191.0,
2020-06-29,3390.0,191.0,
2020-06-30,3409.0,192.0,
2020-07-01,3432.0,192.0,
2020-07-02,3458.0,192.0,
2020-07-03,3486.0,192.0,
2020-07-04,3511.0,192.0,
2020-07-05,3519.0,192.0,
2020-07-06,3562.0,192.0,
2020-07-07,3589.0,193.0,
2020-07-08,3622.0,193.0,
2020-07-09,3672.0,193.0,
2020-07-10,3732.0,193.0,
2020-07-11,3772.0,193.0,
2020-07-12,3803.0,193.0,
2020-07-13,3826.0,193.0,
2020-07-14,3883.0,193.0,
2020-07-15,3910.0,193.0,
2020-07-16,3939.0,193.0,
2020-07-17,3964.0,194.0,
2020-07-18,3983.0,194.0,
2020-07-19,4007.0,194.0,
2020-07-20,4012.0,195.0,
2020-07-21,4048.0,197.0,
2020-07-22,4077.0,200.0,
2020-07-23,4110.0,201.0,
2020-07-24,4135.0,201.0,
2020-07-25,4166.0,201.0,
2020-07-26,4193.0,202.0,
2020-07-27,4227.0,202.0,
2020-07-28,4279.0,203.0,
2020-07-29,4336.0,203.0,
2020-07-30,4401.0,203.0,
2020-07-31,4477.0,206.0,
2020-08-01,4587.0,206.0,
2020-08-02,4662.0,208.0,
2020-08-03,4737.0,209.0,
2020-08-04,4855.0,209.0,
2020-08-05,4974.0,210.0,
2020-08-06,5123.0,210.0,
