dates,HongKong_China.JHU_ConfirmedCases.data,HongKong_China.JHU_ConfirmedDeaths.data,HongKong_China.JHU_ConfirmedRecoveries.data
2020-02-15,56.0,1.0,
2020-02-16,57.0,1.0,
2020-02-17,60.0,1.0,
2020-02-18,62.0,1.0,
2020-02-19,63.0,2.0,
2020-02-20,68.0,2.0,
2020-02-21,68.0,2.0,
2020-02-22,69.0,2.0,
2020-02-23,74.0,2.0,
2020-02-24,79.0,2.0,
2020-02-25,84.0,2.0,
2020-02-26,91.0,2.0,
2020-02-27,92.0,2.0,
2020-02-28,94.0,2.0,
2020-02-29,95.0,2.0,
2020-03-01,96.0,2.0,
2020-03-02,100.0,2.0,
2020-03-03,100.0,2.0,
2020-03-04,105.0,2.0,
2020-03-05,105.0,2.0,
2020-03-06,107.0,2.0,
2020-03-07,108.0,2.0,
2020-03-08,114.0,3.0,
2020-03-09,115.0,3.0,
2020-03-10,120.0,3.0,
2020-03-11,126.0,3.0,
2020-03-12,129.0,3.0,
2020-03-13,134.0,4.0,
2020-03-14,140.0,4.0,
2020-03-15,145.0,4.0,
2020-03-16,155.0,4.0,
2020-03-17,162.0,4.0,
2020-03-18,181.0,4.0,
2020-03-19,208.0,4.0,
2020-03-20,256.0,4.0,
2020-03-21,273.0,4.0,
2020-03-22,317.0,4.0,
2020-03-23,356.0,4.0,
2020-03-24,386.0,4.0,
2020-03-25,410.0,4.0,
2020-03-26,453.0,4.0,
2020-03-27,519.0,4.0,
2020-03-28,561.0,4.0,
2020-03-29,641.0,4.0,
2020-03-30,682.0,4.0,
2020-03-31,714.0,4.0,
2020-04-01,765.0,4.0,
2020-04-02,802.0,4.0,
2020-04-03,845.0,4.0,
2020-04-04,862.0,4.0,
2020-04-05,890.0,4.0,
2020-04-06,914.0,4.0,
2020-04-07,935.0,4.0,
2020-04-08,960.0,4.0,
2020-04-09,973.0,4.0,
2020-04-10,989.0,4.0,
2020-04-11,1000.0,4.0,
2020-04-12,1004.0,4.0,
2020-04-13,1009.0,4.0,
2020-04-14,1012.0,4.0,
2020-04-15,1017.0,4.0,
2020-04-16,1017.0,4.0,
2020-04-17,1021.0,4.0,
2020-04-18,1024.0,4.0,
2020-04-19,1025.0,4.0,
2020-04-20,1025.0,4.0,
2020-04-21,1029.0,4.0,
2020-04-22,1033.0,4.0,
2020-04-23,1035.0,4.0,
2020-04-24,1035.0,4.0,
2020-04-25,1037.0,4.0,
2020-04-26,1037.0,4.0,
2020-04-27,1037.0,4.0,
2020-04-28,1037.0,4.0,
2020-04-29,1037.0,4.0,
2020-04-30,1037.0,4.0,
2020-05-01,1039.0,4.0,
2020-05-02,1039.0,4.0,
2020-05-03,1039.0,4.0,
2020-05-04,1040.0,4.0,
2020-05-05,1040.0,4.0,
2020-05-06,1040.0,4.0,
2020-05-07,1044.0,4.0,
2020-05-08,1044.0,4.0,
2020-05-09,1044.0,4.0,
2020-05-10,1047.0,4.0,
2020-05-11,1047.0,4.0,
2020-05-12,1047.0,4.0,
2020-05-13,1050.0,4.0,
2020-05-14,1051.0,4.0,
2020-05-15,1052.0,4.0,
2020-05-16,1052.0,4.0,
2020-05-17,1055.0,4.0,
2020-05-18,1055.0,4.0,
2020-05-19,1055.0,4.0,
2020-05-20,1055.0,4.0,
2020-05-21,1055.0,4.0,
2020-05-22,1065.0,4.0,
2020-05-23,1065.0,4.0,
2020-05-24,1065.0,4.0,
2020-05-25,1065.0,4.0,
2020-05-26,1065.0,4.0,
2020-05-27,1066.0,4.0,
2020-05-28,1066.0,4.0,
2020-05-29,1079.0,4.0,
2020-05-30,1082.0,4.0,
2020-05-31,1084.0,4.0,
2020-06-01,1087.0,4.0,
2020-06-02,1093.0,4.0,
2020-06-03,1093.0,4.0,
2020-06-04,1099.0,4.0,
2020-06-05,1102.0,4.0,
2020-06-06,1105.0,4.0,
2020-06-07,1106.0,4.0,
2020-06-08,1107.0,4.0,
2020-06-09,1107.0,4.0,
2020-06-10,1107.0,4.0,
2020-06-11,1107.0,4.0,
2020-06-12,1108.0,4.0,
2020-06-13,1109.0,4.0,
2020-06-14,1109.0,4.0,
2020-06-15,1112.0,4.0,
2020-06-16,1112.0,4.0,
2020-06-17,1120.0,4.0,
2020-06-18,1124.0,4.0,
2020-06-19,1124.0,4.0,
2020-06-20,1128.0,5.0,
2020-06-21,1131.0,5.0,
2020-06-22,1161.0,5.0,
2020-06-23,1177.0,6.0,
2020-06-24,1179.0,6.0,
2020-06-25,1193.0,7.0,
2020-06-26,1196.0,7.0,
2020-06-27,1197.0,7.0,
2020-06-28,1199.0,7.0,
2020-06-29,1203.0,7.0,
2020-06-30,1205.0,7.0,
2020-07-01,1233.0,7.0,
2020-07-02,1242.0,7.0,
2020-07-03,1247.0,7.0,
2020-07-04,1258.0,7.0,
2020-07-05,1268.0,7.0,
2020-07-06,1285.0,7.0,
2020-07-07,1299.0,7.0,
2020-07-08,1323.0,7.0,
2020-07-09,1365.0,7.0,
2020-07-10,1365.0,7.0,
2020-07-11,1431.0,7.0,
2020-07-12,1469.0,7.0,
2020-07-13,1469.0,7.0,
2020-07-14,1569.0,8.0,
2020-07-15,1588.0,10.0,
2020-07-16,1655.0,10.0,
2020-07-17,1655.0,10.0,
2020-07-18,1655.0,10.0,
2020-07-19,1655.0,10.0,
2020-07-20,1655.0,10.0,
2020-07-21,1655.0,10.0,
2020-07-22,2131.0,14.0,
2020-07-23,2249.0,15.0,
2020-07-24,2372.0,16.0,
2020-07-25,2505.0,18.0,
2020-07-26,2633.0,18.0,
2020-07-27,2778.0,22.0,
2020-07-28,2884.0,23.0,
2020-07-29,3002.0,24.0,
2020-07-30,3151.0,25.0,
2020-07-31,3272.0,27.0,
2020-08-01,3396.0,33.0,
2020-08-02,3511.0,35.0,
2020-08-03,3589.0,38.0,
2020-08-04,3669.0,42.0,
2020-08-05,3754.0,43.0,
2020-08-06,3849.0,46.0,
2020-08-07,3938.0,47.0,
2020-08-08,4007.0,47.0,
2020-08-09,4079.0,52.0,
2020-08-10,4148.0,55.0,
2020-08-11,4148.0,55.0,
2020-08-12,4243.0,63.0,
2020-08-13,4312.0,66.0,
2020-08-14,4360.0,67.0,
2020-08-15,4406.0,69.0,
2020-08-16,4480.0,69.0,
2020-08-17,4524.0,69.0,
2020-08-18,4560.0,71.0,
2020-08-19,4586.0,72.0,
2020-08-20,4604.0,75.0,
2020-08-21,4631.0,75.0,
2020-08-22,4657.0,77.0,
2020-08-23,4682.0,77.0,
2020-08-24,4691.0,77.0,
2020-08-25,4710.0,78.0,
2020-08-26,4734.0,79.0,
2020-08-27,4755.0,81.0,
2020-08-28,4768.0,84.0,
2020-08-29,4786.0,87.0,
2020-08-30,4801.0,88.0,
2020-08-31,4810.0,89.0,
2020-09-01,4822.0,90.0,
2020-09-02,4822.0,90.0,
2020-09-03,4838.0,94.0,
2020-09-04,4850.0,94.0,
2020-09-05,4857.0,94.0,
2020-09-06,4878.0,96.0,
2020-09-07,4889.0,98.0,
2020-09-08,4889.0,98.0,
2020-09-09,4901.0,99.0,
2020-09-10,4913.0,99.0,
2020-09-11,4925.0,99.0,
2020-09-12,4938.0,100.0,
2020-09-13,4957.0,100.0,
2020-09-14,4971.0,101.0,
2020-09-15,4975.0,102.0,
2020-09-16,4984.0,102.0,
2020-09-17,4993.0,102.0,
2020-09-18,4993.0,102.0,
2020-09-19,5009.0,103.0,
2020-09-20,5009.0,103.0,
2020-09-21,5038.0,103.0,
2020-09-22,5046.0,103.0,
2020-09-23,5049.0,104.0,
2020-09-24,5056.0,104.0,
2020-09-25,5058.0,105.0,
2020-09-26,5059.0,105.0,
2020-09-27,5065.0,105.0,
2020-09-28,5075.0,105.0,
2020-09-29,5079.0,105.0,
2020-09-30,5087.0,105.0,
2020-10-01,5097.0,105.0,
2020-10-02,5104.0,105.0,
2020-10-03,5108.0,105.0,
2020-10-04,5113.0,105.0,
2020-10-05,5124.0,105.0,
2020-10-06,5132.0,105.0,
2020-10-07,5143.0,105.0,
2020-10-08,5161.0,105.0,
2020-10-09,5169.0,105.0,
2020-10-10,5175.0,105.0,
2020-10-11,5182.0,105.0,
2020-10-12,5193.0,105.0,
2020-10-13,5201.0,105.0,
2020-10-14,5201.0,105.0,
