dates,Indonesia.JHU_ConfirmedCases.data,Indonesia.JHU_ConfirmedDeaths.data,Indonesia.JHU_ConfirmedRecoveries.data
2020-02-15,0.0,0.0,
2020-02-16,0.0,0.0,
2020-02-17,0.0,0.0,
2020-02-18,0.0,0.0,
2020-02-19,0.0,0.0,
2020-02-20,0.0,0.0,
2020-02-21,0.0,0.0,
2020-02-22,0.0,0.0,
2020-02-23,0.0,0.0,
2020-02-24,0.0,0.0,
2020-02-25,0.0,0.0,
2020-02-26,0.0,0.0,
2020-02-27,0.0,0.0,
2020-02-28,0.0,0.0,
2020-02-29,0.0,0.0,
2020-03-01,0.0,0.0,
2020-03-02,2.0,0.0,
2020-03-03,2.0,0.0,
2020-03-04,2.0,0.0,
2020-03-05,2.0,0.0,
2020-03-06,4.0,0.0,
2020-03-07,4.0,0.0,
2020-03-08,6.0,0.0,
2020-03-09,19.0,0.0,
2020-03-10,27.0,0.0,
2020-03-11,34.0,1.0,
2020-03-12,34.0,1.0,
2020-03-13,69.0,4.0,
2020-03-14,96.0,5.0,
2020-03-15,117.0,5.0,
2020-03-16,134.0,5.0,
2020-03-17,172.0,5.0,
2020-03-18,227.0,19.0,
2020-03-19,311.0,25.0,
2020-03-20,369.0,32.0,
2020-03-21,450.0,38.0,
2020-03-22,514.0,48.0,
2020-03-23,579.0,49.0,
2020-03-24,686.0,55.0,
2020-03-25,790.0,58.0,
2020-03-26,893.0,78.0,
2020-03-27,1046.0,87.0,
2020-03-28,1155.0,102.0,
2020-03-29,1285.0,114.0,
2020-03-30,1414.0,122.0,
2020-03-31,1528.0,136.0,
2020-04-01,1677.0,157.0,
2020-04-02,1790.0,170.0,
2020-04-03,1986.0,181.0,
2020-04-04,2092.0,191.0,
2020-04-05,2273.0,198.0,
2020-04-06,2491.0,209.0,
2020-04-07,2738.0,221.0,
2020-04-08,2956.0,240.0,
2020-04-09,3293.0,280.0,
2020-04-10,3512.0,306.0,
2020-04-11,3842.0,327.0,
2020-04-12,4241.0,373.0,
2020-04-13,4557.0,399.0,
2020-04-14,4839.0,459.0,
2020-04-15,5136.0,469.0,
2020-04-16,5516.0,496.0,
2020-04-17,5923.0,520.0,
2020-04-18,6248.0,535.0,
2020-04-19,6575.0,582.0,
2020-04-20,6760.0,590.0,
2020-04-21,7135.0,616.0,
2020-04-22,7418.0,635.0,
2020-04-23,7775.0,647.0,
2020-04-24,7775.0,647.0,
2020-04-25,8607.0,720.0,
2020-04-26,8882.0,743.0,
2020-04-27,9096.0,765.0,
2020-04-28,9511.0,773.0,
2020-04-29,9771.0,784.0,
2020-04-30,10118.0,792.0,
2020-05-01,10551.0,800.0,
2020-05-02,10843.0,831.0,
2020-05-03,11192.0,845.0,
2020-05-04,11587.0,864.0,
2020-05-05,12071.0,872.0,
2020-05-06,12438.0,895.0,
2020-05-07,12776.0,930.0,
2020-05-08,13112.0,943.0,
2020-05-09,13645.0,959.0,
2020-05-10,14032.0,973.0,
2020-05-11,14265.0,991.0,
2020-05-12,14749.0,1007.0,
2020-05-13,15438.0,1028.0,
2020-05-14,16006.0,1043.0,
2020-05-15,16496.0,1076.0,
2020-05-16,17025.0,1089.0,
2020-05-17,17514.0,1148.0,
2020-05-18,18010.0,1191.0,
2020-05-19,18496.0,1221.0,
2020-05-20,19189.0,1242.0,
2020-05-21,20162.0,1278.0,
2020-05-22,20796.0,1326.0,
2020-05-23,21745.0,1351.0,
2020-05-24,22271.0,1372.0,
2020-05-25,22750.0,1391.0,
2020-05-26,23165.0,1418.0,
2020-05-27,23851.0,1473.0,
2020-05-28,24538.0,1496.0,
2020-05-29,25216.0,1520.0,
2020-05-30,25773.0,1573.0,
2020-05-31,26473.0,1613.0,
2020-06-01,26940.0,1641.0,
2020-06-02,27549.0,1663.0,
2020-06-03,28233.0,1698.0,
2020-06-04,28818.0,1721.0,
2020-06-05,29521.0,1770.0,
2020-06-06,30514.0,1801.0,
2020-06-07,31186.0,1851.0,
2020-06-08,32033.0,1883.0,
2020-06-09,33076.0,1923.0,
2020-06-10,34316.0,1959.0,
2020-06-11,35295.0,2000.0,
2020-06-12,36406.0,2048.0,
2020-06-13,37420.0,2091.0,
2020-06-14,38277.0,2134.0,
2020-06-15,39294.0,2198.0,
2020-06-16,40400.0,2231.0,
2020-06-17,41431.0,2276.0,
2020-06-18,42762.0,2339.0,
2020-06-19,43803.0,2373.0,
2020-06-20,45029.0,2429.0,
2020-06-21,45891.0,2465.0,
2020-06-22,46845.0,2500.0,
2020-06-23,47896.0,2535.0,
2020-06-24,49009.0,2573.0,
2020-06-25,50187.0,2620.0,
2020-06-26,51427.0,2683.0,
2020-06-27,52812.0,2720.0,
2020-06-28,54010.0,2754.0,
2020-06-29,55092.0,2805.0,
2020-06-30,56385.0,2876.0,
2020-07-01,57770.0,2934.0,
2020-07-02,59394.0,2987.0,
2020-07-03,60695.0,3036.0,
2020-07-04,62142.0,3089.0,
2020-07-05,63749.0,3171.0,
2020-07-06,64958.0,3241.0,
2020-07-07,66226.0,3309.0,
2020-07-08,68079.0,3359.0,
2020-07-09,70736.0,3417.0,
2020-07-10,72347.0,3469.0,
2020-07-11,74018.0,3535.0,
2020-07-12,75699.0,3606.0,
2020-07-13,76981.0,3656.0,
2020-07-14,78572.0,3710.0,
2020-07-15,80094.0,3797.0,
2020-07-16,81668.0,3873.0,
2020-07-17,83130.0,3957.0,
2020-07-18,84882.0,4016.0,
2020-07-19,86521.0,4143.0,
2020-07-20,88214.0,4239.0,
2020-07-21,89869.0,4320.0,
2020-07-22,91751.0,4459.0,
2020-07-23,93657.0,4576.0,
2020-07-24,95418.0,4665.0,
2020-07-25,97286.0,4714.0,
2020-07-26,98778.0,4781.0,
2020-07-27,100303.0,4838.0,
2020-07-28,102051.0,4901.0,
2020-07-29,104432.0,4975.0,
2020-07-30,106336.0,5058.0,
2020-07-31,108376.0,5131.0,
2020-08-01,109936.0,5193.0,
