dates,Japan.JHU_ConfirmedCases.data,Japan.JHU_ConfirmedDeaths.data,Japan.JHU_ConfirmedRecoveries.data
2020-02-15,43.0,1.0,
2020-02-16,59.0,1.0,
2020-02-17,66.0,1.0,
2020-02-18,74.0,1.0,
2020-02-19,84.0,1.0,
2020-02-20,94.0,1.0,
2020-02-21,105.0,1.0,
2020-02-22,122.0,1.0,
2020-02-23,147.0,1.0,
2020-02-24,159.0,1.0,
2020-02-25,170.0,1.0,
2020-02-26,189.0,2.0,
2020-02-27,214.0,4.0,
2020-02-28,228.0,4.0,
2020-02-29,241.0,5.0,
2020-03-01,256.0,6.0,
2020-03-02,274.0,6.0,
2020-03-03,293.0,6.0,
2020-03-04,331.0,6.0,
2020-03-05,360.0,6.0,
2020-03-06,420.0,6.0,
2020-03-07,461.0,6.0,
2020-03-08,502.0,6.0,
2020-03-09,511.0,10.0,
2020-03-10,581.0,10.0,
2020-03-11,639.0,15.0,
2020-03-12,639.0,16.0,
2020-03-13,701.0,19.0,
2020-03-14,773.0,22.0,
2020-03-15,839.0,22.0,
2020-03-16,839.0,27.0,
2020-03-17,878.0,29.0,
2020-03-18,889.0,29.0,
2020-03-19,924.0,29.0,
2020-03-20,963.0,33.0,
2020-03-21,1007.0,35.0,
2020-03-22,1086.0,36.0,
2020-03-23,1128.0,42.0,
2020-03-24,1193.0,43.0,
2020-03-25,1307.0,45.0,
2020-03-26,1387.0,47.0,
2020-03-27,1468.0,49.0,
2020-03-28,1693.0,52.0,
2020-03-29,1866.0,54.0,
2020-03-30,1866.0,54.0,
2020-03-31,1953.0,56.0,
2020-04-01,2178.0,57.0,
2020-04-02,2495.0,62.0,
2020-04-03,2617.0,63.0,
2020-04-04,3139.0,77.0,
2020-04-05,3139.0,77.0,
2020-04-06,3654.0,85.0,
2020-04-07,3906.0,92.0,
2020-04-08,4257.0,93.0,
2020-04-09,4667.0,94.0,
2020-04-10,5530.0,99.0,
2020-04-11,6005.0,99.0,
2020-04-12,6748.0,108.0,
2020-04-13,7370.0,123.0,
2020-04-14,7645.0,143.0,
2020-04-15,8100.0,146.0,
2020-04-16,8626.0,178.0,
2020-04-17,9787.0,190.0,
2020-04-18,10296.0,222.0,
2020-04-19,10797.0,236.0,
2020-04-20,10797.0,236.0,
2020-04-21,11135.0,263.0,
2020-04-22,11512.0,281.0,
2020-04-23,12368.0,328.0,
2020-04-24,12368.0,328.0,
2020-04-25,13231.0,360.0,
2020-04-26,13441.0,372.0,
2020-04-27,14153.0,385.0,
2020-04-28,13736.0,394.0,
2020-04-29,13895.0,413.0,
2020-04-30,14088.0,430.0,
2020-05-01,14305.0,455.0,
2020-05-02,14571.0,474.0,
