dates,Malaysia.JHU_ConfirmedCases.data,Malaysia.JHU_ConfirmedDeaths.data,Malaysia.JHU_ConfirmedRecoveries.data
2020-02-15,22.0,0.0,
2020-02-16,22.0,0.0,
2020-02-17,22.0,0.0,
2020-02-18,22.0,0.0,
2020-02-19,22.0,0.0,
2020-02-20,22.0,0.0,
2020-02-21,22.0,0.0,
2020-02-22,22.0,0.0,
2020-02-23,22.0,0.0,
2020-02-24,22.0,0.0,
2020-02-25,22.0,0.0,
2020-02-26,22.0,0.0,
2020-02-27,23.0,0.0,
2020-02-28,23.0,0.0,
2020-02-29,25.0,0.0,
2020-03-01,29.0,0.0,
2020-03-02,29.0,0.0,
2020-03-03,36.0,0.0,
2020-03-04,50.0,0.0,
2020-03-05,50.0,0.0,
2020-03-06,83.0,0.0,
2020-03-07,93.0,0.0,
2020-03-08,99.0,0.0,
2020-03-09,117.0,0.0,
2020-03-10,129.0,0.0,
2020-03-11,149.0,0.0,
2020-03-12,149.0,0.0,
2020-03-13,197.0,0.0,
2020-03-14,238.0,0.0,
2020-03-15,428.0,0.0,
2020-03-16,566.0,0.0,
2020-03-17,673.0,2.0,
2020-03-18,790.0,2.0,
2020-03-19,900.0,2.0,
2020-03-20,1030.0,3.0,
2020-03-21,1183.0,4.0,
2020-03-22,1306.0,10.0,
2020-03-23,1518.0,14.0,
2020-03-24,1624.0,16.0,
2020-03-25,1796.0,20.0,
2020-03-26,2031.0,23.0,
2020-03-27,2161.0,26.0,
2020-03-28,2320.0,27.0,
2020-03-29,2470.0,35.0,
2020-03-30,2626.0,37.0,
2020-03-31,2766.0,43.0,
2020-04-01,2908.0,45.0,
2020-04-02,3116.0,50.0,
2020-04-03,3333.0,53.0,
2020-04-04,3483.0,57.0,
2020-04-05,3662.0,61.0,
2020-04-06,3793.0,62.0,
2020-04-07,3963.0,63.0,
2020-04-08,4119.0,65.0,
2020-04-09,4228.0,67.0,
2020-04-10,4346.0,70.0,
2020-04-11,4530.0,73.0,
2020-04-12,4683.0,76.0,
2020-04-13,4817.0,77.0,
2020-04-14,4987.0,82.0,
2020-04-15,5072.0,83.0,
2020-04-16,5182.0,84.0,
2020-04-17,5251.0,86.0,
2020-04-18,5305.0,88.0,
2020-04-19,5389.0,89.0,
2020-04-20,5425.0,89.0,
2020-04-21,5482.0,92.0,
2020-04-22,5532.0,93.0,
2020-04-23,5603.0,95.0,
2020-04-24,5603.0,95.0,
2020-04-25,5742.0,98.0,
2020-04-26,5780.0,98.0,
2020-04-27,5820.0,99.0,
2020-04-28,5851.0,100.0,
2020-04-29,5945.0,100.0,
2020-04-30,6002.0,102.0,
2020-05-01,6071.0,103.0,
2020-05-02,6176.0,103.0,
2020-05-03,6298.0,105.0,
2020-05-04,6353.0,105.0,
2020-05-05,6383.0,106.0,
2020-05-06,6428.0,107.0,
2020-05-07,6467.0,107.0,
2020-05-08,6535.0,107.0,
2020-05-09,6589.0,108.0,
2020-05-10,6656.0,108.0,
2020-05-11,6726.0,109.0,
2020-05-12,6742.0,109.0,
2020-05-13,6779.0,111.0,
2020-05-14,6819.0,112.0,
2020-05-15,6855.0,112.0,
2020-05-16,6872.0,113.0,
2020-05-17,6894.0,113.0,
2020-05-18,6941.0,113.0,
2020-05-19,6978.0,114.0,
2020-05-20,7009.0,114.0,
2020-05-21,7059.0,114.0,
2020-05-22,7137.0,115.0,
2020-05-23,7185.0,115.0,
2020-05-24,7245.0,115.0,
2020-05-25,7417.0,115.0,
2020-05-26,7604.0,115.0,
2020-05-27,7619.0,115.0,
2020-05-28,7629.0,115.0,
2020-05-29,7732.0,115.0,
2020-05-30,7762.0,115.0,
2020-05-31,7819.0,115.0,
2020-06-01,7857.0,115.0,
2020-06-02,7877.0,115.0,
2020-06-03,7970.0,115.0,
2020-06-04,8247.0,115.0,
2020-06-05,8266.0,116.0,
2020-06-06,8303.0,117.0,
2020-06-07,8322.0,117.0,
2020-06-08,8329.0,117.0,
2020-06-09,8336.0,117.0,
2020-06-10,8338.0,118.0,
2020-06-11,8369.0,118.0,
2020-06-12,8402.0,119.0,
2020-06-13,8445.0,120.0,
2020-06-14,8453.0,121.0,
2020-06-15,8494.0,121.0,
2020-06-16,8505.0,121.0,
2020-06-17,8515.0,121.0,
2020-06-18,8529.0,121.0,
2020-06-19,8535.0,121.0,
2020-06-20,8556.0,121.0,
2020-06-21,8572.0,121.0,
2020-06-22,8587.0,121.0,
2020-06-23,8590.0,121.0,
2020-06-24,8596.0,121.0,
2020-06-25,8600.0,121.0,
2020-06-26,8606.0,121.0,
2020-06-27,8616.0,121.0,
2020-06-28,8634.0,121.0,
2020-06-29,8634.0,121.0,
2020-06-30,8639.0,121.0,
2020-07-01,8639.0,121.0,
2020-07-02,8643.0,121.0,
2020-07-03,8648.0,121.0,
2020-07-04,8658.0,121.0,
2020-07-05,8663.0,121.0,
2020-07-06,8668.0,121.0,
2020-07-07,8674.0,121.0,
2020-07-08,8677.0,121.0,
2020-07-09,8683.0,121.0,
2020-07-10,8696.0,121.0,
2020-07-11,8704.0,122.0,
2020-07-12,8718.0,122.0,
2020-07-13,8725.0,122.0,
2020-07-14,8729.0,122.0,
2020-07-15,8734.0,122.0,
2020-07-16,8737.0,122.0,
2020-07-17,8755.0,122.0,
2020-07-18,8764.0,122.0,
2020-07-19,8779.0,123.0,
2020-07-20,8800.0,123.0,
2020-07-21,8815.0,123.0,
2020-07-22,8831.0,123.0,
2020-07-23,8840.0,123.0,
2020-07-24,8861.0,123.0,
2020-07-25,8884.0,123.0,
2020-07-26,8897.0,124.0,
2020-07-27,8904.0,124.0,
2020-07-28,8943.0,124.0,
2020-07-29,8956.0,124.0,
2020-07-30,8964.0,124.0,
2020-07-31,8976.0,125.0,
2020-08-01,8985.0,125.0,
2020-08-02,8999.0,125.0,
2020-08-03,9001.0,125.0,
2020-08-04,9002.0,125.0,
2020-08-05,9023.0,125.0,
2020-08-06,9038.0,125.0,
2020-08-07,9063.0,125.0,
2020-08-08,9070.0,125.0,
2020-08-09,9083.0,125.0,
2020-08-10,9094.0,125.0,
2020-08-11,9103.0,125.0,
2020-08-12,9114.0,125.0,
2020-08-13,9129.0,125.0,
2020-08-14,9149.0,125.0,
2020-08-15,9175.0,125.0,
2020-08-16,9200.0,125.0,
2020-08-17,9212.0,125.0,
2020-08-18,9219.0,125.0,
2020-08-19,9235.0,125.0,
2020-08-20,9240.0,125.0,
2020-08-21,9249.0,125.0,
2020-08-22,9257.0,125.0,
2020-08-23,9267.0,125.0,
2020-08-24,9274.0,125.0,
2020-08-25,9285.0,125.0,
2020-08-26,9291.0,125.0,
2020-08-27,9296.0,125.0,
2020-08-28,9306.0,125.0,
2020-08-29,9317.0,125.0,
2020-08-30,9334.0,126.0,
2020-08-31,9340.0,127.0,
2020-09-01,9354.0,128.0,
2020-09-02,9360.0,128.0,
2020-09-03,9374.0,128.0,
2020-09-04,9385.0,128.0,
2020-09-05,9391.0,128.0,
2020-09-06,9397.0,128.0,
2020-09-07,9459.0,128.0,
2020-09-08,9559.0,128.0,
2020-09-09,9583.0,128.0,
2020-09-10,9628.0,128.0,
2020-09-11,9810.0,128.0,
2020-09-12,9868.0,128.0,
2020-09-13,9915.0,128.0,
2020-09-14,9946.0,128.0,
2020-09-15,9969.0,128.0,
2020-09-16,10031.0,128.0,
2020-09-17,10052.0,128.0,
2020-09-18,10147.0,129.0,
2020-09-19,10167.0,130.0,
2020-09-20,10219.0,130.0,
2020-09-21,10276.0,130.0,
2020-09-22,10358.0,130.0,
2020-09-23,10505.0,133.0,
2020-09-24,10576.0,133.0,
2020-09-25,10687.0,133.0,
2020-09-26,10769.0,133.0,
2020-09-27,10919.0,134.0,
2020-09-28,11034.0,134.0,
2020-09-29,11135.0,134.0,
2020-09-30,11224.0,136.0,
2020-10-01,11484.0,136.0,
2020-10-02,11771.0,136.0,
2020-10-03,12088.0,137.0,
2020-10-04,12381.0,137.0,
2020-10-05,12813.0,137.0,
2020-10-06,13504.0,141.0,
2020-10-07,13993.0,141.0,
2020-10-08,14368.0,146.0,
2020-10-09,14722.0,152.0,
2020-10-10,15096.0,155.0,
2020-10-11,15657.0,157.0,
2020-10-12,16220.0,159.0,
2020-10-13,16880.0,163.0,
2020-10-14,17540.0,167.0,
