dates,Mexico.JHU_ConfirmedCases.data,Mexico.JHU_ConfirmedDeaths.data,Mexico.JHU_ConfirmedRecoveries.data
2020-02-15,0.0,0.0,
2020-02-16,0.0,0.0,
2020-02-17,0.0,0.0,
2020-02-18,0.0,0.0,
2020-02-19,0.0,0.0,
2020-02-20,0.0,0.0,
2020-02-21,0.0,0.0,
2020-02-22,0.0,0.0,
2020-02-23,0.0,0.0,
2020-02-24,0.0,0.0,
2020-02-25,0.0,0.0,
2020-02-26,0.0,0.0,
2020-02-27,0.0,0.0,
2020-02-28,1.0,0.0,
2020-02-29,4.0,0.0,
2020-03-01,5.0,0.0,
2020-03-02,5.0,0.0,
2020-03-03,5.0,0.0,
2020-03-04,5.0,0.0,
2020-03-05,5.0,0.0,
2020-03-06,6.0,0.0,
2020-03-07,6.0,0.0,
2020-03-08,7.0,0.0,
2020-03-09,7.0,0.0,
2020-03-10,7.0,0.0,
2020-03-11,8.0,0.0,
2020-03-12,12.0,0.0,
2020-03-13,12.0,0.0,
2020-03-14,26.0,0.0,
2020-03-15,41.0,0.0,
2020-03-16,53.0,0.0,
2020-03-17,82.0,0.0,
2020-03-18,93.0,0.0,
2020-03-19,118.0,1.0,
2020-03-20,164.0,1.0,
2020-03-21,203.0,2.0,
2020-03-22,251.0,2.0,
2020-03-23,316.0,3.0,
2020-03-24,367.0,4.0,
2020-03-25,405.0,5.0,
2020-03-26,475.0,6.0,
2020-03-27,585.0,8.0,
2020-03-28,717.0,12.0,
2020-03-29,848.0,16.0,
2020-03-30,993.0,20.0,
2020-03-31,1094.0,28.0,
2020-04-01,1215.0,29.0,
2020-04-02,1378.0,37.0,
2020-04-03,1510.0,50.0,
2020-04-04,1688.0,60.0,
2020-04-05,1890.0,79.0,
2020-04-06,2143.0,94.0,
2020-04-07,2439.0,125.0,
2020-04-08,2785.0,141.0,
2020-04-09,3181.0,174.0,
2020-04-10,3441.0,194.0,
2020-04-11,3844.0,233.0,
2020-04-12,4219.0,273.0,
2020-04-13,4661.0,296.0,
2020-04-14,5014.0,332.0,
2020-04-15,5399.0,406.0,
2020-04-16,5847.0,449.0,
2020-04-17,6297.0,486.0,
2020-04-18,6875.0,546.0,
2020-04-19,7497.0,650.0,
2020-04-20,8261.0,686.0,
2020-04-21,8772.0,712.0,
2020-04-22,9501.0,857.0,
2020-04-23,11633.0,1069.0,
2020-04-24,11633.0,1069.0,
2020-04-25,13842.0,1305.0,
2020-04-26,14677.0,1351.0,
2020-04-27,15529.0,1434.0,
2020-04-28,16752.0,1569.0,
2020-04-29,17799.0,1732.0,
2020-04-30,19224.0,1859.0,
2020-05-01,20739.0,1972.0,
2020-05-02,22088.0,2061.0,
2020-05-03,23471.0,2154.0,
2020-05-04,24905.0,2271.0,
2020-05-05,26025.0,2507.0,
2020-05-06,27634.0,2704.0,
2020-05-07,29616.0,2961.0,
2020-05-08,31522.0,3160.0,
2020-05-09,33460.0,3353.0,
2020-05-10,35022.0,3465.0,
2020-05-11,36327.0,3573.0,
2020-05-12,38324.0,3926.0,
2020-05-13,40186.0,4220.0,
2020-05-14,42595.0,4477.0,
2020-05-15,45032.0,4767.0,
2020-05-16,47144.0,5045.0,
2020-05-17,49219.0,5177.0,
2020-05-18,51633.0,5332.0,
2020-05-19,54346.0,5666.0,
2020-05-20,56594.0,6090.0,
2020-05-21,59567.0,6510.0,
2020-05-22,62527.0,6989.0,
2020-05-23,65856.0,7179.0,
2020-05-24,68620.0,7394.0,
2020-05-25,71105.0,7633.0,
2020-05-26,74560.0,8134.0,
2020-05-27,78023.0,8597.0,
2020-05-28,81400.0,9044.0,
2020-05-29,84627.0,9415.0,
2020-05-30,87512.0,9779.0,
2020-05-31,90664.0,9930.0,
2020-06-01,93435.0,10167.0,
2020-06-02,97326.0,10637.0,
2020-06-03,101238.0,11729.0,
2020-06-04,105680.0,12545.0,
2020-06-05,110026.0,13170.0,
2020-06-06,113619.0,13511.0,
2020-06-07,117103.0,13699.0,
2020-06-08,120102.0,14053.0,
2020-06-09,124301.0,14649.0,
2020-06-10,129184.0,15357.0,
2020-06-11,133974.0,15944.0,
2020-06-12,139196.0,16448.0,
2020-06-13,142690.0,16872.0,
2020-06-14,146837.0,17141.0,
2020-06-15,150264.0,17580.0,
2020-06-16,154863.0,18310.0,
2020-06-17,159793.0,19080.0,
2020-06-18,165455.0,19747.0,
2020-06-19,170485.0,20394.0,
2020-06-20,175202.0,20781.0,
2020-06-21,180545.0,21825.0,
2020-06-22,185122.0,22584.0,
2020-06-23,191410.0,23377.0,
2020-06-24,196847.0,24324.0,
2020-06-25,202951.0,25060.0,
2020-06-26,208392.0,25779.0,
2020-06-27,212802.0,26381.0,
2020-06-28,216852.0,26648.0,
2020-06-29,216852.0,26648.0,
2020-06-30,226089.0,27769.0,
2020-07-01,226089.0,27769.0,
2020-07-02,238511.0,29189.0,
2020-07-03,245251.0,29843.0,
2020-07-04,252165.0,30366.0,
2020-07-05,256848.0,30639.0,
2020-07-06,261750.0,31119.0,
2020-07-07,268008.0,32014.0,
2020-07-08,275003.0,32796.0,
2020-07-09,282283.0,33526.0,
2020-07-10,289174.0,34191.0,
2020-07-11,295268.0,34730.0,
2020-07-12,299750.0,35006.0,
2020-07-13,304435.0,35491.0,
2020-07-14,311486.0,36327.0,
2020-07-15,317635.0,36906.0,
2020-07-16,324041.0,37574.0,
2020-07-17,331298.0,38310.0,
2020-07-18,338913.0,38888.0,
2020-07-19,344224.0,39184.0,
2020-07-20,349396.0,39485.0,
2020-07-21,356255.0,40400.0,
2020-07-22,362274.0,41190.0,
2020-07-23,370712.0,41908.0,
2020-07-24,378285.0,42645.0,
2020-07-25,385036.0,42645.0,
2020-07-26,390516.0,43680.0,
2020-07-27,395489.0,44022.0,
2020-07-28,402697.0,44876.0,
2020-07-29,408449.0,45361.0,
2020-07-30,416179.0,46000.0,
2020-07-31,424637.0,46688.0,
