dates,Norway.JHU_ConfirmedCases.data,Norway.JHU_ConfirmedDeaths.data,Norway.JHU_ConfirmedRecoveries.data
2020-02-15,0.0,0.0,
2020-02-16,0.0,0.0,
2020-02-17,0.0,0.0,
2020-02-18,0.0,0.0,
2020-02-19,0.0,0.0,
2020-02-20,0.0,0.0,
2020-02-21,0.0,0.0,
2020-02-22,0.0,0.0,
2020-02-23,0.0,0.0,
2020-02-24,0.0,0.0,
2020-02-25,0.0,0.0,
2020-02-26,1.0,0.0,
2020-02-27,1.0,0.0,
2020-02-28,6.0,0.0,
2020-02-29,15.0,0.0,
2020-03-01,19.0,0.0,
2020-03-02,25.0,0.0,
2020-03-03,32.0,0.0,
2020-03-04,56.0,0.0,
2020-03-05,87.0,0.0,
2020-03-06,108.0,0.0,
2020-03-07,147.0,0.0,
2020-03-08,176.0,0.0,
2020-03-09,205.0,0.0,
2020-03-10,400.0,0.0,
2020-03-11,598.0,0.0,
2020-03-12,702.0,0.0,
2020-03-13,996.0,0.0,
2020-03-14,1090.0,3.0,
2020-03-15,1221.0,3.0,
2020-03-16,1333.0,3.0,
2020-03-17,1463.0,3.0,
2020-03-18,1550.0,6.0,
2020-03-19,1746.0,7.0,
2020-03-20,1914.0,7.0,
2020-03-21,2118.0,7.0,
2020-03-22,2263.0,7.0,
2020-03-23,2621.0,10.0,
2020-03-24,2863.0,12.0,
2020-03-25,3084.0,14.0,
2020-03-26,3369.0,14.0,
2020-03-27,3755.0,19.0,
2020-03-28,4015.0,23.0,
2020-03-29,4284.0,25.0,
2020-03-30,4445.0,32.0,
2020-03-31,4641.0,39.0,
2020-04-01,4863.0,44.0,
2020-04-02,5147.0,50.0,
2020-04-03,5370.0,59.0,
2020-04-04,5550.0,62.0,
2020-04-05,5687.0,71.0,
2020-04-06,5865.0,76.0,
2020-04-07,6086.0,89.0,
2020-04-08,6086.0,101.0,
2020-04-09,6211.0,108.0,
2020-04-10,6314.0,113.0,
2020-04-11,6409.0,119.0,
2020-04-12,6525.0,128.0,
2020-04-13,6603.0,134.0,
2020-04-14,6623.0,139.0,
2020-04-15,6740.0,150.0,
2020-04-16,6896.0,152.0,
2020-04-17,6937.0,161.0,
2020-04-18,7036.0,164.0,
2020-04-19,7078.0,165.0,
2020-04-20,7156.0,181.0,
2020-04-21,7191.0,182.0,
2020-04-22,7338.0,187.0,
2020-04-23,7401.0,194.0,
2020-04-24,7401.0,194.0,
2020-04-25,7499.0,201.0,
2020-04-26,7527.0,201.0,
2020-04-27,7599.0,205.0,
2020-04-28,7660.0,206.0,
2020-04-29,7710.0,207.0,
2020-04-30,7738.0,210.0,
2020-05-01,7783.0,210.0,
2020-05-02,7809.0,211.0,
2020-05-03,7847.0,211.0,
2020-05-04,7904.0,214.0,
2020-05-05,7955.0,215.0,
2020-05-06,7996.0,216.0,
2020-05-07,8034.0,217.0,
2020-05-08,8070.0,218.0,
2020-05-09,8099.0,219.0,
2020-05-10,8105.0,219.0,
2020-05-11,8132.0,224.0,
2020-05-12,8157.0,228.0,
2020-05-13,8175.0,229.0,
2020-05-14,8196.0,232.0,
2020-05-15,8219.0,232.0,
2020-05-16,8237.0,232.0,
2020-05-17,8249.0,232.0,
2020-05-18,8257.0,233.0,
2020-05-19,8267.0,233.0,
2020-05-20,8281.0,234.0,
2020-05-21,8309.0,235.0,
2020-05-22,8332.0,235.0,
2020-05-23,8346.0,235.0,
2020-05-24,8352.0,235.0,
2020-05-25,8364.0,235.0,
2020-05-26,8383.0,235.0,
2020-05-27,8401.0,235.0,
2020-05-28,8411.0,236.0,
2020-05-29,8422.0,236.0,
2020-05-30,8437.0,236.0,
2020-05-31,8440.0,236.0,
2020-06-01,8446.0,236.0,
2020-06-02,8455.0,237.0,
2020-06-03,8477.0,237.0,
2020-06-04,8504.0,238.0,
2020-06-05,8522.0,238.0,
2020-06-06,8531.0,238.0,
2020-06-07,8547.0,238.0,
2020-06-08,8561.0,239.0,
2020-06-09,8576.0,239.0,
2020-06-10,8594.0,239.0,
2020-06-11,8608.0,242.0,
2020-06-12,8620.0,242.0,
2020-06-13,8628.0,242.0,
2020-06-14,8631.0,242.0,
2020-06-15,8647.0,242.0,
2020-06-16,8660.0,242.0,
2020-06-17,8692.0,243.0,
2020-06-18,8708.0,244.0,
2020-06-19,8726.0,244.0,
2020-06-20,8742.0,244.0,
2020-06-21,8745.0,244.0,
2020-06-22,8751.0,248.0,
2020-06-23,8772.0,248.0,
2020-06-24,8788.0,249.0,
2020-06-25,8788.0,249.0,
2020-06-26,8832.0,249.0,
2020-06-27,8846.0,249.0,
2020-06-28,8855.0,249.0,
2020-06-29,8862.0,249.0,
2020-06-30,8879.0,250.0,
2020-07-01,8896.0,251.0,
2020-07-02,8902.0,251.0,
2020-07-03,8921.0,251.0,
2020-07-04,8926.0,251.0,
2020-07-05,8930.0,251.0,
2020-07-06,8936.0,251.0,
2020-07-07,8947.0,251.0,
2020-07-08,8950.0,251.0,
2020-07-09,8965.0,252.0,
2020-07-10,8974.0,252.0,
2020-07-11,8977.0,252.0,
2020-07-12,8981.0,252.0,
2020-07-13,8984.0,253.0,
2020-07-14,9001.0,253.0,
2020-07-15,9011.0,253.0,
2020-07-16,9015.0,254.0,
2020-07-17,9025.0,255.0,
2020-07-18,9028.0,255.0,
2020-07-19,9028.0,255.0,
2020-07-20,9034.0,255.0,
2020-07-21,9053.0,255.0,
2020-07-22,9059.0,255.0,
2020-07-23,9085.0,255.0,
2020-07-24,9092.0,255.0,
2020-07-25,9111.0,255.0,
2020-07-26,9117.0,255.0,
2020-07-27,9132.0,255.0,
2020-07-28,9150.0,255.0,
2020-07-29,9172.0,255.0,
2020-07-30,9208.0,255.0,
2020-07-31,9240.0,255.0,
2020-08-01,9253.0,255.0,
2020-08-02,9268.0,255.0,
2020-08-03,9334.0,256.0,
2020-08-04,9362.0,256.0,
2020-08-05,9409.0,256.0,
2020-08-06,9468.0,256.0,
