dates,Philippines.JHU_ConfirmedCases.data,Philippines.JHU_ConfirmedDeaths.data,Philippines.JHU_ConfirmedRecoveries.data
2020-02-15,3.0,1.0,
2020-02-16,3.0,1.0,
2020-02-17,3.0,1.0,
2020-02-18,3.0,1.0,
2020-02-19,3.0,1.0,
2020-02-20,3.0,1.0,
2020-02-21,3.0,1.0,
2020-02-22,3.0,1.0,
2020-02-23,3.0,1.0,
2020-02-24,3.0,1.0,
2020-02-25,3.0,1.0,
2020-02-26,3.0,1.0,
2020-02-27,3.0,1.0,
2020-02-28,3.0,1.0,
2020-02-29,3.0,1.0,
2020-03-01,3.0,1.0,
2020-03-02,3.0,1.0,
2020-03-03,3.0,1.0,
2020-03-04,3.0,1.0,
2020-03-05,3.0,1.0,
2020-03-06,5.0,1.0,
2020-03-07,6.0,1.0,
2020-03-08,10.0,1.0,
2020-03-09,20.0,1.0,
2020-03-10,33.0,1.0,
2020-03-11,49.0,1.0,
2020-03-12,52.0,2.0,
2020-03-13,64.0,5.0,
2020-03-14,111.0,8.0,
2020-03-15,140.0,11.0,
2020-03-16,142.0,12.0,
2020-03-17,187.0,12.0,
2020-03-18,202.0,19.0,
2020-03-19,217.0,17.0,
2020-03-20,230.0,18.0,
2020-03-21,307.0,19.0,
2020-03-22,380.0,25.0,
2020-03-23,462.0,33.0,
2020-03-24,552.0,35.0,
2020-03-25,636.0,38.0,
2020-03-26,707.0,45.0,
2020-03-27,803.0,54.0,
2020-03-28,1075.0,68.0,
2020-03-29,1418.0,71.0,
2020-03-30,1546.0,78.0,
2020-03-31,2084.0,88.0,
2020-04-01,2311.0,96.0,
2020-04-02,2633.0,107.0,
2020-04-03,3018.0,136.0,
2020-04-04,3094.0,144.0,
2020-04-05,3246.0,152.0,
2020-04-06,3660.0,163.0,
2020-04-07,3764.0,177.0,
2020-04-08,3870.0,182.0,
2020-04-09,4076.0,203.0,
2020-04-10,4195.0,221.0,
2020-04-11,4428.0,247.0,
2020-04-12,4648.0,297.0,
2020-04-13,4932.0,315.0,
2020-04-14,5223.0,335.0,
2020-04-15,5453.0,349.0,
2020-04-16,5660.0,362.0,
2020-04-17,5878.0,387.0,
2020-04-18,6087.0,397.0,
2020-04-19,6259.0,409.0,
2020-04-20,6459.0,428.0,
2020-04-21,6599.0,437.0,
2020-04-22,6710.0,446.0,
2020-04-23,6981.0,462.0,
2020-04-24,6981.0,462.0,
2020-04-25,7294.0,494.0,
2020-04-26,7579.0,501.0,
2020-04-27,7777.0,511.0,
2020-04-28,7958.0,530.0,
2020-04-29,8212.0,558.0,
2020-04-30,8488.0,568.0,
2020-05-01,8772.0,579.0,
2020-05-02,8928.0,603.0,
2020-05-03,9223.0,607.0,
2020-05-04,9485.0,623.0,
2020-05-05,9684.0,637.0,
2020-05-06,10004.0,658.0,
2020-05-07,10343.0,685.0,
2020-05-08,10463.0,696.0,
2020-05-09,10610.0,704.0,
2020-05-10,10794.0,719.0,
2020-05-11,11086.0,726.0,
2020-05-12,11350.0,751.0,
2020-05-13,11618.0,772.0,
2020-05-14,11876.0,790.0,
2020-05-15,12091.0,806.0,
2020-05-16,12305.0,817.0,
2020-05-17,12513.0,824.0,
2020-05-18,12718.0,831.0,
2020-05-19,12942.0,837.0,
2020-05-20,13221.0,842.0,
2020-05-21,13434.0,846.0,
2020-05-22,13597.0,857.0,
