dates,Portugal.JHU_ConfirmedCases.data,Portugal.JHU_ConfirmedDeaths.data,Portugal.JHU_ConfirmedRecoveries.data
2020-02-15,0.0,0.0,
2020-02-16,0.0,0.0,
2020-02-17,0.0,0.0,
2020-02-18,0.0,0.0,
2020-02-19,0.0,0.0,
2020-02-20,0.0,0.0,
2020-02-21,0.0,0.0,
2020-02-22,0.0,0.0,
2020-02-23,0.0,0.0,
2020-02-24,0.0,0.0,
2020-02-25,0.0,0.0,
2020-02-26,0.0,0.0,
2020-02-27,0.0,0.0,
2020-02-28,0.0,0.0,
2020-02-29,0.0,0.0,
2020-03-01,0.0,0.0,
2020-03-02,2.0,0.0,
2020-03-03,2.0,0.0,
2020-03-04,5.0,0.0,
2020-03-05,8.0,0.0,
2020-03-06,13.0,0.0,
2020-03-07,20.0,0.0,
2020-03-08,30.0,0.0,
2020-03-09,30.0,0.0,
2020-03-10,41.0,0.0,
2020-03-11,59.0,0.0,
2020-03-12,59.0,0.0,
2020-03-13,112.0,0.0,
2020-03-14,169.0,0.0,
2020-03-15,245.0,0.0,
2020-03-16,331.0,0.0,
2020-03-17,448.0,1.0,
2020-03-18,448.0,2.0,
2020-03-19,785.0,3.0,
2020-03-20,1020.0,6.0,
2020-03-21,1280.0,12.0,
2020-03-22,1600.0,14.0,
2020-03-23,2060.0,23.0,
2020-03-24,2362.0,33.0,
2020-03-25,2995.0,43.0,
2020-03-26,3544.0,60.0,
2020-03-27,4268.0,76.0,
2020-03-28,5170.0,100.0,
2020-03-29,5962.0,119.0,
2020-03-30,6408.0,140.0,
2020-03-31,7443.0,160.0,
2020-04-01,8251.0,187.0,
2020-04-02,9034.0,209.0,
2020-04-03,9886.0,246.0,
2020-04-04,10524.0,266.0,
2020-04-05,11278.0,295.0,
2020-04-06,11730.0,311.0,
2020-04-07,12442.0,345.0,
2020-04-08,13141.0,380.0,
2020-04-09,13956.0,409.0,
2020-04-10,15472.0,435.0,
2020-04-11,15987.0,470.0,
2020-04-12,16585.0,504.0,
2020-04-13,16934.0,535.0,
2020-04-14,17448.0,567.0,
2020-04-15,18091.0,599.0,
2020-04-16,18841.0,629.0,
2020-04-17,19022.0,657.0,
2020-04-18,19685.0,687.0,
2020-04-19,20206.0,714.0,
2020-04-20,20863.0,735.0,
2020-04-21,21379.0,762.0,
2020-04-22,21982.0,785.0,
2020-04-23,22353.0,820.0,
2020-04-24,22353.0,820.0,
2020-04-25,23392.0,880.0,
2020-04-26,23864.0,903.0,
2020-04-27,24027.0,928.0,
2020-04-28,24322.0,948.0,
2020-04-29,24505.0,973.0,
2020-04-30,25045.0,989.0,
2020-05-01,25351.0,1007.0,
2020-05-02,25190.0,1023.0,
2020-05-03,25282.0,1043.0,
2020-05-04,25524.0,1063.0,
2020-05-05,25702.0,1074.0,
2020-05-06,26182.0,1089.0,
2020-05-07,26715.0,1105.0,
2020-05-08,27268.0,1114.0,
2020-05-09,27406.0,1126.0,
2020-05-10,27581.0,1135.0,
2020-05-11,27679.0,1144.0,
2020-05-12,27913.0,1163.0,
2020-05-13,28132.0,1175.0,
2020-05-14,28319.0,1184.0,
2020-05-15,28583.0,1190.0,
2020-05-16,28810.0,1203.0,
2020-05-17,29036.0,1218.0,
2020-05-18,29209.0,1231.0,
2020-05-19,29432.0,1247.0,
2020-05-20,29660.0,1263.0,
2020-05-21,29912.0,1277.0,
2020-05-22,30200.0,1289.0,
2020-05-23,30471.0,1302.0,
2020-05-24,30623.0,1316.0,
2020-05-25,30788.0,1330.0,
2020-05-26,31007.0,1342.0,
2020-05-27,31292.0,1356.0,
2020-05-28,31596.0,1369.0,
2020-05-29,31946.0,1383.0,
2020-05-30,32203.0,1396.0,
2020-05-31,32500.0,1410.0,
2020-06-01,32700.0,1424.0,
2020-06-02,32895.0,1436.0,
2020-06-03,33261.0,1447.0,
2020-06-04,33592.0,1455.0,
2020-06-05,33969.0,1465.0,
2020-06-06,34351.0,1474.0,
2020-06-07,34693.0,1479.0,
2020-06-08,34885.0,1485.0,
2020-06-09,35306.0,1492.0,
2020-06-10,35600.0,1497.0,
2020-06-11,35910.0,1504.0,
2020-06-12,36180.0,1505.0,
2020-06-13,36463.0,1512.0,
2020-06-14,36690.0,1517.0,
2020-06-15,37036.0,1520.0,
2020-06-16,37336.0,1522.0,
2020-06-17,37672.0,1523.0,
2020-06-18,38089.0,1524.0,
2020-06-19,38464.0,1527.0,
2020-06-20,38841.0,1528.0,
2020-06-21,39133.0,1530.0,
2020-06-22,39392.0,1534.0,
2020-06-23,39737.0,1540.0,
2020-06-24,40104.0,1543.0,
2020-06-25,40415.0,1549.0,
2020-06-26,40866.0,1555.0,
2020-06-27,41189.0,1561.0,
2020-06-28,41646.0,1564.0,
2020-06-29,41912.0,1568.0,
2020-06-30,42141.0,1576.0,
2020-07-01,42454.0,1579.0,
2020-07-02,42782.0,1587.0,
2020-07-03,43156.0,1598.0,
2020-07-04,43569.0,1605.0,
2020-07-05,43897.0,1614.0,
2020-07-06,44129.0,1620.0,
2020-07-07,44416.0,1629.0,
2020-07-08,44859.0,1631.0,
2020-07-09,45277.0,1644.0,
2020-07-10,45679.0,1646.0,
2020-07-11,46221.0,1654.0,
2020-07-12,46512.0,1660.0,
2020-07-13,46818.0,1662.0,
2020-07-14,47051.0,1668.0,
2020-07-15,47426.0,1676.0,
2020-07-16,47765.0,1679.0,
2020-07-17,48077.0,1682.0,
2020-07-18,48390.0,1684.0,
2020-07-19,48636.0,1689.0,
2020-07-20,48771.0,1691.0,
2020-07-21,48898.0,1697.0,
2020-07-22,49150.0,1702.0,
2020-07-23,49379.0,1705.0,
2020-07-24,49692.0,1712.0,
2020-07-25,49955.0,1716.0,
2020-07-26,50164.0,1717.0,
2020-07-27,50299.0,1719.0,
2020-07-28,50410.0,1722.0,
2020-07-29,50613.0,1725.0,
2020-07-30,50868.0,1727.0,
2020-07-31,51072.0,1735.0,
