dates,Russia.JHU_ConfirmedCases.data,Russia.JHU_ConfirmedDeaths.data,Russia.JHU_ConfirmedRecoveries.data
2020-02-15,2.0,0.0,
2020-02-16,2.0,0.0,
2020-02-17,2.0,0.0,
2020-02-18,2.0,0.0,
2020-02-19,2.0,0.0,
2020-02-20,2.0,0.0,
2020-02-21,2.0,0.0,
2020-02-22,2.0,0.0,
2020-02-23,2.0,0.0,
2020-02-24,2.0,0.0,
2020-02-25,2.0,0.0,
2020-02-26,2.0,0.0,
2020-02-27,2.0,0.0,
2020-02-28,2.0,0.0,
2020-02-29,2.0,0.0,
2020-03-01,2.0,0.0,
2020-03-02,3.0,0.0,
2020-03-03,3.0,0.0,
2020-03-04,3.0,0.0,
2020-03-05,4.0,0.0,
2020-03-06,13.0,0.0,
2020-03-07,13.0,0.0,
2020-03-08,17.0,0.0,
2020-03-09,17.0,0.0,
2020-03-10,20.0,0.0,
2020-03-11,20.0,0.0,
2020-03-12,28.0,0.0,
2020-03-13,45.0,0.0,
2020-03-14,59.0,0.0,
2020-03-15,63.0,0.0,
2020-03-16,90.0,0.0,
2020-03-17,114.0,0.0,
2020-03-18,147.0,0.0,
2020-03-19,199.0,1.0,
2020-03-20,253.0,1.0,
2020-03-21,306.0,1.0,
2020-03-22,367.0,1.0,
2020-03-23,438.0,1.0,
2020-03-24,495.0,1.0,
2020-03-25,658.0,3.0,
2020-03-26,840.0,3.0,
2020-03-27,1036.0,4.0,
2020-03-28,1264.0,4.0,
2020-03-29,1534.0,8.0,
2020-03-30,1836.0,9.0,
2020-03-31,2337.0,17.0,
2020-04-01,2777.0,24.0,
2020-04-02,3548.0,30.0,
2020-04-03,4149.0,34.0,
2020-04-04,4731.0,43.0,
2020-04-05,5389.0,45.0,
2020-04-06,6343.0,47.0,
2020-04-07,7497.0,58.0,
2020-04-08,8672.0,63.0,
2020-04-09,10131.0,76.0,
2020-04-10,11917.0,94.0,
2020-04-11,13584.0,106.0,
2020-04-12,15770.0,130.0,
2020-04-13,18328.0,148.0,
2020-04-14,21102.0,170.0,
2020-04-15,24490.0,198.0,
2020-04-16,27938.0,232.0,
2020-04-17,32008.0,273.0,
2020-04-18,36793.0,313.0,
2020-04-19,42853.0,361.0,
2020-04-20,47121.0,405.0,
2020-04-21,52763.0,456.0,
2020-04-22,57999.0,513.0,
2020-04-23,62773.0,555.0,
2020-04-24,62773.0,555.0,
2020-04-25,74588.0,681.0,
2020-04-26,80949.0,747.0,
2020-04-27,87147.0,794.0,
2020-04-28,93558.0,867.0,
2020-04-29,99399.0,972.0,
2020-04-30,106498.0,1073.0,
2020-05-01,114431.0,1169.0,
2020-05-02,124054.0,1222.0,
2020-05-03,134687.0,1280.0,
2020-05-04,145268.0,1356.0,
2020-05-05,155370.0,1451.0,
2020-05-06,165929.0,1537.0,
2020-05-07,177160.0,1625.0,
2020-05-08,187859.0,1723.0,
2020-05-09,198676.0,1827.0,
2020-05-10,209688.0,1915.0,
2020-05-11,221344.0,2009.0,
2020-05-12,232243.0,2116.0,
2020-05-13,242271.0,2212.0,
2020-05-14,252245.0,2305.0,
2020-05-15,262843.0,2418.0,
2020-05-16,272043.0,2537.0,
2020-05-17,281752.0,2631.0,
2020-05-18,290678.0,2722.0,
2020-05-19,299941.0,2837.0,
2020-05-20,308705.0,2972.0,
2020-05-21,317554.0,3099.0,
2020-05-22,326448.0,3249.0,
