dates,Singapore.JHU_ConfirmedCases.data,Singapore.JHU_ConfirmedDeaths.data,Singapore.JHU_ConfirmedRecoveries.data
2020-02-15,72.0,0.0,
2020-02-16,75.0,0.0,
2020-02-17,77.0,0.0,
2020-02-18,81.0,0.0,
2020-02-19,84.0,0.0,
2020-02-20,84.0,0.0,
2020-02-21,85.0,0.0,
2020-02-22,85.0,0.0,
2020-02-23,89.0,0.0,
2020-02-24,89.0,0.0,
2020-02-25,91.0,0.0,
2020-02-26,93.0,0.0,
2020-02-27,93.0,0.0,
2020-02-28,93.0,0.0,
2020-02-29,102.0,0.0,
2020-03-01,106.0,0.0,
2020-03-02,108.0,0.0,
2020-03-03,110.0,0.0,
2020-03-04,110.0,0.0,
2020-03-05,117.0,0.0,
2020-03-06,130.0,0.0,
2020-03-07,138.0,0.0,
2020-03-08,150.0,0.0,
2020-03-09,150.0,0.0,
2020-03-10,160.0,0.0,
2020-03-11,178.0,0.0,
2020-03-12,178.0,0.0,
2020-03-13,200.0,0.0,
2020-03-14,212.0,0.0,
2020-03-15,226.0,0.0,
2020-03-16,243.0,0.0,
2020-03-17,266.0,0.0,
2020-03-18,313.0,0.0,
2020-03-19,345.0,0.0,
2020-03-20,385.0,0.0,
2020-03-21,432.0,2.0,
2020-03-22,455.0,2.0,
2020-03-23,509.0,2.0,
2020-03-24,558.0,2.0,
2020-03-25,631.0,2.0,
2020-03-26,683.0,2.0,
2020-03-27,732.0,2.0,
2020-03-28,802.0,2.0,
2020-03-29,844.0,3.0,
2020-03-30,879.0,3.0,
2020-03-31,926.0,3.0,
2020-04-01,1000.0,3.0,
2020-04-02,1049.0,4.0,
2020-04-03,1114.0,5.0,
2020-04-04,1189.0,6.0,
2020-04-05,1309.0,6.0,
2020-04-06,1375.0,6.0,
2020-04-07,1481.0,6.0,
2020-04-08,1623.0,6.0,
2020-04-09,1910.0,6.0,
2020-04-10,2108.0,7.0,
2020-04-11,2299.0,8.0,
2020-04-12,2532.0,8.0,
2020-04-13,2918.0,9.0,
2020-04-14,3252.0,10.0,
2020-04-15,3699.0,10.0,
2020-04-16,4427.0,10.0,
2020-04-17,5050.0,11.0,
2020-04-18,5992.0,11.0,
2020-04-19,6588.0,11.0,
2020-04-20,8014.0,11.0,
2020-04-21,9125.0,11.0,
2020-04-22,10141.0,12.0,
2020-04-23,11178.0,12.0,
2020-04-24,11178.0,12.0,
2020-04-25,12693.0,12.0,
2020-04-26,13624.0,12.0,
2020-04-27,14423.0,14.0,
