dates,Thailand.JHU_ConfirmedCases.data,Thailand.JHU_ConfirmedDeaths.data,Thailand.JHU_ConfirmedRecoveries.data
2020-02-15,33.0,0.0,
2020-02-16,34.0,0.0,
2020-02-17,35.0,0.0,
2020-02-18,35.0,0.0,
2020-02-19,35.0,0.0,
2020-02-20,35.0,0.0,
2020-02-21,35.0,0.0,
2020-02-22,35.0,0.0,
2020-02-23,35.0,0.0,
2020-02-24,35.0,0.0,
2020-02-25,37.0,0.0,
2020-02-26,40.0,0.0,
2020-02-27,40.0,0.0,
2020-02-28,41.0,0.0,
2020-02-29,42.0,0.0,
2020-03-01,42.0,1.0,
2020-03-02,43.0,1.0,
2020-03-03,43.0,1.0,
2020-03-04,43.0,1.0,
2020-03-05,47.0,1.0,
2020-03-06,48.0,1.0,
2020-03-07,50.0,1.0,
2020-03-08,50.0,1.0,
2020-03-09,50.0,1.0,
2020-03-10,53.0,1.0,
2020-03-11,59.0,1.0,
2020-03-12,70.0,1.0,
2020-03-13,75.0,1.0,
2020-03-14,82.0,1.0,
2020-03-15,114.0,1.0,
2020-03-16,147.0,1.0,
2020-03-17,177.0,1.0,
2020-03-18,212.0,1.0,
2020-03-19,272.0,1.0,
2020-03-20,322.0,1.0,
2020-03-21,411.0,1.0,
2020-03-22,599.0,1.0,
2020-03-23,721.0,1.0,
2020-03-24,827.0,4.0,
2020-03-25,934.0,4.0,
2020-03-26,1045.0,4.0,
2020-03-27,1136.0,5.0,
2020-03-28,1245.0,6.0,
2020-03-29,1388.0,7.0,
2020-03-30,1524.0,9.0,
2020-03-31,1651.0,10.0,
2020-04-01,1771.0,12.0,
2020-04-02,1875.0,15.0,
2020-04-03,1978.0,19.0,
2020-04-04,2067.0,20.0,
2020-04-05,2169.0,23.0,
2020-04-06,2220.0,26.0,
2020-04-07,2258.0,27.0,
2020-04-08,2369.0,30.0,
2020-04-09,2423.0,32.0,
2020-04-10,2473.0,33.0,
2020-04-11,2518.0,35.0,
2020-04-12,2551.0,38.0,
2020-04-13,2579.0,40.0,
2020-04-14,2613.0,41.0,
2020-04-15,2643.0,43.0,
2020-04-16,2672.0,46.0,
2020-04-17,2700.0,47.0,
2020-04-18,2733.0,47.0,
2020-04-19,2765.0,47.0,
2020-04-20,2792.0,47.0,
2020-04-21,2811.0,48.0,
2020-04-22,2826.0,49.0,
2020-04-23,2839.0,50.0,
2020-04-24,2839.0,50.0,
2020-04-25,2907.0,51.0,
2020-04-26,2922.0,51.0,
2020-04-27,2931.0,52.0,
2020-04-28,2938.0,54.0,
2020-04-29,2947.0,54.0,
2020-04-30,2954.0,54.0,
2020-05-01,2960.0,54.0,
2020-05-02,2966.0,54.0,
2020-05-03,2969.0,54.0,
2020-05-04,2987.0,54.0,
2020-05-05,2988.0,54.0,
2020-05-06,2989.0,55.0,
2020-05-07,2992.0,55.0,
2020-05-08,3000.0,55.0,
2020-05-09,3004.0,56.0,
2020-05-10,3009.0,56.0,
2020-05-11,3015.0,56.0,
2020-05-12,3017.0,56.0,
2020-05-13,3017.0,56.0,
2020-05-14,3018.0,56.0,
2020-05-15,3025.0,56.0,
2020-05-16,3025.0,56.0,
2020-05-17,3028.0,56.0,
2020-05-18,3031.0,56.0,
2020-05-19,3033.0,56.0,
2020-05-20,3034.0,56.0,
2020-05-21,3037.0,56.0,
2020-05-22,3037.0,56.0,
2020-05-23,3040.0,56.0,
2020-05-24,3040.0,56.0,
2020-05-25,3042.0,57.0,
2020-05-26,3045.0,57.0,
2020-05-27,3054.0,57.0,
2020-05-28,3065.0,57.0,
2020-05-29,3076.0,57.0,
2020-05-30,3077.0,57.0,
2020-05-31,3081.0,57.0,
2020-06-01,3082.0,57.0,
2020-06-02,3083.0,58.0,
2020-06-03,3084.0,58.0,
2020-06-04,3101.0,58.0,
2020-06-05,3102.0,58.0,
2020-06-06,3104.0,58.0,
2020-06-07,3112.0,58.0,
2020-06-08,3119.0,58.0,
2020-06-09,3121.0,58.0,
2020-06-10,3125.0,58.0,
2020-06-11,3125.0,58.0,
2020-06-12,3129.0,58.0,
2020-06-13,3134.0,58.0,
2020-06-14,3135.0,58.0,
2020-06-15,3135.0,58.0,
2020-06-16,3135.0,58.0,
2020-06-17,3135.0,58.0,
2020-06-18,3141.0,58.0,
2020-06-19,3146.0,58.0,
2020-06-20,3147.0,58.0,
2020-06-21,3148.0,58.0,
2020-06-22,3151.0,58.0,
2020-06-23,3156.0,58.0,
2020-06-24,3158.0,58.0,
