dates,Turkey.JHU_ConfirmedCases.data,Turkey.JHU_ConfirmedDeaths.data,Turkey.JHU_ConfirmedRecoveries.data
2020-02-15,0.0,0.0,
2020-02-16,0.0,0.0,
2020-02-17,0.0,0.0,
2020-02-18,0.0,0.0,
2020-02-19,0.0,0.0,
2020-02-20,0.0,0.0,
2020-02-21,0.0,0.0,
2020-02-22,0.0,0.0,
2020-02-23,0.0,0.0,
2020-02-24,0.0,0.0,
2020-02-25,0.0,0.0,
2020-02-26,0.0,0.0,
2020-02-27,0.0,0.0,
2020-02-28,0.0,0.0,
2020-02-29,0.0,0.0,
2020-03-01,0.0,0.0,
2020-03-02,0.0,0.0,
2020-03-03,0.0,0.0,
2020-03-04,0.0,0.0,
2020-03-05,0.0,0.0,
2020-03-06,0.0,0.0,
2020-03-07,0.0,0.0,
2020-03-08,0.0,0.0,
2020-03-09,0.0,0.0,
2020-03-10,0.0,0.0,
2020-03-11,1.0,0.0,
2020-03-12,1.0,0.0,
2020-03-13,5.0,0.0,
2020-03-14,5.0,0.0,
2020-03-15,6.0,0.0,
2020-03-16,18.0,0.0,
2020-03-17,47.0,1.0,
2020-03-18,98.0,1.0,
2020-03-19,192.0,3.0,
2020-03-20,359.0,4.0,
2020-03-21,670.0,9.0,
2020-03-22,1236.0,30.0,
2020-03-23,1529.0,37.0,
2020-03-24,1872.0,44.0,
2020-03-25,2433.0,59.0,
2020-03-26,3629.0,75.0,
2020-03-27,5698.0,92.0,
2020-03-28,7402.0,108.0,
2020-03-29,9217.0,131.0,
2020-03-30,10827.0,168.0,
2020-03-31,13531.0,214.0,
2020-04-01,15679.0,277.0,
2020-04-02,18135.0,356.0,
2020-04-03,20921.0,425.0,
2020-04-04,23934.0,501.0,
2020-04-05,27069.0,574.0,
2020-04-06,30217.0,649.0,
2020-04-07,34109.0,725.0,
2020-04-08,38226.0,812.0,
2020-04-09,42282.0,908.0,
2020-04-10,47029.0,1006.0,
2020-04-11,52167.0,1101.0,
2020-04-12,56956.0,1198.0,
2020-04-13,61049.0,1296.0,
2020-04-14,65111.0,1403.0,
2020-04-15,69392.0,1518.0,
2020-04-16,74193.0,1643.0,
2020-04-17,78546.0,1769.0,
2020-04-18,82329.0,1890.0,
2020-04-19,86306.0,2017.0,
2020-04-20,90980.0,2140.0,
2020-04-21,95591.0,2259.0,
2020-04-22,98674.0,2376.0,
2020-04-23,101790.0,2491.0,
2020-04-24,101790.0,2491.0,
2020-04-25,107773.0,2706.0,
2020-04-26,110130.0,2805.0,
2020-04-27,112261.0,2900.0,
2020-04-28,114653.0,2992.0,
2020-04-29,117589.0,3081.0,
2020-04-30,120204.0,3174.0,
2020-05-01,122392.0,3258.0,
2020-05-02,124375.0,3336.0,
2020-05-03,126045.0,3397.0,
2020-05-04,127659.0,3461.0,
2020-05-05,129491.0,3520.0,
2020-05-06,131744.0,3584.0,
2020-05-07,133721.0,3641.0,
2020-05-08,135569.0,3689.0,
2020-05-09,137115.0,3739.0,
2020-05-10,138657.0,3786.0,
2020-05-11,139771.0,3841.0,
2020-05-12,141475.0,3894.0,
2020-05-13,143114.0,3952.0,
2020-05-14,144749.0,4007.0,
2020-05-15,146457.0,4055.0,
2020-05-16,148067.0,4096.0,
2020-05-17,149435.0,4140.0,
2020-05-18,150593.0,4171.0,
2020-05-19,151615.0,4199.0,
2020-05-20,152587.0,4222.0,
2020-05-21,153548.0,4249.0,
2020-05-22,154500.0,4276.0,
2020-05-23,155686.0,4308.0,
2020-05-24,156827.0,4340.0,
2020-05-25,157814.0,4369.0,
2020-05-26,158762.0,4397.0,
2020-05-27,159797.0,4431.0,
2020-05-28,160979.0,4461.0,
2020-05-29,162120.0,4489.0,
2020-05-30,163103.0,4515.0,
2020-05-31,163942.0,4540.0,
2020-06-01,164769.0,4563.0,
2020-06-02,165555.0,4585.0,
2020-06-03,166422.0,4609.0,
2020-06-04,167410.0,4630.0,
2020-06-05,168340.0,4648.0,
2020-06-06,169218.0,4669.0,
2020-06-07,170132.0,4692.0,
2020-06-08,171121.0,4711.0,
2020-06-09,172114.0,4729.0,
2020-06-10,173036.0,4746.0,
2020-06-11,174023.0,4763.0,
2020-06-12,175218.0,4778.0,
2020-06-13,176677.0,4792.0,
2020-06-14,178239.0,4807.0,
2020-06-15,179831.0,4825.0,
2020-06-16,181298.0,4842.0,
2020-06-17,182727.0,4861.0,
2020-06-18,184031.0,4882.0,
2020-06-19,185245.0,4905.0,
2020-06-20,186493.0,4927.0,
2020-06-21,187685.0,4950.0,
2020-06-22,188897.0,4974.0,
2020-06-23,190165.0,5001.0,
2020-06-24,191657.0,5025.0,
2020-06-25,193115.0,5046.0,
2020-06-26,194511.0,5065.0,
2020-06-27,195883.0,5082.0,
2020-06-28,197239.0,5097.0,
2020-06-29,198613.0,5115.0,
2020-06-30,199906.0,5131.0,
2020-07-01,201098.0,5150.0,
2020-07-02,202284.0,5167.0,
2020-07-03,203456.0,5186.0,
2020-07-04,204610.0,5206.0,
2020-07-05,205758.0,5225.0,
2020-07-06,206844.0,5241.0,
2020-07-07,207897.0,5260.0,
2020-07-08,208938.0,5282.0,
2020-07-09,209962.0,5300.0,
2020-07-10,210965.0,5323.0,
2020-07-11,211981.0,5344.0,
2020-07-12,212993.0,5363.0,
2020-07-13,214001.0,5382.0,
2020-07-14,214993.0,5402.0,
2020-07-15,215940.0,5419.0,
2020-07-16,216873.0,5440.0,
2020-07-17,217799.0,5458.0,
2020-07-18,218717.0,5475.0,
2020-07-19,219641.0,5491.0,
2020-07-20,220572.0,5508.0,
2020-07-21,221500.0,5526.0,
2020-07-22,222402.0,5545.0,
2020-07-23,223315.0,5563.0,
2020-07-24,224252.0,5580.0,
2020-07-25,225173.0,5596.0,
2020-07-26,226100.0,5613.0,
2020-07-27,227019.0,5630.0,
2020-07-28,227982.0,5645.0,
2020-07-29,228924.0,5659.0,
2020-07-30,229891.0,5674.0,
