dates,UnitedKingdom.JHU_ConfirmedCases.data,UnitedKingdom.JHU_ConfirmedDeaths.data,UnitedKingdom.JHU_ConfirmedRecoveries.data
2020-02-15,9.0,0.0,
2020-02-16,9.0,0.0,
2020-02-17,9.0,0.0,
2020-02-18,9.0,0.0,
2020-02-19,9.0,0.0,
2020-02-20,9.0,0.0,
2020-02-21,9.0,0.0,
2020-02-22,9.0,0.0,
2020-02-23,9.0,0.0,
2020-02-24,13.0,0.0,
2020-02-25,13.0,0.0,
2020-02-26,13.0,0.0,
2020-02-27,15.0,0.0,
2020-02-28,20.0,0.0,
2020-02-29,23.0,0.0,
2020-03-01,36.0,0.0,
2020-03-02,40.0,0.0,
2020-03-03,51.0,0.0,
2020-03-04,86.0,0.0,
2020-03-05,116.0,1.0,
2020-03-06,164.0,2.0,
2020-03-07,207.0,2.0,
2020-03-08,274.0,3.0,
2020-03-09,322.0,4.0,
2020-03-10,384.0,6.0,
2020-03-11,459.0,8.0,
2020-03-12,459.0,8.0,
2020-03-13,802.0,8.0,
2020-03-14,1144.0,21.0,
2020-03-15,1145.0,21.0,
2020-03-16,1551.0,56.0,
2020-03-17,1960.0,56.0,
2020-03-18,2642.0,72.0,
2020-03-19,2716.0,138.0,
2020-03-20,4014.0,178.0,
2020-03-21,5067.0,234.0,
2020-03-22,5741.0,282.0,
2020-03-23,6726.0,336.0,
2020-03-24,8164.0,423.0,
2020-03-25,9640.0,466.0,
2020-03-26,11812.0,580.0,
2020-03-27,14745.0,761.0,
2020-03-28,17312.0,1021.0,
2020-03-29,19780.0,1231.0,
2020-03-30,22453.0,1411.0,
2020-03-31,25481.0,1793.0,
2020-04-01,29865.0,2357.0,
2020-04-02,34173.0,2926.0,
2020-04-03,38689.0,3611.0,
2020-04-04,42477.0,4320.0,
2020-04-05,48436.0,4943.0,
2020-04-06,52279.0,5385.0,
2020-04-07,55949.0,6171.0,
2020-04-08,61474.0,7111.0,
2020-04-09,65872.0,7993.0,
2020-04-10,74605.0,8974.0,
2020-04-11,79874.0,9892.0,
2020-04-12,85206.0,10629.0,
2020-04-13,89570.0,11347.0,
2020-04-14,94845.0,12129.0,
2020-04-15,99483.0,12894.0,
2020-04-16,104145.0,13759.0,
2020-04-17,109769.0,14607.0,
2020-04-18,115314.0,15498.0,
2020-04-19,121172.0,16095.0,
2020-04-20,125856.0,16550.0,
2020-04-21,130172.0,17378.0,
2020-04-22,134638.0,18151.0,
2020-04-23,139246.0,18791.0,
2020-04-24,139246.0,18791.0,
2020-04-25,149569.0,20381.0,
2020-04-26,154037.0,20794.0,
2020-04-27,158348.0,21157.0,
2020-04-28,162350.0,21745.0,
2020-04-29,166441.0,26166.0,
2020-04-30,172481.0,26842.0,
2020-05-01,178685.0,27583.0,
2020-05-02,183500.0,28205.0,
2020-05-03,187842.0,28520.0,
2020-05-04,191832.0,28809.0,
2020-05-05,196243.0,29501.0,
2020-05-06,202359.0,30150.0,
2020-05-07,207977.0,30689.0,
2020-05-08,212629.0,31316.0,
2020-05-09,216525.0,31662.0,
2020-05-10,220449.0,31930.0,
2020-05-11,224332.0,32141.0,
2020-05-12,227741.0,32769.0,
2020-05-13,230985.0,33264.0,
2020-05-14,234440.0,33693.0,
2020-05-15,238004.0,34078.0,
2020-05-16,241461.0,34546.0,
2020-05-17,244995.0,34716.0,
2020-05-18,247709.0,34876.0,
2020-05-19,250138.0,35422.0,
2020-05-20,249619.0,35786.0,
2020-05-21,252246.0,36124.0,
2020-05-22,255544.0,36475.0,
2020-05-23,258504.0,36757.0,
2020-05-24,260916.0,36875.0,
2020-05-25,262547.0,36996.0,
2020-05-26,266599.0,37130.0,
2020-05-27,268619.0,37542.0,
2020-05-28,270508.0,37919.0,
2020-05-29,272607.0,38243.0,
2020-05-30,274219.0,38458.0,
2020-05-31,276156.0,38571.0,
2020-06-01,277736.0,39127.0,
2020-06-02,279392.0,39452.0,
2020-06-03,281270.0,39811.0,
