dates,UnitedStates.JHU_ConfirmedCases.data,UnitedStates.JHU_ConfirmedDeaths.data,UnitedStates.JHU_ConfirmedRecoveries.data
2020-02-15,13.0,0.0,
2020-02-16,13.0,0.0,
2020-02-17,13.0,0.0,
2020-02-18,13.0,0.0,
2020-02-19,13.0,0.0,
2020-02-20,13.0,0.0,
2020-02-21,15.0,0.0,
2020-02-22,15.0,0.0,
2020-02-23,15.0,0.0,
2020-02-24,15.0,0.0,
2020-02-25,15.0,0.0,
2020-02-26,15.0,0.0,
2020-02-27,16.0,0.0,
2020-02-28,16.0,0.0,
2020-02-29,24.0,1.0,
2020-03-01,30.0,1.0,
2020-03-02,53.0,6.0,
2020-03-03,73.0,7.0,
2020-03-04,104.0,11.0,
2020-03-05,172.0,12.0,
2020-03-06,217.0,14.0,
2020-03-07,336.0,17.0,
2020-03-08,450.0,21.0,
2020-03-09,514.0,22.0,
2020-03-10,708.0,28.0,
2020-03-11,1105.0,32.0,
2020-03-12,1557.0,40.0,
2020-03-13,2147.0,48.0,
2020-03-14,2857.0,52.0,
2020-03-15,2918.0,60.0,
2020-03-16,4307.0,84.0,
2020-03-17,6096.0,107.0,
2020-03-18,8873.0,143.0,
2020-03-19,14024.0,209.0,
2020-03-20,19230.0,258.0,
2020-03-21,25627.0,318.0,
2020-03-22,33843.0,427.0,
2020-03-23,43876.0,552.0,
2020-03-24,54034.0,706.0,
2020-03-25,66075.0,942.0,
2020-03-26,84133.0,1209.0,
2020-03-27,102592.0,1581.0,
2020-03-28,121763.0,2026.0,
2020-03-29,141157.0,2467.0,
2020-03-30,162032.0,2978.0,
2020-03-31,188486.0,3873.0,
2020-04-01,213562.0,4757.0,
2020-04-02,243747.0,5928.0,
2020-04-03,275792.0,7087.0,
2020-04-04,309071.0,8407.0,
2020-04-05,337266.0,9619.0,
2020-04-06,366806.0,10783.0,
2020-04-07,396362.0,12722.0,
2020-04-08,429101.0,14695.0,
2020-04-09,461486.0,16478.0,
2020-04-10,496585.0,18582.0,
2020-04-11,526447.0,20457.0,
2020-04-12,555358.0,22014.0,
2020-04-13,580668.0,23528.0,
2020-04-14,607730.0,25831.0,
2020-04-15,636401.0,28325.0,
2020-04-16,667850.0,32916.0,
2020-04-17,699755.0,36773.0,
2020-04-18,732246.0,38664.0,
2020-04-19,759164.0,40661.0,
2020-04-20,784375.0,42094.0,
2020-04-21,812085.0,44444.0,
2020-04-22,840413.0,46622.0,
2020-04-23,869176.0,49954.0,
2020-04-24,904460.0,51899.0,
2020-04-25,938160.0,53755.0,
2020-04-26,965789.0,54881.0,
2020-04-27,988203.0,56259.0,
2020-04-28,1012588.0,58355.0,
2020-04-29,1039914.0,60967.0,
2020-04-30,1069429.0,62996.0,
2020-05-01,1103461.0,65026.0,
2020-05-02,1132539.0,66369.0,
2020-05-03,1158040.0,67682.0,
2020-05-04,1180375.0,68922.0,
2020-05-05,1204351.0,71064.0,
2020-05-06,1228603.0,73431.0,
2020-05-07,1257023.0,75662.0,
2020-05-08,1283929.0,77180.0,
2020-05-09,1309550.0,78795.0,
2020-05-10,1329260.0,79526.0,
2020-05-11,1347881.0,80682.0,
2020-05-12,1369574.0,82376.0,
2020-05-13,1390407.0,84119.0,
2020-05-14,1417775.0,85898.0,
2020-05-15,1442825.0,87530.0,
2020-05-16,1467822.0,88754.0,
2020-05-17,1486759.0,89562.0,
2020-05-18,1508311.0,90347.0,
2020-05-19,1528571.0,91921.0,
2020-05-20,1551856.0,93439.0,
2020-05-21,1577150.0,94702.0,
2020-05-22,1600940.0,95979.0,
2020-05-23,1622615.0,97087.0,
2020-05-24,1650779.0,97765.0,
2020-05-25,1669960.0,98265.0,
2020-05-26,1688571.0,98958.0,
2020-05-27,1706834.0,100463.0,
2020-05-28,1729410.0,101661.0,
2020-05-29,1753675.0,102854.0,
2020-05-30,1777821.0,103821.0,
2020-05-31,1797828.0,104426.0,
2020-06-01,1818846.0,105202.0,
