dates,Australia.Google_GroceryMobility.data,Australia.Google_ResidentialMobility.data,Australia.Google_TransitStationsMobility.data,Australia.Google_ParksMobility.data,Australia.Google_WorkplacesMobility.data,Australia.Google_RetailMobility.data
2020-02-15,103.0,100.0,103.0,98.0,103.0,104.0
2020-02-16,105.0,100.0,103.0,109.0,99.0,103.0
2020-02-17,100.0,98.0,107.0,94.0,117.0,99.0
2020-02-18,98.0,99.0,107.0,87.0,114.0,97.0
2020-02-19,99.0,99.0,108.0,94.0,113.0,99.0
2020-02-20,101.0,98.0,109.0,105.0,113.0,100.0
2020-02-21,104.0,97.0,112.0,99.0,116.0,103.0
2020-02-22,104.0,99.0,108.0,110.0,103.0,105.0
2020-02-23,104.0,100.0,104.0,109.0,98.0,103.0
2020-02-24,101.0,99.0,108.0,90.0,117.0,99.0
2020-02-25,99.0,99.0,110.0,92.0,115.0,97.0
2020-02-26,100.0,99.0,110.0,95.0,114.0,99.0
2020-02-27,101.0,99.0,110.0,98.0,114.0,100.0
2020-02-28,106.0,97.0,114.0,100.0,117.0,104.0
2020-02-29,106.0,99.0,111.0,118.0,104.0,106.0
2020-03-01,107.0,100.0,106.0,120.0,99.0,104.0
2020-03-02,105.0,100.0,106.0,99.0,110.0,100.0
2020-03-03,107.0,99.0,109.0,86.0,115.0,98.0
2020-03-04,112.0,99.0,107.0,85.0,114.0,100.0
2020-03-05,109.0,100.0,106.0,81.0,113.0,98.0
2020-03-06,114.0,98.0,109.0,94.0,116.0,103.0
2020-03-07,112.0,100.0,103.0,110.0,102.0,103.0
2020-03-08,108.0,100.0,100.0,114.0,98.0,103.0
2020-03-09,103.0,104.0,91.0,105.0,86.0,97.0
2020-03-10,109.0,99.0,106.0,89.0,113.0,98.0
2020-03-11,108.0,99.0,106.0,98.0,114.0,99.0
2020-03-12,111.0,99.0,106.0,102.0,113.0,99.0
2020-03-13,117.0,99.0,105.0,92.0,114.0,101.0
2020-03-14,120.0,102.0,90.0,85.0,103.0,99.0
2020-03-15,124.0,102.0,87.0,92.0,99.0,98.0
2020-03-16,133.0,101.0,93.0,82.0,112.0,99.0
2020-03-17,135.0,103.0,86.0,79.0,105.0,95.0
2020-03-18,132.0,105.0,82.0,85.0,102.0,93.0
2020-03-19,125.0,105.0,78.0,91.0,100.0,90.0
2020-03-20,120.0,106.0,78.0,88.0,100.0,88.0
2020-03-21,111.0,107.0,72.0,91.0,96.0,83.0
2020-03-22,110.0,106.0,66.0,89.0,88.0,82.0
2020-03-23,117.0,108.0,64.0,73.0,94.0,83.0
2020-03-24,104.0,112.0,55.0,70.0,81.0,70.0
2020-03-25,102.0,114.0,50.0,67.0,77.0,69.0
2020-03-26,102.0,116.0,47.0,77.0,73.0,66.0
2020-03-27,102.0,117.0,47.0,70.0,74.0,65.0
2020-03-28,91.0,115.0,47.0,66.0,73.0,59.0
2020-03-29,81.0,113.0,42.0,65.0,67.0,55.0
2020-03-30,87.0,116.0,41.0,65.0,68.0,61.0
2020-03-31,87.0,118.0,41.0,65.0,64.0,59.0
2020-04-01,87.0,119.0,40.0,64.0,63.0,60.0
2020-04-02,87.0,120.0,37.0,58.0,62.0,58.0
2020-04-03,93.0,120.0,39.0,59.0,64.0,60.0
2020-04-04,86.0,117.0,39.0,48.0,67.0,56.0
2020-04-05,82.0,114.0,38.0,57.0,64.0,56.0
2020-04-06,88.0,117.0,39.0,65.0,63.0,63.0
2020-04-07,90.0,119.0,39.0,61.0,61.0,62.0
2020-04-08,94.0,119.0,39.0,62.0,61.0,65.0
2020-04-09,115.0,118.0,41.0,69.0,60.0,72.0
2020-04-10,45.0,133.0,23.0,57.0,18.0,24.0
2020-04-11,98.0,118.0,37.0,49.0,59.0,60.0
2020-04-12,62.0,115.0,36.0,58.0,57.0,42.0
2020-04-13,77.0,127.0,27.0,82.0,22.0,55.0
2020-04-14,93.0,119.0,39.0,65.0,58.0,63.0
2020-04-15,90.0,120.0,40.0,69.0,59.0,63.0
2020-04-16,92.0,120.0,40.0,73.0,59.0,61.0
2020-04-17,96.0,120.0,41.0,67.0,61.0,63.0
2020-04-18,89.0,116.0,45.0,58.0,70.0,57.0
2020-04-19,83.0,114.0,42.0,65.0,66.0,55.0
2020-04-20,86.0,117.0,40.0,65.0,65.0,61.0
2020-04-21,87.0,118.0,42.0,69.0,63.0,61.0
2020-04-22,88.0,118.0,42.0,72.0,63.0,62.0
2020-04-23,91.0,119.0,42.0,74.0,63.0,61.0
2020-04-24,98.0,118.0,44.0,73.0,65.0,64.0
2020-04-25,72.0,117.0,44.0,70.0,57.0,48.0
2020-04-26,97.0,113.0,45.0,66.0,68.0,64.0
2020-04-27,90.0,117.0,40.0,73.0,61.0,64.0
2020-04-28,90.0,116.0,43.0,63.0,66.0,64.0
2020-04-29,87.0,111.0,42.0,59.0,66.0,62.0
2020-04-30,92.0,118.0,40.0,57.0,66.0,61.0
2020-05-01,97.0,118.0,44.0,58.0,69.0,65.0
2020-05-02,99.0,113.0,49.0,62.0,73.0,67.0
2020-05-03,94.0,111.0,48.0,80.0,71.0,66.0
2020-05-04,83.0,117.0,42.0,76.0,59.0,61.0
2020-05-05,97.0,116.0,45.0,67.0,69.0,68.0
2020-05-06,94.0,116.0,45.0,70.0,69.0,67.0
2020-05-07,98.0,116.0,46.0,75.0,69.0,68.0
2020-05-08,105.0,116.0,49.0,77.0,72.0,71.0
2020-05-09,113.0,112.0,54.0,68.0,77.0,75.0
2020-05-10,96.0,109.0,54.0,84.0,76.0,71.0
2020-05-11,93.0,114.0,47.0,74.0,73.0,69.0
2020-05-12,96.0,115.0,48.0,70.0,72.0,69.0
2020-05-13,95.0,115.0,48.0,72.0,73.0,69.0
2020-05-14,96.0,115.0,48.0,76.0,72.0,69.0
2020-05-15,102.0,115.0,50.0,74.0,73.0,71.0
2020-05-16,103.0,109.0,59.0,86.0,78.0,74.0
