dates,Austria.Google_GroceryMobility.data,Austria.Google_ResidentialMobility.data,Austria.Google_TransitStationsMobility.data,Austria.Google_ParksMobility.data,Austria.Google_WorkplacesMobility.data,Austria.Google_RetailMobility.data
2020-02-15,101.0,98.0,113.0,142.0,100.0,109.0
2020-02-16,121.0,98.0,112.0,142.0,101.0,115.0
2020-02-17,105.0,100.0,103.0,135.0,96.0,109.0
2020-02-18,105.0,100.0,102.0,140.0,96.0,108.0
2020-02-19,102.0,101.0,99.0,110.0,95.0,104.0
2020-02-20,101.0,100.0,102.0,113.0,95.0,104.0
2020-02-21,104.0,101.0,98.0,107.0,95.0,101.0
2020-02-22,103.0,98.0,114.0,152.0,102.0,109.0
2020-02-23,123.0,100.0,105.0,104.0,102.0,104.0
2020-02-24,110.0,99.0,103.0,125.0,102.0,109.0
2020-02-25,110.0,100.0,107.0,160.0,100.0,113.0
2020-02-26,110.0,101.0,98.0,108.0,100.0,97.0
2020-02-27,107.0,101.0,100.0,109.0,101.0,101.0
2020-02-28,109.0,101.0,98.0,99.0,101.0,99.0
2020-02-29,103.0,100.0,100.0,109.0,101.0,102.0
2020-03-01,108.0,100.0,101.0,106.0,102.0,100.0
2020-03-02,106.0,99.0,101.0,116.0,103.0,102.0
2020-03-03,104.0,101.0,97.0,99.0,102.0,99.0
2020-03-04,105.0,100.0,100.0,112.0,102.0,102.0
2020-03-05,103.0,100.0,100.0,104.0,101.0,101.0
2020-03-06,103.0,100.0,98.0,93.0,101.0,99.0
2020-03-07,100.0,100.0,97.0,98.0,100.0,104.0
2020-03-08,114.0,98.0,105.0,142.0,101.0,114.0
2020-03-09,104.0,100.0,97.0,102.0,101.0,99.0
2020-03-10,110.0,100.0,97.0,109.0,101.0,97.0
2020-03-11,117.0,101.0,92.0,112.0,99.0,94.0
2020-03-12,124.0,102.0,91.0,118.0,97.0,90.0
2020-03-13,146.0,105.0,80.0,80.0,94.0,80.0
2020-03-14,93.0,108.0,66.0,83.0,91.0,65.0
2020-03-15,68.0,108.0,57.0,87.0,82.0,41.0
2020-03-16,86.0,119.0,44.0,63.0,57.0,29.0
2020-03-17,68.0,124.0,34.0,57.0,45.0,21.0
2020-03-18,70.0,124.0,35.0,76.0,42.0,21.0
2020-03-19,71.0,125.0,33.0,68.0,40.0,20.0
2020-03-20,72.0,126.0,32.0,68.0,41.0,19.0
2020-03-21,61.0,120.0,25.0,27.0,46.0,12.0
2020-03-22,31.0,115.0,24.0,40.0,46.0,10.0
2020-03-23,69.0,125.0,29.0,43.0,40.0,21.0
2020-03-24,68.0,126.0,29.0,56.0,39.0,20.0
2020-03-25,66.0,127.0,27.0,42.0,38.0,19.0
2020-03-26,69.0,127.0,28.0,41.0,38.0,19.0
2020-03-27,74.0,127.0,30.0,61.0,40.0,20.0
2020-03-28,69.0,117.0,34.0,79.0,51.0,17.0
2020-03-29,36.0,114.0,29.0,57.0,49.0,13.0
2020-03-30,69.0,125.0,29.0,43.0,41.0,22.0
2020-03-31,76.0,125.0,31.0,53.0,41.0,23.0
2020-04-01,70.0,124.0,33.0,66.0,41.0,23.0
2020-04-02,71.0,125.0,32.0,64.0,41.0,23.0
2020-04-03,75.0,126.0,31.0,54.0,41.0,21.0
2020-04-04,70.0,117.0,33.0,64.0,52.0,18.0
