dates,Belgium.Google_GroceryMobility.data,Belgium.Google_ResidentialMobility.data,Belgium.Google_TransitStationsMobility.data,Belgium.Google_ParksMobility.data,Belgium.Google_WorkplacesMobility.data,Belgium.Google_RetailMobility.data
2020-02-15,102.0,99.0,109.0,129.0,101.0,103.0
2020-02-16,97.0,101.0,97.0,70.0,97.0,93.0
2020-02-17,102.0,100.0,104.0,108.0,104.0,101.0
2020-02-18,103.0,100.0,106.0,118.0,104.0,103.0
2020-02-19,101.0,100.0,105.0,113.0,104.0,103.0
2020-02-20,99.0,100.0,103.0,104.0,103.0,98.0
2020-02-21,103.0,100.0,107.0,115.0,102.0,100.0
2020-02-22,100.0,100.0,102.0,100.0,98.0,96.0
2020-02-23,93.0,100.0,98.0,73.0,96.0,93.0
2020-02-24,100.0,104.0,89.0,107.0,76.0,107.0
2020-02-25,102.0,104.0,92.0,129.0,77.0,110.0
2020-02-26,95.0,103.0,89.0,96.0,79.0,99.0
2020-02-27,98.0,106.0,85.0,85.0,77.0,98.0
2020-02-28,103.0,105.0,90.0,103.0,77.0,99.0
2020-02-29,102.0,101.0,98.0,93.0,95.0,96.0
2020-03-01,106.0,100.0,105.0,98.0,99.0,100.0
2020-03-02,107.0,100.0,100.0,88.0,103.0,96.0
2020-03-03,106.0,100.0,101.0,111.0,104.0,102.0
2020-03-04,104.0,100.0,101.0,107.0,104.0,101.0
2020-03-05,101.0,102.0,98.0,84.0,102.0,96.0
2020-03-06,105.0,101.0,103.0,102.0,102.0,99.0
2020-03-07,103.0,100.0,108.0,133.0,102.0,105.0
2020-03-08,101.0,100.0,98.0,79.0,99.0,99.0
2020-03-09,104.0,100.0,99.0,106.0,102.0,99.0
2020-03-10,104.0,102.0,96.0,95.0,101.0,96.0
2020-03-11,104.0,102.0,96.0,97.0,101.0,96.0
2020-03-12,123.0,103.0,93.0,104.0,99.0,93.0
2020-03-13,140.0,105.0,84.0,95.0,93.0,92.0
2020-03-14,92.0,112.0,66.0,100.0,73.0,30.0
2020-03-15,82.0,108.0,66.0,120.0,71.0,34.0
2020-03-16,116.0,114.0,57.0,107.0,64.0,68.0
2020-03-17,130.0,116.0,54.0,131.0,55.0,64.0
2020-03-18,88.0,120.0,44.0,107.0,48.0,39.0
2020-03-19,77.0,127.0,33.0,81.0,39.0,25.0
2020-03-20,78.0,131.0,29.0,50.0,38.0,21.0
2020-03-21,61.0,122.0,33.0,66.0,49.0,16.0
2020-03-22,55.0,115.0,37.0,80.0,52.0,21.0
2020-03-23,75.0,126.0,30.0,80.0,35.0,26.0
2020-03-24,79.0,127.0,31.0,92.0,34.0,26.0
2020-03-25,71.0,126.0,31.0,81.0,35.0,24.0
2020-03-26,75.0,129.0,28.0,75.0,34.0,23.0
2020-03-27,79.0,131.0,30.0,73.0,35.0,22.0
2020-03-28,64.0,122.0,33.0,62.0,49.0,17.0
2020-03-29,47.0,117.0,24.0,34.0,48.0,16.0
2020-03-30,70.0,127.0,28.0,65.0,34.0,24.0
2020-03-31,75.0,128.0,29.0,82.0,34.0,25.0
2020-04-01,69.0,126.0,31.0,82.0,36.0,24.0
2020-04-02,73.0,130.0,27.0,62.0,34.0,23.0
2020-04-03,79.0,132.0,28.0,62.0,35.0,21.0
2020-04-04,68.0,122.0,36.0,70.0,50.0,18.0
2020-04-05,64.0,115.0,40.0,87.0,54.0,24.0
2020-04-06,73.0,126.0,31.0,81.0,34.0,26.0
2020-04-07,81.0,126.0,33.0,104.0,34.0,28.0
2020-04-08,75.0,124.0,34.0,97.0,36.0,27.0
2020-04-09,82.0,127.0,33.0,93.0,34.0,27.0
2020-04-10,86.0,130.0,33.0,88.0,34.0,25.0
2020-04-11,75.0,120.0,40.0,80.0,53.0,21.0
2020-04-12,60.0,115.0,39.0,76.0,55.0,25.0
2020-04-13,24.0,135.0,20.0,69.0,12.0,14.0
2020-04-14,89.0,127.0,30.0,74.0,34.0,27.0
2020-04-15,76.0,125.0,34.0,88.0,36.0,26.0
2020-04-16,80.0,127.0,33.0,96.0,35.0,27.0
2020-04-17,81.0,130.0,34.0,86.0,37.0,25.0
2020-04-18,65.0,122.0,33.0,46.0,55.0,20.0
2020-04-19,57.0,115.0,37.0,71.0,59.0,24.0
2020-04-20,72.0,124.0,35.0,91.0,40.0,34.0
2020-04-21,78.0,125.0,36.0,100.0,40.0,34.0
2020-04-22,75.0,123.0,37.0,99.0,42.0,32.0
2020-04-23,81.0,125.0,37.0,102.0,40.0,33.0
2020-04-24,81.0,128.0,36.0,83.0,41.0,29.0
2020-04-25,72.0,119.0,42.0,75.0,61.0,25.0
2020-04-26,67.0,113.0,46.0,97.0,64.0,30.0
2020-04-27,74.0,123.0,38.0,104.0,42.0,37.0
2020-04-28,77.0,124.0,32.0,62.0,42.0,32.0
2020-04-29,79.0,123.0,36.0,69.0,44.0,32.0
2020-04-30,99.0,125.0,36.0,72.0,43.0,40.0
2020-05-01,31.0,137.0,24.0,63.0,17.0,17.0
2020-05-02,81.0,119.0,40.0,64.0,63.0,29.0
2020-05-03,64.0,113.0,45.0,87.0,67.0,31.0
2020-05-04,81.0,121.0,41.0,96.0,47.0,43.0
2020-05-05,84.0,121.0,42.0,117.0,47.0,44.0
2020-05-06,81.0,119.0,45.0,121.0,49.0,43.0
2020-05-07,87.0,122.0,44.0,119.0,48.0,43.0
2020-05-08,88.0,124.0,44.0,111.0,49.0,40.0
2020-05-09,82.0,115.0,54.0,117.0,72.0,35.0
