dates,Brazil.Google_GroceryMobility.data,Brazil.Google_ResidentialMobility.data,Brazil.Google_TransitStationsMobility.data,Brazil.Google_ParksMobility.data,Brazil.Google_WorkplacesMobility.data,Brazil.Google_RetailMobility.data
2020-02-15,104.0,100.0,108.0,95.0,106.0,105.0
2020-02-16,103.0,101.0,103.0,87.0,100.0,102.0
2020-02-17,100.0,99.0,109.0,88.0,119.0,98.0
2020-02-18,99.0,99.0,109.0,89.0,115.0,97.0
2020-02-19,98.0,99.0,108.0,95.0,114.0,99.0
2020-02-20,107.0,98.0,111.0,102.0,115.0,101.0
2020-02-21,110.0,99.0,112.0,101.0,113.0,102.0
2020-02-22,106.0,100.0,106.0,112.0,96.0,97.0
2020-02-23,107.0,101.0,102.0,132.0,97.0,104.0
2020-02-24,93.0,108.0,73.0,169.0,55.0,86.0
2020-02-25,71.0,110.0,65.0,151.0,39.0,69.0
2020-02-26,89.0,106.0,83.0,92.0,82.0,82.0
2020-02-27,102.0,101.0,101.0,89.0,110.0,92.0
2020-02-28,103.0,101.0,102.0,83.0,113.0,95.0
2020-02-29,105.0,103.0,98.0,77.0,105.0,97.0
2020-03-01,103.0,105.0,90.0,66.0,99.0,91.0
2020-03-02,101.0,100.0,106.0,75.0,120.0,94.0
2020-03-03,102.0,99.0,106.0,79.0,115.0,95.0
2020-03-04,102.0,99.0,107.0,89.0,116.0,99.0
2020-03-05,107.0,98.0,110.0,95.0,118.0,100.0
2020-03-06,111.0,98.0,113.0,93.0,118.0,106.0
2020-03-07,113.0,100.0,108.0,86.0,107.0,109.0
2020-03-08,111.0,101.0,102.0,83.0,103.0,108.0
2020-03-09,105.0,98.0,112.0,88.0,121.0,101.0
2020-03-10,105.0,98.0,111.0,89.0,117.0,100.0
2020-03-11,102.0,99.0,110.0,94.0,117.0,101.0
2020-03-12,104.0,98.0,110.0,95.0,117.0,98.0
2020-03-13,107.0,98.0,110.0,92.0,118.0,100.0
2020-03-14,107.0,101.0,100.0,85.0,106.0,98.0
2020-03-15,107.0,103.0,93.0,79.0,100.0,92.0
2020-03-16,106.0,101.0,96.0,77.0,114.0,89.0
2020-03-17,107.0,104.0,85.0,72.0,103.0,81.0
2020-03-18,105.0,107.0,78.0,72.0,94.0,75.0
2020-03-19,102.0,110.0,69.0,66.0,83.0,64.0
2020-03-20,100.0,113.0,63.0,55.0,79.0,55.0
2020-03-21,84.0,116.0,50.0,34.0,70.0,37.0
2020-03-22,67.0,117.0,40.0,25.0,66.0,28.0
2020-03-23,74.0,120.0,42.0,39.0,58.0,35.0
2020-03-24,67.0,122.0,37.0,38.0,49.0,29.0
2020-03-25,68.0,123.0,37.0,43.0,48.0,31.0
2020-03-26,71.0,122.0,38.0,46.0,50.0,31.0
2020-03-27,74.0,123.0,40.0,44.0,52.0,33.0
2020-03-28,73.0,119.0,41.0,36.0,59.0,30.0
2020-03-29,65.0,117.0,38.0,30.0,66.0,29.0
2020-03-30,74.0,120.0,41.0,45.0,57.0,38.0
2020-03-31,79.0,119.0,42.0,47.0,55.0,40.0
2020-04-01,81.0,120.0,43.0,52.0,55.0,42.0
2020-04-02,83.0,120.0,43.0,52.0,55.0,41.0
2020-04-03,86.0,120.0,45.0,48.0,58.0,40.0
2020-04-04,87.0,116.0,47.0,40.0,65.0,37.0
2020-04-05,76.0,115.0,43.0,34.0,70.0,33.0
2020-04-06,86.0,118.0,47.0,47.0,62.0,44.0
2020-04-07,92.0,117.0,47.0,50.0,60.0,47.0
2020-04-08,93.0,118.0,48.0,54.0,60.0,48.0
2020-04-09,111.0,116.0,51.0,60.0,59.0,51.0
2020-04-10,62.0,127.0,31.0,42.0,28.0,24.0
2020-04-11,95.0,116.0,48.0,41.0,64.0,41.0
2020-04-12,75.0,113.0,45.0,33.0,74.0,33.0
2020-04-13,81.0,117.0,47.0,48.0,65.0,46.0
2020-04-14,80.0,118.0,45.0,46.0,61.0,44.0
2020-04-15,83.0,118.0,47.0,53.0,62.0,46.0
2020-04-16,86.0,118.0,47.0,54.0,62.0,44.0
2020-04-17,89.0,119.0,49.0,50.0,64.0,45.0
2020-04-18,85.0,115.0,50.0,41.0,72.0,39.0
2020-04-19,77.0,114.0,44.0,36.0,75.0,33.0
2020-04-20,89.0,117.0,47.0,53.0,61.0,47.0
2020-04-21,63.0,123.0,32.0,49.0,33.0,29.0
2020-04-22,85.0,117.0,49.0,55.0,66.0,47.0
