dates,Canada.Google_GroceryMobility.data,Canada.Google_ResidentialMobility.data,Canada.Google_TransitStationsMobility.data,Canada.Google_ParksMobility.data,Canada.Google_WorkplacesMobility.data,Canada.Google_RetailMobility.data
2020-02-15,102.0,100.0,103.0,110.0,101.0,104.0
2020-02-16,108.0,98.0,104.0,141.0,100.0,113.0
2020-02-17,85.0,111.0,72.0,163.0,48.0,88.0
2020-02-18,104.0,101.0,99.0,106.0,99.0,99.0
2020-02-19,101.0,100.0,100.0,109.0,100.0,101.0
2020-02-20,104.0,100.0,99.0,114.0,101.0,106.0
2020-02-21,99.0,101.0,99.0,110.0,97.0,102.0
2020-02-22,105.0,99.0,106.0,128.0,106.0,108.0
2020-02-23,106.0,99.0,105.0,136.0,105.0,110.0
2020-02-24,102.0,100.0,99.0,119.0,103.0,103.0
2020-02-25,105.0,100.0,100.0,109.0,103.0,102.0
2020-02-26,102.0,101.0,98.0,101.0,101.0,98.0
2020-02-27,91.0,104.0,95.0,94.0,95.0,92.0
2020-02-28,101.0,101.0,101.0,95.0,100.0,99.0
2020-02-29,107.0,100.0,106.0,111.0,107.0,107.0
2020-03-01,109.0,99.0,106.0,123.0,105.0,110.0
2020-03-02,103.0,101.0,98.0,101.0,99.0,103.0
2020-03-03,106.0,100.0,98.0,108.0,100.0,104.0
2020-03-04,104.0,101.0,100.0,111.0,99.0,105.0
2020-03-05,105.0,101.0,99.0,118.0,98.0,107.0
2020-03-06,99.0,101.0,97.0,106.0,99.0,101.0
2020-03-07,105.0,100.0,103.0,117.0,106.0,106.0
2020-03-08,107.0,100.0,103.0,150.0,104.0,109.0
2020-03-09,104.0,101.0,97.0,131.0,102.0,104.0
2020-03-10,101.0,101.0,94.0,98.0,101.0,99.0
2020-03-11,107.0,101.0,97.0,112.0,102.0,103.0
2020-03-12,127.0,101.0,94.0,111.0,102.0,107.0
2020-03-13,135.0,105.0,83.0,84.0,94.0,95.0
2020-03-14,119.0,105.0,81.0,92.0,99.0,89.0
2020-03-15,111.0,104.0,78.0,128.0,95.0,88.0
2020-03-16,123.0,110.0,63.0,115.0,73.0,88.0
2020-03-17,113.0,114.0,55.0,107.0,65.0,73.0
2020-03-18,107.0,116.0,52.0,114.0,60.0,67.0
2020-03-19,104.0,117.0,48.0,118.0,57.0,64.0
2020-03-20,95.0,120.0,46.0,92.0,55.0,56.0
2020-03-21,88.0,113.0,51.0,111.0,68.0,51.0
2020-03-22,79.0,111.0,46.0,104.0,65.0,49.0
2020-03-23,87.0,120.0,37.0,73.0,49.0,55.0
2020-03-24,85.0,122.0,36.0,90.0,45.0,51.0
2020-03-25,79.0,123.0,35.0,101.0,41.0,47.0
2020-03-26,79.0,125.0,32.0,82.0,41.0,46.0
2020-03-27,79.0,126.0,34.0,90.0,41.0,45.0
2020-03-28,73.0,117.0,36.0,70.0,56.0,41.0
2020-03-29,65.0,114.0,34.0,84.0,56.0,41.0
2020-03-30,73.0,123.0,30.0,68.0,40.0,46.0
2020-03-31,81.0,123.0,32.0,87.0,40.0,49.0
2020-04-01,79.0,124.0,32.0,90.0,39.0,48.0
2020-04-02,77.0,125.0,30.0,84.0,39.0,47.0
2020-04-03,77.0,127.0,31.0,67.0,40.0,45.0
2020-04-04,75.0,117.0,37.0,83.0,55.0,43.0
2020-04-05,55.0,114.0,33.0,87.0,54.0,37.0
2020-04-06,79.0,123.0,32.0,102.0,40.0,49.0
2020-04-07,82.0,124.0,32.0,99.0,39.0,48.0
2020-04-08,83.0,124.0,33.0,97.0,39.0,49.0
2020-04-09,97.0,124.0,32.0,85.0,38.0,56.0
2020-04-10,57.0,133.0,23.0,76.0,19.0,30.0
2020-04-11,85.0,117.0,37.0,78.0,53.0,46.0
2020-04-12,38.0,114.0,33.0,96.0,49.0,26.0
2020-04-13,71.0,126.0,26.0,75.0,31.0,45.0
2020-04-14,84.0,124.0,32.0,89.0,40.0,50.0
2020-04-15,81.0,124.0,32.0,86.0,40.0,50.0
2020-04-16,82.0,125.0,32.0,94.0,40.0,51.0
2020-04-17,78.0,127.0,33.0,78.0,41.0,47.0
2020-04-18,76.0,116.0,43.0,97.0,60.0,46.0
2020-04-19,57.0,114.0,36.0,87.0,58.0,40.0
2020-04-20,81.0,122.0,35.0,115.0,42.0,54.0
2020-04-21,78.0,123.0,32.0,83.0,42.0,50.0
2020-04-22,78.0,124.0,33.0,78.0,42.0,50.0
2020-04-23,81.0,124.0,34.0,99.0,42.0,51.0
2020-04-24,78.0,125.0,35.0,97.0,43.0,48.0
2020-04-25,79.0,114.0,46.0,116.0,61.0,49.0
2020-04-26,61.0,113.0,38.0,94.0,59.0,43.0
2020-04-27,83.0,121.0,36.0,114.0,44.0,55.0
2020-04-28,84.0,116.0,36.0,114.0,43.0,54.0
2020-04-29,83.0,122.0,36.0,106.0,43.0,54.0
2020-04-30,83.0,123.0,35.0,96.0,43.0,53.0
2020-05-01,84.0,123.0,39.0,110.0,45.0,53.0
2020-05-02,82.0,114.0,48.0,115.0,64.0,51.0
2020-05-03,68.0,111.0,46.0,147.0,65.0,49.0
2020-05-04,86.0,120.0,36.0,105.0,46.0,58.0
2020-05-05,90.0,120.0,38.0,132.0,46.0,58.0
2020-05-06,89.0,120.0,40.0,136.0,46.0,59.0
2020-05-07,89.0,121.0,38.0,132.0,46.0,58.0
2020-05-08,89.0,122.0,38.0,109.0,47.0,55.0
2020-05-09,94.0,113.0,45.0,100.0,68.0,56.0
2020-05-10,76.0,110.0,45.0,120.0,70.0,56.0
2020-05-11,86.0,119.0,38.0,119.0,48.0,59.0
2020-05-12,89.0,120.0,39.0,120.0,49.0,59.0
2020-05-13,91.0,119.0,42.0,146.0,49.0,62.0
2020-05-14,90.0,120.0,40.0,137.0,49.0,62.0
2020-05-15,90.0,121.0,41.0,124.0,48.0,59.0
2020-05-16,91.0,110.0,53.0,162.0,70.0,60.0
2020-05-17,77.0,108.0,49.0,186.0,71.0,59.0
2020-05-18,73.0,124.0,31.0,194.0,21.0,52.0
2020-05-19,100.0,118.0,43.0,157.0,51.0,69.0
2020-05-20,101.0,117.0,46.0,170.0,51.0,72.0
2020-05-21,98.0,118.0,45.0,173.0,51.0,70.0
2020-05-22,95.0,118.0,46.0,163.0,54.0,66.0
2020-05-23,96.0,109.0,58.0,185.0,79.0,67.0
2020-05-24,86.0,106.0,57.0,215.0,79.0,68.0
2020-05-25,96.0,116.0,45.0,164.0,52.0,74.0
2020-05-26,97.0,116.0,46.0,180.0,54.0,72.0
2020-05-27,100.0,116.0,48.0,182.0,54.0,74.0
2020-05-28,97.0,117.0,46.0,164.0,55.0,72.0
2020-05-29,95.0,118.0,47.0,151.0,56.0,68.0
2020-05-30,95.0,109.0,59.0,158.0,86.0,68.0
2020-05-31,88.0,107.0,57.0,169.0,87.0,70.0
2020-06-01,98.0,114.0,49.0,181.0,57.0,77.0
2020-06-02,97.0,116.0,47.0,164.0,57.0,73.0
2020-06-03,97.0,116.0,48.0,168.0,57.0,73.0
2020-06-04,100.0,115.0,50.0,208.0,57.0,75.0
2020-06-05,97.0,115.0,50.0,201.0,58.0,71.0
2020-06-06,95.0,108.0,60.0,188.0,87.0,71.0
2020-06-07,91.0,105.0,61.0,230.0,88.0,74.0
2020-06-08,98.0,114.0,49.0,200.0,58.0,79.0
2020-06-09,98.0,114.0,48.0,190.0,59.0,76.0
2020-06-10,99.0,115.0,49.0,178.0,58.0,78.0
2020-06-11,100.0,115.0,50.0,200.0,59.0,79.0
2020-06-12,98.0,114.0,51.0,189.0,60.0,75.0
2020-06-13,97.0,106.0,64.0,211.0,92.0,75.0
2020-06-14,93.0,104.0,63.0,242.0,93.0,78.0
2020-06-15,100.0,113.0,51.0,204.0,59.0,82.0
2020-06-16,103.0,113.0,53.0,236.0,60.0,82.0
2020-06-17,102.0,113.0,53.0,223.0,59.0,81.0
2020-06-18,105.0,113.0,53.0,239.0,60.0,83.0
2020-06-19,104.0,111.0,55.0,228.0,60.0,79.0
2020-06-20,103.0,104.0,66.0,235.0,94.0,78.0
2020-06-21,98.0,101.0,65.0,249.0,98.0,83.0
2020-06-22,100.0,112.0,53.0,219.0,58.0,84.0
2020-06-23,106.0,112.0,52.0,195.0,58.0,83.0
2020-06-24,92.0,115.0,51.0,222.0,51.0,77.0
2020-06-25,107.0,112.0,56.0,242.0,60.0,87.0
2020-06-26,101.0,111.0,58.0,229.0,61.0,80.0
2020-06-27,99.0,105.0,69.0,217.0,92.0,79.0
2020-06-28,95.0,102.0,68.0,253.0,96.0,83.0
2020-06-29,105.0,111.0,54.0,237.0,58.0,91.0
2020-06-30,121.0,110.0,56.0,233.0,59.0,98.0
2020-07-01,84.0,116.0,45.0,334.0,33.0,66.0
2020-07-02,111.0,111.0,54.0,234.0,56.0,91.0
2020-07-03,106.0,112.0,55.0,251.0,53.0,85.0
2020-07-04,99.0,103.0,69.0,283.0,92.0,81.0
2020-07-05,97.0,100.0,70.0,290.0,94.0,87.0
2020-07-06,105.0,110.0,55.0,256.0,58.0,91.0
2020-07-07,106.0,111.0,54.0,236.0,58.0,88.0
2020-07-08,105.0,112.0,54.0,216.0,59.0,88.0
2020-07-09,106.0,111.0,55.0,236.0,60.0,89.0
2020-07-10,101.0,111.0,56.0,236.0,60.0,82.0
2020-07-11,98.0,105.0,63.0,197.0,93.0,80.0
2020-07-12,98.0,101.0,69.0,269.0,95.0,88.0
2020-07-13,103.0,110.0,54.0,250.0,58.0,90.0
2020-07-14,105.0,111.0,54.0,265.0,59.0,89.0
2020-07-15,105.0,110.0,55.0,259.0,60.0,90.0
2020-07-16,105.0,111.0,53.0,214.0,60.0,89.0
2020-07-17,104.0,110.0,56.0,241.0,60.0,85.0
2020-07-18,101.0,102.0,71.0,293.0,94.0,82.0
2020-07-19,96.0,101.0,66.0,254.0,93.0,85.0
2020-07-20,107.0,110.0,55.0,283.0,57.0,93.0
2020-07-21,107.0,110.0,54.0,289.0,57.0,90.0
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-25,,,,,,
2020-07-26,,,,,,
2020-07-27,,,,,,
2020-07-28,107.0,110.0,53.0,282.0,57.0,90.0
2020-07-29,107.0,111.0,55.0,257.0,57.0,91.0
2020-07-30,109.0,110.0,55.0,271.0,57.0,93.0
2020-07-31,107.0,109.0,59.0,274.0,57.0,87.0
2020-08-01,100.0,101.0,72.0,311.0,91.0,83.0
2020-08-02,96.0,101.0,64.0,251.0,89.0,87.0
2020-08-03,92.0,114.0,46.0,309.0,34.0,83.0
2020-08-04,105.0,111.0,52.0,207.0,56.0,88.0
2020-08-05,108.0,110.0,57.0,264.0,58.0,93.0
2020-08-06,106.0,110.0,56.0,276.0,58.0,92.0
2020-08-07,100.0,109.0,57.0,255.0,59.0,84.0
2020-08-08,98.0,101.0,71.0,297.0,94.0,84.0
2020-08-09,96.0,100.0,70.0,287.0,94.0,89.0
2020-08-10,102.0,109.0,54.0,269.0,58.0,92.0
2020-08-11,103.0,110.0,53.0,247.0,59.0,89.0
2020-08-12,104.0,109.0,56.0,270.0,59.0,91.0
2020-08-13,104.0,109.0,56.0,278.0,59.0,92.0
2020-08-14,101.0,109.0,58.0,264.0,60.0,86.0
2020-08-15,99.0,101.0,72.0,302.0,94.0,85.0
2020-08-16,97.0,99.0,70.0,288.0,93.0,90.0
2020-08-17,102.0,109.0,54.0,245.0,58.0,91.0
2020-08-18,104.0,110.0,55.0,263.0,60.0,91.0
2020-08-19,104.0,109.0,57.0,267.0,60.0,92.0
2020-08-20,106.0,109.0,57.0,257.0,60.0,94.0
2020-08-21,101.0,109.0,58.0,237.0,60.0,86.0
2020-08-22,100.0,101.0,73.0,298.0,94.0,86.0
2020-08-23,98.0,100.0,72.0,281.0,94.0,91.0
2020-08-24,102.0,109.0,56.0,252.0,59.0,93.0
2020-08-25,106.0,109.0,57.0,267.0,60.0,93.0
2020-08-26,105.0,109.0,59.0,248.0,61.0,93.0
2020-08-27,108.0,109.0,60.0,261.0,61.0,96.0
2020-08-28,103.0,108.0,63.0,259.0,62.0,89.0
2020-08-29,101.0,103.0,70.0,216.0,92.0,87.0
2020-08-30,103.0,100.0,76.0,275.0,94.0,95.0
2020-08-31,107.0,108.0,61.0,264.0,60.0,97.0
2020-09-01,109.0,109.0,62.0,256.0,61.0,96.0
2020-09-02,106.0,110.0,60.0,217.0,61.0,94.0
2020-09-03,107.0,108.0,63.0,275.0,61.0,96.0
2020-09-04,107.0,107.0,66.0,267.0,61.0,93.0
2020-09-05,104.0,101.0,76.0,296.0,89.0,90.0
2020-09-06,106.0,99.0,78.0,347.0,90.0,101.0
2020-09-07,74.0,117.0,43.0,287.0,23.0,70.0
2020-09-08,117.0,109.0,61.0,218.0,60.0,96.0
2020-09-09,109.0,109.0,63.0,227.0,62.0,94.0
2020-09-10,108.0,109.0,64.0,243.0,62.0,96.0
2020-09-11,104.0,108.0,66.0,251.0,64.0,92.0
2020-09-12,,102.0,,,94.0,
2020-09-13,,102.0,,,91.0,
2020-09-14,,109.0,,,65.0,
2020-09-15,,109.0,,,66.0,
2020-09-16,,109.0,,,65.0,
2020-09-17,,109.0,,,65.0,
2020-09-18,,109.0,,,66.0,
2020-09-19,,103.0,,,94.0,
2020-09-20,,101.0,,,94.0,
2020-09-21,,109.0,,,64.0,
2020-09-22,,109.0,,,65.0,
2020-09-23,,110.0,,,66.0,
2020-09-24,,110.0,,,67.0,
2020-09-25,,109.0,,,67.0,
2020-09-26,,103.0,,,96.0,
2020-09-27,,102.0,,,95.0,
2020-09-28,98.0,109.0,53.0,167.0,67.0,84.0
2020-09-29,100.0,110.0,52.0,152.0,68.0,84.0
2020-09-30,100.0,110.0,53.0,132.0,67.0,85.0
2020-10-01,102.0,110.0,53.0,152.0,69.0,85.0
2020-10-02,97.0,111.0,54.0,136.0,70.0,80.0
2020-10-03,100.0,105.0,64.0,183.0,94.0,84.0
2020-10-04,98.0,104.0,59.0,159.0,91.0,84.0
2020-10-05,99.0,110.0,53.0,153.0,67.0,83.0
2020-10-06,101.0,110.0,53.0,157.0,68.0,82.0
2020-10-07,98.0,111.0,51.0,129.0,68.0,80.0
2020-10-08,102.0,110.0,53.0,143.0,69.0,84.0
2020-10-09,103.0,111.0,54.0,143.0,68.0,81.0
2020-10-10,103.0,106.0,61.0,171.0,92.0,79.0
2020-10-11,98.0,103.0,57.0,181.0,90.0,79.0
2020-10-12,71.0,120.0,34.0,207.0,23.0,57.0
2020-10-13,98.0,111.0,51.0,129.0,67.0,78.0
2020-10-14,98.0,111.0,53.0,145.0,68.0,80.0
