dates,Denmark.Google_GroceryMobility.data,Denmark.Google_ResidentialMobility.data,Denmark.Google_TransitStationsMobility.data,Denmark.Google_ParksMobility.data,Denmark.Google_WorkplacesMobility.data,Denmark.Google_RetailMobility.data
2020-02-15,99.0,100.0,102.0,96.0,94.0,98.0
2020-02-16,93.0,101.0,95.0,67.0,94.0,93.0
2020-02-17,99.0,101.0,97.0,100.0,98.0,97.0
2020-02-18,101.0,101.0,99.0,109.0,99.0,101.0
2020-02-19,100.0,101.0,98.0,112.0,99.0,100.0
2020-02-20,99.0,101.0,99.0,97.0,98.0,101.0
2020-02-21,101.0,101.0,99.0,115.0,97.0,101.0
2020-02-22,97.0,101.0,96.0,76.0,97.0,94.0
2020-02-23,98.0,100.0,100.0,91.0,100.0,101.0
2020-02-24,99.0,100.0,102.0,112.0,102.0,98.0
2020-02-25,97.0,101.0,101.0,96.0,103.0,97.0
2020-02-26,98.0,101.0,100.0,101.0,103.0,98.0
2020-02-27,101.0,100.0,102.0,121.0,103.0,102.0
2020-02-28,101.0,99.0,106.0,123.0,102.0,117.0
2020-02-29,96.0,100.0,105.0,83.0,100.0,110.0
2020-03-01,93.0,100.0,105.0,95.0,101.0,121.0
2020-03-02,95.0,100.0,101.0,128.0,102.0,111.0
2020-03-03,95.0,100.0,99.0,109.0,102.0,110.0
2020-03-04,95.0,100.0,101.0,116.0,102.0,109.0
2020-03-05,97.0,100.0,99.0,130.0,102.0,110.0
2020-03-06,97.0,100.0,98.0,111.0,101.0,107.0
2020-03-07,98.0,99.0,107.0,147.0,101.0,110.0
2020-03-08,92.0,100.0,99.0,93.0,98.0,111.0
2020-03-09,95.0,101.0,97.0,114.0,100.0,105.0
2020-03-10,96.0,102.0,93.0,94.0,100.0,103.0
2020-03-11,105.0,102.0,90.0,125.0,99.0,105.0
2020-03-12,122.0,112.0,64.0,84.0,72.0,89.0
2020-03-13,93.0,116.0,52.0,102.0,56.0,72.0
2020-03-14,91.0,108.0,64.0,186.0,84.0,69.0
2020-03-15,76.0,108.0,50.0,92.0,78.0,67.0
2020-03-16,86.0,117.0,48.0,150.0,50.0,76.0
2020-03-17,96.0,118.0,45.0,138.0,48.0,75.0
2020-03-18,79.0,120.0,39.0,111.0,46.0,59.0
