dates,Finland.Google_GroceryMobility.data,Finland.Google_ResidentialMobility.data,Finland.Google_TransitStationsMobility.data,Finland.Google_ParksMobility.data,Finland.Google_WorkplacesMobility.data,Finland.Google_RetailMobility.data
2020-02-15,100.0,100.0,100.0,89.0,98.0,103.0
2020-02-16,98.0,101.0,92.0,76.0,97.0,97.0
2020-02-17,102.0,102.0,90.0,110.0,87.0,103.0
2020-02-18,102.0,102.0,91.0,122.0,87.0,102.0
2020-02-19,101.0,101.0,92.0,134.0,87.0,104.0
2020-02-20,100.0,102.0,90.0,130.0,86.0,100.0
2020-02-21,99.0,103.0,88.0,100.0,85.0,101.0
2020-02-22,97.0,100.0,93.0,77.0,96.0,98.0
2020-02-23,106.0,99.0,101.0,132.0,99.0,105.0
2020-02-24,103.0,101.0,96.0,124.0,88.0,105.0
2020-02-25,103.0,102.0,99.0,145.0,88.0,104.0
2020-02-26,102.0,101.0,97.0,140.0,88.0,105.0
2020-02-27,101.0,102.0,97.0,137.0,88.0,103.0
2020-02-28,101.0,102.0,95.0,137.0,86.0,104.0
2020-02-29,101.0,99.0,104.0,128.0,98.0,102.0
2020-03-01,99.0,100.0,96.0,94.0,97.0,97.0
2020-03-02,105.0,101.0,96.0,115.0,93.0,103.0
2020-03-03,103.0,102.0,93.0,114.0,93.0,102.0
2020-03-04,99.0,102.0,92.0,112.0,92.0,99.0
2020-03-05,103.0,102.0,94.0,108.0,92.0,100.0
2020-03-06,103.0,101.0,94.0,127.0,92.0,103.0
2020-03-07,104.0,99.0,101.0,128.0,100.0,103.0
2020-03-08,108.0,99.0,100.0,141.0,101.0,107.0
2020-03-09,103.0,101.0,93.0,105.0,99.0,98.0
2020-03-10,101.0,102.0,91.0,93.0,99.0,97.0
2020-03-11,101.0,102.0,90.0,101.0,97.0,97.0
2020-03-12,111.0,102.0,87.0,100.0,97.0,96.0
2020-03-13,115.0,105.0,74.0,99.0,90.0,91.0
2020-03-14,100.0,105.0,73.0,118.0,92.0,78.0
2020-03-15,96.0,104.0,68.0,125.0,90.0,76.0
2020-03-16,105.0,109.0,66.0,111.0,77.0,81.0
2020-03-17,101.0,113.0,56.0,100.0,68.0,71.0
2020-03-18,90.0,115.0,53.0,132.0,59.0,64.0
2020-03-19,88.0,115.0,52.0,145.0,57.0,62.0
2020-03-20,87.0,116.0,48.0,141.0,57.0,62.0
2020-03-21,85.0,108.0,49.0,142.0,79.0,53.0
2020-03-22,85.0,107.0,48.0,177.0,79.0,56.0
2020-03-23,84.0,115.0,46.0,133.0,55.0,59.0
2020-03-24,85.0,116.0,46.0,136.0,53.0,57.0
2020-03-25,84.0,116.0,46.0,145.0,53.0,57.0
2020-03-26,85.0,116.0,45.0,152.0,53.0,56.0
2020-03-27,84.0,118.0,42.0,146.0,53.0,55.0
2020-03-28,84.0,109.0,46.0,145.0,76.0,49.0
2020-03-29,79.0,109.0,41.0,148.0,75.0,48.0
2020-03-30,80.0,116.0,43.0,132.0,52.0,53.0
2020-03-31,82.0,118.0,41.0,98.0,51.0,51.0
2020-04-01,87.0,117.0,44.0,138.0,51.0,55.0
2020-04-02,84.0,118.0,41.0,114.0,51.0,53.0
2020-04-03,85.0,119.0,38.0,100.0,51.0,52.0
2020-04-04,87.0,109.0,45.0,145.0,74.0,51.0
2020-04-05,87.0,108.0,43.0,173.0,75.0,53.0
2020-04-06,85.0,116.0,44.0,148.0,51.0,59.0
2020-04-07,91.0,116.0,44.0,160.0,50.0,59.0
2020-04-08,101.0,115.0,46.0,178.0,50.0,63.0
2020-04-09,111.0,114.0,46.0,164.0,48.0,69.0
2020-04-10,62.0,126.0,31.0,224.0,17.0,33.0
2020-04-11,83.0,108.0,46.0,189.0,70.0,49.0
2020-04-12,73.0,111.0,30.0,91.0,67.0,38.0
2020-04-13,70.0,123.0,32.0,196.0,16.0,38.0
2020-04-14,87.0,117.0,42.0,111.0,50.0,55.0
2020-04-15,88.0,117.0,43.0,137.0,51.0,58.0
2020-04-16,87.0,117.0,42.0,128.0,51.0,57.0
2020-04-17,88.0,117.0,41.0,132.0,52.0,58.0
2020-04-18,85.0,108.0,48.0,144.0,79.0,53.0
2020-04-19,84.0,107.0,45.0,181.0,80.0,55.0
2020-04-20,84.0,114.0,47.0,162.0,53.0,61.0
2020-04-21,89.0,113.0,50.0,221.0,53.0,62.0
2020-04-22,89.0,114.0,49.0,210.0,54.0,61.0
2020-04-23,90.0,114.0,47.0,184.0,53.0,61.0
2020-04-24,88.0,115.0,43.0,149.0,53.0,59.0
