dates,France.Google_GroceryMobility.data,France.Google_ResidentialMobility.data,France.Google_TransitStationsMobility.data,France.Google_ParksMobility.data,France.Google_WorkplacesMobility.data,France.Google_RetailMobility.data
2020-02-15,99.0,99.0,112.0,123.0,98.0,98.0
2020-02-16,102.0,99.0,107.0,109.0,99.0,106.0
2020-02-17,102.0,104.0,94.0,116.0,85.0,101.0
2020-02-18,102.0,103.0,96.0,136.0,86.0,105.0
2020-02-19,97.0,102.0,94.0,118.0,88.0,96.0
2020-02-20,99.0,103.0,96.0,129.0,85.0,98.0
2020-02-21,98.0,103.0,100.0,128.0,85.0,99.0
2020-02-22,98.0,99.0,114.0,131.0,95.0,94.0
2020-02-23,107.0,99.0,112.0,130.0,99.0,108.0
2020-02-24,103.0,103.0,99.0,145.0,85.0,103.0
2020-02-25,101.0,104.0,97.0,123.0,86.0,101.0
2020-02-26,98.0,103.0,95.0,109.0,88.0,95.0
2020-02-27,99.0,104.0,95.0,101.0,85.0,95.0
2020-02-28,101.0,104.0,100.0,115.0,85.0,99.0
2020-02-29,101.0,101.0,104.0,88.0,95.0,93.0
2020-03-01,104.0,100.0,102.0,87.0,101.0,101.0
2020-03-02,103.0,103.0,96.0,91.0,95.0,94.0
2020-03-03,105.0,102.0,96.0,108.0,96.0,99.0
2020-03-04,102.0,102.0,94.0,101.0,97.0,94.0
2020-03-05,100.0,103.0,94.0,85.0,95.0,92.0
2020-03-06,102.0,103.0,99.0,99.0,96.0,98.0
2020-03-07,101.0,101.0,101.0,107.0,100.0,96.0
2020-03-08,102.0,101.0,98.0,99.0,99.0,100.0
2020-03-09,102.0,102.0,95.0,102.0,99.0,95.0
2020-03-10,101.0,102.0,94.0,101.0,99.0,95.0
2020-03-11,102.0,101.0,95.0,117.0,100.0,94.0
2020-03-12,105.0,101.0,93.0,105.0,99.0,92.0
2020-03-13,117.0,103.0,92.0,104.0,98.0,92.0
2020-03-14,101.0,105.0,84.0,99.0,95.0,79.0
2020-03-15,123.0,103.0,79.0,115.0,91.0,62.0
2020-03-16,146.0,113.0,61.0,85.0,64.0,57.0
2020-03-17,85.0,124.0,39.0,60.0,45.0,32.0
2020-03-18,55.0,129.0,24.0,47.0,33.0,17.0
2020-03-19,59.0,132.0,22.0,44.0,29.0,18.0
2020-03-20,58.0,136.0,20.0,34.0,29.0,17.0
2020-03-21,46.0,124.0,18.0,22.0,42.0,12.0
2020-03-22,36.0,118.0,16.0,20.0,45.0,14.0
2020-03-23,59.0,132.0,18.0,36.0,27.0,19.0
2020-03-24,55.0,134.0,18.0,35.0,26.0,17.0
2020-03-25,52.0,132.0,17.0,33.0,27.0,16.0
2020-03-26,54.0,134.0,17.0,33.0,26.0,16.0
2020-03-27,54.0,137.0,16.0,32.0,27.0,16.0
2020-03-28,44.0,125.0,17.0,24.0,41.0,13.0
2020-03-29,28.0,118.0,13.0,18.0,44.0,12.0
2020-03-30,53.0,133.0,17.0,34.0,26.0,16.0
2020-03-31,62.0,133.0,18.0,39.0,26.0,10.0
2020-04-01,61.0,131.0,19.0,38.0,29.0,10.0
2020-04-02,64.0,133.0,18.0,38.0,27.0,10.0
2020-04-03,62.0,137.0,18.0,34.0,28.0,14.0
2020-04-04,55.0,124.0,20.0,27.0,43.0,12.0
2020-04-05,38.0,117.0,18.0,27.0,47.0,15.0
2020-04-06,63.0,131.0,19.0,39.0,28.0,17.0
2020-04-07,65.0,132.0,20.0,39.0,28.0,18.0
2020-04-08,63.0,130.0,20.0,37.0,30.0,16.0
2020-04-09,68.0,132.0,20.0,39.0,29.0,17.0
2020-04-10,66.0,136.0,19.0,36.0,29.0,17.0
2020-04-11,61.0,123.0,21.0,26.0,45.0,14.0
2020-04-12,42.0,117.0,18.0,24.0,50.0,17.0
2020-04-13,20.0,138.0,12.0,32.0,11.0,9.0
2020-04-14,78.0,131.0,22.0,41.0,30.0,21.0
2020-04-15,68.0,129.0,22.0,41.0,32.0,18.0
2020-04-16,69.0,131.0,22.0,42.0,31.0,19.0
2020-04-17,67.0,135.0,21.0,38.0,32.0,19.0
2020-04-18,54.0,123.0,22.0,27.0,48.0,14.0
2020-04-19,35.0,117.0,19.0,23.0,51.0,15.0
2020-04-20,60.0,130.0,22.0,39.0,32.0,21.0
2020-04-21,63.0,131.0,23.0,41.0,32.0,21.0
2020-04-22,62.0,128.0,24.0,42.0,35.0,19.0
2020-04-23,66.0,130.0,24.0,45.0,33.0,21.0
2020-04-24,65.0,133.0,23.0,42.0,34.0,21.0
2020-04-25,57.0,122.0,24.0,30.0,51.0,16.0
2020-04-26,42.0,116.0,23.0,32.0,57.0,17.0
2020-04-27,64.0,128.0,24.0,44.0,35.0,24.0
2020-04-28,66.0,128.0,24.0,40.0,35.0,23.0
2020-04-29,68.0,127.0,25.0,41.0,38.0,23.0
2020-04-30,84.0,128.0,25.0,39.0,36.0,27.0
2020-05-01,13.0,142.0,13.0,29.0,12.0,9.0
2020-05-02,74.0,121.0,27.0,28.0,54.0,22.0
2020-05-03,44.0,116.0,24.0,33.0,61.0,19.0
2020-05-04,76.0,126.0,28.0,51.0,40.0,30.0
2020-05-05,77.0,127.0,29.0,48.0,40.0,30.0
2020-05-06,77.0,124.0,31.0,51.0,43.0,28.0
