dates,Germany.Google_GroceryMobility.data,Germany.Google_ResidentialMobility.data,Germany.Google_TransitStationsMobility.data,Germany.Google_ParksMobility.data,Germany.Google_WorkplacesMobility.data,Germany.Google_RetailMobility.data
2020-02-15,101.0,99.0,110.0,145.0,100.0,106.0
2020-02-16,110.0,100.0,106.0,109.0,99.0,107.0
2020-02-17,102.0,100.0,101.0,107.0,98.0,102.0
2020-02-18,102.0,101.0,101.0,110.0,99.0,102.0
2020-02-19,100.0,101.0,99.0,106.0,99.0,103.0
2020-02-20,99.0,101.0,103.0,114.0,96.0,102.0
2020-02-21,102.0,102.0,99.0,115.0,92.0,102.0
2020-02-22,98.0,100.0,109.0,126.0,97.0,99.0
2020-02-23,109.0,100.0,102.0,76.0,97.0,100.0
2020-02-24,95.0,104.0,95.0,117.0,80.0,102.0
2020-02-25,99.0,104.0,95.0,115.0,87.0,99.0
2020-02-26,100.0,102.0,93.0,100.0,95.0,97.0
2020-02-27,103.0,102.0,95.0,97.0,96.0,95.0
2020-02-28,111.0,102.0,98.0,109.0,95.0,103.0
2020-02-29,105.0,101.0,101.0,109.0,99.0,99.0
2020-03-01,118.0,100.0,104.0,121.0,101.0,108.0
2020-03-02,108.0,100.0,99.0,109.0,100.0,102.0
2020-03-03,105.0,101.0,97.0,108.0,100.0,100.0
2020-03-04,102.0,101.0,96.0,114.0,100.0,102.0
2020-03-05,100.0,101.0,95.0,100.0,100.0,96.0
2020-03-06,101.0,102.0,93.0,89.0,99.0,97.0
2020-03-07,100.0,101.0,98.0,119.0,100.0,101.0
2020-03-08,119.0,100.0,102.0,131.0,101.0,112.0
2020-03-09,102.0,101.0,95.0,107.0,99.0,99.0
2020-03-10,98.0,103.0,92.0,87.0,99.0,93.0
2020-03-11,102.0,102.0,93.0,117.0,99.0,99.0
2020-03-12,106.0,102.0,91.0,104.0,98.0,93.0
2020-03-13,119.0,104.0,85.0,97.0,96.0,91.0
2020-03-14,109.0,104.0,81.0,133.0,97.0,83.0
2020-03-15,113.0,102.0,84.0,175.0,95.0,88.0
2020-03-16,122.0,106.0,75.0,140.0,82.0,93.0
2020-03-17,111.0,110.0,65.0,131.0,75.0,79.0
2020-03-18,105.0,111.0,61.0,144.0,70.0,66.0
2020-03-19,97.0,114.0,54.0,115.0,67.0,55.0
2020-03-20,98.0,116.0,48.0,86.0,64.0,50.0
2020-03-21,76.0,113.0,41.0,69.0,69.0,31.0
2020-03-22,65.0,110.0,42.0,101.0,66.0,29.0
2020-03-23,84.0,116.0,44.0,95.0,59.0,43.0
2020-03-24,82.0,118.0,44.0,109.0,57.0,41.0
2020-03-25,82.0,118.0,44.0,111.0,57.0,42.0
2020-03-26,84.0,118.0,43.0,103.0,56.0,41.0
2020-03-27,86.0,119.0,44.0,121.0,56.0,41.0
2020-03-28,79.0,112.0,47.0,133.0,67.0,34.0
2020-03-29,49.0,111.0,32.0,51.0,61.0,23.0
2020-03-30,84.0,117.0,44.0,87.0,57.0,46.0
2020-03-31,88.0,117.0,47.0,107.0,57.0,47.0
2020-04-01,87.0,117.0,47.0,120.0,57.0,48.0
2020-04-02,89.0,117.0,46.0,106.0,57.0,46.0
2020-04-03,89.0,119.0,43.0,87.0,56.0,43.0
2020-04-04,84.0,112.0,48.0,121.0,69.0,37.0
2020-04-05,87.0,108.0,53.0,161.0,70.0,42.0
2020-04-06,94.0,115.0,51.0,149.0,56.0,57.0
2020-04-07,98.0,116.0,50.0,150.0,55.0,56.0
2020-04-08,110.0,115.0,51.0,157.0,55.0,58.0
2020-04-09,114.0,115.0,51.0,137.0,53.0,60.0
2020-04-10,8.0,129.0,31.0,172.0,14.0,20.0
2020-04-11,100.0,110.0,52.0,135.0,71.0,44.0
2020-04-12,77.0,106.0,53.0,159.0,74.0,37.0
2020-04-13,7.0,128.0,27.0,129.0,12.0,19.0
2020-04-14,101.0,117.0,48.0,108.0,55.0,55.0
2020-04-15,91.0,116.0,51.0,146.0,56.0,55.0
2020-04-16,97.0,116.0,52.0,157.0,57.0,47.0
2020-04-17,96.0,116.0,51.0,149.0,57.0,45.0
2020-04-18,86.0,110.0,54.0,135.0,78.0,35.0
2020-04-19,93.0,107.0,56.0,156.0,78.0,41.0
2020-04-20,91.0,113.0,56.0,135.0,64.0,56.0
2020-04-21,92.0,114.0,56.0,145.0,65.0,53.0
2020-04-22,92.0,113.0,57.0,160.0,65.0,54.0
2020-04-23,94.0,113.0,58.0,158.0,65.0,53.0
2020-04-24,93.0,114.0,54.0,138.0,64.0,50.0
2020-04-25,90.0,109.0,59.0,140.0,81.0,43.0
2020-04-26,103.0,106.0,61.0,178.0,82.0,48.0
2020-04-27,87.0,112.0,59.0,157.0,67.0,57.0
2020-04-28,90.0,113.0,57.0,119.0,67.0,52.0
2020-04-29,101.0,113.0,57.0,112.0,67.0,54.0
2020-04-30,119.0,112.0,61.0,92.0,66.0,66.0
2020-05-01,8.0,128.0,33.0,117.0,16.0,18.0
2020-05-02,103.0,109.0,58.0,82.0,80.0,54.0
2020-05-03,104.0,106.0,63.0,143.0,82.0,43.0
2020-05-04,95.0,111.0,62.0,99.0,70.0,68.0
2020-05-05,94.0,112.0,63.0,121.0,71.0,64.0
2020-05-06,95.0,111.0,65.0,149.0,72.0,67.0
2020-05-07,97.0,111.0,65.0,147.0,72.0,67.0
2020-05-08,95.0,111.0,63.0,160.0,69.0,64.0
2020-05-09,99.0,105.0,72.0,161.0,92.0,60.0
2020-05-10,109.0,104.0,67.0,129.0,97.0,50.0
2020-05-11,88.0,111.0,59.0,77.0,72.0,66.0
2020-05-12,96.0,111.0,65.0,114.0,74.0,69.0
2020-05-13,93.0,111.0,64.0,113.0,74.0,69.0
2020-05-14,96.0,110.0,65.0,120.0,74.0,71.0
2020-05-15,97.0,110.0,65.0,129.0,74.0,71.0
2020-05-16,94.0,105.0,72.0,153.0,95.0,65.0
2020-05-17,116.0,103.0,75.0,192.0,99.0,64.0
2020-05-18,97.0,108.0,70.0,155.0,74.0,85.0
2020-05-19,102.0,109.0,70.0,163.0,75.0,83.0
2020-05-20,134.0,106.0,75.0,184.0,74.0,94.0
2020-05-21,13.0,118.0,54.0,325.0,19.0,45.0
2020-05-22,101.0,114.0,60.0,168.0,49.0,81.0
2020-05-23,91.0,107.0,65.0,127.0,92.0,65.0
2020-05-24,103.0,103.0,69.0,137.0,96.0,58.0
2020-05-25,98.0,108.0,69.0,133.0,73.0,84.0
2020-05-26,96.0,108.0,72.0,173.0,77.0,82.0
2020-05-27,97.0,107.0,73.0,186.0,77.0,85.0
2020-05-28,102.0,108.0,73.0,165.0,76.0,84.0
2020-05-29,106.0,107.0,75.0,184.0,75.0,85.0
2020-05-30,104.0,102.0,83.0,199.0,105.0,77.0
2020-05-31,132.0,100.0,87.0,243.0,108.0,81.0
2020-06-01,14.0,116.0,58.0,364.0,20.0,55.0
2020-06-02,115.0,106.0,78.0,209.0,74.0,94.0
2020-06-03,101.0,107.0,76.0,191.0,75.0,89.0
2020-06-04,98.0,109.0,69.0,112.0,74.0,80.0
2020-06-05,98.0,109.0,68.0,121.0,74.0,80.0
2020-06-06,95.0,104.0,76.0,144.0,101.0,75.0
2020-06-07,111.0,103.0,73.0,151.0,103.0,69.0
2020-06-08,96.0,107.0,74.0,167.0,75.0,92.0
2020-06-09,98.0,108.0,73.0,159.0,75.0,88.0
2020-06-10,116.0,106.0,76.0,170.0,75.0,95.0
2020-06-11,46.0,116.0,60.0,212.0,41.0,64.0
2020-06-12,103.0,107.0,75.0,247.0,63.0,92.0
2020-06-13,91.0,102.0,79.0,197.0,104.0,74.0
2020-06-14,108.0,102.0,74.0,134.0,105.0,67.0
2020-06-15,98.0,106.0,76.0,163.0,77.0,90.0
2020-06-16,100.0,106.0,78.0,175.0,79.0,89.0
2020-06-17,97.0,106.0,78.0,180.0,79.0,90.0
2020-06-18,98.0,106.0,77.0,167.0,78.0,88.0
2020-06-19,99.0,106.0,77.0,163.0,77.0,87.0
2020-06-20,95.0,102.0,82.0,185.0,107.0,80.0
2020-06-21,133.0,99.0,89.0,223.0,115.0,92.0
2020-06-22,98.0,105.0,79.0,196.0,77.0,94.0
2020-06-23,99.0,105.0,81.0,229.0,78.0,94.0
2020-06-24,99.0,105.0,81.0,230.0,80.0,94.0
2020-06-25,99.0,105.0,79.0,206.0,78.0,89.0
2020-06-26,98.0,105.0,79.0,214.0,77.0,86.0
2020-06-27,94.0,101.0,84.0,210.0,103.0,77.0
2020-06-28,123.0,100.0,82.0,172.0,110.0,82.0
2020-06-29,101.0,105.0,78.0,174.0,77.0,97.0
2020-06-30,103.0,106.0,80.0,192.0,78.0,100.0
2020-07-01,99.0,105.0,79.0,185.0,78.0,98.0
2020-07-02,100.0,106.0,79.0,169.0,77.0,94.0
2020-07-03,101.0,105.0,80.0,199.0,77.0,95.0
2020-07-04,95.0,100.0,88.0,209.0,103.0,84.0
2020-07-05,127.0,100.0,88.0,195.0,107.0,91.0
2020-07-06,99.0,105.0,78.0,173.0,74.0,98.0
2020-07-07,99.0,106.0,80.0,206.0,75.0,98.0
2020-07-08,97.0,106.0,77.0,180.0,75.0,96.0
2020-07-09,97.0,106.0,77.0,174.0,74.0,92.0
2020-07-10,98.0,106.0,77.0,174.0,74.0,89.0
2020-07-11,94.0,100.0,89.0,212.0,103.0,85.0
2020-07-12,142.0,98.0,96.0,242.0,110.0,103.0
2020-07-13,98.0,104.0,80.0,232.0,74.0,100.0
2020-07-14,98.0,106.0,79.0,216.0,74.0,97.0
2020-07-15,99.0,106.0,77.0,178.0,74.0,98.0
2020-07-16,98.0,106.0,76.0,163.0,73.0,93.0
2020-07-17,98.0,105.0,79.0,208.0,72.0,94.0
2020-07-18,93.0,99.0,94.0,250.0,102.0,84.0
2020-07-19,140.0,97.0,97.0,252.0,109.0,103.0
2020-07-20,99.0,105.0,78.0,230.0,69.0,100.0
2020-07-21,98.0,105.0,79.0,253.0,70.0,100.0
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-25,,,,,,
2020-07-26,,,,,,
2020-07-27,,,,,,
2020-07-28,98.0,106.0,78.0,250.0,68.0,99.0
2020-07-29,99.0,105.0,80.0,259.0,68.0,105.0
2020-07-30,100.0,105.0,79.0,254.0,67.0,101.0
2020-07-31,99.0,104.0,80.0,261.0,66.0,94.0
2020-08-01,92.0,98.0,94.0,256.0,96.0,81.0
2020-08-02,135.0,99.0,93.0,189.0,101.0,95.0
2020-08-03,102.0,105.0,79.0,214.0,65.0,106.0
2020-08-04,100.0,106.0,80.0,243.0,66.0,105.0
2020-08-05,98.0,104.0,81.0,280.0,67.0,106.0
2020-08-06,98.0,105.0,79.0,263.0,67.0,98.0
2020-08-07,96.0,104.0,78.0,256.0,66.0,90.0
2020-08-08,90.0,99.0,90.0,263.0,95.0,77.0
2020-08-09,128.0,98.0,93.0,227.0,103.0,91.0
2020-08-10,100.0,105.0,78.0,237.0,66.0,99.0
2020-08-11,98.0,106.0,78.0,248.0,67.0,97.0
2020-08-12,98.0,105.0,80.0,254.0,68.0,99.0
2020-08-13,98.0,105.0,79.0,215.0,68.0,95.0
2020-08-14,100.0,105.0,80.0,207.0,68.0,94.0
2020-08-15,83.0,100.0,90.0,232.0,92.0,80.0
2020-08-16,134.0,98.0,96.0,239.0,104.0,101.0
2020-08-17,101.0,104.0,81.0,204.0,68.0,100.0
2020-08-18,98.0,105.0,81.0,218.0,71.0,100.0
2020-08-19,98.0,104.0,84.0,257.0,72.0,104.0
2020-08-20,95.0,104.0,81.0,238.0,71.0,96.0
2020-08-21,94.0,104.0,81.0,237.0,70.0,90.0
2020-08-22,93.0,100.0,88.0,218.0,94.0,85.0
2020-08-23,134.0,99.0,94.0,215.0,102.0,101.0
2020-08-24,98.0,104.0,80.0,204.0,72.0,100.0
2020-08-25,98.0,105.0,82.0,228.0,73.0,101.0
2020-08-26,96.0,106.0,79.0,184.0,74.0,98.0
2020-08-27,99.0,104.0,84.0,222.0,75.0,102.0
2020-08-28,100.0,104.0,84.0,201.0,74.0,99.0
2020-08-29,95.0,100.0,92.0,228.0,95.0,92.0
2020-08-30,126.0,100.0,90.0,181.0,97.0,98.0
2020-08-31,104.0,103.0,86.0,195.0,75.0,108.0
2020-09-01,103.0,104.0,88.0,213.0,77.0,107.0
2020-09-02,101.0,103.0,88.0,233.0,78.0,110.0
2020-09-03,99.0,103.0,86.0,203.0,77.0,103.0
2020-09-04,100.0,103.0,88.0,228.0,76.0,103.0
2020-09-05,96.0,100.0,92.0,233.0,92.0,96.0
2020-09-06,144.0,98.0,98.0,237.0,98.0,115.0
2020-09-07,102.0,103.0,88.0,229.0,76.0,109.0
2020-09-08,102.0,103.0,90.0,245.0,77.0,110.0
2020-09-09,101.0,103.0,90.0,252.0,79.0,112.0
2020-09-10,102.0,102.0,91.0,241.0,78.0,109.0
2020-09-11,102.0,102.0,92.0,263.0,78.0,109.0
2020-09-12,,98.0,,,95.0,
2020-09-13,,96.0,,,100.0,
2020-09-14,,101.0,,,82.0,
2020-09-15,,102.0,,,82.0,
2020-09-16,,102.0,,,82.0,
2020-09-17,,102.0,,,81.0,
2020-09-18,,102.0,,,80.0,
2020-09-19,,99.0,,,94.0,
2020-09-20,,97.0,,,100.0,
2020-09-21,,102.0,,,81.0,
2020-09-22,,103.0,,,82.0,
2020-09-23,,103.0,,,84.0,
2020-09-24,,103.0,,,83.0,
2020-09-25,,104.0,,,81.0,
2020-09-26,,103.0,,,90.0,
2020-09-27,,101.0,,,94.0,
2020-09-28,101.0,103.0,85.0,148.0,85.0,93.0
2020-09-29,101.0,105.0,76.0,150.0,85.0,92.0
2020-09-30,106.0,103.0,90.0,177.0,87.0,100.0
2020-10-01,107.0,103.0,88.0,152.0,88.0,94.0
2020-10-02,129.0,102.0,90.0,160.0,86.0,100.0
2020-10-03,13.0,106.0,78.0,178.0,64.0,49.0
2020-10-04,150.0,100.0,95.0,180.0,99.0,100.0
2020-10-05,110.0,103.0,87.0,140.0,83.0,97.0
2020-10-06,104.0,105.0,86.0,142.0,83.0,93.0
2020-10-07,101.0,104.0,84.0,143.0,84.0,94.0
2020-10-08,100.0,104.0,79.0,132.0,83.0,89.0
2020-10-09,101.0,104.0,81.0,145.0,83.0,90.0
2020-10-10,94.0,102.0,85.0,148.0,96.0,87.0
2020-10-11,126.0,101.0,84.0,155.0,97.0,86.0
2020-10-12,99.0,105.0,79.0,149.0,76.0,94.0
2020-10-13,99.0,106.0,80.0,171.0,77.0,94.0
2020-10-14,97.0,106.0,77.0,135.0,77.0,92.0
