dates,Greece.Google_GroceryMobility.data,Greece.Google_ResidentialMobility.data,Greece.Google_TransitStationsMobility.data,Greece.Google_ParksMobility.data,Greece.Google_WorkplacesMobility.data,Greece.Google_RetailMobility.data
2020-02-15,100.0,101.0,97.0,88.0,101.0,98.0
2020-02-16,104.0,100.0,108.0,122.0,102.0,107.0
2020-02-17,103.0,99.0,110.0,124.0,103.0,108.0
2020-02-18,103.0,101.0,73.0,112.0,98.0,101.0
2020-02-19,105.0,99.0,108.0,117.0,104.0,105.0
2020-02-20,102.0,98.0,104.0,107.0,104.0,108.0
2020-02-21,95.0,101.0,101.0,98.0,101.0,96.0
2020-02-22,96.0,102.0,94.0,88.0,102.0,95.0
2020-02-23,107.0,100.0,106.0,122.0,104.0,107.0
2020-02-24,103.0,99.0,108.0,127.0,103.0,105.0
2020-02-25,104.0,99.0,105.0,113.0,103.0,101.0
2020-02-26,112.0,99.0,105.0,115.0,103.0,102.0
2020-02-27,122.0,99.0,107.0,108.0,103.0,103.0
2020-02-28,118.0,100.0,108.0,107.0,101.0,100.0
2020-02-29,120.0,100.0,101.0,119.0,101.0,102.0
2020-03-01,131.0,99.0,99.0,184.0,105.0,122.0
2020-03-02,43.0,104.0,86.0,252.0,33.0,111.0
2020-03-03,107.0,99.0,105.0,105.0,102.0,96.0
2020-03-04,104.0,100.0,100.0,100.0,104.0,97.0
2020-03-05,107.0,100.0,104.0,111.0,104.0,100.0
2020-03-06,104.0,101.0,99.0,109.0,103.0,98.0
2020-03-07,102.0,102.0,94.0,105.0,102.0,96.0
2020-03-08,102.0,103.0,93.0,105.0,102.0,96.0
2020-03-09,101.0,102.0,90.0,91.0,99.0,90.0
2020-03-10,113.0,101.0,95.0,101.0,101.0,94.0
2020-03-11,116.0,104.0,87.0,113.0,89.0,94.0
2020-03-12,121.0,105.0,83.0,115.0,86.0,88.0
2020-03-13,129.0,109.0,74.0,106.0,81.0,75.0
2020-03-14,111.0,111.0,65.0,101.0,74.0,46.0
2020-03-15,86.0,114.0,52.0,75.0,63.0,31.0
2020-03-16,98.0,116.0,49.0,72.0,61.0,47.0
2020-03-17,86.0,117.0,48.0,75.0,56.0,46.0
2020-03-18,80.0,119.0,41.0,78.0,52.0,36.0
2020-03-19,85.0,120.0,40.0,77.0,51.0,35.0
2020-03-20,88.0,122.0,39.0,74.0,50.0,33.0
2020-03-21,76.0,118.0,39.0,68.0,55.0,28.0
2020-03-22,159.0,116.0,37.0,59.0,59.0,28.0
2020-03-23,71.0,125.0,26.0,39.0,43.0,23.0
2020-03-24,88.0,125.0,27.0,40.0,42.0,24.0
2020-03-25,15.0,133.0,14.0,33.0,16.0,14.0
2020-03-26,80.0,126.0,24.0,35.0,42.0,22.0
2020-03-27,77.0,129.0,23.0,33.0,42.0,21.0
2020-03-28,76.0,123.0,26.0,37.0,48.0,20.0
2020-03-29,59.0,120.0,24.0,45.0,47.0,20.0
2020-03-30,83.0,122.0,32.0,68.0,46.0,34.0
2020-03-31,82.0,123.0,30.0,52.0,44.0,29.0
2020-04-01,77.0,124.0,28.0,46.0,43.0,27.0
2020-04-02,82.0,124.0,30.0,51.0,43.0,28.0
2020-04-03,84.0,127.0,27.0,42.0,43.0,22.0
2020-04-04,72.0,123.0,22.0,26.0,46.0,16.0
2020-04-05,55.0,121.0,20.0,30.0,45.0,15.0
2020-04-06,83.0,124.0,28.0,50.0,44.0,27.0
2020-04-07,81.0,124.0,28.0,47.0,44.0,25.0
2020-04-08,84.0,123.0,31.0,60.0,45.0,28.0
2020-04-09,90.0,123.0,33.0,67.0,45.0,29.0
2020-04-10,92.0,125.0,34.0,65.0,45.0,28.0
2020-04-11,86.0,120.0,35.0,61.0,53.0,25.0
2020-04-12,176.0,118.0,33.0,65.0,58.0,26.0
2020-04-13,93.0,121.0,36.0,85.0,47.0,36.0
2020-04-14,97.0,121.0,35.0,67.0,46.0,32.0
2020-04-15,107.0,122.0,35.0,59.0,45.0,32.0
2020-04-16,126.0,122.0,39.0,78.0,44.0,32.0
2020-04-17,98.0,130.0,31.0,77.0,27.0,25.0
2020-04-18,93.0,120.0,33.0,61.0,48.0,22.0
2020-04-19,46.0,120.0,22.0,47.0,40.0,15.0
2020-04-20,20.0,130.0,22.0,81.0,17.0,18.0
2020-04-21,88.0,122.0,32.0,61.0,45.0,25.0
2020-04-22,86.0,122.0,31.0,59.0,46.0,26.0
2020-04-23,88.0,122.0,34.0,68.0,47.0,28.0
2020-04-24,92.0,123.0,36.0,79.0,48.0,28.0
2020-04-25,91.0,117.0,41.0,80.0,58.0,26.0
2020-04-26,97.0,115.0,39.0,90.0,60.0,27.0
2020-04-27,96.0,118.0,41.0,107.0,53.0,37.0
2020-04-28,95.0,117.0,42.0,96.0,52.0,35.0
2020-04-29,100.0,119.0,42.0,99.0,54.0,36.0
2020-04-30,128.0,117.0,45.0,104.0,54.0,40.0
2020-05-01,31.0,129.0,30.0,100.0,23.0,24.0
2020-05-02,102.0,116.0,43.0,79.0,62.0,28.0
2020-05-03,114.0,115.0,41.0,93.0,67.0,29.0
2020-05-04,104.0,113.0,57.0,141.0,62.0,57.0
2020-05-05,102.0,113.0,58.0,138.0,62.0,54.0
2020-05-06,104.0,113.0,59.0,140.0,64.0,53.0
2020-05-07,109.0,114.0,58.0,131.0,64.0,52.0
2020-05-08,109.0,115.0,60.0,139.0,64.0,51.0
2020-05-09,104.0,109.0,66.0,145.0,75.0,46.0
2020-05-10,136.0,107.0,67.0,165.0,78.0,48.0
2020-05-11,108.0,110.0,68.0,170.0,71.0,72.0
2020-05-12,109.0,111.0,68.0,153.0,71.0,68.0
2020-05-13,106.0,110.0,68.0,170.0,71.0,66.0
2020-05-14,111.0,109.0,68.0,168.0,71.0,68.0
2020-05-15,110.0,111.0,67.0,161.0,71.0,62.0
2020-05-16,107.0,107.0,72.0,165.0,82.0,56.0
2020-05-17,135.0,105.0,65.0,187.0,81.0,48.0
2020-05-18,109.0,107.0,76.0,187.0,77.0,74.0
2020-05-19,108.0,107.0,74.0,162.0,76.0,70.0
2020-05-20,111.0,107.0,75.0,171.0,76.0,72.0
2020-05-21,109.0,108.0,73.0,130.0,76.0,68.0
2020-05-22,111.0,109.0,74.0,142.0,77.0,66.0
2020-05-23,108.0,105.0,79.0,156.0,90.0,62.0
2020-05-24,143.0,102.0,82.0,189.0,92.0,54.0
2020-05-25,107.0,105.0,78.0,170.0,81.0,87.0
2020-05-26,101.0,108.0,68.0,109.0,81.0,71.0
2020-05-27,108.0,108.0,72.0,128.0,82.0,76.0
2020-05-28,112.0,107.0,74.0,135.0,84.0,79.0
2020-05-29,113.0,107.0,77.0,137.0,83.0,79.0
2020-05-30,108.0,103.0,85.0,154.0,100.0,78.0
2020-05-31,134.0,102.0,83.0,161.0,103.0,70.0
2020-06-01,111.0,105.0,81.0,151.0,87.0,85.0
2020-06-02,110.0,104.0,83.0,144.0,88.0,84.0
2020-06-03,107.0,104.0,82.0,154.0,88.0,84.0
2020-06-04,114.0,103.0,88.0,170.0,88.0,89.0
2020-06-05,113.0,103.0,89.0,160.0,87.0,86.0
2020-06-06,108.0,101.0,87.0,156.0,97.0,79.0
2020-06-07,154.0,99.0,86.0,235.0,102.0,89.0
2020-06-08,79.0,103.0,78.0,274.0,52.0,95.0
2020-06-09,109.0,102.0,84.0,157.0,87.0,85.0
2020-06-10,108.0,103.0,83.0,171.0,88.0,88.0
2020-06-11,111.0,103.0,84.0,163.0,88.0,92.0
2020-06-12,108.0,103.0,82.0,158.0,87.0,88.0
2020-06-13,102.0,101.0,83.0,169.0,101.0,84.0
2020-06-14,139.0,98.0,85.0,210.0,106.0,85.0
2020-06-15,108.0,102.0,85.0,188.0,88.0,96.0
2020-06-16,109.0,103.0,84.0,161.0,89.0,92.0
2020-06-17,109.0,103.0,83.0,168.0,88.0,92.0
2020-06-18,106.0,102.0,84.0,169.0,88.0,95.0
2020-06-19,106.0,102.0,83.0,168.0,87.0,91.0
2020-06-20,100.0,99.0,85.0,184.0,100.0,86.0
2020-06-21,140.0,97.0,87.0,206.0,104.0,87.0
2020-06-22,104.0,103.0,79.0,162.0,86.0,91.0
2020-06-23,107.0,103.0,83.0,150.0,87.0,91.0
2020-06-24,107.0,102.0,83.0,175.0,89.0,96.0
2020-06-25,111.0,102.0,87.0,180.0,90.0,98.0
2020-06-26,111.0,101.0,88.0,180.0,88.0,95.0
2020-06-27,102.0,98.0,90.0,193.0,99.0,89.0
2020-06-28,145.0,95.0,91.0,229.0,105.0,91.0
2020-06-29,107.0,100.0,90.0,221.0,88.0,106.0
2020-06-30,110.0,100.0,89.0,186.0,89.0,103.0
2020-07-01,108.0,100.0,91.0,206.0,86.0,104.0
2020-07-02,112.0,100.0,93.0,204.0,86.0,105.0
2020-07-03,109.0,100.0,93.0,198.0,85.0,99.0
2020-07-04,100.0,97.0,94.0,210.0,97.0,93.0
2020-07-05,149.0,95.0,98.0,228.0,101.0,95.0
2020-07-06,113.0,100.0,95.0,235.0,84.0,111.0
2020-07-07,111.0,100.0,93.0,203.0,85.0,106.0
2020-07-08,109.0,100.0,93.0,224.0,86.0,108.0
2020-07-09,111.0,99.0,96.0,226.0,86.0,109.0
2020-07-10,109.0,100.0,90.0,212.0,85.0,102.0
2020-07-11,101.0,96.0,94.0,221.0,98.0,95.0
2020-07-12,157.0,93.0,100.0,259.0,104.0,101.0
2020-07-13,113.0,99.0,93.0,265.0,84.0,117.0
2020-07-14,109.0,99.0,90.0,223.0,84.0,110.0
2020-07-15,111.0,99.0,92.0,246.0,86.0,115.0
2020-07-16,114.0,99.0,95.0,244.0,86.0,115.0
2020-07-17,111.0,99.0,94.0,227.0,84.0,106.0
2020-07-18,98.0,96.0,97.0,230.0,98.0,97.0
2020-07-19,184.0,92.0,106.0,269.0,109.0,113.0
2020-07-20,110.0,98.0,97.0,299.0,83.0,122.0
2020-07-21,107.0,98.0,93.0,252.0,83.0,113.0
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-25,,,,,,
2020-07-26,,,,,,
2020-07-27,,,,,,
2020-07-28,111.0,98.0,95.0,275.0,82.0,116.0
2020-07-29,112.0,98.0,95.0,297.0,82.0,118.0
2020-07-30,115.0,98.0,96.0,286.0,82.0,119.0
2020-07-31,113.0,98.0,97.0,262.0,80.0,109.0
2020-08-01,102.0,96.0,105.0,252.0,95.0,97.0
2020-08-02,172.0,93.0,111.0,293.0,103.0,109.0
2020-08-03,119.0,97.0,102.0,367.0,76.0,133.0
2020-08-04,115.0,98.0,96.0,311.0,76.0,121.0
2020-08-05,114.0,99.0,95.0,322.0,76.0,123.0
2020-08-06,115.0,99.0,95.0,309.0,75.0,122.0
2020-08-07,108.0,100.0,92.0,275.0,73.0,107.0
2020-08-08,99.0,98.0,102.0,242.0,92.0,94.0
2020-08-09,176.0,96.0,109.0,292.0,104.0,110.0
2020-08-10,119.0,98.0,100.0,407.0,66.0,135.0
2020-08-11,111.0,99.0,91.0,355.0,66.0,122.0
2020-08-12,113.0,100.0,91.0,380.0,66.0,125.0
