dates,HongKong_China.Google_GroceryMobility.data,HongKong_China.Google_ResidentialMobility.data,HongKong_China.Google_TransitStationsMobility.data,HongKong_China.Google_ParksMobility.data,HongKong_China.Google_WorkplacesMobility.data,HongKong_China.Google_RetailMobility.data
2020-02-15,96.0,114.0,66.0,74.0,82.0,74.0
2020-02-16,88.0,113.0,64.0,65.0,81.0,72.0
2020-02-17,97.0,115.0,68.0,86.0,79.0,77.0
2020-02-18,95.0,116.0,67.0,89.0,79.0,76.0
2020-02-19,92.0,114.0,69.0,89.0,83.0,76.0
2020-02-20,89.0,112.0,72.0,88.0,89.0,76.0
2020-02-21,95.0,117.0,69.0,86.0,79.0,76.0
2020-02-22,99.0,113.0,70.0,95.0,84.0,77.0
2020-02-23,96.0,111.0,69.0,93.0,83.0,76.0
2020-02-24,93.0,114.0,69.0,90.0,81.0,77.0
2020-02-25,91.0,115.0,69.0,91.0,81.0,76.0
2020-02-26,89.0,114.0,70.0,92.0,85.0,76.0
2020-02-27,90.0,112.0,73.0,86.0,91.0,76.0
2020-02-28,94.0,116.0,71.0,87.0,81.0,77.0
2020-02-29,98.0,112.0,75.0,94.0,86.0,78.0
2020-03-01,95.0,110.0,73.0,95.0,85.0,78.0
2020-03-02,95.0,113.0,73.0,86.0,86.0,78.0
2020-03-03,96.0,114.0,72.0,91.0,86.0,78.0
2020-03-04,87.0,113.0,73.0,79.0,89.0,76.0
2020-03-05,91.0,111.0,76.0,82.0,95.0,78.0
2020-03-06,96.0,115.0,74.0,88.0,86.0,80.0
2020-03-07,100.0,111.0,76.0,96.0,88.0,80.0
2020-03-08,94.0,110.0,74.0,90.0,85.0,79.0
2020-03-09,92.0,113.0,74.0,87.0,87.0,79.0
2020-03-10,96.0,113.0,74.0,97.0,88.0,80.0
2020-03-11,93.0,112.0,74.0,86.0,91.0,79.0
2020-03-12,91.0,110.0,78.0,87.0,97.0,78.0
2020-03-13,97.0,114.0,74.0,88.0,87.0,80.0
2020-03-14,99.0,111.0,76.0,96.0,88.0,80.0
2020-03-15,102.0,109.0,77.0,101.0,86.0,82.0
2020-03-16,97.0,112.0,75.0,99.0,88.0,80.0
2020-03-17,94.0,113.0,72.0,93.0,88.0,78.0
2020-03-18,86.0,113.0,71.0,75.0,91.0,75.0
2020-03-19,84.0,111.0,75.0,77.0,97.0,75.0
2020-03-20,96.0,115.0,72.0,80.0,87.0,78.0
2020-03-21,99.0,113.0,70.0,80.0,87.0,76.0
2020-03-22,98.0,112.0,68.0,89.0,85.0,75.0
2020-03-23,100.0,114.0,68.0,90.0,83.0,76.0
2020-03-24,97.0,116.0,66.0,88.0,81.0,73.0
2020-03-25,95.0,115.0,67.0,88.0,84.0,73.0
2020-03-26,91.0,113.0,69.0,79.0,89.0,72.0
2020-03-27,101.0,118.0,67.0,84.0,80.0,74.0
2020-03-28,96.0,116.0,63.0,62.0,83.0,69.0
2020-03-29,93.0,116.0,55.0,57.0,76.0,65.0
2020-03-30,90.0,117.0,63.0,61.0,77.0,68.0
2020-03-31,89.0,118.0,64.0,62.0,77.0,69.0
2020-04-01,95.0,116.0,66.0,76.0,80.0,71.0
2020-04-02,95.0,114.0,69.0,77.0,85.0,71.0
2020-04-03,103.0,119.0,66.0,75.0,76.0,72.0
2020-04-04,100.0,119.0,58.0,75.0,57.0,68.0
2020-04-05,84.0,117.0,53.0,48.0,73.0,63.0
2020-04-06,81.0,118.0,61.0,57.0,75.0,66.0
2020-04-07,101.0,117.0,65.0,82.0,77.0,73.0
2020-04-08,97.0,115.0,67.0,87.0,81.0,74.0
2020-04-09,99.0,112.0,73.0,93.0,86.0,76.0
2020-04-10,107.0,127.0,57.0,100.0,42.0,72.0
2020-04-11,96.0,119.0,59.0,79.0,62.0,69.0
2020-04-12,99.0,113.0,66.0,91.0,78.0,73.0
2020-04-13,107.0,125.0,55.0,113.0,40.0,74.0
2020-04-14,99.0,116.0,68.0,90.0,80.0,75.0
2020-04-15,96.0,115.0,70.0,93.0,83.0,76.0
2020-04-16,94.0,112.0,71.0,93.0,88.0,76.0
2020-04-17,99.0,118.0,63.0,90.0,79.0,77.0
2020-04-18,98.0,114.0,69.0,87.0,84.0,74.0
2020-04-19,95.0,113.0,67.0,84.0,81.0,74.0
2020-04-20,96.0,114.0,66.0,89.0,81.0,76.0
2020-04-21,94.0,115.0,65.0,88.0,81.0,75.0
2020-04-22,87.0,115.0,62.0,61.0,84.0,71.0
2020-04-23,92.0,113.0,67.0,73.0,91.0,74.0
2020-04-24,94.0,118.0,64.0,72.0,81.0,75.0
2020-04-25,101.0,113.0,69.0,82.0,85.0,77.0
2020-04-26,98.0,112.0,68.0,85.0,83.0,77.0
2020-04-27,97.0,114.0,66.0,92.0,83.0,78.0
2020-04-28,95.0,113.0,67.0,93.0,83.0,78.0
2020-04-29,99.0,109.0,71.0,95.0,87.0,81.0
2020-04-30,107.0,118.0,67.0,115.0,49.0,80.0
2020-05-01,107.0,125.0,60.0,113.0,39.0,78.0
2020-05-02,105.0,112.0,72.0,92.0,84.0,79.0
2020-05-03,101.0,111.0,69.0,87.0,84.0,78.0
2020-05-04,98.0,112.0,69.0,90.0,87.0,79.0
2020-05-05,97.0,113.0,69.0,90.0,88.0,79.0
2020-05-06,98.0,112.0,71.0,89.0,91.0,79.0
2020-05-07,95.0,109.0,76.0,89.0,97.0,80.0
2020-05-08,102.0,113.0,75.0,85.0,88.0,83.0
2020-05-09,104.0,110.0,78.0,84.0,90.0,84.0
2020-05-10,104.0,108.0,79.0,80.0,91.0,87.0
2020-05-11,98.0,111.0,73.0,84.0,89.0,82.0
2020-05-12,98.0,112.0,73.0,81.0,89.0,81.0
2020-05-13,97.0,111.0,75.0,84.0,93.0,81.0
2020-05-14,94.0,108.0,79.0,83.0,100.0,81.0
2020-05-15,101.0,111.0,77.0,86.0,88.0,83.0
2020-05-16,107.0,110.0,80.0,88.0,90.0,83.0
2020-05-17,103.0,109.0,77.0,85.0,89.0,83.0
2020-05-18,91.0,112.0,73.0,68.0,88.0,78.0
2020-05-19,100.0,112.0,75.0,84.0,90.0,81.0
2020-05-20,95.0,110.0,77.0,81.0,94.0,82.0
2020-05-21,90.0,109.0,79.0,69.0,99.0,80.0
2020-05-22,100.0,113.0,76.0,74.0,88.0,83.0
2020-05-23,107.0,110.0,79.0,79.0,90.0,84.0
2020-05-24,103.0,109.0,79.0,91.0,90.0,84.0
2020-05-25,92.0,112.0,74.0,75.0,88.0,79.0
2020-05-26,96.0,111.0,75.0,77.0,91.0,82.0
2020-05-27,95.0,110.0,77.0,82.0,94.0,82.0
2020-05-28,96.0,107.0,83.0,83.0,102.0,84.0
2020-05-29,103.0,111.0,81.0,83.0,91.0,87.0
2020-05-30,93.0,112.0,73.0,55.0,87.0,78.0
2020-05-31,106.0,109.0,79.0,80.0,91.0,86.0
2020-06-01,102.0,109.0,79.0,86.0,93.0,85.0
2020-06-02,100.0,109.0,78.0,81.0,94.0,83.0
2020-06-03,101.0,108.0,80.0,86.0,98.0,85.0
2020-06-04,96.0,107.0,82.0,88.0,104.0,84.0
2020-06-05,103.0,110.0,81.0,83.0,92.0,87.0
2020-06-06,101.0,110.0,78.0,64.0,89.0,82.0
2020-06-07,91.0,112.0,67.0,49.0,84.0,76.0
2020-06-08,94.0,110.0,76.0,63.0,92.0,80.0
2020-06-09,103.0,109.0,80.0,81.0,96.0,85.0
2020-06-10,101.0,107.0,82.0,86.0,99.0,86.0
2020-06-11,98.0,105.0,86.0,86.0,106.0,87.0
2020-06-12,106.0,109.0,84.0,85.0,94.0,89.0
2020-06-13,110.0,109.0,81.0,72.0,92.0,86.0
2020-06-14,98.0,111.0,72.0,62.0,88.0,81.0
2020-06-15,102.0,108.0,81.0,84.0,95.0,87.0
2020-06-16,100.0,108.0,82.0,83.0,96.0,86.0
2020-06-17,100.0,107.0,84.0,87.0,100.0,88.0
2020-06-18,97.0,104.0,87.0,85.0,107.0,88.0
2020-06-19,102.0,108.0,85.0,86.0,95.0,90.0
2020-06-20,105.0,106.0,86.0,86.0,92.0,90.0
2020-06-21,104.0,106.0,84.0,83.0,93.0,91.0
2020-06-22,102.0,107.0,83.0,87.0,94.0,89.0
2020-06-23,102.0,107.0,83.0,87.0,95.0,88.0
2020-06-24,100.0,105.0,87.0,91.0,100.0,91.0
2020-06-25,105.0,116.0,74.0,108.0,45.0,89.0
2020-06-26,102.0,109.0,84.0,87.0,91.0,89.0
